날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,197634,겨울
2020-01-02,non-holiday,87589,겨울
2020-01-03,non-holiday,92251,겨울
2020-01-04,holiday,133332,겨울
2020-01-05,holiday,111386,겨울
2020-01-06,non-holiday,63475,겨울
2020-01-07,non-holiday,68005,겨울
2020-01-08,non-holiday,67950,겨울
2020-01-09,non-holiday,78015,겨울
2020-01-10,non-holiday,91757,겨울
2020-01-11,holiday,139736,겨울
2020-01-12,holiday,129553,겨울
2020-01-13,non-holiday,82678,겨울
2020-01-14,non-holiday,81065,겨울
2020-01-15,non-holiday,78568,겨울
2020-01-16,non-holiday,81113,겨울
2020-01-17,non-holiday,89682,겨울
2020-01-18,holiday,128619,겨울
2020-01-19,holiday,116726,겨울
2020-01-20,non-holiday,78406,겨울
2020-01-21,non-holiday,75892,겨울
2020-01-22,non-holiday,73005,겨울
2020-01-23,non-holiday,94162,겨울
2020-01-24,holiday,157550,겨울
2020-01-25,holiday,214432,겨울
2020-01-26,holiday,190380,겨울
2020-01-27,holiday,118658,겨울
2020-01-28,non-holiday,77306,겨울
2020-01-29,non-holiday,71500,겨울
2020-01-30,non-holiday,73562,겨울
2020-01-31,non-holiday,84812,겨울
2020-02-01,holiday,104649,겨울
2020-02-02,holiday,90042,겨울
2020-02-03,non-holiday,51401,겨울
2020-02-04,non-holiday,48481,겨울
2020-02-05,non-holiday,45388,겨울
2020-02-06,non-holiday,46487,겨울
2020-02-07,non-holiday,56661,겨울
2020-02-08,holiday,89937,겨울
2020-02-09,holiday,85134,겨울
2020-02-10,non-holiday,58498,겨울
2020-02-11,non-holiday,57283,겨울
2020-02-12,non-holiday,52207,겨울
2020-02-13,non-holiday,57408,겨울
2020-02-14,non-holiday,73252,겨울
2020-02-15,holiday,110704,겨울
2020-02-16,holiday,91255,겨울
2020-02-17,non-holiday,59235,겨울
2020-02-18,non-holiday,59322,겨울
2020-02-19,non-holiday,62320,겨울
2020-02-20,non-holiday,64747,겨울
2020-02-21,non-holiday,72501,겨울
2020-02-22,holiday,96452,겨울
2020-02-23,holiday,82178,겨울
2020-02-24,non-holiday,53265,겨울
2020-02-25,non-holiday,42420,겨울
2020-02-26,non-holiday,43389,겨울
2020-02-27,non-holiday,48996,겨울
2020-02-28,non-holiday,53922,겨울
2020-02-29,holiday,76929,겨울
2020-03-01,holiday,58005,봄
2020-03-02,non-holiday,39285,봄
2020-03-03,non-holiday,38905,봄
2020-03-04,non-holiday,39478,봄
2020-03-05,non-holiday,44023,봄
2020-03-06,non-holiday,52533,봄
2020-03-07,holiday,79745,봄
2020-03-08,holiday,76676,봄
2020-03-09,non-holiday,47469,봄
2020-03-10,non-holiday,41188,봄
2020-03-11,non-holiday,49042,봄
2020-03-12,non-holiday,52503,봄
2020-03-13,non-holiday,61067,봄
2020-03-14,holiday,97204,봄
2020-03-15,holiday,80632,봄
2020-03-16,non-holiday,53822,봄
2020-03-17,non-holiday,52807,봄
2020-03-18,non-holiday,55256,봄
2020-03-19,non-holiday,48965,봄
2020-03-20,non-holiday,66378,봄
2020-03-21,holiday,106960,봄
2020-03-22,holiday,97515,봄
2020-03-23,non-holiday,59133,봄
2020-03-24,non-holiday,57619,봄
2020-03-25,non-holiday,59294,봄
2020-03-26,non-holiday,57832,봄
2020-03-27,non-holiday,61171,봄
2020-03-28,holiday,101175,봄
2020-03-29,holiday,95158,봄
