날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,58111,겨울
2020-01-02,non-holiday,25613,겨울
2020-01-03,non-holiday,25437,겨울
2020-01-04,holiday,37818,겨울
2020-01-05,holiday,33363,겨울
2020-01-06,non-holiday,20444,겨울
2020-01-07,non-holiday,18773,겨울
2020-01-08,non-holiday,16024,겨울
2020-01-09,non-holiday,18132,겨울
2020-01-10,non-holiday,24322,겨울
2020-01-11,holiday,39737,겨울
2020-01-12,holiday,37188,겨울
2020-01-13,non-holiday,20785,겨울
2020-01-14,non-holiday,20270,겨울
2020-01-15,non-holiday,19539,겨울
2020-01-16,non-holiday,19922,겨울
2020-01-17,non-holiday,24444,겨울
2020-01-18,holiday,35460,겨울
2020-01-19,holiday,32867,겨울
2020-01-20,non-holiday,20890,겨울
2020-01-21,non-holiday,18733,겨울
2020-01-22,non-holiday,17377,겨울
2020-01-23,non-holiday,21652,겨울
2020-01-24,holiday,45280,겨울
2020-01-25,holiday,66948,겨울
2020-01-26,holiday,55496,겨울
2020-01-27,holiday,33734,겨울
2020-01-28,non-holiday,18847,겨울
2020-01-29,non-holiday,17705,겨울
2020-01-30,non-holiday,16494,겨울
2020-01-31,non-holiday,21151,겨울
2020-02-01,holiday,28278,겨울
2020-02-02,holiday,25891,겨울
2020-02-03,non-holiday,15969,겨울
2020-02-04,non-holiday,14866,겨울
2020-02-05,non-holiday,13275,겨울
2020-02-06,non-holiday,14480,겨울
2020-02-07,non-holiday,18321,겨울
2020-02-08,holiday,30620,겨울
2020-02-09,holiday,27358,겨울
2020-02-10,non-holiday,18301,겨울
2020-02-11,non-holiday,17625,겨울
2020-02-12,non-holiday,15324,겨울
2020-02-13,non-holiday,18020,겨울
2020-02-14,non-holiday,22748,겨울
2020-02-15,holiday,32775,겨울
2020-02-16,holiday,29473,겨울
2020-02-17,non-holiday,16569,겨울
2020-02-18,non-holiday,16069,겨울
2020-02-19,non-holiday,16660,겨울
2020-02-20,non-holiday,18310,겨울
2020-02-21,non-holiday,22971,겨울
2020-02-22,holiday,33221,겨울
2020-02-23,holiday,28177,겨울
2020-02-24,non-holiday,17162,겨울
2020-02-25,non-holiday,12393,겨울
2020-02-26,non-holiday,11941,겨울
2020-02-27,non-holiday,14648,겨울
2020-02-28,non-holiday,17107,겨울
2020-02-29,holiday,24279,겨울
2020-03-01,holiday,20390,봄
2020-03-02,non-holiday,13531,봄
2020-03-03,non-holiday,13892,봄
2020-03-04,non-holiday,13683,봄
2020-03-05,non-holiday,14976,봄
2020-03-06,non-holiday,17790,봄
2020-03-07,holiday,28035,봄
2020-03-08,holiday,28296,봄
2020-03-09,non-holiday,16316,봄
2020-03-10,non-holiday,12551,봄
2020-03-11,non-holiday,16487,봄
2020-03-12,non-holiday,18320,봄
2020-03-13,non-holiday,21339,봄
2020-03-14,holiday,33945,봄
2020-03-15,holiday,28694,봄
2020-03-16,non-holiday,18560,봄
2020-03-17,non-holiday,17303,봄
2020-03-18,non-holiday,19480,봄
2020-03-19,non-holiday,15604,봄
2020-03-20,non-holiday,21559,봄
2020-03-21,holiday,35910,봄
2020-03-22,holiday,34256,봄
2020-03-23,non-holiday,19814,봄
2020-03-24,non-holiday,19232,봄
2020-03-25,non-holiday,20303,봄
2020-03-26,non-holiday,20160,봄
2020-03-27,non-holiday,19605,봄
2020-03-28,holiday,34987,봄
2020-03-29,holiday,32885,봄
2020-03-30,non-holiday,21768,봄
2020-03-31,non-holiday,19836,봄
2020-04-01,non-holiday,13454,봄
2020-04-02,non-holiday,15829,봄
2020-04-03,non-holiday,19850,봄
