날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,55577,겨울
2020-01-02,non-holiday,25028,겨울
2020-01-03,non-holiday,29034,겨울
2020-01-04,holiday,38243,겨울
2020-01-05,holiday,32828,겨울
2020-01-06,non-holiday,20778,겨울
2020-01-07,non-holiday,23319,겨울
2020-01-08,non-holiday,24445,겨울
2020-01-09,non-holiday,25408,겨울
2020-01-10,non-holiday,28038,겨울
2020-01-11,holiday,40195,겨울
2020-01-12,holiday,36032,겨울
2020-01-13,non-holiday,27629,겨울
2020-01-14,non-holiday,26667,겨울
2020-01-15,non-holiday,25561,겨울
2020-01-16,non-holiday,26202,겨울
2020-01-17,non-holiday,28486,겨울
2020-01-18,holiday,41476,겨울
2020-01-19,holiday,34901,겨울
2020-01-20,non-holiday,26916,겨울
2020-01-21,non-holiday,26064,겨울
2020-01-22,non-holiday,26055,겨울
2020-01-23,non-holiday,39262,겨울
2020-01-24,holiday,63660,겨울
2020-01-25,holiday,85602,겨울
2020-01-26,holiday,66999,겨울
2020-01-27,holiday,41390,겨울
2020-01-28,non-holiday,26302,겨울
2020-01-29,non-holiday,24266,겨울
2020-01-30,non-holiday,24478,겨울
2020-01-31,non-holiday,27378,겨울
2020-02-01,holiday,28641,겨울
2020-02-02,holiday,25707,겨울
2020-02-03,non-holiday,19587,겨울
2020-02-04,non-holiday,18696,겨울
2020-02-05,non-holiday,17798,겨울
2020-02-06,non-holiday,17556,겨울
2020-02-07,non-holiday,20895,겨울
2020-02-08,holiday,29496,겨울
2020-02-09,holiday,24642,겨울
2020-02-10,non-holiday,20390,겨울
2020-02-11,non-holiday,20924,겨울
2020-02-12,non-holiday,20044,겨울
2020-02-13,non-holiday,22575,겨울
2020-02-14,non-holiday,24750,겨울
2020-02-15,holiday,33885,겨울
2020-02-16,holiday,27367,겨울
2020-02-17,non-holiday,20411,겨울
2020-02-18,non-holiday,21826,겨울
2020-02-19,non-holiday,22122,겨울
2020-02-20,non-holiday,22218,겨울
2020-02-21,non-holiday,24948,겨울
2020-02-22,holiday,30213,겨울
2020-02-23,holiday,23941,겨울
2020-02-24,non-holiday,18452,겨울
2020-02-25,non-holiday,16224,겨울
2020-02-26,non-holiday,16634,겨울
2020-02-27,non-holiday,18407,겨울
2020-02-28,non-holiday,19487,겨울
2020-02-29,holiday,23611,겨울
2020-03-01,holiday,17409,봄
2020-03-02,non-holiday,15047,봄
2020-03-03,non-holiday,16453,봄
2020-03-04,non-holiday,16929,봄
2020-03-05,non-holiday,17436,봄
2020-03-06,non-holiday,19680,봄
2020-03-07,holiday,25690,봄
2020-03-08,holiday,24205,봄
2020-03-09,non-holiday,18578,봄
2020-03-10,non-holiday,17453,봄
2020-03-11,non-holiday,19517,봄
2020-03-12,non-holiday,20210,봄
2020-03-13,non-holiday,22412,봄
2020-03-14,holiday,31200,봄
2020-03-15,holiday,24994,봄
2020-03-16,non-holiday,19122,봄
2020-03-17,non-holiday,20096,봄
2020-03-18,non-holiday,21329,봄
2020-03-19,non-holiday,18436,봄
2020-03-20,non-holiday,24068,봄
2020-03-21,holiday,34345,봄
2020-03-22,holiday,29605,봄
2020-03-23,non-holiday,22064,봄
2020-03-24,non-holiday,22639,봄
2020-03-25,non-holiday,22318,봄
2020-03-26,non-holiday,22973,봄
2020-03-27,non-holiday,22835,봄
2020-03-28,holiday,34091,봄
2020-03-29,holiday,29774,봄
2020-03-30,non-holiday,23803,봄
2020-03-31,non-holiday,23421,봄
2020-04-01,non-holiday,15858,봄
2020-04-02,non-holiday,18204,봄
2020-04-03,non-holiday,23374,봄
2020-04-04,holiday,29168,봄
2020-04-05,holiday,26971,봄
2020-04-06,non-holiday,17795,봄
2020-04-07,non-holiday,18263,봄
2020-04-08,non-holiday,19497,봄
2020-04-09,non-holiday,18532,봄
2020-04-10,non-holiday,22158,봄
2020-04-11,holiday,31697,봄
2020-04-12,holiday,23300,봄
2020-04-13,non-holiday,19823,봄
2020-04-14,non-holiday,22799,봄
2020-04-15,holiday,25440,봄
2020-04-16,non-holiday,21782,봄
2020-04-17,non-holiday,23095,봄
2020-04-18,holiday,31438,봄
2020-04-19,holiday,27021,봄
2020-04-20,non-holiday,21580,봄
2020-04-21,non-holiday,22283,봄
2020-04-22,non-holiday,22491,봄
2020-04-23,non-holiday,23844,봄
2020-04-24,non-holiday,25742,봄
2020-04-25,holiday,34942,봄
2020-04-26,holiday,29606,봄
2020-04-27,non-holiday,23318,봄
2020-04-28,non-holiday,26479,봄
2020-04-29,non-holiday,28440,봄
2020-04-30,holiday,50294,봄
2020-05-01,non-holiday,60349,봄
2020-05-02,holiday,60792,봄
2020-05-03,holiday,49260,봄
2020-05-04,non-holiday,30793,봄
2020-05-05,holiday,29489,봄
2020-05-06,non-holiday,21125,봄
2020-05-07,non-holiday,21754,봄
2020-05-08,non-holiday,28080,봄
2020-05-09,holiday,32204,봄
2020-05-10,holiday,30094,봄
2020-05-11,non-holiday,22012,봄
2020-05-12,non-holiday,22577,봄
2020-05-13,non-holiday,24587,봄
2020-05-14,non-holiday,23114,봄
2020-05-15,non-holiday,24237,봄
2020-05-16,holiday,34564,봄
2020-05-17,holiday,32302,봄
2020-05-18,non-holiday,22667,봄
2020-05-19,non-holiday,20426,봄
2020-05-20,non-holiday,21385,봄
2020-05-21,non-holiday,23627,봄
2020-05-22,non-holiday,27478,봄
2020-05-23,holiday,41811,봄
2020-05-24,holiday,34491,봄
2020-05-25,non-holiday,25515,봄
2020-05-26,non-holiday,25141,봄
2020-05-27,non-holiday,25648,봄
2020-05-28,non-holiday,27746,봄
2020-05-29,non-holiday,29533,봄
2020-05-30,holiday,42304,봄
2020-05-31,holiday,37135,봄
2020-06-01,non-holiday,21340,여름
2020-06-02,non-holiday,20282,여름
2020-06-03,non-holiday,22248,여름
2020-06-04,non-holiday,21746,여름
2020-06-05,non-holiday,24659,여름
2020-06-06,holiday,41262,여름
2020-06-07,holiday,36923,여름
2020-06-08,non-holiday,25945,여름
2020-06-09,non-holiday,24744,여름
2020-06-10,non-holiday,24024,여름
2020-06-11,non-holiday,24681,여름
2020-06-12,non-holiday,27992,여름
2020-06-13,holiday,41287,여름
2020-06-14,holiday,33629,여름
2020-06-15,non-holiday,24030,여름
2020-06-16,non-holiday,25250,여름
2020-06-17,non-holiday,25422,여름
2020-06-18,non-holiday,27788,여름
2020-06-19,non-holiday,29706,여름
2020-06-20,holiday,44091,여름
2020-06-21,holiday,39515,여름
2020-06-22,non-holiday,27763,여름
2020-06-23,non-holiday,28720,여름
2020-06-24,non-holiday,26289,여름
