날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,50084,겨울
2020-01-02,non-holiday,24412,겨울
2020-01-03,non-holiday,25951,겨울
2020-01-04,holiday,33323,겨울
2020-01-05,holiday,31639,겨울
2020-01-06,non-holiday,19528,겨울
2020-01-07,non-holiday,18593,겨울
2020-01-08,non-holiday,18881,겨울
2020-01-09,non-holiday,22356,겨울
2020-01-10,non-holiday,25644,겨울
2020-01-11,holiday,35097,겨울
2020-01-12,holiday,36155,겨울
2020-01-13,non-holiday,23593,겨울
2020-01-14,non-holiday,24967,겨울
2020-01-15,non-holiday,23378,겨울
2020-01-16,non-holiday,23691,겨울
2020-01-17,non-holiday,24632,겨울
2020-01-18,holiday,29853,겨울
2020-01-19,holiday,30687,겨울
2020-01-20,non-holiday,22015,겨울
2020-01-21,non-holiday,23221,겨울
2020-01-22,non-holiday,21853,겨울
2020-01-23,non-holiday,29409,겨울
2020-01-24,holiday,56750,겨울
2020-01-25,holiday,81135,겨울
2020-01-26,holiday,62210,겨울
2020-01-27,holiday,34007,겨울
2020-01-28,non-holiday,20544,겨울
2020-01-29,non-holiday,19597,겨울
2020-01-30,non-holiday,19952,겨울
2020-01-31,non-holiday,22572,겨울
2020-02-01,holiday,26179,겨울
2020-02-02,holiday,25798,겨울
2020-02-03,non-holiday,18171,겨울
2020-02-04,non-holiday,17448,겨울
2020-02-05,non-holiday,16319,겨울
2020-02-06,non-holiday,17098,겨울
2020-02-07,non-holiday,18998,겨울
2020-02-08,holiday,25293,겨울
2020-02-09,holiday,24194,겨울
2020-02-10,non-holiday,18838,겨울
2020-02-11,non-holiday,20456,겨울
2020-02-12,non-holiday,17863,겨울
2020-02-13,non-holiday,21310,겨울
2020-02-14,non-holiday,24168,겨울
2020-02-15,holiday,31022,겨울
2020-02-16,holiday,27532,겨울
2020-02-17,non-holiday,18964,겨울
2020-02-18,non-holiday,19930,겨울
2020-02-19,non-holiday,20856,겨울
2020-02-20,non-holiday,22712,겨울
2020-02-21,non-holiday,24078,겨울
2020-02-22,holiday,26459,겨울
2020-02-23,holiday,22842,겨울
2020-02-24,non-holiday,18114,겨울
2020-02-25,non-holiday,13561,겨울
2020-02-26,non-holiday,13470,겨울
2020-02-27,non-holiday,16257,겨울
2020-02-28,non-holiday,17321,겨울
2020-02-29,holiday,21390,겨울
2020-03-01,holiday,16902,봄
2020-03-02,non-holiday,14264,봄
2020-03-03,non-holiday,15219,봄
2020-03-04,non-holiday,15511,봄
2020-03-05,non-holiday,16861,봄
2020-03-06,non-holiday,19038,봄
2020-03-07,holiday,25353,봄
2020-03-08,holiday,25801,봄
2020-03-09,non-holiday,17666,봄
2020-03-10,non-holiday,14861,봄
2020-03-11,non-holiday,18719,봄
2020-03-12,non-holiday,21036,봄
2020-03-13,non-holiday,23015,봄
2020-03-14,holiday,30965,봄
2020-03-15,holiday,26703,봄
2020-03-16,non-holiday,18111,봄
2020-03-17,non-holiday,20165,봄
2020-03-18,non-holiday,21654,봄
2020-03-19,non-holiday,18478,봄
2020-03-20,non-holiday,24895,봄
2020-03-21,holiday,35399,봄
2020-03-22,holiday,34158,봄
2020-03-23,non-holiday,23743,봄
2020-03-24,non-holiday,24364,봄
2020-03-25,non-holiday,24315,봄
2020-03-26,non-holiday,24587,봄
2020-03-27,non-holiday,21603,봄
2020-03-28,holiday,34298,봄
2020-03-29,holiday,33600,봄
2020-03-30,non-holiday,25584,봄
2020-03-31,non-holiday,25743,봄
2020-04-01,non-holiday,16588,봄
2020-04-02,non-holiday,20181,봄
2020-04-03,non-holiday,25081,봄
2020-04-04,holiday,32293,봄
2020-04-05,holiday,31611,봄
2020-04-06,non-holiday,19304,봄
2020-04-07,non-holiday,19778,봄
2020-04-08,non-holiday,18880,봄
2020-04-09,non-holiday,18809,봄
2020-04-10,non-holiday,22224,봄
2020-04-11,holiday,32488,봄
2020-04-12,holiday,24290,봄
2020-04-13,non-holiday,18704,봄
2020-04-14,non-holiday,22193,봄
2020-04-15,holiday,27715,봄
2020-04-16,non-holiday,21359,봄
2020-04-17,non-holiday,20856,봄
2020-04-18,holiday,29173,봄
2020-04-19,holiday,28418,봄
2020-04-20,non-holiday,19462,봄
2020-04-21,non-holiday,21388,봄
2020-04-22,non-holiday,21177,봄
2020-04-23,non-holiday,21972,봄
2020-04-24,non-holiday,25013,봄
2020-04-25,holiday,36059,봄
2020-04-26,holiday,33314,봄
2020-04-27,non-holiday,23002,봄
2020-04-28,non-holiday,25009,봄
2020-04-29,non-holiday,28581,봄
2020-04-30,holiday,54907,봄
2020-05-01,non-holiday,65089,봄
2020-05-02,holiday,66437,봄
2020-05-03,holiday,49784,봄
2020-05-04,non-holiday,30205,봄
2020-05-05,holiday,31299,봄
2020-05-06,non-holiday,20846,봄
2020-05-07,non-holiday,21884,봄
2020-05-08,non-holiday,26522,봄
2020-05-09,holiday,28627,봄
2020-05-10,holiday,35477,봄
2020-05-11,non-holiday,22295,봄
2020-05-12,non-holiday,23039,봄
2020-05-13,non-holiday,22783,봄
