날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,122815,겨울
2020-01-02,non-holiday,60208,겨울
2020-01-03,non-holiday,62983,겨울
2020-01-04,holiday,92736,겨울
2020-01-05,holiday,77065,겨울
2020-01-06,non-holiday,42479,겨울
2020-01-07,non-holiday,36948,겨울
2020-01-08,non-holiday,35755,겨울
2020-01-09,non-holiday,41619,겨울
2020-01-10,non-holiday,55549,겨울
2020-01-11,holiday,95453,겨울
2020-01-12,holiday,81808,겨울
2020-01-13,non-holiday,48004,겨울
2020-01-14,non-holiday,45625,겨울
2020-01-15,non-holiday,42434,겨울
2020-01-16,non-holiday,42703,겨울
2020-01-17,non-holiday,53142,겨울
2020-01-18,holiday,85835,겨울
2020-01-19,holiday,72598,겨울
2020-01-20,non-holiday,46081,겨울
2020-01-21,non-holiday,41782,겨울
2020-01-22,non-holiday,39614,겨울
2020-01-23,non-holiday,51747,겨울
2020-01-24,holiday,95960,겨울
2020-01-25,holiday,129870,겨울
2020-01-26,holiday,123843,겨울
2020-01-27,holiday,78670,겨울
2020-01-28,non-holiday,45311,겨울
2020-01-29,non-holiday,39672,겨울
2020-01-30,non-holiday,38499,겨울
2020-01-31,non-holiday,49423,겨울
2020-02-01,holiday,70810,겨울
2020-02-02,holiday,59753,겨울
2020-02-03,non-holiday,36924,겨울
2020-02-04,non-holiday,34012,겨울
2020-02-05,non-holiday,32032,겨울
2020-02-06,non-holiday,32322,겨울
2020-02-07,non-holiday,41552,겨울
2020-02-08,holiday,69141,겨울
2020-02-09,holiday,60678,겨울
2020-02-10,non-holiday,41294,겨울
2020-02-11,non-holiday,39004,겨울
2020-02-12,non-holiday,34523,겨울
2020-02-13,non-holiday,38692,겨울
2020-02-14,non-holiday,52056,겨울
2020-02-15,holiday,81680,겨울
2020-02-16,holiday,65513,겨울
2020-02-17,non-holiday,40348,겨울
2020-02-18,non-holiday,38020,겨울
2020-02-19,non-holiday,38099,겨울
2020-02-20,non-holiday,40402,겨울
2020-02-21,non-holiday,50480,겨울
2020-02-22,holiday,69577,겨울
2020-02-23,holiday,52773,겨울
2020-02-24,non-holiday,31838,겨울
2020-02-25,non-holiday,23607,겨울
2020-02-26,non-holiday,23663,겨울
2020-02-27,non-holiday,27566,겨울
2020-02-28,non-holiday,31499,겨울
2020-02-29,holiday,46803,겨울
2020-03-01,holiday,37582,봄
2020-03-02,non-holiday,24765,봄
2020-03-03,non-holiday,25339,봄
2020-03-04,non-holiday,24915,봄
2020-03-05,non-holiday,26892,봄
2020-03-06,non-holiday,34640,봄
2020-03-07,holiday,57189,봄
2020-03-08,holiday,52976,봄
2020-03-09,non-holiday,30877,봄
2020-03-10,non-holiday,25232,봄
2020-03-11,non-holiday,30721,봄
2020-03-12,non-holiday,32439,봄
2020-03-13,non-holiday,40235,봄
2020-03-14,holiday,68042,봄
2020-03-15,holiday,56771,봄
2020-03-16,non-holiday,35900,봄
2020-03-17,non-holiday,32468,봄
2020-03-18,non-holiday,34816,봄
2020-03-19,non-holiday,29686,봄
2020-03-20,non-holiday,42444,봄
2020-03-21,holiday,75692,봄
2020-03-22,holiday,66874,봄
2020-03-23,non-holiday,37214,봄
2020-03-24,non-holiday,34462,봄
2020-03-25,non-holiday,35370,봄
2020-03-26,non-holiday,33990,봄
2020-03-27,non-holiday,37416,봄
2020-03-28,holiday,69481,봄
2020-03-29,holiday,59901,봄
2020-03-30,non-holiday,37577,봄
2020-03-31,non-holiday,34644,봄
2020-04-01,non-holiday,27216,봄
2020-04-02,non-holiday,31756,봄
2020-04-03,non-holiday,41928,봄
2020-04-04,holiday,66872,봄
2020-04-05,holiday,56766,봄
2020-04-06,non-holiday,32536,봄
2020-04-07,non-holiday,29435,봄
2020-04-08,non-holiday,30499,봄
2020-04-09,non-holiday,30419,봄
2020-04-10,non-holiday,38461,봄
2020-04-11,holiday,66473,봄
2020-04-12,holiday,50431,봄
2020-04-13,non-holiday,35191,봄
2020-04-14,non-holiday,37448,봄
2020-04-15,holiday,44922,봄
2020-04-16,non-holiday,34570,봄
2020-04-17,non-holiday,37169,봄
2020-04-18,holiday,61838,봄
2020-04-19,holiday,53515,봄
2020-04-20,non-holiday,32113,봄
2020-04-21,non-holiday,32744,봄
2020-04-22,non-holiday,31410,봄
2020-04-23,non-holiday,33453,봄
2020-04-24,non-holiday,42428,봄
2020-04-25,holiday,70575,봄
2020-04-26,holiday,61407,봄
2020-04-27,non-holiday,39034,봄
2020-04-28,non-holiday,39529,봄
2020-04-29,non-holiday,48159,봄
2020-04-30,holiday,106211,봄
2020-05-01,non-holiday,131875,봄
2020-05-02,holiday,121756,봄
2020-05-03,holiday,97150,봄
2020-05-04,non-holiday,69925,봄
2020-05-05,holiday,58768,봄
2020-05-06,non-holiday,36011,봄
2020-05-07,non-holiday,36166,봄
2020-05-08,non-holiday,42233,봄
2020-05-09,holiday,54690,봄
2020-05-10,holiday,56133,봄
2020-05-11,non-holiday,37547,봄
2020-05-12,non-holiday,37580,봄
2020-05-13,non-holiday,37602,봄
2020-05-14,non-holiday,37624,봄
2020-05-15,non-holiday,41944,봄
2020-05-16,holiday,68843,봄
2020-05-17,holiday,65693,봄
2020-05-18,non-holiday,36697,봄
2020-05-19,non-holiday,30668,봄
2020-05-20,non-holiday,33453,봄
2020-05-21,non-holiday,39729,봄
2020-05-22,non-holiday,49935,봄
2020-05-23,holiday,85600,봄
2020-05-24,holiday,72113,봄
2020-05-25,non-holiday,44461,봄
2020-05-26,non-holiday,40925,봄
2020-05-27,non-holiday,41131,봄
2020-05-28,non-holiday,42982,봄
2020-05-29,non-holiday,55389,봄
2020-05-30,holiday,92410,봄
2020-05-31,holiday,79384,봄
2020-06-01,non-holiday,41230,여름
2020-06-02,non-holiday,36104,여름
2020-06-03,non-holiday,37047,여름
2020-06-04,non-holiday,40134,여름
2020-06-05,non-holiday,57463,여름
2020-06-06,holiday,107243,여름
2020-06-07,holiday,85917,여름
2020-06-08,non-holiday,44404,여름
2020-06-09,non-holiday,40177,여름
2020-06-10,non-holiday,38629,여름
2020-06-11,non-holiday,41103,여름
2020-06-12,non-holiday,56180,여름
