날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,121256,겨울
2020-01-02,non-holiday,31392,겨울
2020-01-03,non-holiday,31394,겨울
2020-01-04,holiday,54210,겨울
2020-01-05,holiday,47185,겨울
2020-01-06,non-holiday,21353,겨울
2020-01-07,non-holiday,19122,겨울
2020-01-08,non-holiday,18915,겨울
2020-01-09,non-holiday,24828,겨울
2020-01-10,non-holiday,29216,겨울
2020-01-11,holiday,52475,겨울
2020-01-12,holiday,61140,겨울
2020-01-13,non-holiday,25567,겨울
2020-01-14,non-holiday,27196,겨울
2020-01-15,non-holiday,22814,겨울
2020-01-16,non-holiday,23807,겨울
2020-01-17,non-holiday,27636,겨울
2020-01-18,holiday,43172,겨울
2020-01-19,holiday,52536,겨울
2020-01-20,non-holiday,23793,겨울
2020-01-21,non-holiday,21188,겨울
2020-01-22,non-holiday,20105,겨울
2020-01-23,non-holiday,26903,겨울
2020-01-24,holiday,55851,겨울
2020-01-25,holiday,79718,겨울
2020-01-26,holiday,88035,겨울
2020-01-27,holiday,44074,겨울
2020-01-28,non-holiday,22500,겨울
2020-01-29,non-holiday,21489,겨울
2020-01-30,non-holiday,20816,겨울
2020-01-31,non-holiday,26346,겨울
2020-02-01,holiday,41729,겨울
2020-02-02,holiday,36310,겨울
2020-02-03,non-holiday,19473,겨울
2020-02-04,non-holiday,20181,겨울
2020-02-05,non-holiday,16542,겨울
2020-02-06,non-holiday,17255,겨울
2020-02-07,non-holiday,22846,겨울
2020-02-08,holiday,39999,겨울
2020-02-09,holiday,41758,겨울
2020-02-10,non-holiday,22284,겨울
2020-02-11,non-holiday,21704,겨울
2020-02-12,non-holiday,18600,겨울
2020-02-13,non-holiday,21382,겨울
2020-02-14,non-holiday,31631,겨울
2020-02-15,holiday,44529,겨울
2020-02-16,holiday,47315,겨울
2020-02-17,non-holiday,20751,겨울
2020-02-18,non-holiday,20336,겨울
2020-02-19,non-holiday,23389,겨울
2020-02-20,non-holiday,23612,겨울
2020-02-21,non-holiday,28482,겨울
2020-02-22,holiday,41165,겨울
2020-02-23,holiday,35362,겨울
2020-02-24,non-holiday,21909,겨울
2020-02-25,non-holiday,15118,겨울
2020-02-26,non-holiday,14976,겨울
2020-02-27,non-holiday,20156,겨울
2020-02-28,non-holiday,23297,겨울
2020-02-29,holiday,38194,겨울
2020-03-01,holiday,33997,봄
2020-03-02,non-holiday,18970,봄
2020-03-03,non-holiday,16949,봄
2020-03-04,non-holiday,17442,봄
2020-03-05,non-holiday,18756,봄
2020-03-06,non-holiday,24088,봄
2020-03-07,holiday,40377,봄
2020-03-08,holiday,41485,봄
2020-03-09,non-holiday,21147,봄
2020-03-10,non-holiday,14542,봄
2020-03-11,non-holiday,20059,봄
2020-03-12,non-holiday,21595,봄
2020-03-13,non-holiday,26477,봄
2020-03-14,holiday,49493,봄
2020-03-15,holiday,43402,봄
2020-03-16,non-holiday,21866,봄
2020-03-17,non-holiday,21019,봄
2020-03-18,non-holiday,23976,봄
2020-03-19,non-holiday,19486,봄
2020-03-20,non-holiday,27854,봄
2020-03-21,holiday,53805,봄
2020-03-22,holiday,52537,봄
2020-03-23,non-holiday,24720,봄
2020-03-24,non-holiday,26955,봄
2020-03-25,non-holiday,24582,봄
2020-03-26,non-holiday,23984,봄
2020-03-27,non-holiday,24021,봄
2020-03-28,holiday,48966,봄
2020-03-29,holiday,48105,봄
2020-03-30,non-holiday,26004,봄
2020-03-31,non-holiday,24123,봄
2020-04-01,non-holiday,17511,봄
2020-04-02,non-holiday,22116,봄
2020-04-03,non-holiday,28494,봄
2020-04-04,holiday,47194,봄
2020-04-05,holiday,44158,봄
2020-04-06,non-holiday,20746,봄
2020-04-07,non-holiday,19889,봄
2020-04-08,non-holiday,19424,봄
2020-04-09,non-holiday,21330,봄
2020-04-10,non-holiday,26231,봄
2020-04-11,holiday,48096,봄
2020-04-12,holiday,36091,봄
2020-04-13,non-holiday,22876,봄
2020-04-14,non-holiday,26491,봄
2020-04-15,holiday,32741,봄
2020-04-16,non-holiday,23810,봄
2020-04-17,non-holiday,23849,봄
2020-04-18,holiday,43397,봄
2020-04-19,holiday,42395,봄
2020-04-20,non-holiday,21797,봄
2020-04-21,non-holiday,21923,봄
2020-04-22,non-holiday,21458,봄
2020-04-23,non-holiday,22674,봄
2020-04-24,non-holiday,32051,봄
2020-04-25,holiday,49029,봄
2020-04-26,holiday,45019,봄
2020-04-27,non-holiday,26015,봄
2020-04-28,non-holiday,27553,봄
2020-04-29,non-holiday,36907,봄
2020-04-30,holiday,78625,봄
2020-05-01,non-holiday,111451,봄
2020-05-02,holiday,111137,봄
2020-05-03,holiday,76753,봄
2020-05-04,non-holiday,48792,봄
2020-05-05,holiday,40267,봄
2020-05-06,non-holiday,23404,봄
2020-05-07,non-holiday,23112,봄
2020-05-08,non-holiday,27281,봄
2020-05-09,holiday,36445,봄
2020-05-10,holiday,42439,봄
2020-05-11,non-holiday,24688,봄
2020-05-12,non-holiday,25073,봄
2020-05-13,non-holiday,25385,봄
2020-05-14,non-holiday,29436,봄
2020-05-15,non-holiday,25514,봄
2020-05-16,holiday,45755,봄
2020-05-17,holiday,48837,봄
2020-05-18,non-holiday,21933,봄
2020-05-19,non-holiday,17988,봄
2020-05-20,non-holiday,19791,봄
2020-05-21,non-holiday,25402,봄
2020-05-22,non-holiday,34061,봄
2020-05-23,holiday,63206,봄
2020-05-24,holiday,63448,봄
2020-05-25,non-holiday,29010,봄
2020-05-26,non-holiday,26250,봄
2020-05-27,non-holiday,27967,봄
2020-05-28,non-holiday,28558,봄
2020-05-29,non-holiday,41546,봄
2020-05-30,holiday,71026,봄
2020-05-31,holiday,63763,봄
2020-06-01,non-holiday,27389,여름
2020-06-02,non-holiday,24340,여름
2020-06-03,non-holiday,25956,여름
2020-06-04,non-holiday,30400,여름
2020-06-05,non-holiday,39158,여름
2020-06-06,holiday,84442,여름
2020-06-07,holiday,71747,여름
2020-06-08,non-holiday,30862,여름
2020-06-09,non-holiday,30806,여름
2020-06-10,non-holiday,27135,여름
2020-06-11,non-holiday,28362,여름
2020-06-12,non-holiday,38814,여름
2020-06-13,holiday,69070,여름
2020-06-14,holiday,71454,여름
2020-06-15,non-holiday,33193,여름
2020-06-16,non-holiday,31133,여름
2020-06-17,non-holiday,31133,여름
2020-06-18,non-holiday,32169,여름
2020-06-19,non-holiday,42694,여름
2020-06-20,holiday,82065,여름
2020-06-21,holiday,77703,여름
2020-06-22,non-holiday,37890,여름
2020-06-23,non-holiday,35293,여름
2020-06-24,non-holiday,28584,여름
2020-06-25,non-holiday,28139,여름
2020-06-26,non-holiday,45259,여름
2020-06-27,holiday,84156,여름
2020-06-28,holiday,78586,여름
2020-06-29,non-holiday,38227,여름
2020-06-30,non-holiday,23488,여름
2020-07-01,non-holiday,28129,여름
2020-07-02,non-holiday,36648,여름
2020-07-03,non-holiday,49731,여름
2020-07-04,holiday,90036,여름
2020-07-05,holiday,80329,여름
2020-07-06,non-holiday,42197,여름
2020-07-07,non-holiday,39076,여름
2020-07-08,non-holiday,43201,여름
2020-07-09,non-holiday,45227,여름
2020-07-10,non-holiday,43882,여름
2020-07-11,holiday,78046,여름
2020-07-12,holiday,92064,여름
2020-07-13,non-holiday,33640,여름
2020-07-14,non-holiday,33528,여름
2020-07-15,non-holiday,47888,여름
2020-07-16,non-holiday,49399,여름
2020-07-17,holiday,62958,여름
2020-07-18,holiday,98290,여름
2020-07-19,holiday,88537,여름
2020-07-20,non-holiday,39144,여름
2020-07-21,non-holiday,44587,여름
2020-07-22,non-holiday,43918,여름
2020-07-23,non-holiday,39251,여름
2020-07-24,non-holiday,41680,여름
2020-07-25,holiday,58942,여름
2020-07-26,holiday,69965,여름
2020-07-27,non-holiday,46434,여름
2020-07-28,non-holiday,43322,여름
2020-07-29,non-holiday,49398,여름
2020-07-30,non-holiday,59397,여름
2020-07-31,non-holiday,85595,여름
2020-08-01,holiday,116204,여름
2020-08-02,holiday,116604,여름
2020-08-03,non-holiday,79680,여름
2020-08-04,non-holiday,76980,여름
2020-08-05,non-holiday,55283,여름
2020-08-06,non-holiday,47727,여름
2020-08-07,non-holiday,62811,여름
2020-08-08,holiday,80684,여름
2020-08-09,holiday,77268,여름
2020-08-10,non-holiday,48895,여름
2020-08-11,non-holiday,49917,여름
2020-08-12,non-holiday,57678,여름
2020-08-13,non-holiday,67502,여름
2020-08-14,non-holiday,90429,여름
2020-08-15,holiday,127804,여름
2020-08-16,holiday,169705,여름
2020-08-17,holiday,110497,여름
2020-08-18,non-holiday,71684,여름
2020-08-19,non-holiday,63955,여름
2020-08-20,non-holiday,58598,여름
2020-08-21,non-holiday,63505,여름
2020-08-22,holiday,81768,여름
2020-08-23,holiday,83202,여름
2020-08-24,non-holiday,53818,여름
2020-08-25,non-holiday,48920,여름
2020-08-26,non-holiday,37412,여름
2020-08-27,non-holiday,33209,여름
2020-08-28,non-holiday,45039,여름
