날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,15659,겨울
2020-01-02,non-holiday,10157,겨울
2020-01-03,non-holiday,11025,겨울
2020-01-04,holiday,17986,겨울
2020-01-05,holiday,17117,겨울
2020-01-06,non-holiday,9665,겨울
2020-01-07,non-holiday,9480,겨울
2020-01-08,non-holiday,9384,겨울
2020-01-09,non-holiday,10869,겨울
2020-01-10,non-holiday,11744,겨울
2020-01-11,holiday,18903,겨울
2020-01-12,holiday,21867,겨울
2020-01-13,non-holiday,10691,겨울
2020-01-14,non-holiday,11262,겨울
2020-01-15,non-holiday,11033,겨울
2020-01-16,non-holiday,11275,겨울
2020-01-17,non-holiday,12232,겨울
2020-01-18,holiday,18514,겨울
2020-01-19,holiday,19093,겨울
2020-01-20,non-holiday,10643,겨울
2020-01-21,non-holiday,10711,겨울
2020-01-22,non-holiday,10458,겨울
2020-01-23,non-holiday,15530,겨울
2020-01-24,holiday,34420,겨울
2020-01-25,holiday,48986,겨울
2020-01-26,holiday,35827,겨울
2020-01-27,holiday,18027,겨울
2020-01-28,non-holiday,11122,겨울
2020-01-29,non-holiday,11231,겨울
2020-01-30,non-holiday,11132,겨울
2020-01-31,non-holiday,11659,겨울
2020-02-01,holiday,15804,겨울
2020-02-02,holiday,15430,겨울
2020-02-03,non-holiday,8497,겨울
2020-02-04,non-holiday,9040,겨울
2020-02-05,non-holiday,8282,겨울
2020-02-06,non-holiday,8708,겨울
2020-02-07,non-holiday,10129,겨울
2020-02-08,holiday,16757,겨울
2020-02-09,holiday,15703,겨울
2020-02-10,non-holiday,9662,겨울
2020-02-11,non-holiday,10211,겨울
2020-02-12,non-holiday,9369,겨울
2020-02-13,non-holiday,9878,겨울
2020-02-14,non-holiday,12399,겨울
2020-02-15,holiday,16750,겨울
2020-02-16,holiday,13283,겨울
2020-02-17,non-holiday,8091,겨울
2020-02-18,non-holiday,9984,겨울
2020-02-19,non-holiday,10246,겨울
2020-02-20,non-holiday,10883,겨울
2020-02-21,non-holiday,11357,겨울
2020-02-22,holiday,14176,겨울
2020-02-23,holiday,13340,겨울
2020-02-24,non-holiday,9778,겨울
2020-02-25,non-holiday,7557,겨울
2020-02-26,non-holiday,9303,겨울
2020-02-27,non-holiday,9994,겨울
2020-02-28,non-holiday,9651,겨울
2020-02-29,holiday,13285,겨울
2020-03-01,holiday,10836,봄
2020-03-02,non-holiday,8106,봄
2020-03-03,non-holiday,8545,봄
2020-03-04,non-holiday,7745,봄
2020-03-05,non-holiday,8578,봄
2020-03-06,non-holiday,10033,봄
2020-03-07,holiday,13950,봄
2020-03-08,holiday,13532,봄
2020-03-09,non-holiday,8963,봄
2020-03-10,non-holiday,7454,봄
2020-03-11,non-holiday,9336,봄
2020-03-12,non-holiday,10109,봄
2020-03-13,non-holiday,10893,봄
2020-03-14,holiday,15933,봄
2020-03-15,holiday,12873,봄
2020-03-16,non-holiday,9681,봄
2020-03-17,non-holiday,9277,봄
2020-03-18,non-holiday,10138,봄
2020-03-19,non-holiday,8941,봄
2020-03-20,non-holiday,12369,봄
2020-03-21,holiday,17308,봄
2020-03-22,holiday,16383,봄
2020-03-23,non-holiday,10974,봄
2020-03-24,non-holiday,11285,봄
2020-03-25,non-holiday,11595,봄
2020-03-26,non-holiday,11126,봄
2020-03-27,non-holiday,11404,봄
2020-03-28,holiday,17676,봄
2020-03-29,holiday,17432,봄
2020-03-30,non-holiday,11158,봄
2020-03-31,non-holiday,11065,봄
2020-04-01,non-holiday,8353,봄
2020-04-02,non-holiday,9067,봄
2020-04-03,non-holiday,11419,봄
2020-04-04,holiday,18390,봄
2020-04-05,holiday,16928,봄
2020-04-06,non-holiday,9318,봄
2020-04-07,non-holiday,9450,봄
2020-04-08,non-holiday,9384,봄
2020-04-09,non-holiday,9474,봄
2020-04-10,non-holiday,10580,봄
2020-04-11,holiday,15965,봄
2020-04-12,holiday,14176,봄
2020-04-13,non-holiday,9435,봄
2020-04-14,non-holiday,10813,봄
2020-04-15,holiday,12505,봄
2020-04-16,non-holiday,10790,봄
2020-04-17,non-holiday,10228,봄
2020-04-18,holiday,17504,봄
2020-04-19,holiday,15942,봄
2020-04-20,non-holiday,8915,봄
2020-04-21,non-holiday,10000,봄
2020-04-22,non-holiday,10237,봄
2020-04-23,non-holiday,10554,봄
2020-04-24,non-holiday,13222,봄
2020-04-25,holiday,20445,봄
2020-04-26,holiday,19510,봄
2020-04-27,non-holiday,10821,봄
2020-04-28,non-holiday,11563,봄
2020-04-29,non-holiday,15004,봄
2020-04-30,holiday,35208,봄
2020-05-01,non-holiday,42700,봄
2020-05-02,holiday,45854,봄
2020-05-03,holiday,34461,봄
2020-05-04,non-holiday,21241,봄
2020-05-05,holiday,18275,봄
2020-05-06,non-holiday,11091,봄
2020-05-07,non-holiday,11718,봄
2020-05-08,non-holiday,14736,봄
2020-05-09,holiday,17281,봄
2020-05-10,holiday,18377,봄
2020-05-11,non-holiday,11615,봄
2020-05-12,non-holiday,11937,봄
2020-05-13,non-holiday,12055,봄
2020-05-14,non-holiday,13137,봄
2020-05-15,non-holiday,12081,봄
2020-05-16,holiday,21186,봄
2020-05-17,holiday,22495,봄
2020-05-18,non-holiday,10899,봄
2020-05-19,non-holiday,10323,봄
2020-05-20,non-holiday,11945,봄
2020-05-21,non-holiday,13553,봄
2020-05-22,non-holiday,15719,봄
2020-05-23,holiday,26012,봄
2020-05-24,holiday,23006,봄
2020-05-25,non-holiday,12531,봄
2020-05-26,non-holiday,13513,봄
2020-05-27,non-holiday,13354,봄
2020-05-28,non-holiday,13881,봄
2020-05-29,non-holiday,17748,봄
2020-05-30,holiday,29356,봄
2020-05-31,holiday,27214,봄
2020-06-01,non-holiday,11787,여름
2020-06-02,non-holiday,11320,여름
2020-06-03,non-holiday,11721,여름
2020-06-04,non-holiday,13990,여름
2020-06-05,non-holiday,19488,여름
2020-06-06,holiday,35399,여름
2020-06-07,holiday,31412,여름
2020-06-08,non-holiday,12809,여름
2020-06-09,non-holiday,13292,여름
2020-06-10,non-holiday,12844,여름
2020-06-11,non-holiday,13019,여름
2020-06-12,non-holiday,17315,여름
2020-06-13,holiday,30032,여름
2020-06-14,holiday,26893,여름
2020-06-15,non-holiday,13615,여름
2020-06-16,non-holiday,14035,여름
2020-06-17,non-holiday,14539,여름
2020-06-18,non-holiday,14584,여름
2020-06-19,non-holiday,19518,여름
2020-06-20,holiday,35001,여름
2020-06-21,holiday,33216,여름
2020-06-22,non-holiday,15811,여름
2020-06-23,non-holiday,15717,여름
2020-06-24,non-holiday,13463,여름
2020-06-25,non-holiday,13672,여름
2020-06-26,non-holiday,19288,여름
2020-06-27,holiday,35119,여름
2020-06-28,holiday,34198,여름
2020-06-29,non-holiday,15480,여름
2020-06-30,non-holiday,12554,여름
2020-07-01,non-holiday,11692,여름
2020-07-02,non-holiday,13742,여름
2020-07-03,non-holiday,19348,여름
2020-07-04,holiday,37294,여름
2020-07-05,holiday,35012,여름
2020-07-06,non-holiday,13903,여름
2020-07-07,non-holiday,13875,여름
2020-07-08,non-holiday,13737,여름
2020-07-09,non-holiday,13999,여름
2020-07-10,non-holiday,18642,여름
2020-07-11,holiday,36327,여름
2020-07-12,holiday,34711,여름
2020-07-13,non-holiday,12346,여름
2020-07-14,non-holiday,13463,여름
2020-07-15,non-holiday,15078,여름
2020-07-16,non-holiday,16650,여름
2020-07-17,holiday,23055,여름
2020-07-18,holiday,41302,여름
2020-07-19,holiday,35064,여름
2020-07-20,non-holiday,13857,여름
2020-07-21,non-holiday,16115,여름
2020-07-22,non-holiday,15486,여름
2020-07-23,non-holiday,14483,여름
2020-07-24,non-holiday,19044,여름
2020-07-25,holiday,33967,여름
2020-07-26,holiday,35172,여름
2020-07-27,non-holiday,19463,여름
2020-07-28,non-holiday,17535,여름
2020-07-29,non-holiday,17541,여름
2020-07-30,non-holiday,21434,여름
2020-07-31,non-holiday,33267,여름
2020-08-01,holiday,54987,여름
2020-08-02,holiday,46111,여름
2020-08-03,non-holiday,25596,여름
2020-08-04,non-holiday,21798,여름
2020-08-05,non-holiday,16715,여름
2020-08-06,non-holiday,15191,여름
2020-08-07,non-holiday,19279,여름
2020-08-08,holiday,25892,여름
2020-08-09,holiday,22900,여름
2020-08-10,non-holiday,14082,여름
2020-08-11,non-holiday,13778,여름
2020-08-12,non-holiday,16393,여름
2020-08-13,non-holiday,20189,여름
2020-08-14,non-holiday,28354,여름
2020-08-15,holiday,45433,여름
2020-08-16,holiday,55854,여름
2020-08-17,holiday,37614,여름
2020-08-18,non-holiday,23201,여름
2020-08-19,non-holiday,21671,여름
2020-08-20,non-holiday,20781,여름
2020-08-21,non-holiday,25891,여름
2020-08-22,holiday,36118,여름
2020-08-23,holiday,35805,여름
2020-08-24,non-holiday,19347,여름
2020-08-25,non-holiday,17507,여름
2020-08-26,non-holiday,14435,여름
2020-08-27,non-holiday,11970,여름
2020-08-28,non-holiday,17470,여름
2020-08-29,holiday,28016,여름
2020-08-30,holiday,25197,여름
2020-08-31,non-holiday,14281,여름
2020-09-01,non-holiday,12780,가을
2020-09-02,non-holiday,9877,가을
2020-09-03,non-holiday,8861,가을
2020-09-04,non-holiday,15740,가을
2020-09-05,holiday,25953,가을
2020-09-06,holiday,21204,가을
2020-09-07,non-holiday,7060,가을
2020-09-08,non-holiday,10498,가을
2020-09-09,non-holiday,11893,가을
2020-09-10,non-holiday,12873,가을
2020-09-11,non-holiday,16802,가을
2020-09-12,holiday,25901,가을
2020-09-13,holiday,28483,가을
2020-09-14,non-holiday,14474,가을
2020-09-15,non-holiday,13564,가을
2020-09-16,non-holiday,12645,가을
2020-09-17,non-holiday,13155,가을
2020-09-18,non-holiday,17227,가을
2020-09-19,holiday,30757,가을
