날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,82560,겨울
2020-01-02,non-holiday,62767,겨울
2020-01-03,non-holiday,76987,겨울
2020-01-04,holiday,95547,겨울
2020-01-05,holiday,93446,겨울
2020-01-06,non-holiday,66387,겨울
2020-01-07,non-holiday,72578,겨울
2020-01-08,non-holiday,73156,겨울
2020-01-09,non-holiday,79489,겨울
2020-01-10,non-holiday,88932,겨울
2020-01-11,holiday,115905,겨울
2020-01-12,holiday,104493,겨울
2020-01-13,non-holiday,81328,겨울
2020-01-14,non-holiday,81546,겨울
2020-01-15,non-holiday,78378,겨울
2020-01-16,non-holiday,80904,겨울
2020-01-17,non-holiday,89857,겨울
2020-01-18,holiday,120385,겨울
2020-01-19,holiday,97330,겨울
2020-01-20,non-holiday,83226,겨울
2020-01-21,non-holiday,80166,겨울
2020-01-22,non-holiday,86011,겨울
2020-01-23,non-holiday,117525,겨울
2020-01-24,holiday,161506,겨울
2020-01-25,holiday,199482,겨울
2020-01-26,holiday,169901,겨울
2020-01-27,holiday,115181,겨울
2020-01-28,non-holiday,82924,겨울
2020-01-29,non-holiday,80541,겨울
2020-01-30,non-holiday,79479,겨울
2020-01-31,non-holiday,85774,겨울
2020-02-01,holiday,83611,겨울
2020-02-02,holiday,75022,겨울
2020-02-03,non-holiday,51100,겨울
2020-02-04,non-holiday,52563,겨울
2020-02-05,non-holiday,49133,겨울
2020-02-06,non-holiday,52312,겨울
2020-02-07,non-holiday,63822,겨울
2020-02-08,holiday,84532,겨울
2020-02-09,holiday,72866,겨울
2020-02-10,non-holiday,55817,겨울
2020-02-11,non-holiday,57127,겨울
2020-02-12,non-holiday,56068,겨울
2020-02-13,non-holiday,58443,겨울
2020-02-14,non-holiday,70516,겨울
2020-02-15,holiday,99609,겨울
2020-02-16,holiday,72812,겨울
2020-02-17,non-holiday,54171,겨울
2020-02-18,non-holiday,59243,겨울
2020-02-19,non-holiday,61504,겨울
2020-02-20,non-holiday,61757,겨울
2020-02-21,non-holiday,70290,겨울
2020-02-22,holiday,78364,겨울
2020-02-23,holiday,67867,겨울
2020-02-24,non-holiday,55023,겨울
2020-02-25,non-holiday,50976,겨울
2020-02-26,non-holiday,53839,겨울
2020-02-27,non-holiday,57697,겨울
2020-02-28,non-holiday,57231,겨울
2020-02-29,holiday,63869,겨울
2020-03-01,holiday,45400,봄
2020-03-02,non-holiday,39442,봄
2020-03-03,non-holiday,38233,봄
2020-03-04,non-holiday,37684,봄
2020-03-05,non-holiday,41519,봄
2020-03-06,non-holiday,46179,봄
2020-03-07,holiday,55157,봄
2020-03-08,holiday,52109,봄
