날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,33440,겨울
2020-01-02,non-holiday,22719,겨울
2020-01-03,non-holiday,24125,겨울
2020-01-04,holiday,35051,겨울
2020-01-05,holiday,34173,겨울
2020-01-06,non-holiday,19942,겨울
2020-01-07,non-holiday,22658,겨울
2020-01-08,non-holiday,20971,겨울
2020-01-09,non-holiday,23093,겨울
2020-01-10,non-holiday,25315,겨울
2020-01-11,holiday,42217,겨울
2020-01-12,holiday,46813,겨울
2020-01-13,non-holiday,24110,겨울
2020-01-14,non-holiday,24007,겨울
2020-01-15,non-holiday,23499,겨울
2020-01-16,non-holiday,23120,겨울
2020-01-17,non-holiday,28116,겨울
2020-01-18,holiday,40702,겨울
2020-01-19,holiday,40075,겨울
2020-01-20,non-holiday,21820,겨울
2020-01-21,non-holiday,20952,겨울
2020-01-22,non-holiday,20611,겨울
2020-01-23,non-holiday,24848,겨울
2020-01-24,holiday,46454,겨울
2020-01-25,holiday,62268,겨울
2020-01-26,holiday,57042,겨울
2020-01-27,holiday,36392,겨울
2020-01-28,non-holiday,22295,겨울
2020-01-29,non-holiday,20767,겨울
2020-01-30,non-holiday,20490,겨울
2020-01-31,non-holiday,23401,겨울
2020-02-01,holiday,30976,겨울
2020-02-02,holiday,31264,겨울
2020-02-03,non-holiday,15177,겨울
2020-02-04,non-holiday,15133,겨울
2020-02-05,non-holiday,14410,겨울
2020-02-06,non-holiday,15531,겨울
2020-02-07,non-holiday,18490,겨울
2020-02-08,holiday,29620,겨울
2020-02-09,holiday,28712,겨울
2020-02-10,non-holiday,18508,겨울
2020-02-11,non-holiday,18505,겨울
2020-02-12,non-holiday,17999,겨울
2020-02-13,non-holiday,17681,겨울
2020-02-14,non-holiday,21129,겨울
2020-02-15,holiday,31131,겨울
2020-02-16,holiday,27627,겨울
2020-02-17,non-holiday,16394,겨울
2020-02-18,non-holiday,17020,겨울
2020-02-19,non-holiday,17048,겨울
2020-02-20,non-holiday,17129,겨울
2020-02-21,non-holiday,18465,겨울
2020-02-22,holiday,24600,겨울
2020-02-23,holiday,20748,겨울
2020-02-24,non-holiday,11469,겨울
2020-02-25,non-holiday,8233,겨울
2020-02-26,non-holiday,9535,겨울
2020-02-27,non-holiday,10821,겨울
2020-02-28,non-holiday,11178,겨울
2020-02-29,holiday,15505,겨울
2020-03-01,holiday,12979,봄
