날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,13414,겨울
2020-01-02,non-holiday,9062,겨울
2020-01-03,non-holiday,10697,겨울
2020-01-04,holiday,13735,겨울
2020-01-05,holiday,13895,겨울
2020-01-06,non-holiday,9958,겨울
2020-01-07,non-holiday,8234,겨울
2020-01-08,non-holiday,10528,겨울
2020-01-09,non-holiday,10015,겨울
2020-01-10,non-holiday,11322,겨울
2020-01-11,holiday,16350,겨울
2020-01-12,holiday,16866,겨울
2020-01-13,non-holiday,8086,겨울
2020-01-14,non-holiday,10687,겨울
2020-01-15,non-holiday,9607,겨울
2020-01-16,non-holiday,10958,겨울
2020-01-17,non-holiday,11806,겨울
2020-01-18,holiday,20494,겨울
2020-01-19,holiday,20582,겨울
2020-01-20,non-holiday,11666,겨울
2020-01-21,non-holiday,14017,겨울
2020-01-22,non-holiday,14341,겨울
2020-01-23,non-holiday,15760,겨울
2020-01-24,holiday,34772,겨울
2020-01-25,holiday,52527,겨울
2020-01-26,holiday,35735,겨울
2020-01-27,holiday,18775,겨울
2020-01-28,non-holiday,12135,겨울
2020-01-29,non-holiday,11492,겨울
2020-01-30,non-holiday,11714,겨울
2020-01-31,non-holiday,11799,겨울
2020-02-01,holiday,12231,겨울
2020-02-02,holiday,12372,겨울
2020-02-03,non-holiday,9822,겨울
2020-02-04,non-holiday,9801,겨울
2020-02-05,non-holiday,8464,겨울
2020-02-06,non-holiday,8836,겨울
2020-02-07,non-holiday,9782,겨울
2020-02-08,holiday,13101,겨울
2020-02-09,holiday,13357,겨울
2020-02-10,non-holiday,9446,겨울
2020-02-11,non-holiday,9884,겨울
2020-02-12,non-holiday,9154,겨울
2020-02-13,non-holiday,9955,겨울
2020-02-14,non-holiday,11648,겨울
2020-02-15,holiday,14641,겨울
2020-02-16,holiday,12817,겨울
2020-02-17,non-holiday,10134,겨울
2020-02-18,non-holiday,10541,겨울
2020-02-19,non-holiday,10294,겨울
2020-02-20,non-holiday,10749,겨울
2020-02-21,non-holiday,11271,겨울
2020-02-22,holiday,12951,겨울
2020-02-23,holiday,13356,겨울
2020-02-24,non-holiday,10143,겨울
2020-02-25,non-holiday,9935,겨울
2020-02-26,non-holiday,10974,겨울
2020-02-27,non-holiday,11242,겨울
2020-02-28,non-holiday,11428,겨울
2020-02-29,holiday,15541,겨울
2020-03-01,holiday,12506,봄
2020-03-02,non-holiday,9579,봄
2020-03-03,non-holiday,9793,봄
2020-03-04,non-holiday,9898,봄
2020-03-05,non-holiday,10411,봄
2020-03-06,non-holiday,11346,봄
2020-03-07,holiday,15357,봄
2020-03-08,holiday,16704,봄
2020-03-09,non-holiday,12623,봄
2020-03-10,non-holiday,10433,봄
2020-03-11,non-holiday,12063,봄
2020-03-12,non-holiday,12163,봄
2020-03-13,non-holiday,13339,봄
2020-03-14,holiday,18119,봄
2020-03-15,holiday,16705,봄
2020-03-16,non-holiday,12207,봄
2020-03-17,non-holiday,12541,봄
2020-03-18,non-holiday,13367,봄
2020-03-19,non-holiday,12407,봄
2020-03-20,non-holiday,14726,봄
2020-03-21,holiday,20298,봄
2020-03-22,holiday,20894,봄
2020-03-23,non-holiday,14196,봄
2020-03-24,non-holiday,14802,봄
2020-03-25,non-holiday,14627,봄
2020-03-26,non-holiday,14698,봄
2020-03-27,non-holiday,15078,봄
2020-03-28,holiday,21539,봄
2020-03-29,holiday,21582,봄
2020-03-30,non-holiday,15795,봄
2020-03-31,non-holiday,14787,봄
2020-04-01,non-holiday,8448,봄
2020-04-02,non-holiday,9138,봄
2020-04-03,non-holiday,9881,봄
2020-04-04,holiday,14298,봄
2020-04-05,holiday,14689,봄
2020-04-06,non-holiday,9467,봄
2020-04-07,non-holiday,9699,봄
2020-04-08,non-holiday,9572,봄
2020-04-09,non-holiday,9583,봄
2020-04-10,non-holiday,10687,봄
2020-04-11,holiday,16537,봄
2020-04-12,holiday,15107,봄
2020-04-13,non-holiday,10259,봄
2020-04-14,non-holiday,11194,봄
2020-04-15,holiday,14564,봄
2020-04-16,non-holiday,11443,봄
2020-04-17,non-holiday,10594,봄
2020-04-18,holiday,18128,봄
2020-04-19,holiday,15631,봄
2020-04-20,non-holiday,10581,봄
2020-04-21,non-holiday,10969,봄
2020-04-22,non-holiday,11279,봄
2020-04-23,non-holiday,12810,봄
2020-04-24,non-holiday,13528,봄
2020-04-25,holiday,19969,봄
2020-04-26,holiday,20472,봄
2020-04-27,non-holiday,12620,봄
2020-04-28,non-holiday,13374,봄
2020-04-29,non-holiday,14764,봄
2020-04-30,holiday,25599,봄
2020-05-01,non-holiday,23585,봄
2020-05-02,holiday,26370,봄
2020-05-03,holiday,24300,봄
2020-05-04,non-holiday,16417,봄
2020-05-05,holiday,19508,봄
2020-05-06,non-holiday,12320,봄
2020-05-07,non-holiday,12724,봄
2020-05-08,non-holiday,15301,봄
2020-05-09,holiday,16943,봄
2020-05-10,holiday,19823,봄
2020-05-11,non-holiday,13484,봄
2020-05-12,non-holiday,12449,봄
2020-05-13,non-holiday,12523,봄
2020-05-14,non-holiday,13851,봄
2020-05-15,non-holiday,12621,봄
2020-05-16,holiday,19302,봄
2020-05-17,holiday,21098,봄
2020-05-18,non-holiday,11845,봄
2020-05-19,non-holiday,12683,봄
2020-05-20,non-holiday,14218,봄
2020-05-21,non-holiday,15273,봄
2020-05-22,non-holiday,15673,봄
2020-05-23,holiday,22432,봄
2020-05-24,holiday,19862,봄
2020-05-25,non-holiday,14810,봄
2020-05-26,non-holiday,15387,봄
2020-05-27,non-holiday,15057,봄
2020-05-28,non-holiday,15405,봄
2020-05-29,non-holiday,16913,봄
2020-05-30,holiday,24621,봄
2020-05-31,holiday,23336,봄
2020-06-01,non-holiday,11995,여름
2020-06-02,non-holiday,10669,여름
2020-06-03,non-holiday,11937,여름
2020-06-04,non-holiday,12600,여름
2020-06-05,non-holiday,15300,여름
2020-06-06,holiday,23822,여름
2020-06-07,holiday,21386,여름
2020-06-08,non-holiday,13584,여름
2020-06-09,non-holiday,13863,여름
2020-06-10,non-holiday,13461,여름
2020-06-11,non-holiday,13772,여름
2020-06-12,non-holiday,15449,여름
2020-06-13,holiday,22032,여름
2020-06-14,holiday,22345,여름
2020-06-15,non-holiday,15448,여름
2020-06-16,non-holiday,15251,여름
2020-06-17,non-holiday,14975,여름
2020-06-18,non-holiday,15435,여름
2020-06-19,non-holiday,17279,여름
2020-06-20,holiday,27542,여름
2020-06-21,holiday,25966,여름
2020-06-22,non-holiday,15907,여름
2020-06-23,non-holiday,16107,여름
2020-06-24,non-holiday,13957,여름
2020-06-25,non-holiday,15954,여름
2020-06-26,non-holiday,17200,여름
2020-06-27,holiday,25923,여름
2020-06-28,holiday,26270,여름
2020-06-29,non-holiday,15425,여름
2020-06-30,non-holiday,14855,여름
2020-07-01,non-holiday,12305,여름
2020-07-02,non-holiday,13578,여름
2020-07-03,non-holiday,15618,여름
2020-07-04,holiday,25859,여름
2020-07-05,holiday,25093,여름
2020-07-06,non-holiday,14439,여름
2020-07-07,non-holiday,13420,여름
2020-07-08,non-holiday,13916,여름
2020-07-09,non-holiday,15177,여름
2020-07-10,non-holiday,16451,여름
2020-07-11,holiday,29403,여름
2020-07-12,holiday,28991,여름
2020-07-13,non-holiday,14127,여름
2020-07-14,non-holiday,13871,여름
2020-07-15,non-holiday,15965,여름
2020-07-16,non-holiday,17573,여름
2020-07-17,holiday,19435,여름
2020-07-18,holiday,30839,여름
2020-07-19,holiday,23702,여름
2020-07-20,non-holiday,15006,여름
2020-07-21,non-holiday,16857,여름
2020-07-22,non-holiday,16492,여름
2020-07-23,non-holiday,16546,여름
2020-07-24,non-holiday,17645,여름
2020-07-25,holiday,30274,여름
2020-07-26,holiday,32878,여름
2020-07-27,non-holiday,17564,여름
2020-07-28,non-holiday,18415,여름
2020-07-29,non-holiday,17606,여름
2020-07-30,non-holiday,19119,여름
2020-07-31,non-holiday,23450,여름
2020-08-01,holiday,24744,여름
2020-08-02,holiday,23265,여름
2020-08-03,non-holiday,13139,여름
2020-08-04,non-holiday,10351,여름
2020-08-05,non-holiday,9449,여름
2020-08-06,non-holiday,10388,여름
2020-08-07,non-holiday,13046,여름
2020-08-08,holiday,18526,여름
2020-08-09,holiday,13364,여름
2020-08-10,non-holiday,11772,여름
2020-08-11,non-holiday,12468,여름
2020-08-12,non-holiday,14520,여름
2020-08-13,non-holiday,15742,여름
2020-08-14,non-holiday,15522,여름
2020-08-15,holiday,24634,여름
2020-08-16,holiday,28612,여름
2020-08-17,holiday,21290,여름
2020-08-18,non-holiday,16962,여름
2020-08-19,non-holiday,16307,여름
2020-08-20,non-holiday,16291,여름
2020-08-21,non-holiday,15571,여름
2020-08-22,holiday,22103,여름
2020-08-23,holiday,24013,여름
2020-08-24,non-holiday,16177,여름
2020-08-25,non-holiday,15988,여름
2020-08-26,non-holiday,14704,여름
2020-08-27,non-holiday,11637,여름
2020-08-28,non-holiday,16268,여름
2020-08-29,holiday,23192,여름
2020-08-30,holiday,23584,여름
2020-08-31,non-holiday,16332,여름
2020-09-01,non-holiday,11684,가을
2020-09-02,non-holiday,8951,가을
2020-09-03,non-holiday,8178,가을
2020-09-04,non-holiday,14228,가을
2020-09-05,holiday,22720,가을
2020-09-06,holiday,19329,가을
2020-09-07,non-holiday,8877,가을
2020-09-08,non-holiday,11882,가을
2020-09-09,non-holiday,13128,가을
2020-09-10,non-holiday,14096,가을
2020-09-11,non-holiday,14940,가을
2020-09-12,holiday,19651,가을
2020-09-13,holiday,23559,가을
2020-09-14,non-holiday,14246,가을
2020-09-15,non-holiday,14704,가을
