날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,83994,겨울
2020-01-02,non-holiday,57536,겨울
2020-01-03,non-holiday,65500,겨울
2020-01-04,holiday,96282,겨울
2020-01-05,holiday,80525,겨울
2020-01-06,non-holiday,53728,겨울
2020-01-07,non-holiday,58568,겨울
2020-01-08,non-holiday,62211,겨울
2020-01-09,non-holiday,65477,겨울
2020-01-10,non-holiday,75546,겨울
2020-01-11,holiday,109069,겨울
2020-01-12,holiday,96197,겨울
2020-01-13,non-holiday,66862,겨울
2020-01-14,non-holiday,66719,겨울
2020-01-15,non-holiday,66442,겨울
2020-01-16,non-holiday,69580,겨울
2020-01-17,non-holiday,78704,겨울
2020-01-18,holiday,106901,겨울
2020-01-19,holiday,90874,겨울
2020-01-20,non-holiday,69945,겨울
2020-01-21,non-holiday,69279,겨울
2020-01-22,non-holiday,69433,겨울
2020-01-23,non-holiday,84377,겨울
2020-01-24,holiday,136963,겨울
2020-01-25,holiday,190456,겨울
2020-01-26,holiday,147452,겨울
2020-01-27,holiday,98654,겨울
2020-01-28,non-holiday,70225,겨울
2020-01-29,non-holiday,67100,겨울
2020-01-30,non-holiday,68681,겨울
2020-01-31,non-holiday,76665,겨울
2020-02-01,holiday,75642,겨울
2020-02-02,holiday,66090,겨울
2020-02-03,non-holiday,47738,겨울
2020-02-04,non-holiday,46154,겨울
2020-02-05,non-holiday,43692,겨울
2020-02-06,non-holiday,45369,겨울
2020-02-07,non-holiday,56361,겨울
2020-02-08,holiday,82446,겨울
2020-02-09,holiday,71974,겨울
2020-02-10,non-holiday,54639,겨울
2020-02-11,non-holiday,54298,겨울
2020-02-12,non-holiday,49759,겨울
2020-02-13,non-holiday,56335,겨울
2020-02-14,non-holiday,68545,겨울
2020-02-15,holiday,94211,겨울
2020-02-16,holiday,72087,겨울
2020-02-17,non-holiday,53785,겨울
2020-02-18,non-holiday,54457,겨울
2020-02-19,non-holiday,56887,겨울
2020-02-20,non-holiday,59197,겨울
2020-02-21,non-holiday,65264,겨울
2020-02-22,holiday,75927,겨울
2020-02-23,holiday,61621,겨울
2020-02-24,non-holiday,48017,겨울
2020-02-25,non-holiday,40657,겨울
2020-02-26,non-holiday,46097,겨울
2020-02-27,non-holiday,49296,겨울
2020-02-28,non-holiday,50034,겨울
2020-02-29,holiday,65782,겨울
2020-03-01,holiday,50866,봄
2020-03-02,non-holiday,42199,봄
2020-03-03,non-holiday,42206,봄
2020-03-04,non-holiday,42066,봄
2020-03-05,non-holiday,45047,봄
2020-03-06,non-holiday,52870,봄
2020-03-07,holiday,72362,봄
2020-03-08,holiday,70208,봄
2020-03-09,non-holiday,50455,봄
2020-03-10,non-holiday,44413,봄
2020-03-11,non-holiday,51834,봄
2020-03-12,non-holiday,54205,봄
2020-03-13,non-holiday,60711,봄
2020-03-14,holiday,84374,봄
2020-03-15,holiday,74613,봄
