날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,21041,겨울
2020-01-02,non-holiday,12849,겨울
2020-01-03,non-holiday,13464,겨울
2020-01-04,holiday,20749,겨울
2020-01-05,holiday,25761,겨울
2020-01-06,non-holiday,10332,겨울
2020-01-07,non-holiday,12234,겨울
2020-01-08,non-holiday,12693,겨울
2020-01-09,non-holiday,14431,겨울
2020-01-10,non-holiday,16745,겨울
2020-01-11,holiday,35757,겨울
2020-01-12,holiday,39954,겨울
2020-01-13,non-holiday,14342,겨울
2020-01-14,non-holiday,17186,겨울
2020-01-15,non-holiday,17557,겨울
2020-01-16,non-holiday,15848,겨울
2020-01-17,non-holiday,17304,겨울
2020-01-18,holiday,30629,겨울
2020-01-19,holiday,32530,겨울
2020-01-20,non-holiday,13908,겨울
2020-01-21,non-holiday,14478,겨울
2020-01-22,non-holiday,13495,겨울
2020-01-23,non-holiday,18134,겨울
2020-01-24,holiday,32605,겨울
2020-01-25,holiday,42042,겨울
2020-01-26,holiday,34407,겨울
2020-01-27,holiday,19758,겨울
2020-01-28,non-holiday,12954,겨울
2020-01-29,non-holiday,13280,겨울
2020-01-30,non-holiday,13677,겨울
2020-01-31,non-holiday,15785,겨울
2020-02-01,holiday,22387,겨울
2020-02-02,holiday,20704,겨울
2020-02-03,non-holiday,9628,겨울
2020-02-04,non-holiday,9319,겨울
2020-02-05,non-holiday,9624,겨울
2020-02-06,non-holiday,9060,겨울
2020-02-07,non-holiday,10443,겨울
2020-02-08,holiday,17559,겨울
2020-02-09,holiday,16491,겨울
2020-02-10,non-holiday,9943,겨울
2020-02-11,non-holiday,10851,겨울
2020-02-12,non-holiday,9170,겨울
2020-02-13,non-holiday,10427,겨울
2020-02-14,non-holiday,11171,겨울
2020-02-15,holiday,17880,겨울
2020-02-16,holiday,14019,겨울
2020-02-17,non-holiday,9038,겨울
2020-02-18,non-holiday,10040,겨울
2020-02-19,non-holiday,10262,겨울
2020-02-20,non-holiday,10783,겨울
2020-02-21,non-holiday,11094,겨울
2020-02-22,holiday,12874,겨울
2020-02-23,holiday,11561,겨울
2020-02-24,non-holiday,9663,겨울
2020-02-25,non-holiday,7786,겨울
2020-02-26,non-holiday,8817,겨울
2020-02-27,non-holiday,9824,겨울
2020-02-28,non-holiday,9779,겨울
2020-02-29,holiday,12451,겨울
2020-03-01,holiday,9720,봄
2020-03-02,non-holiday,8643,봄
