날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,90667,겨울
2020-01-02,non-holiday,39845,겨울
2020-01-03,non-holiday,46278,겨울
2020-01-04,holiday,68771,겨울
2020-01-05,holiday,68106,겨울
2020-01-06,non-holiday,31790,겨울
2020-01-07,non-holiday,30227,겨울
2020-01-08,non-holiday,31121,겨울
2020-01-09,non-holiday,35530,겨울
2020-01-10,non-holiday,48052,겨울
2020-01-11,holiday,78419,겨울
2020-01-12,holiday,84094,겨울
2020-01-13,non-holiday,42355,겨울
2020-01-14,non-holiday,39356,겨울
2020-01-15,non-holiday,38128,겨울
2020-01-16,non-holiday,38273,겨울
2020-01-17,non-holiday,49752,겨울
2020-01-18,holiday,80435,겨울
2020-01-19,holiday,79187,겨울
2020-01-20,non-holiday,39511,겨울
2020-01-21,non-holiday,35270,겨울
2020-01-22,non-holiday,32727,겨울
2020-01-23,non-holiday,40721,겨울
2020-01-24,holiday,74393,겨울
2020-01-25,holiday,96921,겨울
2020-01-26,holiday,91831,겨울
2020-01-27,holiday,60455,겨울
2020-01-28,non-holiday,36449,겨울
2020-01-29,non-holiday,35179,겨울
2020-01-30,non-holiday,37168,겨울
2020-01-31,non-holiday,46270,겨울
2020-02-01,holiday,75410,겨울
2020-02-02,holiday,67002,겨울
2020-02-03,non-holiday,26744,겨울
2020-02-04,non-holiday,23929,겨울
2020-02-05,non-holiday,23740,겨울
2020-02-06,non-holiday,24217,겨울
2020-02-07,non-holiday,33542,겨울
2020-02-08,holiday,61972,겨울
2020-02-09,holiday,61454,겨울
2020-02-10,non-holiday,31897,겨울
2020-02-11,non-holiday,26710,겨울
2020-02-12,non-holiday,18766,겨울
2020-02-13,non-holiday,22163,겨울
2020-02-14,non-holiday,32816,겨울
2020-02-15,holiday,57515,겨울
2020-02-16,holiday,53329,겨울
2020-02-17,non-holiday,24852,겨울
2020-02-18,non-holiday,23642,겨울
2020-02-19,non-holiday,23958,겨울
2020-02-20,non-holiday,25759,겨울
2020-02-21,non-holiday,32013,겨울
2020-02-22,holiday,47956,겨울
2020-02-23,holiday,45034,겨울
2020-02-24,non-holiday,21895,겨울
2020-02-25,non-holiday,15787,겨울
2020-02-26,non-holiday,19253,겨울
2020-02-27,non-holiday,23457,겨울
2020-02-28,non-holiday,26042,겨울
2020-02-29,holiday,45585,겨울
2020-03-01,holiday,34622,봄
2020-03-02,non-holiday,16561,봄
2020-03-03,non-holiday,16008,봄
2020-03-04,non-holiday,15381,봄
2020-03-05,non-holiday,17486,봄
2020-03-06,non-holiday,23008,봄
2020-03-07,holiday,39444,봄
2020-03-08,holiday,37348,봄
2020-03-09,non-holiday,15775,봄
2020-03-10,non-holiday,11974,봄
2020-03-11,non-holiday,16141,봄
2020-03-12,non-holiday,17247,봄
2020-03-13,non-holiday,21561,봄
2020-03-14,holiday,36191,봄
2020-03-15,holiday,32535,봄
2020-03-16,non-holiday,18921,봄
2020-03-17,non-holiday,15732,봄
2020-03-18,non-holiday,17783,봄
2020-03-19,non-holiday,14461,봄
2020-03-20,non-holiday,22786,봄
2020-03-21,holiday,37499,봄
2020-03-22,holiday,36072,봄
2020-03-23,non-holiday,18191,봄
2020-03-24,non-holiday,17521,봄
2020-03-25,non-holiday,18246,봄
2020-03-26,non-holiday,17309,봄
2020-03-27,non-holiday,18221,봄
2020-03-28,holiday,31680,봄
2020-03-29,holiday,30769,봄
2020-03-30,non-holiday,19430,봄
2020-03-31,non-holiday,17868,봄
2020-04-01,non-holiday,13374,봄
2020-04-02,non-holiday,14958,봄
2020-04-03,non-holiday,20168,봄
2020-04-04,holiday,30720,봄
2020-04-05,holiday,29243,봄
2020-04-06,non-holiday,15025,봄
2020-04-07,non-holiday,15562,봄
2020-04-08,non-holiday,16017,봄
2020-04-09,non-holiday,16320,봄
2020-04-10,non-holiday,20600,봄
2020-04-11,holiday,32426,봄
2020-04-12,holiday,26692,봄
2020-04-13,non-holiday,17029,봄
2020-04-14,non-holiday,19057,봄
2020-04-15,holiday,24096,봄
2020-04-16,non-holiday,18709,봄
2020-04-17,non-holiday,18562,봄
2020-04-18,holiday,31738,봄
2020-04-19,holiday,28002,봄
2020-04-20,non-holiday,16245,봄
2020-04-21,non-holiday,17360,봄
2020-04-22,non-holiday,17731,봄
2020-04-23,non-holiday,18530,봄
2020-04-24,non-holiday,23321,봄
2020-04-25,holiday,37222,봄
2020-04-26,holiday,33065,봄
2020-04-27,non-holiday,19390,봄
2020-04-28,non-holiday,20260,봄
2020-04-29,non-holiday,26683,봄
2020-04-30,holiday,69058,봄
2020-05-01,non-holiday,84002,봄
2020-05-02,holiday,87540,봄
2020-05-03,holiday,68963,봄
2020-05-04,non-holiday,39674,봄
2020-05-05,holiday,34111,봄
2020-05-06,non-holiday,18634,봄
2020-05-07,non-holiday,19366,봄
2020-05-08,non-holiday,23672,봄
2020-05-09,holiday,28838,봄
2020-05-10,holiday,34717,봄
2020-05-11,non-holiday,19724,봄
2020-05-12,non-holiday,19646,봄
2020-05-13,non-holiday,20736,봄
2020-05-14,non-holiday,20691,봄
2020-05-15,non-holiday,20824,봄
