날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,74190,겨울
2020-01-02,non-holiday,32614,겨울
2020-01-03,non-holiday,38836,겨울
2020-01-04,holiday,57690,겨울
2020-01-05,holiday,51349,겨울
2020-01-06,non-holiday,28416,겨울
2020-01-07,non-holiday,26726,겨울
2020-01-08,non-holiday,27807,겨울
2020-01-09,non-holiday,32537,겨울
2020-01-10,non-holiday,47050,겨울
2020-01-11,holiday,76799,겨울
2020-01-12,holiday,66808,겨울
2020-01-13,non-holiday,39384,겨울
2020-01-14,non-holiday,35055,겨울
2020-01-15,non-holiday,34881,겨울
2020-01-16,non-holiday,36724,겨울
2020-01-17,non-holiday,46656,겨울
2020-01-18,holiday,72545,겨울
2020-01-19,holiday,63705,겨울
2020-01-20,non-holiday,35987,겨울
2020-01-21,non-holiday,33049,겨울
2020-01-22,non-holiday,31557,겨울
2020-01-23,non-holiday,41658,겨울
2020-01-24,holiday,84138,겨울
2020-01-25,holiday,122799,겨울
2020-01-26,holiday,95294,겨울
2020-01-27,holiday,56547,겨울
2020-01-28,non-holiday,32358,겨울
2020-01-29,non-holiday,30397,겨울
2020-01-30,non-holiday,30490,겨울
2020-01-31,non-holiday,36693,겨울
2020-02-01,holiday,48677,겨울
2020-02-02,holiday,41292,겨울
2020-02-03,non-holiday,24209,겨울
2020-02-04,non-holiday,23469,겨울
2020-02-05,non-holiday,22139,겨울
2020-02-06,non-holiday,23144,겨울
2020-02-07,non-holiday,29153,겨울
2020-02-08,holiday,48564,겨울
2020-02-09,holiday,43536,겨울
2020-02-10,non-holiday,27391,겨울
2020-02-11,non-holiday,25676,겨울
2020-02-12,non-holiday,21214,겨울
2020-02-13,non-holiday,24996,겨울
2020-02-14,non-holiday,32740,겨울
2020-02-15,holiday,53977,겨울
2020-02-16,holiday,44878,겨울
2020-02-17,non-holiday,25370,겨울
2020-02-18,non-holiday,23200,겨울
2020-02-19,non-holiday,24692,겨울
2020-02-20,non-holiday,26563,겨울
2020-02-21,non-holiday,30896,겨울
2020-02-22,holiday,41949,겨울
2020-02-23,holiday,40094,겨울
2020-02-24,non-holiday,23472,겨울
2020-02-25,non-holiday,17184,겨울
2020-02-26,non-holiday,19924,겨울
2020-02-27,non-holiday,22335,겨울
2020-02-28,non-holiday,22740,겨울
2020-02-29,holiday,33456,겨울
2020-03-01,holiday,28169,봄
2020-03-02,non-holiday,18163,봄
2020-03-03,non-holiday,17811,봄
2020-03-04,non-holiday,17422,봄
2020-03-05,non-holiday,18955,봄
2020-03-06,non-holiday,23070,봄
2020-03-07,holiday,34543,봄
2020-03-08,holiday,35929,봄
2020-03-09,non-holiday,20768,봄
2020-03-10,non-holiday,16746,봄
2020-03-11,non-holiday,21020,봄
2020-03-12,non-holiday,22100,봄
2020-03-13,non-holiday,25881,봄
2020-03-14,holiday,38545,봄
2020-03-15,holiday,42532,봄
2020-03-16,non-holiday,21773,봄
2020-03-17,non-holiday,20524,봄
2020-03-18,non-holiday,23609,봄
2020-03-19,non-holiday,20458,봄
2020-03-20,non-holiday,28522,봄
2020-03-21,holiday,44896,봄
2020-03-22,holiday,53211,봄
2020-03-23,non-holiday,25147,봄
2020-03-24,non-holiday,25568,봄
2020-03-25,non-holiday,25789,봄
2020-03-26,non-holiday,24509,봄
2020-03-27,non-holiday,27815,봄
2020-03-28,holiday,47298,봄
2020-03-29,holiday,45537,봄
2020-03-30,non-holiday,27506,봄
2020-03-31,non-holiday,26088,봄
2020-04-01,non-holiday,18816,봄
2020-04-02,non-holiday,20488,봄
2020-04-03,non-holiday,26412,봄
2020-04-04,holiday,45076,봄
2020-04-05,holiday,43318,봄
2020-04-06,non-holiday,20474,봄
