날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,73451,겨울
2020-01-02,non-holiday,28536,겨울
2020-01-03,non-holiday,33565,겨울
2020-01-04,holiday,51982,겨울
2020-01-05,holiday,53006,겨울
2020-01-06,non-holiday,25055,겨울
2020-01-07,non-holiday,24069,겨울
2020-01-08,non-holiday,23847,겨울
2020-01-09,non-holiday,29921,겨울
2020-01-10,non-holiday,36367,겨울
2020-01-11,holiday,58936,겨울
2020-01-12,holiday,68055,겨울
2020-01-13,non-holiday,32435,겨울
2020-01-14,non-holiday,30839,겨울
2020-01-15,non-holiday,29960,겨울
2020-01-16,non-holiday,30743,겨울
2020-01-17,non-holiday,36220,겨울
2020-01-18,holiday,56168,겨울
2020-01-19,holiday,58623,겨울
2020-01-20,non-holiday,28972,겨울
2020-01-21,non-holiday,27824,겨울
2020-01-22,non-holiday,27016,겨울
2020-01-23,non-holiday,37963,겨울
2020-01-24,holiday,70693,겨울
2020-01-25,holiday,96553,겨울
2020-01-26,holiday,76857,겨울
2020-01-27,holiday,45983,겨울
2020-01-28,non-holiday,28496,겨울
2020-01-29,non-holiday,26018,겨울
2020-01-30,non-holiday,27287,겨울
2020-01-31,non-holiday,31807,겨울
2020-02-01,holiday,47898,겨울
2020-02-02,holiday,44564,겨울
2020-02-03,non-holiday,21880,겨울
2020-02-04,non-holiday,20494,겨울
2020-02-05,non-holiday,18338,겨울
2020-02-06,non-holiday,19306,겨울
2020-02-07,non-holiday,26282,겨울
2020-02-08,holiday,42796,겨울
2020-02-09,holiday,43444,겨울
2020-02-10,non-holiday,23983,겨울
2020-02-11,non-holiday,23531,겨울
2020-02-12,non-holiday,18886,겨울
2020-02-13,non-holiday,21976,겨울
2020-02-14,non-holiday,29694,겨울
2020-02-15,holiday,46151,겨울
2020-02-16,holiday,42073,겨울
2020-02-17,non-holiday,20770,겨울
2020-02-18,non-holiday,21342,겨울
2020-02-19,non-holiday,22667,겨울
2020-02-20,non-holiday,24002,겨울
2020-02-21,non-holiday,28384,겨울
2020-02-22,holiday,38096,겨울
2020-02-23,holiday,34942,겨울
2020-02-24,non-holiday,20350,겨울
2020-02-25,non-holiday,14947,겨울
2020-02-26,non-holiday,18087,겨울
2020-02-27,non-holiday,19678,겨울
2020-02-28,non-holiday,20714,겨울
2020-02-29,holiday,31550,겨울
2020-03-01,holiday,25114,봄
2020-03-02,non-holiday,15840,봄
2020-03-03,non-holiday,16565,봄
2020-03-04,non-holiday,15433,봄
2020-03-05,non-holiday,17088,봄
2020-03-06,non-holiday,22016,봄
2020-03-07,holiday,32461,봄
2020-03-08,holiday,34299,봄
2020-03-09,non-holiday,18703,봄
2020-03-10,non-holiday,13953,봄
2020-03-11,non-holiday,18843,봄
2020-03-12,non-holiday,19139,봄
2020-03-13,non-holiday,23126,봄
2020-03-14,holiday,36785,봄
2020-03-15,holiday,32481,봄
2020-03-16,non-holiday,19611,봄
2020-03-17,non-holiday,18118,봄
2020-03-18,non-holiday,20613,봄
2020-03-19,non-holiday,17271,봄
2020-03-20,non-holiday,25747,봄
2020-03-21,holiday,40843,봄
2020-03-22,holiday,41041,봄
2020-03-23,non-holiday,21913,봄
2020-03-24,non-holiday,22477,봄
2020-03-25,non-holiday,22486,봄
2020-03-26,non-holiday,21513,봄
2020-03-27,non-holiday,23522,봄
2020-03-28,holiday,40053,봄
2020-03-29,holiday,39478,봄
2020-03-30,non-holiday,23974,봄
2020-03-31,non-holiday,22374,봄
2020-04-01,non-holiday,17587,봄
2020-04-02,non-holiday,19179,봄
2020-04-03,non-holiday,24559,봄
2020-04-04,holiday,38932,봄
2020-04-05,holiday,37270,봄
2020-04-06,non-holiday,19461,봄
2020-04-07,non-holiday,19058,봄
2020-04-08,non-holiday,20244,봄
2020-04-09,non-holiday,20695,봄
2020-04-10,non-holiday,25085,봄
2020-04-11,holiday,40454,봄
2020-04-12,holiday,35617,봄
