날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,59104,겨울
2020-01-02,non-holiday,33347,겨울
2020-01-03,non-holiday,40523,겨울
2020-01-04,holiday,68805,겨울
2020-01-05,holiday,57093,겨울
2020-01-06,non-holiday,27961,겨울
2020-01-07,non-holiday,24407,겨울
2020-01-08,non-holiday,26193,겨울
2020-01-09,non-holiday,30369,겨울
2020-01-10,non-holiday,38915,겨울
2020-01-11,holiday,67967,겨울
2020-01-12,holiday,61536,겨울
2020-01-13,non-holiday,32681,겨울
2020-01-14,non-holiday,32825,겨울
2020-01-15,non-holiday,32609,겨울
2020-01-16,non-holiday,32636,겨울
2020-01-17,non-holiday,40059,겨울
2020-01-18,holiday,69881,겨울
2020-01-19,holiday,60501,겨울
2020-01-20,non-holiday,32926,겨울
2020-01-21,non-holiday,31269,겨울
2020-01-22,non-holiday,30060,겨울
2020-01-23,non-holiday,34925,겨울
2020-01-24,holiday,72191,겨울
2020-01-25,holiday,115183,겨울
2020-01-26,holiday,90218,겨울
2020-01-27,holiday,54044,겨울
2020-01-28,non-holiday,32180,겨울
2020-01-29,non-holiday,31048,겨울
2020-01-30,non-holiday,34115,겨울
2020-01-31,non-holiday,38951,겨울
2020-02-01,holiday,58560,겨울
2020-02-02,holiday,51309,겨울
2020-02-03,non-holiday,28202,겨울
2020-02-04,non-holiday,26914,겨울
2020-02-05,non-holiday,30246,겨울
2020-02-06,non-holiday,45923,겨울
2020-02-07,non-holiday,56946,겨울
2020-02-08,holiday,70914,겨울
2020-02-09,holiday,55450,겨울
2020-02-10,non-holiday,32197,겨울
2020-02-11,non-holiday,32732,겨울
2020-02-12,non-holiday,27277,겨울
2020-02-13,non-holiday,32588,겨울
2020-02-14,non-holiday,42558,겨울
2020-02-15,holiday,68918,겨울
2020-02-16,holiday,54401,겨울
2020-02-17,non-holiday,29954,겨울
2020-02-18,non-holiday,29731,겨울
2020-02-19,non-holiday,31414,겨울
2020-02-20,non-holiday,34313,겨울
2020-02-21,non-holiday,39410,겨울
2020-02-22,holiday,57907,겨울
2020-02-23,holiday,58214,겨울
2020-02-24,non-holiday,33327,겨울
2020-02-25,non-holiday,25838,겨울
2020-02-26,non-holiday,31167,겨울
2020-02-27,non-holiday,33748,겨울
2020-02-28,non-holiday,31333,겨울
2020-02-29,holiday,58159,겨울
2020-03-01,holiday,50093,봄
2020-03-02,non-holiday,28768,봄
2020-03-03,non-holiday,27451,봄
2020-03-04,non-holiday,26691,봄
2020-03-05,non-holiday,29802,봄
2020-03-06,non-holiday,35248,봄
2020-03-07,holiday,61938,봄
2020-03-08,holiday,74187,봄
2020-03-09,non-holiday,31440,봄
2020-03-10,non-holiday,23880,봄
2020-03-11,non-holiday,33137,봄
2020-03-12,non-holiday,35765,봄
2020-03-13,non-holiday,39466,봄
2020-03-14,holiday,71305,봄
2020-03-15,holiday,67951,봄
2020-03-16,non-holiday,34124,봄
2020-03-17,non-holiday,30054,봄
2020-03-18,non-holiday,37293,봄
2020-03-19,non-holiday,30555,봄
2020-03-20,non-holiday,44469,봄
2020-03-21,holiday,82714,봄
2020-03-22,holiday,91758,봄
2020-03-23,non-holiday,38607,봄
2020-03-24,non-holiday,40261,봄
2020-03-25,non-holiday,42328,봄
2020-03-26,non-holiday,37903,봄
2020-03-27,non-holiday,44273,봄
2020-03-28,holiday,86005,봄
2020-03-29,holiday,90754,봄
2020-03-30,non-holiday,43890,봄
2020-03-31,non-holiday,40501,봄
2020-04-01,non-holiday,35588,봄
2020-04-02,non-holiday,38434,봄
2020-04-03,non-holiday,49055,봄
2020-04-04,holiday,92660,봄
2020-04-05,holiday,113092,봄
2020-04-06,non-holiday,42671,봄
2020-04-07,non-holiday,40377,봄
2020-04-08,non-holiday,42713,봄
2020-04-09,non-holiday,43331,봄
2020-04-10,non-holiday,50037,봄
2020-04-11,holiday,94711,봄
2020-04-12,holiday,92485,봄
2020-04-13,non-holiday,43273,봄
2020-04-14,non-holiday,46424,봄
2020-04-15,holiday,70836,봄
2020-04-16,non-holiday,43692,봄
2020-04-17,non-holiday,36745,봄
