날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,141943,겨울
2020-01-02,non-holiday,86953,겨울
2020-01-03,non-holiday,103822,겨울
2020-01-04,holiday,137988,겨울
2020-01-05,holiday,122257,겨울
2020-01-06,non-holiday,83931,겨울
2020-01-07,non-holiday,80428,겨울
2020-01-08,non-holiday,85436,겨울
2020-01-09,non-holiday,94410,겨울
2020-01-10,non-holiday,107700,겨울
2020-01-11,holiday,145738,겨울
2020-01-12,holiday,131045,겨울
2020-01-13,non-holiday,94774,겨울
2020-01-14,non-holiday,98904,겨울
2020-01-15,non-holiday,100720,겨울
2020-01-16,non-holiday,101030,겨울
2020-01-17,non-holiday,115520,겨울
2020-01-18,holiday,153478,겨울
2020-01-19,holiday,127491,겨울
2020-01-20,non-holiday,99762,겨울
2020-01-21,non-holiday,105290,겨울
2020-01-22,non-holiday,105075,겨울
2020-01-23,non-holiday,119912,겨울
2020-01-24,holiday,187438,겨울
2020-01-25,holiday,323483,겨울
2020-01-26,holiday,205650,겨울
2020-01-27,holiday,122665,겨울
2020-01-28,non-holiday,93098,겨울
2020-01-29,non-holiday,100290,겨울
2020-01-30,non-holiday,103433,겨울
2020-01-31,non-holiday,111959,겨울
2020-02-01,holiday,123859,겨울
2020-02-02,holiday,104866,겨울
2020-02-03,non-holiday,81498,겨울
2020-02-04,non-holiday,84338,겨울
2020-02-05,non-holiday,81033,겨울
2020-02-06,non-holiday,84243,겨울
2020-02-07,non-holiday,96671,겨울
2020-02-08,holiday,131714,겨울
2020-02-09,holiday,118316,겨울
2020-02-10,non-holiday,90371,겨울
2020-02-11,non-holiday,98759,겨울
2020-02-12,non-holiday,85328,겨울
2020-02-13,non-holiday,97160,겨울
2020-02-14,non-holiday,110796,겨울
2020-02-15,holiday,145809,겨울
2020-02-16,holiday,109132,겨울
2020-02-17,non-holiday,87227,겨울
2020-02-18,non-holiday,98036,겨울
2020-02-19,non-holiday,102695,겨울
2020-02-20,non-holiday,105152,겨울
2020-02-21,non-holiday,108544,겨울
2020-02-22,holiday,124853,겨울
2020-02-23,holiday,121712,겨울
2020-02-24,non-holiday,93474,겨울
2020-02-25,non-holiday,83010,겨울
2020-02-26,non-holiday,99991,겨울
2020-02-27,non-holiday,106175,겨울
2020-02-28,non-holiday,97145,겨울
2020-02-29,holiday,134590,겨울
2020-03-01,holiday,98818,봄
2020-03-02,non-holiday,83113,봄
2020-03-03,non-holiday,86931,봄
2020-03-04,non-holiday,84284,봄
2020-03-05,non-holiday,91041,봄
2020-03-06,non-holiday,100785,봄
2020-03-07,holiday,128678,봄
2020-03-08,holiday,139287,봄
2020-03-09,non-holiday,89656,봄
2020-03-10,non-holiday,77372,봄
2020-03-11,non-holiday,98089,봄
2020-03-12,non-holiday,98790,봄
2020-03-13,non-holiday,104145,봄
2020-03-14,holiday,142715,봄
2020-03-15,holiday,126279,봄
2020-03-16,non-holiday,95658,봄
2020-03-17,non-holiday,95906,봄
2020-03-18,non-holiday,106499,봄
2020-03-19,non-holiday,89690,봄
2020-03-20,non-holiday,118805,봄
2020-03-21,holiday,159938,봄
2020-03-22,holiday,162426,봄
2020-03-23,non-holiday,107705,봄
2020-03-24,non-holiday,112072,봄
2020-03-25,non-holiday,121554,봄
2020-03-26,non-holiday,111240,봄
2020-03-27,non-holiday,115418,봄
2020-03-28,holiday,166144,봄
2020-03-29,holiday,168049,봄
2020-03-30,non-holiday,118091,봄
2020-03-31,non-holiday,118939,봄
2020-04-01,non-holiday,95054,봄
