날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,160696,겨울
2020-01-02,non-holiday,140909,겨울
2020-01-03,non-holiday,163460,겨울
2020-01-04,holiday,214469,겨울
2020-01-05,holiday,171061,겨울
2020-01-06,non-holiday,134922,겨울
2020-01-07,non-holiday,139980,겨울
2020-01-08,non-holiday,153767,겨울
2020-01-09,non-holiday,159941,겨울
2020-01-10,non-holiday,180004,겨울
2020-01-11,holiday,241907,겨울
2020-01-12,holiday,189486,겨울
2020-01-13,non-holiday,151750,겨울
2020-01-14,non-holiday,154705,겨울
2020-01-15,non-holiday,160938,겨울
2020-01-16,non-holiday,162957,겨울
2020-01-17,non-holiday,182958,겨울
2020-01-18,holiday,236111,겨울
2020-01-19,holiday,185951,겨울
2020-01-20,non-holiday,161449,겨울
2020-01-21,non-holiday,171244,겨울
2020-01-22,non-holiday,175600,겨울
2020-01-23,non-holiday,194329,겨울
2020-01-24,holiday,171953,겨울
2020-01-25,holiday,173425,겨울
2020-01-26,holiday,187790,겨울
2020-01-27,holiday,166846,겨울
2020-01-28,non-holiday,154089,겨울
2020-01-29,non-holiday,156306,겨울
2020-01-30,non-holiday,156313,겨울
2020-01-31,non-holiday,169460,겨울
2020-02-01,holiday,179829,겨울
2020-02-02,holiday,135332,겨울
2020-02-03,non-holiday,111760,겨울
2020-02-04,non-holiday,114510,겨울
2020-02-05,non-holiday,114512,겨울
2020-02-06,non-holiday,117105,겨울
2020-02-07,non-holiday,134955,겨울
2020-02-08,holiday,176109,겨울
2020-02-09,holiday,143475,겨울
2020-02-10,non-holiday,129676,겨울
2020-02-11,non-holiday,135804,겨울
2020-02-12,non-holiday,125352,겨울
2020-02-13,non-holiday,138136,겨울
2020-02-14,non-holiday,164125,겨울
2020-02-15,holiday,215466,겨울
2020-02-16,holiday,152652,겨울
2020-02-17,non-holiday,130899,겨울
2020-02-18,non-holiday,140457,겨울
2020-02-19,non-holiday,162810,겨울
2020-02-20,non-holiday,145031,겨울
2020-02-21,non-holiday,152485,겨울
2020-02-22,holiday,178826,겨울
2020-02-23,holiday,130233,겨울
2020-02-24,non-holiday,113812,겨울
2020-02-25,non-holiday,102587,겨울
2020-02-26,non-holiday,112045,겨울
2020-02-27,non-holiday,108958,겨울
2020-02-28,non-holiday,111648,겨울
2020-02-29,holiday,130789,겨울
2020-03-01,holiday,86161,봄
2020-03-02,non-holiday,93519,봄
2020-03-03,non-holiday,93601,봄
