날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,145442,겨울
2020-01-02,non-holiday,110131,겨울
2020-01-03,non-holiday,124515,겨울
2020-01-04,holiday,152090,겨울
2020-01-05,holiday,132872,겨울
2020-01-06,non-holiday,112711,겨울
2020-01-07,non-holiday,112992,겨울
2020-01-08,non-holiday,123494,겨울
2020-01-09,non-holiday,127323,겨울
2020-01-10,non-holiday,137076,겨울
2020-01-11,holiday,170326,겨울
2020-01-12,holiday,145339,겨울
2020-01-13,non-holiday,126543,겨울
2020-01-14,non-holiday,127464,겨울
2020-01-15,non-holiday,131051,겨울
2020-01-16,non-holiday,131090,겨울
2020-01-17,non-holiday,145316,겨울
2020-01-18,holiday,169255,겨울
2020-01-19,holiday,139626,겨울
2020-01-20,non-holiday,135670,겨울
2020-01-21,non-holiday,136600,겨울
2020-01-22,non-holiday,141457,겨울
2020-01-23,non-holiday,149133,겨울
2020-01-24,holiday,162295,겨울
2020-01-25,holiday,188435,겨울
2020-01-26,holiday,175339,겨울
2020-01-27,holiday,131512,겨울
2020-01-28,non-holiday,125405,겨울
2020-01-29,non-holiday,130158,겨울
2020-01-30,non-holiday,131681,겨울
2020-01-31,non-holiday,136959,겨울
2020-02-01,holiday,130442,겨울
2020-02-02,holiday,107843,겨울
2020-02-03,non-holiday,104168,겨울
2020-02-04,non-holiday,106593,겨울
2020-02-05,non-holiday,105113,겨울
2020-02-06,non-holiday,108730,겨울
2020-02-07,non-holiday,120781,겨울
2020-02-08,holiday,140442,겨울
2020-02-09,holiday,119894,겨울
2020-02-10,non-holiday,110709,겨울
2020-02-11,non-holiday,121086,겨울
2020-02-12,non-holiday,113316,겨울
2020-02-13,non-holiday,121335,겨울
2020-02-14,non-holiday,137032,겨울
2020-02-15,holiday,162255,겨울
2020-02-16,holiday,120537,겨울
2020-02-17,non-holiday,114616,겨울
2020-02-18,non-holiday,122439,겨울
2020-02-19,non-holiday,126007,겨울
2020-02-20,non-holiday,127165,겨울
2020-02-21,non-holiday,133485,겨울
2020-02-22,holiday,145437,겨울
2020-02-23,holiday,114918,겨울
2020-02-24,non-holiday,118097,겨울
2020-02-25,non-holiday,109776,겨울
2020-02-26,non-holiday,119167,겨울
2020-02-27,non-holiday,119943,겨울
2020-02-28,non-holiday,117601,겨울
2020-02-29,holiday,140132,겨울
2020-03-01,holiday,96803,봄
2020-03-02,non-holiday,97111,봄
2020-03-03,non-holiday,100789,봄
2020-03-04,non-holiday,99371,봄
2020-03-05,non-holiday,105079,봄
2020-03-06,non-holiday,116627,봄
2020-03-07,holiday,137939,봄
2020-03-08,holiday,121439,봄
2020-03-09,non-holiday,105600,봄
2020-03-10,non-holiday,96263,봄
2020-03-11,non-holiday,112723,봄
2020-03-12,non-holiday,113378,봄
2020-03-13,non-holiday,118246,봄
2020-03-14,holiday,147211,봄
2020-03-15,holiday,121232,봄
2020-03-16,non-holiday,113504,봄
2020-03-17,non-holiday,113087,봄
2020-03-18,non-holiday,120190,봄
2020-03-19,non-holiday,110956,봄
2020-03-20,non-holiday,130817,봄
2020-03-21,holiday,159409,봄
2020-03-22,holiday,136900,봄
2020-03-23,non-holiday,124719,봄
2020-03-24,non-holiday,126118,봄
2020-03-25,non-holiday,130590,봄
2020-03-26,non-holiday,123462,봄
2020-03-27,non-holiday,131496,봄
2020-03-28,holiday,157839,봄
2020-03-29,holiday,144069,봄
2020-03-30,non-holiday,129219,봄
2020-03-31,non-holiday,130263,봄
2020-04-01,non-holiday,102920,봄
2020-04-02,non-holiday,105413,봄
2020-04-03,non-holiday,116965,봄
2020-04-04,holiday,145141,봄
2020-04-05,holiday,129283,봄
