날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,108431,겨울
2020-01-02,non-holiday,54467,겨울
2020-01-03,non-holiday,63945,겨울
2020-01-04,holiday,96319,겨울
2020-01-05,holiday,93670,겨울
2020-01-06,non-holiday,43843,겨울
2020-01-07,non-holiday,37928,겨울
2020-01-08,non-holiday,41115,겨울
2020-01-09,non-holiday,48563,겨울
2020-01-10,non-holiday,64826,겨울
2020-01-11,holiday,103067,겨울
2020-01-12,holiday,102633,겨울
2020-01-13,non-holiday,53350,겨울
2020-01-14,non-holiday,49605,겨울
2020-01-15,non-holiday,49487,겨울
2020-01-16,non-holiday,54163,겨울
2020-01-17,non-holiday,68250,겨울
2020-01-18,holiday,114985,겨울
2020-01-19,holiday,97634,겨울
2020-01-20,non-holiday,50300,겨울
2020-01-21,non-holiday,47847,겨울
2020-01-22,non-holiday,47195,겨울
2020-01-23,non-holiday,64622,겨울
2020-01-24,holiday,135778,겨울
2020-01-25,holiday,228154,겨울
2020-01-26,holiday,153129,겨울
2020-01-27,holiday,86442,겨울
2020-01-28,non-holiday,50238,겨울
2020-01-29,non-holiday,47952,겨울
2020-01-30,non-holiday,52143,겨울
2020-01-31,non-holiday,58229,겨울
2020-02-01,holiday,90886,겨울
2020-02-02,holiday,81846,겨울
2020-02-03,non-holiday,43404,겨울
2020-02-04,non-holiday,41822,겨울
2020-02-05,non-holiday,36905,겨울
2020-02-06,non-holiday,39187,겨울
2020-02-07,non-holiday,49628,겨울
2020-02-08,holiday,95015,겨울
2020-02-09,holiday,91188,겨울
2020-02-10,non-holiday,47913,겨울
2020-02-11,non-holiday,48963,겨울
2020-02-12,non-holiday,40412,겨울
2020-02-13,non-holiday,48326,겨울
2020-02-14,non-holiday,61765,겨울
2020-02-15,holiday,119805,겨울
2020-02-16,holiday,82268,겨울
2020-02-17,non-holiday,39467,겨울
2020-02-18,non-holiday,44530,겨울
2020-02-19,non-holiday,46695,겨울
2020-02-20,non-holiday,52296,겨울
2020-02-21,non-holiday,55158,겨울
2020-02-22,holiday,84851,겨울
2020-02-23,holiday,93994,겨울
2020-02-24,non-holiday,45626,겨울
2020-02-25,non-holiday,35187,겨울
2020-02-26,non-holiday,45142,겨울
2020-02-27,non-holiday,53912,겨울
2020-02-28,non-holiday,47578,겨울
2020-02-29,holiday,95635,겨울
2020-03-01,holiday,83840,봄
2020-03-02,non-holiday,45066,봄
2020-03-03,non-holiday,45596,봄
2020-03-04,non-holiday,42254,봄
2020-03-05,non-holiday,49395,봄
2020-03-06,non-holiday,57246,봄
2020-03-07,holiday,105036,봄
2020-03-08,holiday,130678,봄
2020-03-09,non-holiday,52042,봄
2020-03-10,non-holiday,37375,봄
2020-03-11,non-holiday,53199,봄
2020-03-12,non-holiday,56156,봄
2020-03-13,non-holiday,60659,봄
2020-03-14,holiday,111554,봄
2020-03-15,holiday,115887,봄
2020-03-16,non-holiday,52811,봄
2020-03-17,non-holiday,48686,봄
2020-03-18,non-holiday,63095,봄
2020-03-19,non-holiday,45312,봄
2020-03-20,non-holiday,70851,봄
2020-03-21,holiday,125225,봄
2020-03-22,holiday,153146,봄
2020-03-23,non-holiday,61445,봄
2020-03-24,non-holiday,62586,봄
2020-03-25,non-holiday,64692,봄
2020-03-26,non-holiday,57010,봄
2020-03-27,non-holiday,65644,봄
2020-03-28,holiday,126097,봄
2020-03-29,holiday,137450,봄
2020-03-30,non-holiday,64144,봄
2020-03-31,non-holiday,64497,봄
2020-04-01,non-holiday,54899,봄
2020-04-02,non-holiday,58416,봄
2020-04-03,non-holiday,70980,봄
2020-04-04,holiday,131141,봄
2020-04-05,holiday,154845,봄
2020-04-06,non-holiday,59940,봄
2020-04-07,non-holiday,60466,봄
2020-04-08,non-holiday,62165,봄
2020-04-09,non-holiday,63182,봄
2020-04-10,non-holiday,69274,봄
2020-04-11,holiday,126204,봄
2020-04-12,holiday,130062,봄
2020-04-13,non-holiday,59674,봄
2020-04-14,non-holiday,63122,봄
2020-04-15,holiday,102118,봄
2020-04-16,non-holiday,60755,봄
2020-04-17,non-holiday,53798,봄
2020-04-18,holiday,132055,봄
2020-04-19,holiday,127232,봄
2020-04-20,non-holiday,52054,봄
2020-04-21,non-holiday,55241,봄
2020-04-22,non-holiday,52152,봄
2020-04-23,non-holiday,56532,봄
2020-04-24,non-holiday,66690,봄
2020-04-25,holiday,127403,봄
2020-04-26,holiday,147600,봄
2020-04-27,non-holiday,58258,봄
2020-04-28,non-holiday,63513,봄
2020-04-29,non-holiday,71463,봄
2020-04-30,holiday,149113,봄
2020-05-01,non-holiday,163803,봄
2020-05-02,holiday,175708,봄
2020-05-03,holiday,184773,봄
2020-05-04,non-holiday,94620,봄
2020-05-05,holiday,110821,봄
2020-05-06,non-holiday,56829,봄
2020-05-07,non-holiday,58747,봄
2020-05-08,non-holiday,72200,봄
2020-05-09,holiday,89203,봄
2020-05-10,holiday,111135,봄
2020-05-11,non-holiday,57104,봄
2020-05-12,non-holiday,57646,봄
2020-05-13,non-holiday,62409,봄
2020-05-14,non-holiday,60455,봄
2020-05-15,non-holiday,54656,봄
2020-05-16,holiday,116569,봄
2020-05-17,holiday,138887,봄
2020-05-18,non-holiday,52943,봄
2020-05-19,non-holiday,46002,봄
2020-05-20,non-holiday,61893,봄
2020-05-21,non-holiday,65683,봄
2020-05-22,non-holiday,73600,봄
2020-05-23,holiday,144228,봄
2020-05-24,holiday,124646,봄
2020-05-25,non-holiday,63764,봄
2020-05-26,non-holiday,59428,봄
2020-05-27,non-holiday,65767,봄
2020-05-28,non-holiday,65623,봄
2020-05-29,non-holiday,77122,봄
2020-05-30,holiday,145920,봄
2020-05-31,holiday,160560,봄
2020-06-01,non-holiday,60697,여름
2020-06-02,non-holiday,51482,여름
2020-06-03,non-holiday,57785,여름
2020-06-04,non-holiday,59975,여름
2020-06-05,non-holiday,80437,여름
2020-06-06,holiday,152385,여름
2020-06-07,holiday,166662,여름
2020-06-08,non-holiday,64648,여름
2020-06-09,non-holiday,60722,여름
2020-06-10,non-holiday,60817,여름
2020-06-11,non-holiday,62537,여름
2020-06-12,non-holiday,77230,여름
2020-06-13,holiday,135188,여름
2020-06-14,holiday,147140,여름
2020-06-15,non-holiday,64474,여름
2020-06-16,non-holiday,61760,여름
2020-06-17,non-holiday,63293,여름
2020-06-18,non-holiday,67261,여름
2020-06-19,non-holiday,83075,여름
2020-06-20,holiday,156082,여름
2020-06-21,holiday,186433,여름
2020-06-22,non-holiday,66330,여름
2020-06-23,non-holiday,68459,여름
2020-06-24,non-holiday,51979,여름
2020-06-25,non-holiday,56909,여름
2020-06-26,non-holiday,78167,여름
2020-06-27,holiday,146207,여름
2020-06-28,holiday,173080,여름
2020-06-29,non-holiday,64622,여름
2020-06-30,non-holiday,53533,여름
2020-07-01,non-holiday,57682,여름
2020-07-02,non-holiday,63513,여름
2020-07-03,non-holiday,79306,여름
2020-07-04,holiday,166888,여름
2020-07-05,holiday,180218,여름
2020-07-06,non-holiday,65104,여름
2020-07-07,non-holiday,61149,여름
2020-07-08,non-holiday,66725,여름
2020-07-09,non-holiday,66473,여름
2020-07-10,non-holiday,78760,여름
2020-07-11,holiday,168681,여름
2020-07-12,holiday,192467,여름
2020-07-13,non-holiday,56344,여름
2020-07-14,non-holiday,63126,여름
2020-07-15,non-holiday,74312,여름
2020-07-16,non-holiday,74409,여름
2020-07-17,holiday,91335,여름
2020-07-18,holiday,183765,여름
2020-07-19,holiday,145906,여름
2020-07-20,non-holiday,62514,여름
2020-07-21,non-holiday,71528,여름
2020-07-22,non-holiday,67547,여름
2020-07-23,non-holiday,59985,여름
2020-07-24,non-holiday,77863,여름
2020-07-25,holiday,159916,여름
2020-07-26,holiday,192659,여름
2020-07-27,non-holiday,77312,여름
2020-07-28,non-holiday,79706,여름
2020-07-29,non-holiday,71991,여름
2020-07-30,non-holiday,87801,여름
2020-07-31,non-holiday,114407,여름
2020-08-01,holiday,153890,여름
2020-08-02,holiday,150188,여름
2020-08-03,non-holiday,74605,여름
2020-08-04,non-holiday,71974,여름
2020-08-05,non-holiday,63818,여름
2020-08-06,non-holiday,58300,여름
2020-08-07,non-holiday,81832,여름
2020-08-08,holiday,116518,여름
2020-08-09,holiday,95081,여름
2020-08-10,non-holiday,60713,여름
2020-08-11,non-holiday,58021,여름
2020-08-12,non-holiday,72475,여름
2020-08-13,non-holiday,80516,여름
2020-08-14,non-holiday,95760,여름
2020-08-15,holiday,140503,여름
2020-08-16,holiday,211005,여름
2020-08-17,holiday,160955,여름
2020-08-18,non-holiday,73066,여름
2020-08-19,non-holiday,71931,여름
2020-08-20,non-holiday,74388,여름
2020-08-21,non-holiday,78875,여름
2020-08-22,holiday,114121,여름
2020-08-23,holiday,146518,여름
2020-08-24,non-holiday,70883,여름
2020-08-25,non-holiday,71075,여름
2020-08-26,non-holiday,59714,여름
2020-08-27,non-holiday,47671,여름
2020-08-28,non-holiday,68701,여름
2020-08-29,holiday,110808,여름
2020-08-30,holiday,131275,여름
2020-08-31,non-holiday,61878,여름
2020-09-01,non-holiday,61480,가을
2020-09-02,non-holiday,43566,가을
2020-09-03,non-holiday,44834,가을
2020-09-04,non-holiday,78499,가을
2020-09-05,holiday,137284,가을
2020-09-06,holiday,139774,가을
2020-09-07,non-holiday,33429,가을
2020-09-08,non-holiday,57766,가을
2020-09-09,non-holiday,53637,가을
2020-09-10,non-holiday,63970,가을
2020-09-11,non-holiday,72131,가을
2020-09-12,holiday,112094,가을
2020-09-13,holiday,187217,가을
2020-09-14,non-holiday,61453,가을
2020-09-15,non-holiday,62244,가을
2020-09-16,non-holiday,53934,가을
2020-09-17,non-holiday,61882,가을
2020-09-18,non-holiday,80557,가을
2020-09-19,holiday,147685,가을
2020-09-20,holiday,169064,가을
2020-09-21,non-holiday,64312,가을
2020-09-22,non-holiday,63332,가을
2020-09-23,non-holiday,64142,가을
2020-09-24,non-holiday,64940,가을
2020-09-25,non-holiday,72279,가을
2020-09-26,holiday,124868,가을
2020-09-27,holiday,137404,가을
2020-09-28,non-holiday,67322,가을
2020-09-29,non-holiday,72689,가을
2020-09-30,holiday,133855,가을
2020-10-01,holiday,194930,가을
2020-10-02,holiday,200063,가을
2020-10-03,holiday,178539,가을
2020-10-04,holiday,103574,가을
2020-10-05,non-holiday,55194,가을
2020-10-06,non-holiday,54103,가을
2020-10-07,non-holiday,56492,가을
2020-10-08,non-holiday,69959,가을
2020-10-09,holiday,140278,가을
2020-10-10,holiday,166801,가을
2020-10-11,holiday,132872,가을
