날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,86182,겨울
2020-01-02,non-holiday,49977,겨울
2020-01-03,non-holiday,57260,겨울
2020-01-04,holiday,82667,겨울
2020-01-05,holiday,81252,겨울
2020-01-06,non-holiday,46805,겨울
2020-01-07,non-holiday,43172,겨울
2020-01-08,non-holiday,46030,겨울
2020-01-09,non-holiday,51100,겨울
2020-01-10,non-holiday,61180,겨울
2020-01-11,holiday,94558,겨울
2020-01-12,holiday,86905,겨울
2020-01-13,non-holiday,52151,겨울
2020-01-14,non-holiday,44541,겨울
2020-01-15,non-holiday,46118,겨울
2020-01-16,non-holiday,46153,겨울
2020-01-17,non-holiday,54766,겨울
2020-01-18,holiday,75755,겨울
2020-01-19,holiday,65634,겨울
2020-01-20,non-holiday,46814,겨울
2020-01-21,non-holiday,47165,겨울
2020-01-22,non-holiday,48166,겨울
2020-01-23,non-holiday,69323,겨울
2020-01-24,holiday,117816,겨울
2020-01-25,holiday,187027,겨울
2020-01-26,holiday,125306,겨울
2020-01-27,holiday,69568,겨울
2020-01-28,non-holiday,45993,겨울
2020-01-29,non-holiday,45000,겨울
2020-01-30,non-holiday,46945,겨울
2020-01-31,non-holiday,50466,겨울
2020-02-01,holiday,63331,겨울
2020-02-02,holiday,58589,겨울
2020-02-03,non-holiday,39404,겨울
2020-02-04,non-holiday,39354,겨울
2020-02-05,non-holiday,37216,겨울
2020-02-06,non-holiday,37786,겨울
2020-02-07,non-holiday,48658,겨울
2020-02-08,holiday,66828,겨울
2020-02-09,holiday,63972,겨울
2020-02-10,non-holiday,46266,겨울
2020-02-11,non-holiday,47051,겨울
2020-02-12,non-holiday,37723,겨울
2020-02-13,non-holiday,46268,겨울
2020-02-14,non-holiday,55773,겨울
2020-02-15,holiday,82092,겨울
2020-02-16,holiday,56761,겨울
2020-02-17,non-holiday,36609,겨울
2020-02-18,non-holiday,41933,겨울
2020-02-19,non-holiday,46303,겨울
2020-02-20,non-holiday,52127,겨울
2020-02-21,non-holiday,53365,겨울
2020-02-22,holiday,63885,겨울
2020-02-23,holiday,60720,겨울
2020-02-24,non-holiday,44133,겨울
2020-02-25,non-holiday,33465,겨울
2020-02-26,non-holiday,44480,겨울
2020-02-27,non-holiday,47444,겨울
2020-02-28,non-holiday,44439,겨울
2020-02-29,holiday,64724,겨울
2020-03-01,holiday,51310,봄
2020-03-02,non-holiday,38544,봄
2020-03-03,non-holiday,39845,봄
2020-03-04,non-holiday,38175,봄
2020-03-05,non-holiday,42376,봄
2020-03-06,non-holiday,49071,봄
2020-03-07,holiday,66859,봄
2020-03-08,holiday,72258,봄
2020-03-09,non-holiday,44281,봄
2020-03-10,non-holiday,34162,봄
2020-03-11,non-holiday,46889,봄
2020-03-12,non-holiday,49378,봄
2020-03-13,non-holiday,53928,봄
2020-03-14,holiday,79035,봄
2020-03-15,holiday,69581,봄
2020-03-16,non-holiday,46328,봄
2020-03-17,non-holiday,45131,봄
2020-03-18,non-holiday,52474,봄
2020-03-19,non-holiday,43903,봄
2020-03-20,non-holiday,59241,봄
2020-03-21,holiday,89429,봄
2020-03-22,holiday,98707,봄
2020-03-23,non-holiday,52269,봄
2020-03-24,non-holiday,53920,봄
2020-03-25,non-holiday,59733,봄
2020-03-26,non-holiday,54220,봄
2020-03-27,non-holiday,56450,봄
2020-03-28,holiday,92088,봄
2020-03-29,holiday,95338,봄
2020-03-30,non-holiday,56175,봄
2020-03-31,non-holiday,59033,봄
2020-04-01,non-holiday,48796,봄
2020-04-02,non-holiday,49387,봄
2020-04-03,non-holiday,59021,봄
2020-04-04,holiday,91940,봄
2020-04-05,holiday,109853,봄
2020-04-06,non-holiday,48320,봄
2020-04-07,non-holiday,49745,봄
2020-04-08,non-holiday,51394,봄
2020-04-09,non-holiday,51980,봄
2020-04-10,non-holiday,60799,봄
2020-04-11,holiday,93378,봄
2020-04-12,holiday,88770,봄
