날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,18589,겨울
2020-01-02,non-holiday,12334,겨울
2020-01-03,non-holiday,14387,겨울
2020-01-04,holiday,20104,겨울
2020-01-05,holiday,18579,겨울
2020-01-06,non-holiday,12318,겨울
2020-01-07,non-holiday,11271,겨울
2020-01-08,non-holiday,13728,겨울
2020-01-09,non-holiday,14192,겨울
2020-01-10,non-holiday,15671,겨울
2020-01-11,holiday,20771,겨울
2020-01-12,holiday,19886,겨울
2020-01-13,non-holiday,14270,겨울
2020-01-14,non-holiday,15356,겨울
2020-01-15,non-holiday,15043,겨울
2020-01-16,non-holiday,14448,겨울
2020-01-17,non-holiday,16953,겨울
2020-01-18,holiday,21429,겨울
2020-01-19,holiday,20302,겨울
2020-01-20,non-holiday,15248,겨울
2020-01-21,non-holiday,15823,겨울
2020-01-22,non-holiday,16582,겨울
2020-01-23,non-holiday,18499,겨울
2020-01-24,holiday,38116,겨울
2020-01-25,holiday,67475,겨울
2020-01-26,holiday,39380,겨울
2020-01-27,holiday,21771,겨울
2020-01-28,non-holiday,15123,겨울
2020-01-29,non-holiday,15253,겨울
2020-01-30,non-holiday,14958,겨울
2020-01-31,non-holiday,15818,겨울
2020-02-01,holiday,17458,겨울
2020-02-02,holiday,16628,겨울
2020-02-03,non-holiday,11202,겨울
2020-02-04,non-holiday,13089,겨울
2020-02-05,non-holiday,11258,겨울
2020-02-06,non-holiday,12194,겨울
2020-02-07,non-holiday,14319,겨울
2020-02-08,holiday,18932,겨울
2020-02-09,holiday,17489,겨울
2020-02-10,non-holiday,13534,겨울
2020-02-11,non-holiday,14478,겨울
2020-02-12,non-holiday,13465,겨울
2020-02-13,non-holiday,14466,겨울
2020-02-14,non-holiday,16332,겨울
2020-02-15,holiday,20488,겨울
2020-02-16,holiday,16004,겨울
2020-02-17,non-holiday,12704,겨울
2020-02-18,non-holiday,14303,겨울
2020-02-19,non-holiday,14478,겨울
2020-02-20,non-holiday,15179,겨울
2020-02-21,non-holiday,16249,겨울
2020-02-22,holiday,18336,겨울
2020-02-23,holiday,19077,겨울
2020-02-24,non-holiday,13737,겨울
2020-02-25,non-holiday,12435,겨울
2020-02-26,non-holiday,14540,겨울
2020-02-27,non-holiday,16069,겨울
2020-02-28,non-holiday,14885,겨울
2020-02-29,holiday,22368,겨울
2020-03-01,holiday,19169,봄
2020-03-02,non-holiday,13484,봄
2020-03-03,non-holiday,14456,봄
2020-03-04,non-holiday,13674,봄
2020-03-05,non-holiday,14294,봄
