날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,104124,겨울
2020-01-02,non-holiday,78531,겨울
2020-01-03,non-holiday,91903,겨울
2020-01-04,holiday,116954,겨울
2020-01-05,holiday,105049,겨울
2020-01-06,non-holiday,76061,겨울
2020-01-07,non-holiday,75680,겨울
2020-01-08,non-holiday,81208,겨울
2020-01-09,non-holiday,90926,겨울
2020-01-10,non-holiday,103872,겨울
2020-01-11,holiday,131365,겨울
2020-01-12,holiday,109104,겨울
2020-01-13,non-holiday,89466,겨울
2020-01-14,non-holiday,93880,겨울
2020-01-15,non-holiday,99108,겨울
2020-01-16,non-holiday,100025,겨울
2020-01-17,non-holiday,111660,겨울
2020-01-18,holiday,138619,겨울
2020-01-19,holiday,113271,겨울
2020-01-20,non-holiday,97340,겨울
2020-01-21,non-holiday,102590,겨울
2020-01-22,non-holiday,99731,겨울
2020-01-23,non-holiday,102406,겨울
2020-01-24,holiday,145815,겨울
2020-01-25,holiday,239209,겨울
2020-01-26,holiday,159797,겨울
2020-01-27,holiday,98771,겨울
2020-01-28,non-holiday,85008,겨울
2020-01-29,non-holiday,92012,겨울
2020-01-30,non-holiday,95049,겨울
2020-01-31,non-holiday,97805,겨울
2020-02-01,holiday,96890,겨울
2020-02-02,holiday,79900,겨울
2020-02-03,non-holiday,71000,겨울
2020-02-04,non-holiday,75421,겨울
2020-02-05,non-holiday,72470,겨울
2020-02-06,non-holiday,73987,겨울
2020-02-07,non-holiday,83692,겨울
2020-02-08,holiday,103427,겨울
2020-02-09,holiday,86314,겨울
2020-02-10,non-holiday,81196,겨울
2020-02-11,non-holiday,88627,겨울
2020-02-12,non-holiday,73795,겨울
2020-02-13,non-holiday,85698,겨울
2020-02-14,non-holiday,98296,겨울
2020-02-15,holiday,121987,겨울
2020-02-16,holiday,80389,겨울
2020-02-17,non-holiday,74583,겨울
2020-02-18,non-holiday,84166,겨울
2020-02-19,non-holiday,90242,겨울
2020-02-20,non-holiday,99309,겨울
2020-02-21,non-holiday,99320,겨울
2020-02-22,holiday,100875,겨울
2020-02-23,holiday,93629,겨울
2020-02-24,non-holiday,84239,겨울
2020-02-25,non-holiday,72509,겨울
2020-02-26,non-holiday,89335,겨울
2020-02-27,non-holiday,92799,겨울
2020-02-28,non-holiday,82140,겨울
2020-02-29,holiday,96892,겨울
2020-03-01,holiday,68063,봄
2020-03-02,non-holiday,68049,봄
2020-03-03,non-holiday,73475,봄
2020-03-04,non-holiday,69713,봄
2020-03-05,non-holiday,76427,봄
2020-03-06,non-holiday,85850,봄
2020-03-07,holiday,92701,봄
2020-03-08,holiday,92443,봄
2020-03-09,non-holiday,78414,봄
2020-03-10,non-holiday,64815,봄
2020-03-11,non-holiday,84507,봄
2020-03-12,non-holiday,90236,봄
2020-03-13,non-holiday,89224,봄
2020-03-14,holiday,106815,봄
2020-03-15,holiday,92878,봄
2020-03-16,non-holiday,84132,봄
2020-03-17,non-holiday,85362,봄
2020-03-18,non-holiday,94822,봄
2020-03-19,non-holiday,81798,봄
