날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,103945,겨울
2020-01-02,non-holiday,79012,겨울
2020-01-03,non-holiday,90799,겨울
2020-01-04,holiday,118045,겨울
2020-01-05,holiday,101090,겨울
2020-01-06,non-holiday,76670,겨울
2020-01-07,non-holiday,71552,겨울
2020-01-08,non-holiday,76685,겨울
2020-01-09,non-holiday,85168,겨울
2020-01-10,non-holiday,94548,겨울
2020-01-11,holiday,126987,겨울
2020-01-12,holiday,113213,겨울
2020-01-13,non-holiday,84145,겨울
2020-01-14,non-holiday,90834,겨울
2020-01-15,non-holiday,91005,겨울
2020-01-16,non-holiday,91393,겨울
2020-01-17,non-holiday,105151,겨울
2020-01-18,holiday,131410,겨울
2020-01-19,holiday,115159,겨울
2020-01-20,non-holiday,89109,겨울
2020-01-21,non-holiday,92418,겨울
2020-01-22,non-holiday,95074,겨울
2020-01-23,non-holiday,114041,겨울
2020-01-24,holiday,180190,겨울
2020-01-25,holiday,263765,겨울
2020-01-26,holiday,191613,겨울
2020-01-27,holiday,107772,겨울
2020-01-28,non-holiday,83347,겨울
2020-01-29,non-holiday,88255,겨울
2020-01-30,non-holiday,90579,겨울
2020-01-31,non-holiday,93766,겨울
2020-02-01,holiday,95459,겨울
2020-02-02,holiday,79146,겨울
2020-02-03,non-holiday,69392,겨울
2020-02-04,non-holiday,73051,겨울
2020-02-05,non-holiday,68738,겨울
2020-02-06,non-holiday,71255,겨울
2020-02-07,non-holiday,80464,겨울
2020-02-08,holiday,97416,겨울
2020-02-09,holiday,84260,겨울
2020-02-10,non-holiday,75915,겨울
2020-02-11,non-holiday,80153,겨울
2020-02-12,non-holiday,71230,겨울
2020-02-13,non-holiday,79780,겨울
2020-02-14,non-holiday,93930,겨울
2020-02-15,holiday,114765,겨울
2020-02-16,holiday,83637,겨울
2020-02-17,non-holiday,71379,겨울
2020-02-18,non-holiday,79540,겨울
2020-02-19,non-holiday,83973,겨울
2020-02-20,non-holiday,84559,겨울
2020-02-21,non-holiday,87523,겨울
2020-02-22,holiday,89230,겨울
2020-02-23,holiday,74069,겨울
2020-02-24,non-holiday,72082,겨울
2020-02-25,non-holiday,62931,겨울
2020-02-26,non-holiday,71862,겨울
2020-02-27,non-holiday,73828,겨울
2020-02-28,non-holiday,70238,겨울
2020-02-29,holiday,75968,겨울
2020-03-01,holiday,53865,봄
2020-03-02,non-holiday,58024,봄
2020-03-03,non-holiday,60979,봄
2020-03-04,non-holiday,60324,봄
2020-03-05,non-holiday,63056,봄
2020-03-06,non-holiday,71733,봄
2020-03-07,holiday,77837,봄
2020-03-08,holiday,72341,봄
2020-03-09,non-holiday,67299,봄
2020-03-10,non-holiday,59136,봄
2020-03-11,non-holiday,71642,봄
2020-03-12,non-holiday,73888,봄
2020-03-13,non-holiday,79725,봄
2020-03-14,holiday,92610,봄
2020-03-15,holiday,79003,봄
2020-03-16,non-holiday,72520,봄
2020-03-17,non-holiday,74249,봄
2020-03-18,non-holiday,79938,봄
2020-03-19,non-holiday,72000,봄
2020-03-20,non-holiday,88480,봄
