날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,156636,겨울
2020-01-02,non-holiday,86445,겨울
2020-01-03,non-holiday,100010,겨울
2020-01-04,holiday,140939,겨울
2020-01-05,holiday,130755,겨울
2020-01-06,non-holiday,87842,겨울
2020-01-07,non-holiday,85461,겨울
2020-01-08,non-holiday,90663,겨울
2020-01-09,non-holiday,97221,겨울
2020-01-10,non-holiday,105154,겨울
2020-01-11,holiday,148681,겨울
2020-01-12,holiday,142746,겨울
2020-01-13,non-holiday,94461,겨울
2020-01-14,non-holiday,101145,겨울
2020-01-15,non-holiday,101009,겨울
2020-01-16,non-holiday,102983,겨울
2020-01-17,non-holiday,108930,겨울
2020-01-18,holiday,155504,겨울
2020-01-19,holiday,145148,겨울
2020-01-20,non-holiday,99047,겨울
2020-01-21,non-holiday,107136,겨울
2020-01-22,non-holiday,108627,겨울
2020-01-23,non-holiday,114209,겨울
2020-01-24,holiday,211173,겨울
2020-01-25,holiday,309784,겨울
2020-01-26,holiday,242096,겨울
2020-01-27,holiday,154233,겨울
2020-01-28,non-holiday,98679,겨울
2020-01-29,non-holiday,104972,겨울
2020-01-30,non-holiday,106478,겨울
2020-01-31,non-holiday,108668,겨울
2020-02-01,holiday,123494,겨울
2020-02-02,holiday,111460,겨울
2020-02-03,non-holiday,84338,겨울
2020-02-04,non-holiday,88026,겨울
2020-02-05,non-holiday,82002,겨울
2020-02-06,non-holiday,87370,겨울
2020-02-07,non-holiday,94981,겨울
2020-02-08,holiday,130485,겨울
2020-02-09,holiday,126518,겨울
2020-02-10,non-holiday,95028,겨울
2020-02-11,non-holiday,102749,겨울
2020-02-12,non-holiday,91191,겨울
2020-02-13,non-holiday,102560,겨울
2020-02-14,non-holiday,114333,겨울
2020-02-15,holiday,152705,겨울
2020-02-16,holiday,120436,겨울
2020-02-17,non-holiday,89710,겨울
2020-02-18,non-holiday,101208,겨울
2020-02-19,non-holiday,104567,겨울
2020-02-20,non-holiday,108363,겨울
2020-02-21,non-holiday,108140,겨울
2020-02-22,holiday,127523,겨울
2020-02-23,holiday,126380,겨울
2020-02-24,non-holiday,95391,겨울
2020-02-25,non-holiday,88046,겨울
2020-02-26,non-holiday,102112,겨울
2020-02-27,non-holiday,105634,겨울
2020-02-28,non-holiday,97758,겨울
2020-02-29,holiday,140608,겨울
2020-03-01,holiday,105284,봄
2020-03-02,non-holiday,85943,봄
2020-03-03,non-holiday,90924,봄
2020-03-04,non-holiday,88978,봄
2020-03-05,non-holiday,93467,봄
2020-03-06,non-holiday,101859,봄
2020-03-07,holiday,146512,봄
2020-03-08,holiday,155357,봄
2020-03-09,non-holiday,97457,봄
2020-03-10,non-holiday,86476,봄
2020-03-11,non-holiday,103236,봄
2020-03-12,non-holiday,102147,봄
2020-03-13,non-holiday,108640,봄
2020-03-14,holiday,163802,봄
2020-03-15,holiday,152438,봄
2020-03-16,non-holiday,103536,봄
2020-03-17,non-holiday,102960,봄
2020-03-18,non-holiday,113607,봄
2020-03-19,non-holiday,98348,봄
2020-03-20,non-holiday,120860,봄
2020-03-21,holiday,180616,봄
2020-03-22,holiday,186428,봄
2020-03-23,non-holiday,111893,봄
2020-03-24,non-holiday,119721,봄
2020-03-25,non-holiday,119568,봄
2020-03-26,non-holiday,114324,봄
2020-03-27,non-holiday,121529,봄
2020-03-28,holiday,185167,봄
2020-03-29,holiday,185354,봄
2020-03-30,non-holiday,118723,봄
2020-03-31,non-holiday,121151,봄
2020-04-01,non-holiday,95158,봄
2020-04-02,non-holiday,97676,봄
2020-04-03,non-holiday,107867,봄
2020-04-04,holiday,173999,봄
2020-04-05,holiday,174778,봄
2020-04-06,non-holiday,96969,봄
2020-04-07,non-holiday,100954,봄
2020-04-08,non-holiday,103558,봄
2020-04-09,non-holiday,104029,봄
2020-04-10,non-holiday,111791,봄
2020-04-11,holiday,178672,봄
2020-04-12,holiday,169520,봄
2020-04-13,non-holiday,106363,봄
2020-04-14,non-holiday,114169,봄
2020-04-15,holiday,167231,봄
2020-04-16,non-holiday,110998,봄
2020-04-17,non-holiday,100556,봄
2020-04-18,holiday,201070,봄
2020-04-19,holiday,155391,봄
2020-04-20,non-holiday,100777,봄
2020-04-21,non-holiday,109393,봄
2020-04-22,non-holiday,107984,봄
2020-04-23,non-holiday,113699,봄
2020-04-24,non-holiday,122879,봄
