날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,74922,겨울
2020-01-02,non-holiday,45672,겨울
2020-01-03,non-holiday,51864,겨울
2020-01-04,holiday,74379,겨울
2020-01-05,holiday,72579,겨울
2020-01-06,non-holiday,44111,겨울
2020-01-07,non-holiday,40505,겨울
2020-01-08,non-holiday,44781,겨울
2020-01-09,non-holiday,49067,겨울
2020-01-10,non-holiday,55612,겨울
2020-01-11,holiday,79120,겨울
2020-01-12,holiday,75670,겨울
2020-01-13,non-holiday,49134,겨울
2020-01-14,non-holiday,52868,겨울
2020-01-15,non-holiday,52907,겨울
2020-01-16,non-holiday,51706,겨울
2020-01-17,non-holiday,58042,겨울
2020-01-18,holiday,83015,겨울
2020-01-19,holiday,74151,겨울
2020-01-20,non-holiday,54219,겨울
2020-01-21,non-holiday,54590,겨울
2020-01-22,non-holiday,55402,겨울
2020-01-23,non-holiday,61483,겨울
2020-01-24,holiday,108860,겨울
2020-01-25,holiday,168974,겨울
2020-01-26,holiday,125405,겨울
2020-01-27,holiday,76144,겨울
2020-01-28,non-holiday,51146,겨울
2020-01-29,non-holiday,53146,겨울
2020-01-30,non-holiday,56137,겨울
2020-01-31,non-holiday,57766,겨울
2020-02-01,holiday,67391,겨울
2020-02-02,holiday,60514,겨울
2020-02-03,non-holiday,43417,겨울
2020-02-04,non-holiday,45220,겨울
2020-02-05,non-holiday,41395,겨울
2020-02-06,non-holiday,43006,겨울
2020-02-07,non-holiday,49004,겨울
2020-02-08,holiday,69973,겨울
2020-02-09,holiday,67246,겨울
2020-02-10,non-holiday,49071,겨울
2020-02-11,non-holiday,50777,겨울
2020-02-12,non-holiday,44835,겨울
2020-02-13,non-holiday,51717,겨울
2020-02-14,non-holiday,58769,겨울
2020-02-15,holiday,80089,겨울
2020-02-16,holiday,61728,겨울
2020-02-17,non-holiday,45651,겨울
2020-02-18,non-holiday,51062,겨울
2020-02-19,non-holiday,53898,겨울
2020-02-20,non-holiday,56573,겨울
2020-02-21,non-holiday,58941,겨울
2020-02-22,holiday,65755,겨울
2020-02-23,holiday,64502,겨울
2020-02-24,non-holiday,49570,겨울
2020-02-25,non-holiday,44286,겨울
2020-02-26,non-holiday,51336,겨울
2020-02-27,non-holiday,54569,겨울
2020-02-28,non-holiday,51470,겨울
2020-02-29,holiday,73623,겨울
2020-03-01,holiday,58381,봄
2020-03-02,non-holiday,44624,봄
2020-03-03,non-holiday,47234,봄
2020-03-04,non-holiday,45751,봄
2020-03-05,non-holiday,49835,봄
2020-03-06,non-holiday,54403,봄
2020-03-07,holiday,74601,봄
2020-03-08,holiday,82349,봄
2020-03-09,non-holiday,51645,봄
2020-03-10,non-holiday,43848,봄
2020-03-11,non-holiday,53444,봄
2020-03-12,non-holiday,54601,봄
2020-03-13,non-holiday,57143,봄
2020-03-14,holiday,84661,봄
2020-03-15,holiday,78700,봄
2020-03-16,non-holiday,53282,봄
2020-03-17,non-holiday,53198,봄
2020-03-18,non-holiday,60186,봄
2020-03-19,non-holiday,51614,봄
2020-03-20,non-holiday,65293,봄
2020-03-21,holiday,96812,봄
2020-03-22,holiday,99454,봄
2020-03-23,non-holiday,58729,봄
2020-03-24,non-holiday,63261,봄
2020-03-25,non-holiday,63829,봄
2020-03-26,non-holiday,61193,봄
2020-03-27,non-holiday,65310,봄
2020-03-28,holiday,101530,봄
2020-03-29,holiday,103041,봄
2020-03-30,non-holiday,62824,봄
2020-03-31,non-holiday,64027,봄
2020-04-01,non-holiday,47505,봄
2020-04-02,non-holiday,49576,봄
2020-04-03,non-holiday,53140,봄
2020-04-04,holiday,85187,봄
2020-04-05,holiday,86310,봄
2020-04-06,non-holiday,48500,봄
2020-04-07,non-holiday,52039,봄
2020-04-08,non-holiday,52775,봄
2020-04-09,non-holiday,53866,봄
2020-04-10,non-holiday,59130,봄
2020-04-11,holiday,90723,봄
2020-04-12,holiday,86791,봄
2020-04-13,non-holiday,53953,봄
2020-04-14,non-holiday,59636,봄
2020-04-15,holiday,81751,봄
2020-04-16,non-holiday,59107,봄
2020-04-17,non-holiday,52107,봄
2020-04-18,holiday,101981,봄
2020-04-19,holiday,84577,봄
2020-04-20,non-holiday,52939,봄
2020-04-21,non-holiday,57210,봄
2020-04-22,non-holiday,56879,봄
2020-04-23,non-holiday,60208,봄
2020-04-24,non-holiday,65215,봄
2020-04-25,holiday,98235,봄
2020-04-26,holiday,107681,봄
2020-04-27,non-holiday,58516,봄
2020-04-28,non-holiday,65435,봄
2020-04-29,non-holiday,69924,봄
2020-04-30,holiday,133638,봄
2020-05-01,non-holiday,118155,봄
2020-05-02,holiday,123359,봄
2020-05-03,holiday,118546,봄
2020-05-04,non-holiday,78783,봄
2020-05-05,holiday,102900,봄
2020-05-06,non-holiday,58640,봄
2020-05-07,non-holiday,61018,봄
2020-05-08,non-holiday,70273,봄
2020-05-09,holiday,75920,봄
2020-05-10,holiday,96790,봄
2020-05-11,non-holiday,57073,봄
2020-05-12,non-holiday,59514,봄
2020-05-13,non-holiday,62103,봄
2020-05-14,non-holiday,64798,봄
2020-05-15,non-holiday,58781,봄
2020-05-16,holiday,98786,봄
2020-05-17,holiday,106190,봄
2020-05-18,non-holiday,54955,봄
2020-05-19,non-holiday,56509,봄
2020-05-20,non-holiday,67382,봄
2020-05-21,non-holiday,68847,봄
2020-05-22,non-holiday,73607,봄
2020-05-23,holiday,113667,봄
2020-05-24,holiday,101536,봄
2020-05-25,non-holiday,64781,봄
2020-05-26,non-holiday,65465,봄
2020-05-27,non-holiday,68681,봄
2020-05-28,non-holiday,69917,봄
2020-05-29,non-holiday,77122,봄
2020-05-30,holiday,120645,봄
2020-05-31,holiday,112993,봄
2020-06-01,non-holiday,57043,여름
2020-06-02,non-holiday,52816,여름
2020-06-03,non-holiday,57759,여름
2020-06-04,non-holiday,60128,여름
2020-06-05,non-holiday,70591,여름
2020-06-06,holiday,121691,여름
2020-06-07,holiday,108401,여름
2020-06-08,non-holiday,60399,여름
2020-06-09,non-holiday,62696,여름
2020-06-10,non-holiday,63562,여름
2020-06-11,non-holiday,64533,여름
2020-06-12,non-holiday,72682,여름
2020-06-13,holiday,107678,여름
2020-06-14,holiday,107401,여름
2020-06-15,non-holiday,65575,여름
2020-06-16,non-holiday,67111,여름
2020-06-17,non-holiday,65578,여름
2020-06-18,non-holiday,67843,여름
2020-06-19,non-holiday,75991,여름
2020-06-20,holiday,122456,여름
2020-06-21,holiday,115739,여름
2020-06-22,non-holiday,67333,여름
2020-06-23,non-holiday,68757,여름
2020-06-24,non-holiday,58277,여름
2020-06-25,non-holiday,62810,여름
2020-06-26,non-holiday,75487,여름
2020-06-27,holiday,116532,여름
2020-06-28,holiday,118252,여름
2020-06-29,non-holiday,66364,여름
2020-06-30,non-holiday,60904,여름
2020-07-01,non-holiday,54596,여름
2020-07-02,non-holiday,59660,여름
2020-07-03,non-holiday,67148,여름
2020-07-04,holiday,117377,여름
2020-07-05,holiday,118057,여름
2020-07-06,non-holiday,58401,여름
2020-07-07,non-holiday,59064,여름
2020-07-08,non-holiday,60447,여름
2020-07-09,non-holiday,62109,여름
2020-07-10,non-holiday,69974,여름
2020-07-11,holiday,128041,여름
2020-07-12,holiday,126650,여름
2020-07-13,non-holiday,56529,여름
2020-07-14,non-holiday,63739,여름
2020-07-15,non-holiday,71178,여름
2020-07-16,non-holiday,72311,여름
2020-07-17,holiday,81883,여름
2020-07-18,holiday,136649,여름
2020-07-19,holiday,97158,여름
2020-07-20,non-holiday,61297,여름
2020-07-21,non-holiday,71151,여름
2020-07-22,non-holiday,69275,여름
2020-07-23,non-holiday,62982,여름
2020-07-24,non-holiday,72042,여름
2020-07-25,holiday,124622,여름
2020-07-26,holiday,132383,여름
2020-07-27,non-holiday,69470,여름
2020-07-28,non-holiday,72671,여름
2020-07-29,non-holiday,69118,여름
2020-07-30,non-holiday,77721,여름
2020-07-31,non-holiday,94008,여름
2020-08-01,holiday,103048,여름
2020-08-02,holiday,91869,여름
2020-08-03,non-holiday,51506,여름
2020-08-04,non-holiday,51449,여름
2020-08-05,non-holiday,48339,여름
2020-08-06,non-holiday,49623,여름
2020-08-07,non-holiday,65749,여름
2020-08-08,holiday,90613,여름
2020-08-09,holiday,60316,여름
2020-08-10,non-holiday,52470,여름
2020-08-11,non-holiday,53107,여름
2020-08-12,non-holiday,65533,여름
2020-08-13,non-holiday,66446,여름
2020-08-14,non-holiday,72121,여름
2020-08-15,holiday,108181,여름
2020-08-16,holiday,135755,여름
2020-08-17,holiday,105759,여름
2020-08-18,non-holiday,71981,여름
2020-08-19,non-holiday,70843,여름
2020-08-20,non-holiday,69398,여름
2020-08-21,non-holiday,70333,여름
2020-08-22,holiday,94389,여름
2020-08-23,holiday,104314,여름
2020-08-24,non-holiday,66847,여름
2020-08-25,non-holiday,67514,여름
2020-08-26,non-holiday,61795,여름
2020-08-27,non-holiday,50697,여름
2020-08-28,non-holiday,66394,여름
2020-08-29,holiday,89580,여름
2020-08-30,holiday,92104,여름
2020-08-31,non-holiday,63852,여름
2020-09-01,non-holiday,57857,가을
2020-09-02,non-holiday,47511,가을
2020-09-03,non-holiday,46543,가을
2020-09-04,non-holiday,70075,가을
2020-09-05,holiday,102385,가을
2020-09-06,holiday,87404,가을
2020-09-07,non-holiday,38386,가을
2020-09-08,non-holiday,56662,가을
2020-09-09,non-holiday,56679,가을
2020-09-10,non-holiday,63014,가을
2020-09-11,non-holiday,69032,가을
2020-09-12,holiday,96633,가을
2020-09-13,holiday,125063,가을
2020-09-14,non-holiday,63103,가을
2020-09-15,non-holiday,65765,가을
2020-09-16,non-holiday,60052,가을
2020-09-17,non-holiday,66112,가을
2020-09-18,non-holiday,75596,가을
2020-09-19,holiday,116879,가을
2020-09-20,holiday,125478,가을
2020-09-21,non-holiday,65906,가을
2020-09-22,non-holiday,69527,가을
2020-09-23,non-holiday,68056,가을
2020-09-24,non-holiday,70767,가을
2020-09-25,non-holiday,76313,가을
2020-09-26,holiday,114488,가을
2020-09-27,holiday,112056,가을
2020-09-28,non-holiday,69806,가을
2020-09-29,non-holiday,76000,가을
2020-09-30,holiday,119184,가을
2020-10-01,holiday,174808,가을
2020-10-02,holiday,156251,가을
2020-10-03,holiday,139006,가을
2020-10-04,holiday,93857,가을
2020-10-05,non-holiday,52539,가을
2020-10-06,non-holiday,55494,가을
2020-10-07,non-holiday,56726,가을
2020-10-08,non-holiday,63533,가을
2020-10-09,holiday,124803,가을
2020-10-10,holiday,124214,가을
2020-10-11,holiday,112279,가을
2020-10-12,non-holiday,58909,가을
2020-10-13,non-holiday,61280,가을
2020-10-14,non-holiday,62505,가을
2020-10-15,non-holiday,65460,가을
2020-10-16,non-holiday,69438,가을
2020-10-17,holiday,115984,가을
2020-10-18,holiday,122809,가을
2020-10-19,non-holiday,65112,가을
2020-10-20,non-holiday,69578,가을
2020-10-21,non-holiday,65881,가을
2020-10-22,non-holiday,68954,가을
2020-10-23,non-holiday,75979,가을
2020-10-24,holiday,122801,가을
2020-10-25,holiday,131314,가을
2020-10-26,non-holiday,65905,가을
2020-10-27,non-holiday,71366,가을
2020-10-28,non-holiday,69745,가을
2020-10-29,non-holiday,72439,가을
2020-10-30,non-holiday,82509,가을
2020-10-31,holiday,134149,가을
2020-11-01,holiday,88894,가을
2020-11-02,non-holiday,57430,가을
2020-11-03,non-holiday,59903,가을
2020-11-04,non-holiday,57723,가을
2020-11-05,non-holiday,62025,가을
2020-11-06,non-holiday,68292,가을
2020-11-07,holiday,111571,가을
2020-11-08,holiday,114833,가을
2020-11-09,non-holiday,58728,가을
2020-11-10,non-holiday,61698,가을
2020-11-11,non-holiday,61534,가을
2020-11-12,non-holiday,64711,가을
2020-11-13,non-holiday,72916,가을
2020-11-14,holiday,107168,가을
2020-11-15,holiday,107181,가을
2020-11-16,non-holiday,61687,가을
2020-11-17,non-holiday,60832,가을
2020-11-18,non-holiday,55703,가을
2020-11-19,non-holiday,49850,가을
2020-11-20,non-holiday,66033,가을
2020-11-21,holiday,89303,가을
2020-11-22,holiday,78325,가을
2020-11-23,non-holiday,57945,가을
2020-11-24,non-holiday,59622,가을
2020-11-25,non-holiday,59409,가을
2020-11-26,non-holiday,60633,가을
2020-11-27,non-holiday,63748,가을
2020-11-28,holiday,80174,가을
2020-11-29,holiday,72966,가을
2020-11-30,non-holiday,56122,가을
2020-12-01,non-holiday,45894,겨울
2020-12-02,non-holiday,47783,겨울
2020-12-03,non-holiday,49171,겨울
2020-12-04,non-holiday,54037,겨울
2020-12-05,holiday,75836,겨울
2020-12-06,holiday,69947,겨울
2020-12-07,non-holiday,48503,겨울
2020-12-08,non-holiday,51363,겨울
2020-12-09,non-holiday,51949,겨울
2020-12-10,non-holiday,53888,겨울
2020-12-11,non-holiday,60674,겨울
2020-12-12,holiday,79363,겨울
2020-12-13,holiday,55031,겨울
2020-12-14,non-holiday,45154,겨울
2020-12-15,non-holiday,48124,겨울
2020-12-16,non-holiday,47693,겨울
2020-12-17,non-holiday,50152,겨울
2020-12-18,non-holiday,55441,겨울
2020-12-19,holiday,67568,겨울
2020-12-20,holiday,62930,겨울
2020-12-21,non-holiday,50883,겨울
2020-12-22,non-holiday,54883,겨울
2020-12-23,non-holiday,52970,겨울
2020-12-24,non-holiday,58372,겨울
2020-12-25,holiday,75393,겨울
2020-12-26,holiday,77582,겨울
2020-12-27,holiday,65943,겨울
2020-12-28,non-holiday,52820,겨울
2020-12-29,non-holiday,53885,겨울
2020-12-30,non-holiday,51006,겨울
2020-12-31,non-holiday,60096,겨울
