날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,93407,겨울
2020-01-02,non-holiday,53246,겨울
2020-01-03,non-holiday,55507,겨울
2020-01-04,holiday,71611,겨울
2020-01-05,holiday,68412,겨울
2020-01-06,non-holiday,43818,겨울
2020-01-07,non-holiday,41130,겨울
2020-01-08,non-holiday,44019,겨울
2020-01-09,non-holiday,47812,겨울
2020-01-10,non-holiday,55479,겨울
2020-01-11,holiday,73661,겨울
2020-01-12,holiday,72712,겨울
2020-01-13,non-holiday,49055,겨울
2020-01-14,non-holiday,50403,겨울
2020-01-15,non-holiday,50499,겨울
2020-01-16,non-holiday,51045,겨울
2020-01-17,non-holiday,55196,겨울
2020-01-18,holiday,67945,겨울
2020-01-19,holiday,68078,겨울
2020-01-20,non-holiday,49638,겨울
2020-01-21,non-holiday,51359,겨울
2020-01-22,non-holiday,50705,겨울
2020-01-23,non-holiday,59938,겨울
2020-01-24,holiday,101976,겨울
2020-01-25,holiday,141811,겨울
2020-01-26,holiday,124469,겨울
2020-01-27,holiday,68711,겨울
2020-01-28,non-holiday,53656,겨울
2020-01-29,non-holiday,53104,겨울
2020-01-30,non-holiday,53563,겨울
2020-01-31,non-holiday,57052,겨울
2020-02-01,holiday,62527,겨울
2020-02-02,holiday,61430,겨울
2020-02-03,non-holiday,42183,겨울
2020-02-04,non-holiday,43527,겨울
2020-02-05,non-holiday,42660,겨울
2020-02-06,non-holiday,43263,겨울
2020-02-07,non-holiday,50406,겨울
2020-02-08,holiday,65809,겨울
2020-02-09,holiday,66256,겨울
2020-02-10,non-holiday,46744,겨울
2020-02-11,non-holiday,48722,겨울
2020-02-12,non-holiday,42879,겨울
2020-02-13,non-holiday,49792,겨울
2020-02-14,non-holiday,56098,겨울
2020-02-15,holiday,77874,겨울
2020-02-16,holiday,67239,겨울
2020-02-17,non-holiday,46621,겨울
2020-02-18,non-holiday,48856,겨울
2020-02-19,non-holiday,51995,겨울
2020-02-20,non-holiday,52698,겨울
2020-02-21,non-holiday,55839,겨울
2020-02-22,holiday,64180,겨울
2020-02-23,holiday,60811,겨울
2020-02-24,non-holiday,47140,겨울
2020-02-25,non-holiday,39799,겨울
2020-02-26,non-holiday,43580,겨울
2020-02-27,non-holiday,44486,겨울
2020-02-28,non-holiday,45271,겨울
2020-02-29,holiday,54097,겨울
2020-03-01,holiday,41930,봄
2020-03-02,non-holiday,33461,봄
2020-03-03,non-holiday,34009,봄
2020-03-04,non-holiday,34628,봄
2020-03-05,non-holiday,35163,봄
2020-03-06,non-holiday,41536,봄
2020-03-07,holiday,46901,봄
2020-03-08,holiday,55430,봄
2020-03-09,non-holiday,37242,봄
2020-03-10,non-holiday,33555,봄
2020-03-11,non-holiday,41178,봄
2020-03-12,non-holiday,43075,봄
2020-03-13,non-holiday,47390,봄
2020-03-14,holiday,60347,봄
2020-03-15,holiday,57072,봄
2020-03-16,non-holiday,40960,봄
2020-03-17,non-holiday,41600,봄
2020-03-18,non-holiday,44646,봄
2020-03-19,non-holiday,40180,봄
2020-03-20,non-holiday,48793,봄
2020-03-21,holiday,70623,봄
2020-03-22,holiday,71645,봄
2020-03-23,non-holiday,46820,봄
2020-03-24,non-holiday,46975,봄
2020-03-25,non-holiday,49449,봄
2020-03-26,non-holiday,42188,봄
2020-03-27,non-holiday,45831,봄
2020-03-28,holiday,64913,봄
2020-03-29,holiday,67851,봄
2020-03-30,non-holiday,49104,봄
2020-03-31,non-holiday,49383,봄
2020-04-01,non-holiday,32494,봄
2020-04-02,non-holiday,36468,봄
2020-04-03,non-holiday,43068,봄
2020-04-04,holiday,62559,봄
2020-04-05,holiday,61870,봄
2020-04-06,non-holiday,39051,봄
2020-04-07,non-holiday,39449,봄
2020-04-08,non-holiday,39760,봄
2020-04-09,non-holiday,39804,봄
2020-04-10,non-holiday,44190,봄
2020-04-11,holiday,60589,봄
2020-04-12,holiday,51827,봄
2020-04-13,non-holiday,39720,봄
2020-04-14,non-holiday,45396,봄
2020-04-15,holiday,52051,봄
2020-04-16,non-holiday,42484,봄
2020-04-17,non-holiday,41287,봄
2020-04-18,holiday,68028,봄
2020-04-19,holiday,58073,봄
2020-04-20,non-holiday,42935,봄
2020-04-21,non-holiday,43093,봄
2020-04-22,non-holiday,43262,봄
2020-04-23,non-holiday,45443,봄
2020-04-24,non-holiday,50558,봄
2020-04-25,holiday,70045,봄
2020-04-26,holiday,73980,봄
2020-04-27,non-holiday,48518,봄
2020-04-28,non-holiday,48409,봄
2020-04-29,non-holiday,56034,봄
2020-04-30,holiday,103800,봄
2020-05-01,non-holiday,118999,봄
