날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,118570,겨울
2020-01-02,non-holiday,89079,겨울
2020-01-03,non-holiday,98280,겨울
2020-01-04,holiday,122396,겨울
2020-01-05,holiday,113618,겨울
2020-01-06,non-holiday,82199,겨울
2020-01-07,non-holiday,82706,겨울
2020-01-08,non-holiday,88645,겨울
2020-01-09,non-holiday,94052,겨울
2020-01-10,non-holiday,101653,겨울
2020-01-11,holiday,130925,겨울
2020-01-12,holiday,119493,겨울
2020-01-13,non-holiday,91073,겨울
2020-01-14,non-holiday,95363,겨울
2020-01-15,non-holiday,97811,겨울
2020-01-16,non-holiday,97154,겨울
2020-01-17,non-holiday,105797,겨울
2020-01-18,holiday,128747,겨울
2020-01-19,holiday,122901,겨울
2020-01-20,non-holiday,98354,겨울
2020-01-21,non-holiday,104210,겨울
2020-01-22,non-holiday,107296,겨울
2020-01-23,non-holiday,118888,겨울
2020-01-24,holiday,182348,겨울
2020-01-25,holiday,273054,겨울
2020-01-26,holiday,199621,겨울
2020-01-27,holiday,117752,겨울
2020-01-28,non-holiday,101678,겨울
2020-01-29,non-holiday,102357,겨울
2020-01-30,non-holiday,103348,겨울
2020-01-31,non-holiday,110243,겨울
2020-02-01,holiday,109606,겨울
2020-02-02,holiday,101083,겨울
2020-02-03,non-holiday,80071,겨울
2020-02-04,non-holiday,84967,겨울
2020-02-05,non-holiday,84334,겨울
2020-02-06,non-holiday,84901,겨울
2020-02-07,non-holiday,94219,겨울
2020-02-08,holiday,113961,겨울
2020-02-09,holiday,109209,겨울
2020-02-10,non-holiday,89918,겨울
2020-02-11,non-holiday,94600,겨울
2020-02-12,non-holiday,84540,겨울
2020-02-13,non-holiday,96304,겨울
2020-02-14,non-holiday,108620,겨울
2020-02-15,holiday,135827,겨울
2020-02-16,holiday,119214,겨울
2020-02-17,non-holiday,91783,겨울
2020-02-18,non-holiday,95537,겨울
2020-02-19,non-holiday,100439,겨울
2020-02-20,non-holiday,100558,겨울
2020-02-21,non-holiday,102049,겨울
2020-02-22,holiday,105000,겨울
2020-02-23,holiday,86105,겨울
2020-02-24,non-holiday,81714,겨울
2020-02-25,non-holiday,72844,겨울
2020-02-26,non-holiday,82753,겨울
2020-02-27,non-holiday,84171,겨울
2020-02-28,non-holiday,85450,겨울
