날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,40105,겨울
2020-01-02,non-holiday,16425,겨울
2020-01-03,non-holiday,16524,겨울
2020-01-04,holiday,24435,겨울
2020-01-05,holiday,25032,겨울
2020-01-06,non-holiday,10135,겨울
2020-01-07,non-holiday,9004,겨울
2020-01-08,non-holiday,9621,겨울
2020-01-09,non-holiday,13387,겨울
2020-01-10,non-holiday,15701,겨울
2020-01-11,holiday,26115,겨울
2020-01-12,holiday,27174,겨울
2020-01-13,non-holiday,13190,겨울
2020-01-14,non-holiday,13670,겨울
2020-01-15,non-holiday,14350,겨울
2020-01-16,non-holiday,13900,겨울
2020-01-17,non-holiday,14752,겨울
2020-01-18,holiday,23413,겨울
2020-01-19,holiday,22122,겨울
2020-01-20,non-holiday,12417,겨울
2020-01-21,non-holiday,13225,겨울
2020-01-22,non-holiday,11755,겨울
2020-01-23,non-holiday,17531,겨울
2020-01-24,holiday,53600,겨울
2020-01-25,holiday,80345,겨울
2020-01-26,holiday,58197,겨울
2020-01-27,holiday,21045,겨울
2020-01-28,non-holiday,13390,겨울
2020-01-29,non-holiday,13873,겨울
2020-01-30,non-holiday,13765,겨울
2020-01-31,non-holiday,15005,겨울
2020-02-01,holiday,20825,겨울
2020-02-02,holiday,24852,겨울
2020-02-03,non-holiday,11965,겨울
2020-02-04,non-holiday,11942,겨울
2020-02-05,non-holiday,12098,겨울
2020-02-06,non-holiday,12477,겨울
2020-02-07,non-holiday,14024,겨울
2020-02-08,holiday,20973,겨울
2020-02-09,holiday,23713,겨울
2020-02-10,non-holiday,12879,겨울
2020-02-11,non-holiday,13013,겨울
2020-02-12,non-holiday,9992,겨울
2020-02-13,non-holiday,13987,겨울
2020-02-14,non-holiday,15699,겨울
2020-02-15,holiday,25767,겨울
2020-02-16,holiday,21715,겨울
2020-02-17,non-holiday,11409,겨울
2020-02-18,non-holiday,12604,겨울
2020-02-19,non-holiday,13233,겨울
2020-02-20,non-holiday,14123,겨울
2020-02-21,non-holiday,14460,겨울
2020-02-22,holiday,18672,겨울
2020-02-23,holiday,19784,겨울
2020-02-24,non-holiday,12479,겨울
2020-02-25,non-holiday,8216,겨울
2020-02-26,non-holiday,10018,겨울
2020-02-27,non-holiday,11285,겨울
2020-02-28,non-holiday,12173,겨울
2020-02-29,holiday,17870,겨울
2020-03-01,holiday,16482,봄
2020-03-02,non-holiday,10122,봄
2020-03-03,non-holiday,9613,봄
2020-03-04,non-holiday,9894,봄
2020-03-05,non-holiday,11162,봄
2020-03-06,non-holiday,13165,봄
2020-03-07,holiday,16968,봄
2020-03-08,holiday,22822,봄
2020-03-09,non-holiday,10328,봄
2020-03-10,non-holiday,8734,봄
2020-03-11,non-holiday,12233,봄
2020-03-12,non-holiday,13277,봄
2020-03-13,non-holiday,15661,봄
2020-03-14,holiday,26090,봄
2020-03-15,holiday,23641,봄
2020-03-16,non-holiday,13114,봄
2020-03-17,non-holiday,13331,봄
2020-03-18,non-holiday,15191,봄
2020-03-19,non-holiday,11754,봄
2020-03-20,non-holiday,16671,봄
2020-03-21,holiday,30749,봄
2020-03-22,holiday,32006,봄
2020-03-23,non-holiday,14565,봄
2020-03-24,non-holiday,14667,봄
2020-03-25,non-holiday,14655,봄
2020-03-26,non-holiday,10272,봄
2020-03-27,non-holiday,13287,봄
2020-03-28,holiday,28201,봄
2020-03-29,holiday,30920,봄
2020-03-30,non-holiday,15717,봄
2020-03-31,non-holiday,14913,봄
2020-04-01,non-holiday,10200,봄
2020-04-02,non-holiday,11803,봄
2020-04-03,non-holiday,14822,봄
2020-04-04,holiday,27524,봄
2020-04-05,holiday,27695,봄
2020-04-06,non-holiday,11483,봄
2020-04-07,non-holiday,11578,봄
2020-04-08,non-holiday,11802,봄
