날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,39174,겨울
2020-01-02,non-holiday,21041,겨울
2020-01-03,non-holiday,23522,겨울
2020-01-04,holiday,35572,겨울
2020-01-05,holiday,37507,겨울
2020-01-06,non-holiday,18061,겨울
2020-01-07,non-holiday,17544,겨울
2020-01-08,non-holiday,20078,겨울
2020-01-09,non-holiday,22875,겨울
2020-01-10,non-holiday,24424,겨울
2020-01-11,holiday,37443,겨울
2020-01-12,holiday,39067,겨울
2020-01-13,non-holiday,21734,겨울
2020-01-14,non-holiday,22547,겨울
2020-01-15,non-holiday,22509,겨울
2020-01-16,non-holiday,23046,겨울
2020-01-17,non-holiday,26081,겨울
2020-01-18,holiday,36801,겨울
2020-01-19,holiday,39085,겨울
2020-01-20,non-holiday,23585,겨울
2020-01-21,non-holiday,23603,겨울
2020-01-22,non-holiday,23219,겨울
2020-01-23,non-holiday,29761,겨울
2020-01-24,holiday,76371,겨울
2020-01-25,holiday,148788,겨울
2020-01-26,holiday,83409,겨울
2020-01-27,holiday,33866,겨울
2020-01-28,non-holiday,24498,겨울
2020-01-29,non-holiday,24302,겨울
2020-01-30,non-holiday,24474,겨울
2020-01-31,non-holiday,26362,겨울
2020-02-01,holiday,34174,겨울
2020-02-02,holiday,36174,겨울
2020-02-03,non-holiday,18205,겨울
2020-02-04,non-holiday,19769,겨울
2020-02-05,non-holiday,19147,겨울
2020-02-06,non-holiday,19408,겨울
2020-02-07,non-holiday,21691,겨울
2020-02-08,holiday,35571,겨울
2020-02-09,holiday,40307,겨울
2020-02-10,non-holiday,21169,겨울
2020-02-11,non-holiday,22098,겨울
2020-02-12,non-holiday,17487,겨울
2020-02-13,non-holiday,23632,겨울
2020-02-14,non-holiday,27018,겨울
2020-02-15,holiday,43138,겨울
2020-02-16,holiday,41186,겨울
2020-02-17,non-holiday,21121,겨울
2020-02-18,non-holiday,23171,겨울
2020-02-19,non-holiday,24083,겨울
2020-02-20,non-holiday,23883,겨울
2020-02-21,non-holiday,23977,겨울
2020-02-22,holiday,29271,겨울
2020-02-23,holiday,30304,겨울
2020-02-24,non-holiday,20468,겨울
2020-02-25,non-holiday,16284,겨울
2020-02-26,non-holiday,20490,겨울
2020-02-27,non-holiday,21089,겨울
2020-02-28,non-holiday,20437,겨울
2020-02-29,holiday,30035,겨울
2020-03-01,holiday,28434,봄
2020-03-02,non-holiday,17396,봄
2020-03-03,non-holiday,18566,봄
2020-03-04,non-holiday,19173,봄
2020-03-05,non-holiday,18742,봄
2020-03-06,non-holiday,21812,봄
2020-03-07,holiday,28566,봄
2020-03-08,holiday,42059,봄
2020-03-09,non-holiday,18875,봄
2020-03-10,non-holiday,16881,봄
2020-03-11,non-holiday,21427,봄
2020-03-12,non-holiday,22356,봄
2020-03-13,non-holiday,25347,봄
2020-03-14,holiday,41521,봄
2020-03-15,holiday,42634,봄
2020-03-16,non-holiday,22092,봄
2020-03-17,non-holiday,22918,봄
2020-03-18,non-holiday,24228,봄
2020-03-19,non-holiday,22218,봄
2020-03-20,non-holiday,27056,봄
2020-03-21,holiday,45774,봄
2020-03-22,holiday,50456,봄
2020-03-23,non-holiday,24934,봄
2020-03-24,non-holiday,26126,봄
2020-03-25,non-holiday,27577,봄
2020-03-26,non-holiday,21434,봄
2020-03-27,non-holiday,24069,봄
2020-03-28,holiday,47979,봄
2020-03-29,holiday,57163,봄
2020-03-30,non-holiday,29175,봄
2020-03-31,non-holiday,29275,봄
2020-04-01,non-holiday,20093,봄
2020-04-02,non-holiday,23527,봄
2020-04-03,non-holiday,26857,봄
2020-04-04,holiday,50725,봄
2020-04-05,holiday,54544,봄
2020-04-06,non-holiday,21991,봄
2020-04-07,non-holiday,22825,봄
2020-04-08,non-holiday,23281,봄
2020-04-09,non-holiday,23785,봄
2020-04-10,non-holiday,25418,봄
2020-04-11,holiday,43835,봄
2020-04-12,holiday,39392,봄
2020-04-13,non-holiday,21898,봄
2020-04-14,non-holiday,26398,봄
2020-04-15,holiday,38597,봄
2020-04-16,non-holiday,25923,봄
2020-04-17,non-holiday,21580,봄
2020-04-18,holiday,50076,봄
