날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,61427,겨울
2020-01-02,non-holiday,32023,겨울
2020-01-03,non-holiday,34464,겨울
2020-01-04,holiday,47663,겨울
2020-01-05,holiday,46865,겨울
2020-01-06,non-holiday,27098,겨울
2020-01-07,non-holiday,26924,겨울
2020-01-08,non-holiday,28841,겨울
2020-01-09,non-holiday,32887,겨울
2020-01-10,non-holiday,35799,겨울
2020-01-11,holiday,47855,겨울
2020-01-12,holiday,48558,겨울
2020-01-13,non-holiday,31601,겨울
2020-01-14,non-holiday,32898,겨울
2020-01-15,non-holiday,32875,겨울
2020-01-16,non-holiday,33495,겨울
2020-01-17,non-holiday,35975,겨울
2020-01-18,holiday,46416,겨울
2020-01-19,holiday,46559,겨울
2020-01-20,non-holiday,31551,겨울
2020-01-21,non-holiday,34505,겨울
2020-01-22,non-holiday,32607,겨울
2020-01-23,non-holiday,45753,겨울
2020-01-24,holiday,94230,겨울
2020-01-25,holiday,136916,겨울
2020-01-26,holiday,92111,겨울
2020-01-27,holiday,43984,겨울
2020-01-28,non-holiday,33589,겨울
2020-01-29,non-holiday,32473,겨울
2020-01-30,non-holiday,33768,겨울
2020-01-31,non-holiday,35964,겨울
2020-02-01,holiday,40994,겨울
2020-02-02,holiday,40985,겨울
2020-02-03,non-holiday,26871,겨울
2020-02-04,non-holiday,28203,겨울
2020-02-05,non-holiday,28673,겨울
2020-02-06,non-holiday,29306,겨울
2020-02-07,non-holiday,31053,겨울
2020-02-08,holiday,42141,겨울
2020-02-09,holiday,43248,겨울
2020-02-10,non-holiday,29512,겨울
2020-02-11,non-holiday,30691,겨울
2020-02-12,non-holiday,27184,겨울
2020-02-13,non-holiday,32226,겨울
2020-02-14,non-holiday,35346,겨울
2020-02-15,holiday,48205,겨울
2020-02-16,holiday,45160,겨울
2020-02-17,non-holiday,30410,겨울
2020-02-18,non-holiday,31177,겨울
2020-02-19,non-holiday,32452,겨울
2020-02-20,non-holiday,32621,겨울
2020-02-21,non-holiday,32801,겨울
2020-02-22,holiday,34651,겨울
2020-02-23,holiday,32002,겨울
2020-02-24,non-holiday,27495,겨울
2020-02-25,non-holiday,23192,겨울
2020-02-26,non-holiday,27468,겨울
2020-02-27,non-holiday,27703,겨울
2020-02-28,non-holiday,27478,겨울
2020-02-29,holiday,34395,겨울
2020-03-01,holiday,29950,봄
2020-03-02,non-holiday,23273,봄
2020-03-03,non-holiday,24619,봄
2020-03-04,non-holiday,25693,봄
2020-03-05,non-holiday,26223,봄
2020-03-06,non-holiday,29100,봄
2020-03-07,holiday,33788,봄
2020-03-08,holiday,41057,봄
2020-03-09,non-holiday,25931,봄
2020-03-10,non-holiday,24683,봄
2020-03-11,non-holiday,29812,봄
2020-03-12,non-holiday,30382,봄
2020-03-13,non-holiday,33413,봄
2020-03-14,holiday,47961,봄
2020-03-15,holiday,43691,봄
2020-03-16,non-holiday,29446,봄
2020-03-17,non-holiday,30483,봄
2020-03-18,non-holiday,32268,봄
2020-03-19,non-holiday,30681,봄
2020-03-20,non-holiday,35263,봄
2020-03-21,holiday,51804,봄
2020-03-22,holiday,50519,봄
