날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,63396,겨울
2020-01-02,non-holiday,50929,겨울
2020-01-03,non-holiday,56065,겨울
2020-01-04,holiday,72147,겨울
2020-01-05,holiday,65591,겨울
2020-01-06,non-holiday,47631,겨울
2020-01-07,non-holiday,48995,겨울
2020-01-08,non-holiday,50667,겨울
2020-01-09,non-holiday,54117,겨울
2020-01-10,non-holiday,59549,겨울
2020-01-11,holiday,79256,겨울
2020-01-12,holiday,70240,겨울
2020-01-13,non-holiday,59269,겨울
2020-01-14,non-holiday,54753,겨울
2020-01-15,non-holiday,56217,겨울
2020-01-16,non-holiday,55937,겨울
2020-01-17,non-holiday,64398,겨울
2020-01-18,holiday,75292,겨울
2020-01-19,holiday,68865,겨울
2020-01-20,non-holiday,55886,겨울
2020-01-21,non-holiday,56519,겨울
2020-01-22,non-holiday,58981,겨울
2020-01-23,non-holiday,79372,겨울
2020-01-24,holiday,146088,겨울
2020-01-25,holiday,206448,겨울
2020-01-26,holiday,139450,겨울
2020-01-27,holiday,80052,겨울
2020-01-28,non-holiday,62325,겨울
2020-01-29,non-holiday,55896,겨울
2020-01-30,non-holiday,56034,겨울
2020-01-31,non-holiday,58939,겨울
2020-02-01,holiday,60716,겨울
2020-02-02,holiday,56584,겨울
2020-02-03,non-holiday,45215,겨울
2020-02-04,non-holiday,46429,겨울
2020-02-05,non-holiday,46275,겨울
2020-02-06,non-holiday,46034,겨울
2020-02-07,non-holiday,50802,겨울
2020-02-08,holiday,65312,겨울
2020-02-09,holiday,61030,겨울
2020-02-10,non-holiday,54568,겨울
2020-02-11,non-holiday,50865,겨울
2020-02-12,non-holiday,48047,겨울
2020-02-13,non-holiday,52620,겨울
2020-02-14,non-holiday,60483,겨울
2020-02-15,holiday,79565,겨울
2020-02-16,holiday,68475,겨울
2020-02-17,non-holiday,52023,겨울
2020-02-18,non-holiday,54206,겨울
2020-02-19,non-holiday,54421,겨울
2020-02-20,non-holiday,56157,겨울
2020-02-21,non-holiday,53294,겨울
2020-02-22,holiday,54018,겨울
2020-02-23,holiday,42536,겨울
2020-02-24,non-holiday,44120,겨울
2020-02-25,non-holiday,39698,겨울
2020-02-26,non-holiday,42172,겨울
2020-02-27,non-holiday,43531,겨울
2020-02-28,non-holiday,45814,겨울
2020-02-29,holiday,49789,겨울
2020-03-01,holiday,34392,봄
2020-03-02,non-holiday,34119,봄
2020-03-03,non-holiday,34866,봄
2020-03-04,non-holiday,36778,봄
2020-03-05,non-holiday,37696,봄
2020-03-06,non-holiday,42535,봄
2020-03-07,holiday,49005,봄
2020-03-08,holiday,47308,봄
2020-03-09,non-holiday,45775,봄
2020-03-10,non-holiday,40833,봄
2020-03-11,non-holiday,43415,봄
2020-03-12,non-holiday,43769,봄
2020-03-13,non-holiday,48457,봄
2020-03-14,holiday,60287,봄
2020-03-15,holiday,52428,봄
2020-03-16,non-holiday,46100,봄
2020-03-17,non-holiday,47767,봄
2020-03-18,non-holiday,48518,봄
2020-03-19,non-holiday,47432,봄
2020-03-20,non-holiday,53819,봄
2020-03-21,holiday,68447,봄
2020-03-22,holiday,60011,봄
2020-03-23,non-holiday,49036,봄
2020-03-24,non-holiday,49451,봄
2020-03-25,non-holiday,51127,봄
2020-03-26,non-holiday,48993,봄
2020-03-27,non-holiday,55651,봄
2020-03-28,holiday,70597,봄
2020-03-29,holiday,59678,봄
2020-03-30,non-holiday,50853,봄
2020-03-31,non-holiday,50210,봄
2020-04-01,non-holiday,33545,봄
2020-04-02,non-holiday,33744,봄
2020-04-03,non-holiday,38644,봄
2020-04-04,holiday,49263,봄
2020-04-05,holiday,43901,봄
2020-04-06,non-holiday,41169,봄
2020-04-07,non-holiday,37848,봄
2020-04-08,non-holiday,38084,봄
