날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,31761,겨울
2020-01-02,non-holiday,17939,겨울
2020-01-03,non-holiday,19136,겨울
2020-01-04,holiday,27706,겨울
2020-01-05,holiday,28351,겨울
2020-01-06,non-holiday,15672,겨울
2020-01-07,non-holiday,15546,겨울
2020-01-08,non-holiday,17504,겨울
2020-01-09,non-holiday,18803,겨울
2020-01-10,non-holiday,19939,겨울
2020-01-11,holiday,26573,겨울
2020-01-12,holiday,29773,겨울
2020-01-13,non-holiday,18227,겨울
2020-01-14,non-holiday,18072,겨울
2020-01-15,non-holiday,18738,겨울
2020-01-16,non-holiday,19066,겨울
2020-01-17,non-holiday,19979,겨울
2020-01-18,holiday,27391,겨울
2020-01-19,holiday,26868,겨울
2020-01-20,non-holiday,18191,겨울
2020-01-21,non-holiday,19446,겨울
2020-01-22,non-holiday,18585,겨울
2020-01-23,non-holiday,22986,겨울
2020-01-24,holiday,59901,겨울
2020-01-25,holiday,112527,겨울
2020-01-26,holiday,61792,겨울
2020-01-27,holiday,25537,겨울
2020-01-28,non-holiday,18767,겨울
2020-01-29,non-holiday,18429,겨울
2020-01-30,non-holiday,19741,겨울
2020-01-31,non-holiday,20532,겨울
2020-02-01,holiday,24822,겨울
2020-02-02,holiday,25648,겨울
2020-02-03,non-holiday,16267,겨울
2020-02-04,non-holiday,16636,겨울
2020-02-05,non-holiday,15957,겨울
2020-02-06,non-holiday,16602,겨울
2020-02-07,non-holiday,18305,겨울
2020-02-08,holiday,24725,겨울
2020-02-09,holiday,27397,겨울
2020-02-10,non-holiday,17061,겨울
2020-02-11,non-holiday,18008,겨울
2020-02-12,non-holiday,15359,겨울
2020-02-13,non-holiday,18553,겨울
2020-02-14,non-holiday,19794,겨울
2020-02-15,holiday,28794,겨울
2020-02-16,holiday,26323,겨울
2020-02-17,non-holiday,16869,겨울
2020-02-18,non-holiday,18297,겨울
2020-02-19,non-holiday,18692,겨울
2020-02-20,non-holiday,17989,겨울
2020-02-21,non-holiday,17751,겨울
2020-02-22,holiday,18938,겨울
2020-02-23,holiday,18543,겨울
2020-02-24,non-holiday,14966,겨울
2020-02-25,non-holiday,11998,겨울
2020-02-26,non-holiday,15379,겨울
2020-02-27,non-holiday,15321,겨울
2020-02-28,non-holiday,14955,겨울
2020-02-29,holiday,19531,겨울
2020-03-01,holiday,18120,봄
2020-03-02,non-holiday,13145,봄
2020-03-03,non-holiday,14078,봄
2020-03-04,non-holiday,13508,봄
2020-03-05,non-holiday,12924,봄
2020-03-06,non-holiday,14579,봄
2020-03-07,holiday,16483,봄
2020-03-08,holiday,22167,봄
2020-03-09,non-holiday,12988,봄
2020-03-10,non-holiday,11382,봄
2020-03-11,non-holiday,14930,봄
2020-03-12,non-holiday,16140,봄
2020-03-13,non-holiday,16753,봄
2020-03-14,holiday,23482,봄
2020-03-15,holiday,24344,봄
2020-03-16,non-holiday,15538,봄
2020-03-17,non-holiday,16957,봄
2020-03-18,non-holiday,17410,봄
2020-03-19,non-holiday,16118,봄
2020-03-20,non-holiday,18903,봄
2020-03-21,holiday,28999,봄
2020-03-22,holiday,31291,봄
2020-03-23,non-holiday,17813,봄
2020-03-24,non-holiday,18411,봄
2020-03-25,non-holiday,19325,봄
2020-03-26,non-holiday,15789,봄
2020-03-27,non-holiday,18110,봄
2020-03-28,holiday,28393,봄
2020-03-29,holiday,32611,봄
2020-03-30,non-holiday,19388,봄
2020-03-31,non-holiday,20092,봄
2020-04-01,non-holiday,15254,봄
2020-04-02,non-holiday,17318,봄
2020-04-03,non-holiday,18483,봄
2020-04-04,holiday,28150,봄
2020-04-05,holiday,31400,봄
2020-04-06,non-holiday,15745,봄
2020-04-07,non-holiday,17809,봄
2020-04-08,non-holiday,17509,봄
2020-04-09,non-holiday,16929,봄
2020-04-10,non-holiday,18727,봄
2020-04-11,holiday,27250,봄
2020-04-12,holiday,26023,봄
2020-04-13,non-holiday,16625,봄
2020-04-14,non-holiday,19374,봄
2020-04-15,holiday,24453,봄
2020-04-16,non-holiday,18296,봄
2020-04-17,non-holiday,16300,봄
