날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,69670,겨울
2020-01-02,non-holiday,39160,겨울
2020-01-03,non-holiday,39429,겨울
2020-01-04,holiday,57255,겨울
2020-01-05,holiday,52624,겨울
2020-01-06,non-holiday,28252,겨울
2020-01-07,non-holiday,26588,겨울
2020-01-08,non-holiday,27052,겨울
2020-01-09,non-holiday,30709,겨울
2020-01-10,non-holiday,37485,겨울
2020-01-11,holiday,58586,겨울
2020-01-12,holiday,54720,겨울
2020-01-13,non-holiday,32236,겨울
2020-01-14,non-holiday,32948,겨울
2020-01-15,non-holiday,34025,겨울
2020-01-16,non-holiday,35471,겨울
2020-01-17,non-holiday,40677,겨울
2020-01-18,holiday,55178,겨울
2020-01-19,holiday,53604,겨울
2020-01-20,non-holiday,31832,겨울
2020-01-21,non-holiday,34026,겨울
2020-01-22,non-holiday,32238,겨울
2020-01-23,non-holiday,40585,겨울
2020-01-24,holiday,81909,겨울
2020-01-25,holiday,111796,겨울
2020-01-26,holiday,90131,겨울
2020-01-27,holiday,45286,겨울
2020-01-28,non-holiday,36101,겨울
2020-01-29,non-holiday,35826,겨울
2020-01-30,non-holiday,35181,겨울
2020-01-31,non-holiday,37942,겨울
2020-02-01,holiday,46901,겨울
2020-02-02,holiday,46509,겨울
2020-02-03,non-holiday,28326,겨울
2020-02-04,non-holiday,28467,겨울
2020-02-05,non-holiday,28100,겨울
2020-02-06,non-holiday,28040,겨울
2020-02-07,non-holiday,34166,겨울
2020-02-08,holiday,49023,겨울
2020-02-09,holiday,47888,겨울
2020-02-10,non-holiday,30547,겨울
2020-02-11,non-holiday,32400,겨울
2020-02-12,non-holiday,27922,겨울
2020-02-13,non-holiday,33355,겨울
2020-02-14,non-holiday,37030,겨울
2020-02-15,holiday,56595,겨울
2020-02-16,holiday,47743,겨울
2020-02-17,non-holiday,28502,겨울
2020-02-18,non-holiday,31526,겨울
2020-02-19,non-holiday,34193,겨울
2020-02-20,non-holiday,35065,겨울
2020-02-21,non-holiday,36506,겨울
2020-02-22,holiday,42358,겨울
2020-02-23,holiday,39956,겨울
2020-02-24,non-holiday,29137,겨울
2020-02-25,non-holiday,22871,겨울
2020-02-26,non-holiday,25464,겨울
2020-02-27,non-holiday,26748,겨울
2020-02-28,non-holiday,28161,겨울
2020-02-29,holiday,36869,겨울
2020-03-01,holiday,31782,봄
2020-03-02,non-holiday,22650,봄
2020-03-03,non-holiday,22253,봄
2020-03-04,non-holiday,24042,봄
2020-03-05,non-holiday,25119,봄
2020-03-06,non-holiday,29237,봄
2020-03-07,holiday,36330,봄
2020-03-08,holiday,40837,봄
