날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,19481,겨울
2020-01-02,non-holiday,10574,겨울
2020-01-03,non-holiday,10779,겨울
2020-01-04,holiday,17146,겨울
2020-01-05,holiday,17047,겨울
2020-01-06,non-holiday,8300,겨울
2020-01-07,non-holiday,8168,겨울
2020-01-08,non-holiday,8525,겨울
2020-01-09,non-holiday,9898,겨울
2020-01-10,non-holiday,10714,겨울
2020-01-11,holiday,16135,겨울
2020-01-12,holiday,17440,겨울
2020-01-13,non-holiday,10005,겨울
2020-01-14,non-holiday,10261,겨울
2020-01-15,non-holiday,10453,겨울
2020-01-16,non-holiday,10547,겨울
2020-01-17,non-holiday,11506,겨울
2020-01-18,holiday,15711,겨울
2020-01-19,holiday,15454,겨울
2020-01-20,non-holiday,10375,겨울
2020-01-21,non-holiday,10609,겨울
2020-01-22,non-holiday,9464,겨울
2020-01-23,non-holiday,14899,겨울
2020-01-24,holiday,46009,겨울
2020-01-25,holiday,75214,겨울
2020-01-26,holiday,46054,겨울
2020-01-27,holiday,16135,겨울
2020-01-28,non-holiday,10808,겨울
2020-01-29,non-holiday,10136,겨울
2020-01-30,non-holiday,11262,겨울
2020-01-31,non-holiday,11138,겨울
2020-02-01,holiday,13701,겨울
2020-02-02,holiday,15887,겨울
2020-02-03,non-holiday,8977,겨울
2020-02-04,non-holiday,8921,겨울
2020-02-05,non-holiday,9337,겨울
2020-02-06,non-holiday,9699,겨울
2020-02-07,non-holiday,10432,겨울
2020-02-08,holiday,15064,겨울
2020-02-09,holiday,15792,겨울
2020-02-10,non-holiday,9968,겨울
2020-02-11,non-holiday,10863,겨울
2020-02-12,non-holiday,8622,겨울
2020-02-13,non-holiday,10567,겨울
2020-02-14,non-holiday,12320,겨울
2020-02-15,holiday,18993,겨울
2020-02-16,holiday,16257,겨울
2020-02-17,non-holiday,9847,겨울
2020-02-18,non-holiday,10308,겨울
2020-02-19,non-holiday,10806,겨울
2020-02-20,non-holiday,12234,겨울
2020-02-21,non-holiday,11945,겨울
2020-02-22,holiday,15481,겨울
2020-02-23,holiday,17051,겨울
2020-02-24,non-holiday,10052,겨울
2020-02-25,non-holiday,8069,겨울
2020-02-26,non-holiday,10283,겨울
2020-02-27,non-holiday,11182,겨울
2020-02-28,non-holiday,10204,겨울
2020-02-29,holiday,15703,겨울
2020-03-01,holiday,17385,봄
2020-03-02,non-holiday,10286,봄
2020-03-03,non-holiday,11792,봄
2020-03-04,non-holiday,11896,봄
2020-03-05,non-holiday,13667,봄
2020-03-06,non-holiday,15735,봄
2020-03-07,holiday,20621,봄
2020-03-08,holiday,46597,봄
2020-03-09,non-holiday,14650,봄
2020-03-10,non-holiday,10865,봄
2020-03-11,non-holiday,22432,봄
2020-03-12,non-holiday,23006,봄
2020-03-13,non-holiday,19665,봄
2020-03-14,holiday,42771,봄
2020-03-15,holiday,40486,봄
2020-03-16,non-holiday,17302,봄
2020-03-17,non-holiday,18676,봄
2020-03-18,non-holiday,19066,봄
2020-03-19,non-holiday,14086,봄
2020-03-20,non-holiday,18220,봄
2020-03-21,holiday,36095,봄
2020-03-22,holiday,34895,봄
2020-03-23,non-holiday,15570,봄
2020-03-24,non-holiday,16513,봄
2020-03-25,non-holiday,18808,봄
2020-03-26,non-holiday,13478,봄
2020-03-27,non-holiday,20015,봄
2020-03-28,holiday,39619,봄
2020-03-29,holiday,46674,봄
2020-03-30,non-holiday,26834,봄
2020-03-31,non-holiday,26759,봄
2020-04-01,non-holiday,19441,봄
2020-04-02,non-holiday,19801,봄
2020-04-03,non-holiday,20341,봄
2020-04-04,holiday,32977,봄
2020-04-05,holiday,30573,봄
2020-04-06,non-holiday,12229,봄
2020-04-07,non-holiday,11574,봄
2020-04-08,non-holiday,11693,봄
2020-04-09,non-holiday,11667,봄
2020-04-10,non-holiday,11931,봄
2020-04-11,holiday,19631,봄
2020-04-12,holiday,18395,봄
2020-04-13,non-holiday,10587,봄
2020-04-14,non-holiday,12611,봄
2020-04-15,holiday,18035,봄
2020-04-16,non-holiday,12308,봄
2020-04-17,non-holiday,10181,봄
2020-04-18,holiday,23526,봄
2020-04-19,holiday,17897,봄
2020-04-20,non-holiday,11269,봄
2020-04-21,non-holiday,11716,봄
2020-04-22,non-holiday,11905,봄
2020-04-23,non-holiday,11965,봄
2020-04-24,non-holiday,14187,봄
2020-04-25,holiday,24451,봄
2020-04-26,holiday,27180,봄
2020-04-27,non-holiday,12640,봄
2020-04-28,non-holiday,13578,봄
2020-04-29,non-holiday,15076,봄
2020-04-30,holiday,38588,봄
2020-05-01,non-holiday,44294,봄
2020-05-02,holiday,48201,봄
2020-05-03,holiday,28673,봄
2020-05-04,non-holiday,20356,봄
2020-05-05,holiday,23782,봄
2020-05-06,non-holiday,11788,봄
2020-05-07,non-holiday,12442,봄
2020-05-08,non-holiday,15317,봄
2020-05-09,holiday,18811,봄
2020-05-10,holiday,27165,봄
2020-05-11,non-holiday,12476,봄
2020-05-12,non-holiday,12508,봄
2020-05-13,non-holiday,13161,봄
2020-05-14,non-holiday,13717,봄
