날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,13026,겨울
2020-01-02,non-holiday,9957,겨울
2020-01-03,non-holiday,10436,겨울
2020-01-04,holiday,16898,겨울
2020-01-05,holiday,17773,겨울
2020-01-06,non-holiday,6704,겨울
2020-01-07,non-holiday,6596,겨울
2020-01-08,non-holiday,6430,겨울
2020-01-09,non-holiday,7944,겨울
2020-01-10,non-holiday,8841,겨울
2020-01-11,holiday,13657,겨울
2020-01-12,holiday,14907,겨울
2020-01-13,non-holiday,7712,겨울
2020-01-14,non-holiday,8494,겨울
2020-01-15,non-holiday,8424,겨울
2020-01-16,non-holiday,8492,겨울
2020-01-17,non-holiday,9708,겨울
2020-01-18,holiday,13271,겨울
2020-01-19,holiday,13839,겨울
2020-01-20,non-holiday,7963,겨울
2020-01-21,non-holiday,8552,겨울
2020-01-22,non-holiday,8596,겨울
2020-01-23,non-holiday,13821,겨울
2020-01-24,holiday,42280,겨울
2020-01-25,holiday,60686,겨울
2020-01-26,holiday,39366,겨울
2020-01-27,holiday,15735,겨울
2020-01-28,non-holiday,8757,겨울
2020-01-29,non-holiday,8283,겨울
2020-01-30,non-holiday,8266,겨울
2020-01-31,non-holiday,9536,겨울
2020-02-01,holiday,11399,겨울
2020-02-02,holiday,12401,겨울
2020-02-03,non-holiday,6898,겨울
2020-02-04,non-holiday,7392,겨울
2020-02-05,non-holiday,7133,겨울
2020-02-06,non-holiday,7492,겨울
2020-02-07,non-holiday,8752,겨울
2020-02-08,holiday,12342,겨울
2020-02-09,holiday,12886,겨울
2020-02-10,non-holiday,8094,겨울
2020-02-11,non-holiday,8391,겨울
2020-02-12,non-holiday,7574,겨울
2020-02-13,non-holiday,8418,겨울
2020-02-14,non-holiday,10278,겨울
2020-02-15,holiday,13414,겨울
2020-02-16,holiday,11440,겨울
2020-02-17,non-holiday,7107,겨울
2020-02-18,non-holiday,7833,겨울
2020-02-19,non-holiday,8671,겨울
2020-02-20,non-holiday,8949,겨울
2020-02-21,non-holiday,9021,겨울
2020-02-22,holiday,10508,겨울
2020-02-23,holiday,9434,겨울
2020-02-24,non-holiday,7690,겨울
2020-02-25,non-holiday,6606,겨울
2020-02-26,non-holiday,7533,겨울
2020-02-27,non-holiday,8203,겨울
2020-02-28,non-holiday,7677,겨울
2020-02-29,holiday,9878,겨울
2020-03-01,holiday,8014,봄
2020-03-02,non-holiday,6223,봄
2020-03-03,non-holiday,6443,봄
2020-03-04,non-holiday,6743,봄
2020-03-05,non-holiday,6945,봄
2020-03-06,non-holiday,7881,봄
2020-03-07,holiday,8883,봄
2020-03-08,holiday,10074,봄
2020-03-09,non-holiday,7129,봄
2020-03-10,non-holiday,6495,봄
2020-03-11,non-holiday,7425,봄
2020-03-12,non-holiday,8475,봄
2020-03-13,non-holiday,9321,봄
2020-03-14,holiday,12088,봄
2020-03-15,holiday,10541,봄
2020-03-16,non-holiday,7480,봄
2020-03-17,non-holiday,8309,봄
2020-03-18,non-holiday,8406,봄
2020-03-19,non-holiday,7909,봄
2020-03-20,non-holiday,9734,봄
2020-03-21,holiday,13800,봄
2020-03-22,holiday,13621,봄
2020-03-23,non-holiday,8668,봄
2020-03-24,non-holiday,8574,봄
2020-03-25,non-holiday,8901,봄
2020-03-26,non-holiday,7621,봄
2020-03-27,non-holiday,8984,봄
2020-03-28,holiday,13188,봄
2020-03-29,holiday,13594,봄
2020-03-30,non-holiday,8951,봄
2020-03-31,non-holiday,9257,봄
2020-04-01,non-holiday,6763,봄
2020-04-02,non-holiday,7766,봄
2020-04-03,non-holiday,8873,봄
2020-04-04,holiday,14018,봄
2020-04-05,holiday,14236,봄
2020-04-06,non-holiday,7367,봄
2020-04-07,non-holiday,8414,봄
2020-04-08,non-holiday,7884,봄
2020-04-09,non-holiday,8577,봄
2020-04-10,non-holiday,9366,봄
2020-04-11,holiday,13493,봄
2020-04-12,holiday,13592,봄
2020-04-13,non-holiday,7653,봄
2020-04-14,non-holiday,9109,봄
2020-04-15,holiday,11132,봄
2020-04-16,non-holiday,8761,봄
2020-04-17,non-holiday,8454,봄
2020-04-18,holiday,14798,봄
2020-04-19,holiday,12783,봄
2020-04-20,non-holiday,7861,봄
2020-04-21,non-holiday,8484,봄
2020-04-22,non-holiday,8569,봄
2020-04-23,non-holiday,8956,봄
2020-04-24,non-holiday,10440,봄
2020-04-25,holiday,16552,봄
2020-04-26,holiday,16563,봄
2020-04-27,non-holiday,9536,봄
2020-04-28,non-holiday,10149,봄
2020-04-29,non-holiday,11847,봄
2020-04-30,holiday,27404,봄
2020-05-01,non-holiday,28990,봄
2020-05-02,holiday,32756,봄
2020-05-03,holiday,22186,봄
2020-05-04,non-holiday,13506,봄
2020-05-05,holiday,14507,봄
2020-05-06,non-holiday,8453,봄
2020-05-07,non-holiday,10111,봄
2020-05-08,non-holiday,12157,봄
2020-05-09,holiday,14898,봄
2020-05-10,holiday,18754,봄
2020-05-11,non-holiday,9271,봄
2020-05-12,non-holiday,9736,봄
2020-05-13,non-holiday,9880,봄
2020-05-14,non-holiday,9887,봄
2020-05-15,non-holiday,9267,봄
2020-05-16,holiday,16820,봄
2020-05-17,holiday,18694,봄
2020-05-18,non-holiday,9099,봄
2020-05-19,non-holiday,8569,봄
2020-05-20,non-holiday,10040,봄
2020-05-21,non-holiday,10047,봄
2020-05-22,non-holiday,12292,봄
2020-05-23,holiday,20235,봄
2020-05-24,holiday,18849,봄
2020-05-25,non-holiday,10156,봄
2020-05-26,non-holiday,10354,봄
2020-05-27,non-holiday,10580,봄
2020-05-28,non-holiday,10489,봄
2020-05-29,non-holiday,12235,봄
2020-05-30,holiday,22036,봄
2020-05-31,holiday,19628,봄
2020-06-01,non-holiday,8700,여름
2020-06-02,non-holiday,9251,여름
2020-06-03,non-holiday,9293,여름
2020-06-04,non-holiday,9455,여름
2020-06-05,non-holiday,11620,여름
2020-06-06,holiday,21287,여름
2020-06-07,holiday,19677,여름
2020-06-08,non-holiday,9744,여름
2020-06-09,non-holiday,10187,여름
2020-06-10,non-holiday,9691,여름
2020-06-11,non-holiday,8872,여름
2020-06-12,non-holiday,11239,여름
2020-06-13,holiday,14641,여름
2020-06-14,holiday,15046,여름
2020-06-15,non-holiday,10847,여름
2020-06-16,non-holiday,11433,여름
2020-06-17,non-holiday,11384,여름
2020-06-18,non-holiday,8587,여름
2020-06-19,non-holiday,13076,여름
2020-06-20,holiday,23766,여름
2020-06-21,holiday,24425,여름
2020-06-22,non-holiday,12070,여름
2020-06-23,non-holiday,12105,여름
2020-06-24,non-holiday,9840,여름
2020-06-25,non-holiday,9505,여름
2020-06-26,non-holiday,13652,여름
2020-06-27,holiday,23511,여름
2020-06-28,holiday,22585,여름
2020-06-29,non-holiday,9307,여름
2020-06-30,non-holiday,9097,여름
2020-07-01,non-holiday,8671,여름
2020-07-02,non-holiday,10095,여름
2020-07-03,non-holiday,11247,여름
2020-07-04,holiday,20874,여름
2020-07-05,holiday,21627,여름
2020-07-06,non-holiday,8783,여름
2020-07-07,non-holiday,9428,여름
2020-07-08,non-holiday,9610,여름
2020-07-09,non-holiday,10412,여름
2020-07-10,non-holiday,10778,여름
2020-07-11,holiday,20450,여름
2020-07-12,holiday,21943,여름
2020-07-13,non-holiday,7208,여름
2020-07-14,non-holiday,8585,여름
2020-07-15,non-holiday,9247,여름
2020-07-16,non-holiday,11366,여름
2020-07-17,holiday,14501,여름
2020-07-18,holiday,24133,여름
2020-07-19,holiday,22868,여름
2020-07-20,non-holiday,9190,여름
2020-07-21,non-holiday,11000,여름
2020-07-22,non-holiday,9019,여름
2020-07-23,non-holiday,8990,여름
2020-07-24,non-holiday,11020,여름
2020-07-25,holiday,19396,여름
2020-07-26,holiday,24768,여름
2020-07-27,non-holiday,10812,여름
2020-07-28,non-holiday,9597,여름
2020-07-29,non-holiday,10719,여름
2020-07-30,non-holiday,12241,여름
2020-07-31,non-holiday,18754,여름
2020-08-01,holiday,37655,여름
2020-08-02,holiday,42919,여름
2020-08-03,non-holiday,27675,여름
2020-08-04,non-holiday,23868,여름
2020-08-05,non-holiday,19597,여름
2020-08-06,non-holiday,15077,여름
2020-08-07,non-holiday,15714,여름
2020-08-08,holiday,16609,여름
2020-08-09,holiday,18841,여름
2020-08-10,non-holiday,9312,여름
2020-08-11,non-holiday,10531,여름
2020-08-12,non-holiday,11710,여름
2020-08-13,non-holiday,13675,여름
2020-08-14,non-holiday,21879,여름
2020-08-15,holiday,39750,여름
2020-08-16,holiday,42940,여름
2020-08-17,holiday,24421,여름
2020-08-18,non-holiday,14769,여름
2020-08-19,non-holiday,13184,여름
2020-08-20,non-holiday,13941,여름
2020-08-21,non-holiday,15467,여름
2020-08-22,holiday,23936,여름
2020-08-23,holiday,24099,여름
2020-08-24,non-holiday,12296,여름
2020-08-25,non-holiday,11838,여름
2020-08-26,non-holiday,7648,여름
2020-08-27,non-holiday,8667,여름
2020-08-28,non-holiday,11202,여름
2020-08-29,holiday,18031,여름
2020-08-30,holiday,19616,여름
2020-08-31,non-holiday,9844,여름
2020-09-01,non-holiday,7971,가을
2020-09-02,non-holiday,6381,가을
2020-09-03,non-holiday,6840,가을
2020-09-04,non-holiday,10391,가을
2020-09-05,holiday,16656,가을
2020-09-06,holiday,12119,가을
2020-09-07,non-holiday,5497,가을
2020-09-08,non-holiday,8500,가을
2020-09-09,non-holiday,8790,가을
2020-09-10,non-holiday,10186,가을
2020-09-11,non-holiday,10480,가을
2020-09-12,holiday,16649,가을
2020-09-13,holiday,15692,가을
2020-09-14,non-holiday,8442,가을
2020-09-15,non-holiday,8330,가을
2020-09-16,non-holiday,7871,가을
2020-09-17,non-holiday,8320,가을
2020-09-18,non-holiday,9674,가을
2020-09-19,holiday,17874,가을
2020-09-20,holiday,17280,가을
2020-09-21,non-holiday,9161,가을
2020-09-22,non-holiday,9633,가을
2020-09-23,non-holiday,9621,가을
2020-09-24,non-holiday,9611,가을
2020-09-25,non-holiday,10614,가을
2020-09-26,holiday,15623,가을
2020-09-27,holiday,15354,가을
2020-09-28,non-holiday,10015,가을
2020-09-29,non-holiday,12679,가을
2020-09-30,holiday,27943,가을
2020-10-01,holiday,42702,가을
2020-10-02,holiday,36882,가을
2020-10-03,holiday,25118,가을
2020-10-04,holiday,13848,가을
2020-10-05,non-holiday,7871,가을
2020-10-06,non-holiday,9109,가을
2020-10-07,non-holiday,9330,가을
2020-10-08,non-holiday,10658,가을
2020-10-09,holiday,20455,가을
2020-10-10,holiday,20587,가을
2020-10-11,holiday,18446,가을
2020-10-12,non-holiday,9926,가을
2020-10-13,non-holiday,9803,가을
2020-10-14,non-holiday,9356,가을
2020-10-15,non-holiday,9628,가을
2020-10-16,non-holiday,11672,가을
2020-10-17,holiday,19782,가을
2020-10-18,holiday,19812,가을
2020-10-19,non-holiday,10295,가을
2020-10-20,non-holiday,10787,가을
2020-10-21,non-holiday,9779,가을
2020-10-22,non-holiday,10659,가을
2020-10-23,non-holiday,13232,가을
2020-10-24,holiday,22848,가을
2020-10-25,holiday,23663,가을
2020-10-26,non-holiday,11940,가을
2020-10-27,non-holiday,11953,가을
2020-10-28,non-holiday,11641,가을
2020-10-29,non-holiday,12246,가을
2020-10-30,non-holiday,14646,가을
2020-10-31,holiday,25291,가을
2020-11-01,holiday,19576,가을
2020-11-02,non-holiday,9492,가을
2020-11-03,non-holiday,9477,가을
2020-11-04,non-holiday,9838,가을
2020-11-05,non-holiday,10510,가을
2020-11-06,non-holiday,12171,가을
2020-11-07,holiday,21871,가을
2020-11-08,holiday,22729,가을
2020-11-09,non-holiday,9656,가을
2020-11-10,non-holiday,9774,가을
2020-11-11,non-holiday,9807,가을
2020-11-12,non-holiday,10015,가을
2020-11-13,non-holiday,12124,가을
2020-11-14,holiday,20310,가을
2020-11-15,holiday,20331,가을
2020-11-16,non-holiday,9324,가을
2020-11-17,non-holiday,9940,가을
2020-11-18,non-holiday,8868,가을
2020-11-19,non-holiday,7813,가을
2020-11-20,non-holiday,11153,가을
2020-11-21,holiday,18130,가을
2020-11-22,holiday,16293,가을
2020-11-23,non-holiday,8740,가을
2020-11-24,non-holiday,8828,가을
2020-11-25,non-holiday,8836,가을
2020-11-26,non-holiday,9077,가을
2020-11-27,non-holiday,11409,가을
2020-11-28,holiday,17360,가을
2020-11-29,holiday,16376,가을
2020-11-30,non-holiday,8137,가을
2020-12-01,non-holiday,6630,겨울
2020-12-02,non-holiday,6812,겨울
2020-12-03,non-holiday,7078,겨울
2020-12-04,non-holiday,9697,겨울
2020-12-05,holiday,13896,겨울
2020-12-06,holiday,13318,겨울
2020-12-07,non-holiday,7673,겨울
2020-12-08,non-holiday,6869,겨울
2020-12-09,non-holiday,7364,겨울
2020-12-10,non-holiday,7462,겨울
2020-12-11,non-holiday,8421,겨울
2020-12-12,holiday,11610,겨울
2020-12-13,holiday,10258,겨울
2020-12-14,non-holiday,6717,겨울
2020-12-15,non-holiday,7012,겨울
2020-12-16,non-holiday,7406,겨울
2020-12-17,non-holiday,7820,겨울
2020-12-18,non-holiday,8583,겨울
2020-12-19,holiday,11051,겨울
2020-12-20,holiday,10558,겨울
2020-12-21,non-holiday,7512,겨울
2020-12-22,non-holiday,7561,겨울
2020-12-23,non-holiday,8235,겨울
2020-12-24,non-holiday,9015,겨울
2020-12-25,holiday,11840,겨울
2020-12-26,holiday,12653,겨울
2020-12-27,holiday,11139,겨울
2020-12-28,non-holiday,8200,겨울
2020-12-29,non-holiday,8596,겨울
2020-12-30,non-holiday,7430,겨울
2020-12-31,non-holiday,9974,겨울
