날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,175314,겨울
2020-01-02,non-holiday,90907,겨울
2020-01-03,non-holiday,97793,겨울
2020-01-04,holiday,140962,겨울
2020-01-05,holiday,132901,겨울
2020-01-06,non-holiday,68844,겨울
2020-01-07,non-holiday,68453,겨울
2020-01-08,non-holiday,71391,겨울
2020-01-09,non-holiday,80569,겨울
2020-01-10,non-holiday,101445,겨울
2020-01-11,holiday,150106,겨울
2020-01-12,holiday,143571,겨울
2020-01-13,non-holiday,81612,겨울
2020-01-14,non-holiday,82589,겨울
2020-01-15,non-holiday,80811,겨울
2020-01-16,non-holiday,81690,겨울
2020-01-17,non-holiday,96222,겨울
2020-01-18,holiday,128980,겨울
2020-01-19,holiday,137211,겨울
2020-01-20,non-holiday,79421,겨울
2020-01-21,non-holiday,80602,겨울
2020-01-22,non-holiday,78317,겨울
2020-01-23,non-holiday,93516,겨울
2020-01-24,holiday,197006,겨울
2020-01-25,holiday,314636,겨울
2020-01-26,holiday,232933,겨울
2020-01-27,holiday,118018,겨울
2020-01-28,non-holiday,78737,겨울
2020-01-29,non-holiday,80739,겨울
2020-01-30,non-holiday,81801,겨울
2020-01-31,non-holiday,88978,겨울
2020-02-01,holiday,110452,겨울
2020-02-02,holiday,114992,겨울
2020-02-03,non-holiday,65816,겨울
2020-02-04,non-holiday,69586,겨울
2020-02-05,non-holiday,65740,겨울
2020-02-06,non-holiday,65690,겨울
2020-02-07,non-holiday,78546,겨울
2020-02-08,holiday,118499,겨울
2020-02-09,holiday,121291,겨울
2020-02-10,non-holiday,72389,겨울
2020-02-11,non-holiday,74064,겨울
2020-02-12,non-holiday,62255,겨울
2020-02-13,non-holiday,78099,겨울
2020-02-14,non-holiday,92183,겨울
2020-02-15,holiday,141456,겨울
2020-02-16,holiday,126972,겨울
2020-02-17,non-holiday,73725,겨울
2020-02-18,non-holiday,74534,겨울
2020-02-19,non-holiday,76586,겨울
2020-02-20,non-holiday,72483,겨울
2020-02-21,non-holiday,74255,겨울
2020-02-22,holiday,78651,겨울
2020-02-23,holiday,67344,겨울
2020-02-24,non-holiday,53129,겨울
2020-02-25,non-holiday,42555,겨울
2020-02-26,non-holiday,47895,겨울
