날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,66221,겨울
2020-01-02,non-holiday,56851,겨울
2020-01-03,non-holiday,62775,겨울
2020-01-04,holiday,73869,겨울
2020-01-05,holiday,66765,겨울
2020-01-06,non-holiday,54840,겨울
2020-01-07,non-holiday,54226,겨울
2020-01-08,non-holiday,57864,겨울
2020-01-09,non-holiday,60459,겨울
2020-01-10,non-holiday,66247,겨울
2020-01-11,holiday,78691,겨울
2020-01-12,holiday,70594,겨울
2020-01-13,non-holiday,59446,겨울
2020-01-14,non-holiday,61365,겨울
2020-01-15,non-holiday,63076,겨울
2020-01-16,non-holiday,65018,겨울
2020-01-17,non-holiday,70604,겨울
2020-01-18,holiday,76638,겨울
2020-01-19,holiday,67610,겨울
2020-01-20,non-holiday,63344,겨울
2020-01-21,non-holiday,67389,겨울
2020-01-22,non-holiday,70264,겨울
2020-01-23,non-holiday,86181,겨울
2020-01-24,holiday,123390,겨울
2020-01-25,holiday,165037,겨울
2020-01-26,holiday,125985,겨울
2020-01-27,holiday,83753,겨울
2020-01-28,non-holiday,69370,겨울
2020-01-29,non-holiday,68466,겨울
2020-01-30,non-holiday,68241,겨울
2020-01-31,non-holiday,72077,겨울
2020-02-01,holiday,65079,겨울
2020-02-02,holiday,58592,겨울
2020-02-03,non-holiday,53030,겨울
2020-02-04,non-holiday,56434,겨울
2020-02-05,non-holiday,55451,겨울
2020-02-06,non-holiday,56950,겨울
2020-02-07,non-holiday,63160,겨울
2020-02-08,holiday,69354,겨울
2020-02-09,holiday,62841,겨울
2020-02-10,non-holiday,57731,겨울
2020-02-11,non-holiday,61364,겨울
2020-02-12,non-holiday,58018,겨울
2020-02-13,non-holiday,62960,겨울
2020-02-14,non-holiday,69694,겨울
2020-02-15,holiday,81157,겨울
2020-02-16,holiday,68998,겨울
2020-02-17,non-holiday,61123,겨울
2020-02-18,non-holiday,63206,겨울
2020-02-19,non-holiday,63136,겨울
2020-02-20,non-holiday,60449,겨울
2020-02-21,non-holiday,59994,겨울
2020-02-22,holiday,54395,겨울
2020-02-23,holiday,44216,겨울
2020-02-24,non-holiday,47264,겨울
2020-02-25,non-holiday,42790,겨울
2020-02-26,non-holiday,45980,겨울
2020-02-27,non-holiday,46421,겨울
2020-02-28,non-holiday,46589,겨울
2020-02-29,holiday,45429,겨울
2020-03-01,holiday,27281,봄
2020-03-02,non-holiday,33466,봄
2020-03-03,non-holiday,33840,봄
2020-03-04,non-holiday,34790,봄
2020-03-05,non-holiday,35479,봄
2020-03-06,non-holiday,39447,봄
2020-03-07,holiday,37934,봄
2020-03-08,holiday,36262,봄
2020-03-09,non-holiday,40360,봄
2020-03-10,non-holiday,38361,봄
2020-03-11,non-holiday,41932,봄
2020-03-12,non-holiday,43556,봄
2020-03-13,non-holiday,46444,봄
2020-03-14,holiday,48577,봄
2020-03-15,holiday,42092,봄
2020-03-16,non-holiday,45108,봄
2020-03-17,non-holiday,46961,봄
2020-03-18,non-holiday,48246,봄
2020-03-19,non-holiday,45997,봄
2020-03-20,non-holiday,53447,봄
2020-03-21,holiday,55202,봄
2020-03-22,holiday,50872,봄
2020-03-23,non-holiday,50946,봄
2020-03-24,non-holiday,52565,봄
2020-03-25,non-holiday,53260,봄
2020-03-26,non-holiday,53120,봄
2020-03-27,non-holiday,56162,봄
2020-03-28,holiday,61319,봄
2020-03-29,holiday,58095,봄
2020-03-30,non-holiday,56926,봄
2020-03-31,non-holiday,57129,봄
2020-04-01,non-holiday,43679,봄
2020-04-02,non-holiday,46378,봄
2020-04-03,non-holiday,50267,봄
2020-04-04,holiday,54908,봄
2020-04-05,holiday,49891,봄
2020-04-06,non-holiday,47891,봄
2020-04-07,non-holiday,48777,봄
2020-04-08,non-holiday,49864,봄
2020-04-09,non-holiday,50295,봄
2020-04-10,non-holiday,55198,봄
2020-04-11,holiday,59188,봄
2020-04-12,holiday,52091,봄
2020-04-13,non-holiday,51938,봄
2020-04-14,non-holiday,55850,봄
2020-04-15,holiday,51620,봄
2020-04-16,non-holiday,55397,봄
2020-04-17,non-holiday,57997,봄
2020-04-18,holiday,65766,봄
2020-04-19,holiday,56399,봄
2020-04-20,non-holiday,56716,봄
2020-04-21,non-holiday,58476,봄
2020-04-22,non-holiday,57934,봄
2020-04-23,non-holiday,58345,봄
2020-04-24,non-holiday,65304,봄
2020-04-25,holiday,70163,봄
2020-04-26,holiday,63983,봄
2020-04-27,non-holiday,61119,봄
2020-04-28,non-holiday,64101,봄
2020-04-29,non-holiday,70807,봄
2020-04-30,holiday,80358,봄
2020-05-01,non-holiday,68857,봄
2020-05-02,holiday,79089,봄
2020-05-03,holiday,67086,봄
2020-05-04,non-holiday,59777,봄
2020-05-05,holiday,58583,봄
2020-05-06,non-holiday,51028,봄
2020-05-07,non-holiday,54573,봄
2020-05-08,non-holiday,63863,봄
2020-05-09,holiday,70465,봄
2020-05-10,holiday,66871,봄
2020-05-11,non-holiday,53517,봄
2020-05-12,non-holiday,56160,봄
2020-05-13,non-holiday,54415,봄
2020-05-14,non-holiday,56517,봄
2020-05-15,non-holiday,59721,봄
2020-05-16,holiday,73350,봄
2020-05-17,holiday,69079,봄
2020-05-18,non-holiday,56218,봄
2020-05-19,non-holiday,57995,봄
2020-05-20,non-holiday,61148,봄
2020-05-21,non-holiday,61645,봄
2020-05-22,non-holiday,67570,봄
2020-05-23,holiday,75534,봄
2020-05-24,holiday,66373,봄
2020-05-25,non-holiday,59043,봄
2020-05-26,non-holiday,60024,봄
2020-05-27,non-holiday,61143,봄
2020-05-28,non-holiday,64626,봄
2020-05-29,non-holiday,68672,봄
2020-05-30,holiday,79010,봄
2020-05-31,holiday,70582,봄
2020-06-01,non-holiday,48171,여름
2020-06-02,non-holiday,53213,여름
2020-06-03,non-holiday,51759,여름
2020-06-04,non-holiday,53108,여름
2020-06-05,non-holiday,60002,여름
2020-06-06,holiday,69016,여름
2020-06-07,holiday,66284,여름
2020-06-08,non-holiday,53369,여름
2020-06-09,non-holiday,57001,여름
2020-06-10,non-holiday,56641,여름
2020-06-11,non-holiday,57980,여름
2020-06-12,non-holiday,65151,여름
2020-06-13,holiday,82821,여름
2020-06-14,holiday,65915,여름
2020-06-15,non-holiday,59557,여름
2020-06-16,non-holiday,64743,여름
2020-06-17,non-holiday,63772,여름
2020-06-18,non-holiday,61475,여름
2020-06-19,non-holiday,71095,여름
2020-06-20,holiday,81212,여름
2020-06-21,holiday,72717,여름
2020-06-22,non-holiday,63414,여름
2020-06-23,non-holiday,65908,여름
2020-06-24,non-holiday,64309,여름
2020-06-25,non-holiday,65240,여름
2020-06-26,non-holiday,74819,여름
2020-06-27,holiday,86755,여름
2020-06-28,holiday,77235,여름
2020-06-29,non-holiday,63276,여름
2020-06-30,non-holiday,64298,여름
2020-07-01,non-holiday,52668,여름
2020-07-02,non-holiday,53591,여름
2020-07-03,non-holiday,61374,여름
2020-07-04,holiday,74962,여름
2020-07-05,holiday,69342,여름
2020-07-06,non-holiday,54459,여름
2020-07-07,non-holiday,56588,여름
2020-07-08,non-holiday,57709,여름
2020-07-09,non-holiday,59825,여름
2020-07-10,non-holiday,66536,여름
2020-07-11,holiday,86056,여름
2020-07-12,holiday,73178,여름
2020-07-13,non-holiday,54332,여름
2020-07-14,non-holiday,58748,여름
2020-07-15,non-holiday,63016,여름
2020-07-16,non-holiday,65633,여름
2020-07-17,holiday,73520,여름
2020-07-18,holiday,83525,여름
2020-07-19,holiday,73438,여름
2020-07-20,non-holiday,62731,여름
2020-07-21,non-holiday,64340,여름
2020-07-22,non-holiday,61658,여름
2020-07-23,non-holiday,61988,여름
2020-07-24,non-holiday,71125,여름
2020-07-25,holiday,82363,여름
2020-07-26,holiday,75710,여름
2020-07-27,non-holiday,64829,여름
2020-07-28,non-holiday,64666,여름
2020-07-29,non-holiday,65728,여름
2020-07-30,non-holiday,67510,여름
2020-07-31,non-holiday,78990,여름
2020-08-01,holiday,76724,여름
2020-08-02,holiday,71926,여름
2020-08-03,non-holiday,62017,여름
2020-08-04,non-holiday,61657,여름
2020-08-05,non-holiday,61614,여름
2020-08-06,non-holiday,57385,여름
2020-08-07,non-holiday,61324,여름
2020-08-08,holiday,66927,여름
2020-08-09,holiday,67637,여름
2020-08-10,non-holiday,51674,여름
2020-08-11,non-holiday,57535,여름
2020-08-12,non-holiday,60969,여름
2020-08-13,non-holiday,62683,여름
2020-08-14,non-holiday,73473,여름
2020-08-15,holiday,87102,여름
2020-08-16,holiday,79518,여름
2020-08-17,holiday,71011,여름
2020-08-18,non-holiday,62535,여름
2020-08-19,non-holiday,62687,여름
2020-08-20,non-holiday,64973,여름
2020-08-21,non-holiday,68393,여름
2020-08-22,holiday,73218,여름
2020-08-23,holiday,64498,여름
2020-08-24,non-holiday,60858,여름
2020-08-25,non-holiday,62553,여름
2020-08-26,non-holiday,58367,여름
2020-08-27,non-holiday,58611,여름
2020-08-28,non-holiday,67133,여름
2020-08-29,holiday,73148,여름
2020-08-30,holiday,66298,여름
2020-08-31,non-holiday,61592,여름
2020-09-01,non-holiday,52633,가을
2020-09-02,non-holiday,48248,가을
2020-09-03,non-holiday,50504,가을
2020-09-04,non-holiday,61959,가을
2020-09-05,holiday,68115,가을
2020-09-06,holiday,56788,가을
2020-09-07,non-holiday,46252,가을
2020-09-08,non-holiday,58144,가을
2020-09-09,non-holiday,58665,가을
2020-09-10,non-holiday,60227,가을
2020-09-11,non-holiday,65919,가을
2020-09-12,holiday,76009,가을
2020-09-13,holiday,71062,가을
2020-09-14,non-holiday,63346,가을
2020-09-15,non-holiday,65248,가을
2020-09-16,non-holiday,64913,가을
2020-09-17,non-holiday,68020,가을
2020-09-18,non-holiday,72512,가을
2020-09-19,holiday,83380,가을
2020-09-20,holiday,77961,가을
2020-09-21,non-holiday,67297,가을
2020-09-22,non-holiday,70422,가을
2020-09-23,non-holiday,69354,가을
2020-09-24,non-holiday,71245,가을
2020-09-25,non-holiday,75180,가을
2020-09-26,holiday,83514,가을
2020-09-27,holiday,77405,가을
2020-09-28,non-holiday,73482,가을
2020-09-29,non-holiday,83327,가을
2020-09-30,holiday,99297,가을
2020-10-01,holiday,115632,가을
2020-10-02,holiday,100666,가을
2020-10-03,holiday,84825,가을
2020-10-04,holiday,64325,가을
2020-10-05,non-holiday,52111,가을
