날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,34774,겨울
2020-01-02,non-holiday,25403,겨울
2020-01-03,non-holiday,27738,겨울
2020-01-04,holiday,35296,겨울
2020-01-05,holiday,33193,겨울
2020-01-06,non-holiday,21055,겨울
2020-01-07,non-holiday,21962,겨울
2020-01-08,non-holiday,23557,겨울
2020-01-09,non-holiday,26224,겨울
2020-01-10,non-holiday,28368,겨울
2020-01-11,holiday,34687,겨울
2020-01-12,holiday,31702,겨울
2020-01-13,non-holiday,23106,겨울
2020-01-14,non-holiday,26058,겨울
2020-01-15,non-holiday,27524,겨울
2020-01-16,non-holiday,28326,겨울
2020-01-17,non-holiday,29964,겨울
2020-01-18,holiday,36707,겨울
2020-01-19,holiday,29894,겨울
2020-01-20,non-holiday,24791,겨울
2020-01-21,non-holiday,27177,겨울
2020-01-22,non-holiday,28716,겨울
2020-01-23,non-holiday,36682,겨울
2020-01-24,holiday,80134,겨울
2020-01-25,holiday,125318,겨울
2020-01-26,holiday,78758,겨울
2020-01-27,holiday,39941,겨울
2020-01-28,non-holiday,27825,겨울
2020-01-29,non-holiday,27358,겨울
2020-01-30,non-holiday,27778,겨울
2020-01-31,non-holiday,28400,겨울
2020-02-01,holiday,28332,겨울
2020-02-02,holiday,27336,겨울
2020-02-03,non-holiday,21391,겨울
2020-02-04,non-holiday,23145,겨울
2020-02-05,non-holiday,23645,겨울
2020-02-06,non-holiday,24044,겨울
2020-02-07,non-holiday,25217,겨울
2020-02-08,holiday,30000,겨울
2020-02-09,holiday,29033,겨울
2020-02-10,non-holiday,23394,겨울
2020-02-11,non-holiday,24796,겨울
2020-02-12,non-holiday,23847,겨울
2020-02-13,non-holiday,26658,겨울
2020-02-14,non-holiday,29177,겨울
2020-02-15,holiday,35235,겨울
2020-02-16,holiday,30691,겨울
2020-02-17,non-holiday,24139,겨울
2020-02-18,non-holiday,26414,겨울
2020-02-19,non-holiday,26666,겨울
2020-02-20,non-holiday,25609,겨울
2020-02-21,non-holiday,24458,겨울
2020-02-22,holiday,23533,겨울
2020-02-23,holiday,20652,겨울
2020-02-24,non-holiday,20528,겨울
2020-02-25,non-holiday,17582,겨울
2020-02-26,non-holiday,20402,겨울
2020-02-27,non-holiday,20506,겨울
2020-02-28,non-holiday,19363,겨울
2020-02-29,holiday,21202,겨울
2020-03-01,holiday,15065,봄
