날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,32959,겨울
2020-01-02,non-holiday,23663,겨울
2020-01-03,non-holiday,26591,겨울
2020-01-04,holiday,35817,겨울
2020-01-05,holiday,34136,겨울
2020-01-06,non-holiday,19680,겨울
2020-01-07,non-holiday,18186,겨울
2020-01-08,non-holiday,19475,겨울
2020-01-09,non-holiday,21897,겨울
2020-01-10,non-holiday,24945,겨울
2020-01-11,holiday,36937,겨울
2020-01-12,holiday,34014,겨울
2020-01-13,non-holiday,21591,겨울
2020-01-14,non-holiday,22901,겨울
2020-01-15,non-holiday,23989,겨울
2020-01-16,non-holiday,23334,겨울
2020-01-17,non-holiday,27554,겨울
2020-01-18,holiday,33223,겨울
2020-01-19,holiday,29769,겨울
2020-01-20,non-holiday,21705,겨울
2020-01-21,non-holiday,22568,겨울
2020-01-22,non-holiday,24248,겨울
2020-01-23,non-holiday,45486,겨울
2020-01-24,holiday,103790,겨울
2020-01-25,holiday,125504,겨울
2020-01-26,holiday,98763,겨울
2020-01-27,holiday,45629,겨울
2020-01-28,non-holiday,26458,겨울
2020-01-29,non-holiday,22147,겨울
2020-01-30,non-holiday,23036,겨울
2020-01-31,non-holiday,23922,겨울
2020-02-01,holiday,27342,겨울
2020-02-02,holiday,25768,겨울
2020-02-03,non-holiday,18677,겨울
2020-02-04,non-holiday,18789,겨울
2020-02-05,non-holiday,17952,겨울
2020-02-06,non-holiday,18707,겨울
2020-02-07,non-holiday,22608,겨울
2020-02-08,holiday,28387,겨울
2020-02-09,holiday,26992,겨울
2020-02-10,non-holiday,20638,겨울
2020-02-11,non-holiday,20176,겨울
2020-02-12,non-holiday,17927,겨울
2020-02-13,non-holiday,21030,겨울
2020-02-14,non-holiday,25551,겨울
2020-02-15,holiday,34562,겨울
2020-02-16,holiday,28190,겨울
2020-02-17,non-holiday,18553,겨울
2020-02-18,non-holiday,22289,겨울
2020-02-19,non-holiday,21391,겨울
2020-02-20,non-holiday,24193,겨울
2020-02-21,non-holiday,21059,겨울
2020-02-22,holiday,20357,겨울
2020-02-23,holiday,16871,겨울
2020-02-24,non-holiday,14639,겨울
2020-02-25,non-holiday,12282,겨울
2020-02-26,non-holiday,13721,겨울
2020-02-27,non-holiday,14375,겨울
2020-02-28,non-holiday,14642,겨울
2020-02-29,holiday,15725,겨울
2020-03-01,holiday,12272,봄
2020-03-02,non-holiday,12499,봄
2020-03-03,non-holiday,12431,봄
2020-03-04,non-holiday,12664,봄
2020-03-05,non-holiday,13462,봄
2020-03-06,non-holiday,15712,봄
2020-03-07,holiday,16145,봄
2020-03-08,holiday,16883,봄
2020-03-09,non-holiday,14637,봄
2020-03-10,non-holiday,13195,봄
2020-03-11,non-holiday,15131,봄
2020-03-12,non-holiday,16304,봄
2020-03-13,non-holiday,17742,봄
2020-03-14,holiday,20856,봄
2020-03-15,holiday,18773,봄
2020-03-16,non-holiday,16854,봄
2020-03-17,non-holiday,16362,봄
2020-03-18,non-holiday,17928,봄
2020-03-19,non-holiday,16380,봄
2020-03-20,non-holiday,20812,봄
2020-03-21,holiday,24439,봄
2020-03-22,holiday,23992,봄
2020-03-23,non-holiday,18560,봄
2020-03-24,non-holiday,19310,봄
2020-03-25,non-holiday,19065,봄
2020-03-26,non-holiday,18830,봄
2020-03-27,non-holiday,20877,봄
2020-03-28,holiday,26259,봄
2020-03-29,holiday,25764,봄
2020-03-30,non-holiday,20981,봄
2020-03-31,non-holiday,21385,봄
2020-04-01,non-holiday,16324,봄
2020-04-02,non-holiday,18173,봄
2020-04-03,non-holiday,22804,봄
2020-04-04,holiday,28868,봄
2020-04-05,holiday,29369,봄
2020-04-06,non-holiday,18776,봄
2020-04-07,non-holiday,18375,봄
2020-04-08,non-holiday,18800,봄
2020-04-09,non-holiday,19186,봄
2020-04-10,non-holiday,21964,봄
2020-04-11,holiday,28633,봄
2020-04-12,holiday,26890,봄
2020-04-13,non-holiday,19371,봄
2020-04-14,non-holiday,20069,봄
2020-04-15,holiday,20870,봄
2020-04-16,non-holiday,19462,봄
2020-04-17,non-holiday,20461,봄
2020-04-18,holiday,28225,봄
2020-04-19,holiday,25206,봄
2020-04-20,non-holiday,20052,봄
2020-04-21,non-holiday,20842,봄
2020-04-22,non-holiday,19525,봄
2020-04-23,non-holiday,20703,봄
2020-04-24,non-holiday,24147,봄
2020-04-25,holiday,32479,봄
2020-04-26,holiday,32157,봄
2020-04-27,non-holiday,21737,봄
2020-04-28,non-holiday,23011,봄
2020-04-29,non-holiday,28719,봄
2020-04-30,holiday,55990,봄
2020-05-01,non-holiday,51928,봄
2020-05-02,holiday,61009,봄
2020-05-03,holiday,51805,봄
2020-05-04,non-holiday,31387,봄
2020-05-05,holiday,32013,봄
2020-05-06,non-holiday,21504,봄
2020-05-07,non-holiday,23400,봄
2020-05-08,non-holiday,28885,봄
2020-05-09,holiday,33687,봄
2020-05-10,holiday,38835,봄
2020-05-11,non-holiday,21793,봄
2020-05-12,non-holiday,21911,봄
2020-05-13,non-holiday,21837,봄
2020-05-14,non-holiday,24709,봄
2020-05-15,non-holiday,23447,봄
2020-05-16,holiday,35850,봄
2020-05-17,holiday,37642,봄
2020-05-18,non-holiday,21220,봄
2020-05-19,non-holiday,20364,봄
2020-05-20,non-holiday,23218,봄
2020-05-21,non-holiday,23434,봄
2020-05-22,non-holiday,28031,봄
2020-05-23,holiday,42393,봄
2020-05-24,holiday,38784,봄
2020-05-25,non-holiday,23188,봄
2020-05-26,non-holiday,23921,봄
2020-05-27,non-holiday,24423,봄
2020-05-28,non-holiday,25771,봄
2020-05-29,non-holiday,29257,봄
2020-05-30,holiday,46872,봄
2020-05-31,holiday,40951,봄
2020-06-01,non-holiday,21016,여름
2020-06-02,non-holiday,20604,여름
2020-06-03,non-holiday,21340,여름
2020-06-04,non-holiday,21786,여름
2020-06-05,non-holiday,28355,여름
2020-06-06,holiday,44785,여름
2020-06-07,holiday,42411,여름
2020-06-08,non-holiday,24265,여름
2020-06-09,non-holiday,22489,여름
2020-06-10,non-holiday,21655,여름
2020-06-11,non-holiday,23813,여름
2020-06-12,non-holiday,27395,여름
2020-06-13,holiday,36234,여름
2020-06-14,holiday,35463,여름
2020-06-15,non-holiday,23323,여름
2020-06-16,non-holiday,25355,여름
2020-06-17,non-holiday,23991,여름
2020-06-18,non-holiday,23183,여름
2020-06-19,non-holiday,25956,여름
2020-06-20,holiday,40936,여름
2020-06-21,holiday,37481,여름
2020-06-22,non-holiday,21102,여름
2020-06-23,non-holiday,21270,여름
2020-06-24,non-holiday,18684,여름
2020-06-25,non-holiday,19397,여름
2020-06-26,non-holiday,26051,여름
2020-06-27,holiday,40042,여름
2020-06-28,holiday,39289,여름
2020-06-29,non-holiday,20492,여름
2020-06-30,non-holiday,19214,여름
2020-07-01,non-holiday,17375,여름
2020-07-02,non-holiday,18922,여름
2020-07-03,non-holiday,23070,여름
2020-07-04,holiday,38211,여름
2020-07-05,holiday,37405,여름
2020-07-06,non-holiday,19159,여름
2020-07-07,non-holiday,19369,여름
2020-07-08,non-holiday,19771,여름
2020-07-09,non-holiday,20791,여름
2020-07-10,non-holiday,22769,여름
2020-07-11,holiday,37963,여름
2020-07-12,holiday,36832,여름
2020-07-13,non-holiday,17100,여름
2020-07-14,non-holiday,18635,여름
2020-07-15,non-holiday,19353,여름
2020-07-16,non-holiday,21299,여름
2020-07-17,holiday,27013,여름
