날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,31648,겨울
2020-01-02,non-holiday,24795,겨울
2020-01-03,non-holiday,30798,겨울
2020-01-04,holiday,37656,겨울
2020-01-05,holiday,33536,겨울
2020-01-06,non-holiday,21463,겨울
2020-01-07,non-holiday,20712,겨울
2020-01-08,non-holiday,21719,겨울
2020-01-09,non-holiday,23206,겨울
2020-01-10,non-holiday,26880,겨울
2020-01-11,holiday,33950,겨울
2020-01-12,holiday,33592,겨울
2020-01-13,non-holiday,23070,겨울
2020-01-14,non-holiday,24161,겨울
2020-01-15,non-holiday,23259,겨울
2020-01-16,non-holiday,24903,겨울
2020-01-17,non-holiday,27420,겨울
2020-01-18,holiday,32040,겨울
2020-01-19,holiday,30579,겨울
2020-01-20,non-holiday,23753,겨울
2020-01-21,non-holiday,25236,겨울
2020-01-22,non-holiday,26010,겨울
2020-01-23,non-holiday,44456,겨울
2020-01-24,holiday,108312,겨울
2020-01-25,holiday,141634,겨울
2020-01-26,holiday,89186,겨울
2020-01-27,holiday,42277,겨울
2020-01-28,non-holiday,25278,겨울
2020-01-29,non-holiday,24086,겨울
2020-01-30,non-holiday,25850,겨울
2020-01-31,non-holiday,27894,겨울
2020-02-01,holiday,27349,겨울
2020-02-02,holiday,25207,겨울
2020-02-03,non-holiday,19930,겨울
2020-02-04,non-holiday,21419,겨울
2020-02-05,non-holiday,20187,겨울
2020-02-06,non-holiday,21207,겨울
2020-02-07,non-holiday,23801,겨울
2020-02-08,holiday,27707,겨울
2020-02-09,holiday,26701,겨울
2020-02-10,non-holiday,22713,겨울
2020-02-11,non-holiday,25139,겨울
2020-02-12,non-holiday,21971,겨울
2020-02-13,non-holiday,24619,겨울
2020-02-14,non-holiday,27571,겨울
2020-02-15,holiday,34722,겨울
2020-02-16,holiday,28093,겨울
2020-02-17,non-holiday,20739,겨울
2020-02-18,non-holiday,22990,겨울
2020-02-19,non-holiday,24243,겨울
2020-02-20,non-holiday,22833,겨울
2020-02-21,non-holiday,22472,겨울
2020-02-22,holiday,20494,겨울
2020-02-23,holiday,18409,겨울
2020-02-24,non-holiday,18178,겨울
2020-02-25,non-holiday,15074,겨울
2020-02-26,non-holiday,16837,겨울
2020-02-27,non-holiday,17592,겨울
2020-02-28,non-holiday,17149,겨울
2020-02-29,holiday,17607,겨울
2020-03-01,holiday,13055,봄
2020-03-02,non-holiday,13375,봄
2020-03-03,non-holiday,14914,봄
2020-03-04,non-holiday,13919,봄
2020-03-05,non-holiday,14591,봄
2020-03-06,non-holiday,16418,봄
2020-03-07,holiday,17510,봄
2020-03-08,holiday,19027,봄
2020-03-09,non-holiday,15978,봄
2020-03-10,non-holiday,15018,봄
2020-03-11,non-holiday,17294,봄
2020-03-12,non-holiday,18858,봄
2020-03-13,non-holiday,19907,봄
2020-03-14,holiday,22581,봄
2020-03-15,holiday,19774,봄
2020-03-16,non-holiday,18565,봄
2020-03-17,non-holiday,19752,봄
2020-03-18,non-holiday,20784,봄
2020-03-19,non-holiday,19741,봄
2020-03-20,non-holiday,23019,봄
2020-03-21,holiday,27353,봄
2020-03-22,holiday,26918,봄
2020-03-23,non-holiday,21057,봄
2020-03-24,non-holiday,22211,봄
2020-03-25,non-holiday,23433,봄
2020-03-26,non-holiday,21726,봄
2020-03-27,non-holiday,23436,봄
2020-03-28,holiday,29225,봄
2020-03-29,holiday,29595,봄
2020-03-30,non-holiday,23187,봄
2020-03-31,non-holiday,24215,봄
2020-04-01,non-holiday,18206,봄
2020-04-02,non-holiday,20255,봄
2020-04-03,non-holiday,22741,봄
2020-04-04,holiday,30296,봄
2020-04-05,holiday,31261,봄
2020-04-06,non-holiday,20981,봄
2020-04-07,non-holiday,21616,봄
2020-04-08,non-holiday,21606,봄
2020-04-09,non-holiday,21818,봄
2020-04-10,non-holiday,25164,봄
2020-04-11,holiday,32630,봄
2020-04-12,holiday,29651,봄
2020-04-13,non-holiday,21579,봄
2020-04-14,non-holiday,23236,봄
2020-04-15,holiday,25768,봄
2020-04-16,non-holiday,22611,봄
2020-04-17,non-holiday,23206,봄
2020-04-18,holiday,33014,봄
2020-04-19,holiday,29446,봄
2020-04-20,non-holiday,22814,봄
2020-04-21,non-holiday,25330,봄
2020-04-22,non-holiday,23222,봄
2020-04-23,non-holiday,24101,봄
2020-04-24,non-holiday,27586,봄
2020-04-25,holiday,36479,봄
2020-04-26,holiday,35588,봄
2020-04-27,non-holiday,25035,봄
2020-04-28,non-holiday,27383,봄
2020-04-29,non-holiday,32105,봄
2020-04-30,holiday,55196,봄
2020-05-01,non-holiday,52592,봄
2020-05-02,holiday,59949,봄
2020-05-03,holiday,47025,봄
2020-05-04,non-holiday,29745,봄
2020-05-05,holiday,32034,봄
2020-05-06,non-holiday,23007,봄
2020-05-07,non-holiday,26443,봄
2020-05-08,non-holiday,34007,봄
2020-05-09,holiday,38093,봄
2020-05-10,holiday,39181,봄
2020-05-11,non-holiday,24002,봄
2020-05-12,non-holiday,25076,봄
2020-05-13,non-holiday,25406,봄
2020-05-14,non-holiday,25468,봄
2020-05-15,non-holiday,27014,봄
2020-05-16,holiday,39447,봄
2020-05-17,holiday,39112,봄
2020-05-18,non-holiday,27040,봄
2020-05-19,non-holiday,27578,봄
2020-05-20,non-holiday,29348,봄
2020-05-21,non-holiday,28334,봄
2020-05-22,non-holiday,34936,봄
2020-05-23,holiday,45633,봄
2020-05-24,holiday,38283,봄
2020-05-25,non-holiday,26377,봄
2020-05-26,non-holiday,27696,봄
2020-05-27,non-holiday,27812,봄
2020-05-28,non-holiday,28426,봄
2020-05-29,non-holiday,33485,봄
2020-05-30,holiday,44726,봄
2020-05-31,holiday,40790,봄
2020-06-01,non-holiday,22093,여름
2020-06-02,non-holiday,22685,여름
2020-06-03,non-holiday,22543,여름
2020-06-04,non-holiday,24478,여름
2020-06-05,non-holiday,30608,여름
2020-06-06,holiday,43556,여름
2020-06-07,holiday,38276,여름
2020-06-08,non-holiday,23313,여름
2020-06-09,non-holiday,24069,여름
2020-06-10,non-holiday,24346,여름
2020-06-11,non-holiday,25388,여름
2020-06-12,non-holiday,29756,여름
2020-06-13,holiday,36183,여름
2020-06-14,holiday,35039,여름
2020-06-15,non-holiday,25810,여름
2020-06-16,non-holiday,26698,여름
2020-06-17,non-holiday,26602,여름
2020-06-18,non-holiday,26771,여름
2020-06-19,non-holiday,32791,여름
2020-06-20,holiday,47568,여름
2020-06-21,holiday,43805,여름
2020-06-22,non-holiday,29202,여름
2020-06-23,non-holiday,30385,여름
2020-06-24,non-holiday,27992,여름
2020-06-25,non-holiday,27428,여름
2020-06-26,non-holiday,35857,여름
2020-06-27,holiday,48115,여름
2020-06-28,holiday,45610,여름
2020-06-29,non-holiday,27610,여름
2020-06-30,non-holiday,27513,여름
2020-07-01,non-holiday,24315,여름
2020-07-02,non-holiday,26826,여름
2020-07-03,non-holiday,31247,여름
2020-07-04,holiday,47078,여름
2020-07-05,holiday,41879,여름
2020-07-06,non-holiday,24978,여름
2020-07-07,non-holiday,25800,여름
