날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,53737,겨울
2020-01-02,non-holiday,38277,겨울
2020-01-03,non-holiday,41408,겨울
2020-01-04,holiday,56441,겨울
2020-01-05,holiday,57228,겨울
2020-01-06,non-holiday,33657,겨울
2020-01-07,non-holiday,31955,겨울
2020-01-08,non-holiday,35081,겨울
2020-01-09,non-holiday,36995,겨울
2020-01-10,non-holiday,41490,겨울
2020-01-11,holiday,58876,겨울
2020-01-12,holiday,63305,겨울
2020-01-13,non-holiday,37955,겨울
2020-01-14,non-holiday,39369,겨울
2020-01-15,non-holiday,38218,겨울
2020-01-16,non-holiday,37266,겨울
2020-01-17,non-holiday,43092,겨울
2020-01-18,holiday,60009,겨울
2020-01-19,holiday,55527,겨울
2020-01-20,non-holiday,38609,겨울
2020-01-21,non-holiday,39821,겨울
2020-01-22,non-holiday,39937,겨울
2020-01-23,non-holiday,62701,겨울
2020-01-24,holiday,138216,겨울
2020-01-25,holiday,181090,겨울
2020-01-26,holiday,132890,겨울
2020-01-27,holiday,68431,겨울
2020-01-28,non-holiday,42149,겨울
2020-01-29,non-holiday,39855,겨울
2020-01-30,non-holiday,40001,겨울
2020-01-31,non-holiday,43505,겨울
2020-02-01,holiday,47628,겨울
2020-02-02,holiday,45736,겨울
2020-02-03,non-holiday,33367,겨울
2020-02-04,non-holiday,33770,겨울
2020-02-05,non-holiday,34114,겨울
2020-02-06,non-holiday,33679,겨울
2020-02-07,non-holiday,37705,겨울
2020-02-08,holiday,49936,겨울
2020-02-09,holiday,47342,겨울
2020-02-10,non-holiday,35804,겨울
2020-02-11,non-holiday,36456,겨울
2020-02-12,non-holiday,33894,겨울
2020-02-13,non-holiday,39524,겨울
2020-02-14,non-holiday,43486,겨울
2020-02-15,holiday,56593,겨울
2020-02-16,holiday,49103,겨울
2020-02-17,non-holiday,34665,겨울
2020-02-18,non-holiday,37552,겨울
2020-02-19,non-holiday,37768,겨울
2020-02-20,non-holiday,34851,겨울
2020-02-21,non-holiday,33730,겨울
2020-02-22,holiday,31242,겨울
2020-02-23,holiday,25484,겨울
2020-02-24,non-holiday,24142,겨울
2020-02-25,non-holiday,21072,겨울
2020-02-26,non-holiday,22991,겨울
2020-02-27,non-holiday,23599,겨울
2020-02-28,non-holiday,24054,겨울
2020-02-29,holiday,24819,겨울
2020-03-01,holiday,15458,봄
2020-03-02,non-holiday,16333,봄
2020-03-03,non-holiday,17389,봄
2020-03-04,non-holiday,17777,봄
2020-03-05,non-holiday,18533,봄
2020-03-06,non-holiday,20813,봄
2020-03-07,holiday,21006,봄
2020-03-08,holiday,21834,봄
2020-03-09,non-holiday,20798,봄
2020-03-10,non-holiday,19969,봄
2020-03-11,non-holiday,22457,봄
2020-03-12,non-holiday,23695,봄
2020-03-13,non-holiday,24393,봄
2020-03-14,holiday,28576,봄
2020-03-15,holiday,25409,봄
2020-03-16,non-holiday,24998,봄
2020-03-17,non-holiday,26559,봄
2020-03-18,non-holiday,27085,봄
2020-03-19,non-holiday,25024,봄
2020-03-20,non-holiday,29513,봄
2020-03-21,holiday,35426,봄
2020-03-22,holiday,33070,봄
2020-03-23,non-holiday,28706,봄
2020-03-24,non-holiday,29361,봄
2020-03-25,non-holiday,30436,봄
2020-03-26,non-holiday,29111,봄
2020-03-27,non-holiday,31261,봄
2020-03-28,holiday,38102,봄
2020-03-29,holiday,35741,봄
2020-03-30,non-holiday,32076,봄
2020-03-31,non-holiday,33059,봄
2020-04-01,non-holiday,24749,봄
2020-04-02,non-holiday,26796,봄
2020-04-03,non-holiday,30341,봄
2020-04-04,holiday,39567,봄
2020-04-05,holiday,40021,봄
2020-04-06,non-holiday,28016,봄
2020-04-07,non-holiday,28643,봄
2020-04-08,non-holiday,28275,봄
2020-04-09,non-holiday,29098,봄
2020-04-10,non-holiday,32264,봄
2020-04-11,holiday,40400,봄
2020-04-12,holiday,34664,봄
2020-04-13,non-holiday,29411,봄
2020-04-14,non-holiday,31012,봄
2020-04-15,holiday,31953,봄
2020-04-16,non-holiday,29678,봄
2020-04-17,non-holiday,31109,봄
2020-04-18,holiday,40717,봄
2020-04-19,holiday,35888,봄
2020-04-20,non-holiday,30756,봄
2020-04-21,non-holiday,31349,봄
2020-04-22,non-holiday,31791,봄
2020-04-23,non-holiday,32131,봄
