날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,85240,겨울
2020-01-02,non-holiday,21938,겨울
2020-01-03,non-holiday,22129,겨울
2020-01-04,holiday,38865,겨울
2020-01-05,holiday,40987,겨울
2020-01-06,non-holiday,15353,겨울
2020-01-07,non-holiday,12759,겨울
2020-01-08,non-holiday,13731,겨울
2020-01-09,non-holiday,16127,겨울
2020-01-10,non-holiday,20664,겨울
2020-01-11,holiday,38637,겨울
2020-01-12,holiday,41592,겨울
2020-01-13,non-holiday,16104,겨울
2020-01-14,non-holiday,17435,겨울
2020-01-15,non-holiday,16989,겨울
2020-01-16,non-holiday,17461,겨울
2020-01-17,non-holiday,18906,겨울
2020-01-18,holiday,30294,겨울
2020-01-19,holiday,34035,겨울
2020-01-20,non-holiday,15597,겨울
2020-01-21,non-holiday,15238,겨울
2020-01-22,non-holiday,14161,겨울
2020-01-23,non-holiday,22042,겨울
2020-01-24,holiday,59429,겨울
2020-01-25,holiday,90048,겨울
2020-01-26,holiday,74371,겨울
2020-01-27,holiday,28821,겨울
2020-01-28,non-holiday,14381,겨울
2020-01-29,non-holiday,14417,겨울
2020-01-30,non-holiday,14525,겨울
2020-01-31,non-holiday,16972,겨울
2020-02-01,holiday,29192,겨울
2020-02-02,holiday,34916,겨울
2020-02-03,non-holiday,12964,겨울
2020-02-04,non-holiday,14142,겨울
2020-02-05,non-holiday,13001,겨울
2020-02-06,non-holiday,13263,겨울
2020-02-07,non-holiday,16310,겨울
2020-02-08,holiday,29708,겨울
2020-02-09,holiday,34418,겨울
2020-02-10,non-holiday,15739,겨울
2020-02-11,non-holiday,17145,겨울
2020-02-12,non-holiday,12318,겨울
2020-02-13,non-holiday,16552,겨울
2020-02-14,non-holiday,21547,겨울
2020-02-15,holiday,39570,겨울
2020-02-16,holiday,34908,겨울
2020-02-17,non-holiday,14893,겨울
2020-02-18,non-holiday,14891,겨울
2020-02-19,non-holiday,15708,겨울
2020-02-20,non-holiday,15948,겨울
2020-02-21,non-holiday,17048,겨울
2020-02-22,holiday,19095,겨울
2020-02-23,holiday,18596,겨울
2020-02-24,non-holiday,13130,겨울
2020-02-25,non-holiday,9029,겨울
2020-02-26,non-holiday,10439,겨울
2020-02-27,non-holiday,11772,겨울
2020-02-28,non-holiday,13187,겨울
2020-02-29,holiday,20097,겨울
2020-03-01,holiday,17779,봄
2020-03-02,non-holiday,9377,봄
2020-03-03,non-holiday,9719,봄
2020-03-04,non-holiday,10937,봄
2020-03-05,non-holiday,11194,봄
2020-03-06,non-holiday,13054,봄
2020-03-07,holiday,19435,봄
2020-03-08,holiday,29087,봄
2020-03-09,non-holiday,11606,봄
2020-03-10,non-holiday,9143,봄
2020-03-11,non-holiday,12066,봄
2020-03-12,non-holiday,13684,봄
2020-03-13,non-holiday,14922,봄
2020-03-14,holiday,27392,봄
2020-03-15,holiday,26499,봄
2020-03-16,non-holiday,12570,봄
