날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,23347,겨울
2020-01-02,non-holiday,15843,겨울
2020-01-03,non-holiday,18240,겨울
2020-01-04,holiday,25046,겨울
2020-01-05,holiday,23063,겨울
2020-01-06,non-holiday,14279,겨울
2020-01-07,non-holiday,13992,겨울
2020-01-08,non-holiday,14951,겨울
2020-01-09,non-holiday,15848,겨울
2020-01-10,non-holiday,17825,겨울
2020-01-11,holiday,25371,겨울
2020-01-12,holiday,25079,겨울
2020-01-13,non-holiday,16371,겨울
2020-01-14,non-holiday,16925,겨울
2020-01-15,non-holiday,16834,겨울
2020-01-16,non-holiday,17581,겨울
2020-01-17,non-holiday,18138,겨울
2020-01-18,holiday,24579,겨울
2020-01-19,holiday,23121,겨울
2020-01-20,non-holiday,17948,겨울
2020-01-21,non-holiday,17976,겨울
2020-01-22,non-holiday,18546,겨울
2020-01-23,non-holiday,30311,겨울
2020-01-24,holiday,75708,겨울
2020-01-25,holiday,106688,겨울
2020-01-26,holiday,72201,겨울
2020-01-27,holiday,33508,겨울
2020-01-28,non-holiday,19435,겨울
2020-01-29,non-holiday,17721,겨울
2020-01-30,non-holiday,18034,겨울
2020-01-31,non-holiday,18797,겨울
2020-02-01,holiday,20579,겨울
2020-02-02,holiday,19561,겨울
2020-02-03,non-holiday,14256,겨울
2020-02-04,non-holiday,14873,겨울
2020-02-05,non-holiday,14065,겨울
2020-02-06,non-holiday,14264,겨울
2020-02-07,non-holiday,15875,겨울
2020-02-08,holiday,21168,겨울
2020-02-09,holiday,20739,겨울
2020-02-10,non-holiday,15466,겨울
2020-02-11,non-holiday,15765,겨울
2020-02-12,non-holiday,14394,겨울
2020-02-13,non-holiday,16722,겨울
2020-02-14,non-holiday,18548,겨울
2020-02-15,holiday,25027,겨울
2020-02-16,holiday,21006,겨울
2020-02-17,non-holiday,15449,겨울
2020-02-18,non-holiday,16066,겨울
2020-02-19,non-holiday,16744,겨울
2020-02-20,non-holiday,16425,겨울
2020-02-21,non-holiday,15843,겨울
2020-02-22,holiday,15010,겨울
2020-02-23,holiday,12878,겨울
2020-02-24,non-holiday,12405,겨울
2020-02-25,non-holiday,11086,겨울
2020-02-26,non-holiday,12148,겨울
2020-02-27,non-holiday,12538,겨울
2020-02-28,non-holiday,12740,겨울
2020-02-29,holiday,13653,겨울
2020-03-01,holiday,8409,봄
2020-03-02,non-holiday,8758,봄
2020-03-03,non-holiday,9449,봄
2020-03-04,non-holiday,9853,봄
2020-03-05,non-holiday,9885,봄
2020-03-06,non-holiday,10848,봄
2020-03-07,holiday,11535,봄
2020-03-08,holiday,12286,봄
2020-03-09,non-holiday,11147,봄
2020-03-10,non-holiday,10634,봄
2020-03-11,non-holiday,11608,봄
2020-03-12,non-holiday,11925,봄
2020-03-13,non-holiday,12942,봄
2020-03-14,holiday,15703,봄
2020-03-15,holiday,13720,봄
2020-03-16,non-holiday,12927,봄
2020-03-17,non-holiday,13099,봄
2020-03-18,non-holiday,13824,봄
2020-03-19,non-holiday,13020,봄
2020-03-20,non-holiday,15140,봄
2020-03-21,holiday,17738,봄
2020-03-22,holiday,16595,봄
2020-03-23,non-holiday,14082,봄
2020-03-24,non-holiday,14860,봄
2020-03-25,non-holiday,15181,봄
2020-03-26,non-holiday,14797,봄
2020-03-27,non-holiday,15705,봄
2020-03-28,holiday,19630,봄
2020-03-29,holiday,18464,봄
2020-03-30,non-holiday,16160,봄
2020-03-31,non-holiday,16076,봄
2020-04-01,non-holiday,10955,봄
2020-04-02,non-holiday,12014,봄
2020-04-03,non-holiday,14726,봄
2020-04-04,holiday,20074,봄
2020-04-05,holiday,19346,봄
2020-04-06,non-holiday,12551,봄
2020-04-07,non-holiday,13151,봄
2020-04-08,non-holiday,14060,봄
2020-04-09,non-holiday,14225,봄
2020-04-10,non-holiday,15739,봄
2020-04-11,holiday,20118,봄
2020-04-12,holiday,18408,봄
2020-04-13,non-holiday,14516,봄
2020-04-14,non-holiday,15393,봄
2020-04-15,holiday,16499,봄
2020-04-16,non-holiday,14888,봄
2020-04-17,non-holiday,15946,봄
2020-04-18,holiday,21687,봄
2020-04-19,holiday,18994,봄
2020-04-20,non-holiday,15083,봄
2020-04-21,non-holiday,15836,봄
2020-04-22,non-holiday,15431,봄
2020-04-23,non-holiday,15953,봄
2020-04-24,non-holiday,18024,봄
2020-04-25,holiday,23274,봄
2020-04-26,holiday,21681,봄
2020-04-27,non-holiday,16508,봄
2020-04-28,non-holiday,17020,봄
2020-04-29,non-holiday,19943,봄
2020-04-30,holiday,33599,봄
2020-05-01,non-holiday,34721,봄
2020-05-02,holiday,39976,봄
2020-05-03,holiday,32408,봄
2020-05-04,non-holiday,21060,봄
2020-05-05,holiday,21154,봄
2020-05-06,non-holiday,14680,봄
2020-05-07,non-holiday,16951,봄
2020-05-08,non-holiday,22949,봄
2020-05-09,holiday,27798,봄
2020-05-10,holiday,28078,봄
2020-05-11,non-holiday,17010,봄
2020-05-12,non-holiday,17087,봄
2020-05-13,non-holiday,17481,봄
2020-05-14,non-holiday,17947,봄
2020-05-15,non-holiday,18666,봄
2020-05-16,holiday,26183,봄
2020-05-17,holiday,26608,봄
2020-05-18,non-holiday,17563,봄
2020-05-19,non-holiday,17744,봄
2020-05-20,non-holiday,18922,봄
2020-05-21,non-holiday,19656,봄
2020-05-22,non-holiday,21430,봄
2020-05-23,holiday,31753,봄
2020-05-24,holiday,28348,봄
2020-05-25,non-holiday,20416,봄
2020-05-26,non-holiday,20821,봄
2020-05-27,non-holiday,21112,봄
2020-05-28,non-holiday,21658,봄
2020-05-29,non-holiday,23640,봄
2020-05-30,holiday,32702,봄
2020-05-31,holiday,30269,봄
2020-06-01,non-holiday,14584,여름
2020-06-02,non-holiday,15282,여름
2020-06-03,non-holiday,16135,여름
2020-06-04,non-holiday,15842,여름
2020-06-05,non-holiday,19385,여름
2020-06-06,holiday,29742,여름
2020-06-07,holiday,26502,여름
2020-06-08,non-holiday,16903,여름
2020-06-09,non-holiday,16936,여름
2020-06-10,non-holiday,17974,여름
2020-06-11,non-holiday,16831,여름
2020-06-12,non-holiday,19395,여름
2020-06-13,holiday,26642,여름
2020-06-14,holiday,24703,여름
2020-06-15,non-holiday,18008,여름
2020-06-16,non-holiday,17792,여름
2020-06-17,non-holiday,17942,여름
2020-06-18,non-holiday,17910,여름
2020-06-19,non-holiday,22061,여름
2020-06-20,holiday,31552,여름
2020-06-21,holiday,28366,여름
2020-06-22,non-holiday,18937,여름
2020-06-23,non-holiday,19381,여름
2020-06-24,non-holiday,17908,여름
2020-06-25,non-holiday,18045,여름
2020-06-26,non-holiday,21758,여름
2020-06-27,holiday,31839,여름
2020-06-28,holiday,29883,여름
2020-06-29,non-holiday,19017,여름
2020-06-30,non-holiday,19003,여름
2020-07-01,non-holiday,15303,여름
2020-07-02,non-holiday,16398,여름
2020-07-03,non-holiday,19675,여름
2020-07-04,holiday,29651,여름
2020-07-05,holiday,27899,여름
2020-07-06,non-holiday,15469,여름
2020-07-07,non-holiday,16774,여름
2020-07-08,non-holiday,17807,여름
2020-07-09,non-holiday,18506,여름
2020-07-10,non-holiday,20505,여름
2020-07-11,holiday,30142,여름
2020-07-12,holiday,28410,여름
2020-07-13,non-holiday,16347,여름
2020-07-14,non-holiday,17786,여름
2020-07-15,non-holiday,18635,여름
2020-07-16,non-holiday,19679,여름
2020-07-17,holiday,22376,여름
2020-07-18,holiday,31604,여름
2020-07-19,holiday,27668,여름
2020-07-20,non-holiday,17929,여름
2020-07-21,non-holiday,19479,여름
2020-07-22,non-holiday,18356,여름
2020-07-23,non-holiday,17922,여름
2020-07-24,non-holiday,21458,여름
2020-07-25,holiday,29621,여름
2020-07-26,holiday,28826,여름
2020-07-27,non-holiday,20433,여름
2020-07-28,non-holiday,19717,여름
2020-07-29,non-holiday,20363,여름
2020-07-30,non-holiday,21578,여름
2020-07-31,non-holiday,28614,여름
2020-08-01,holiday,38948,여름
2020-08-02,holiday,35508,여름
2020-08-03,non-holiday,25863,여름
2020-08-04,non-holiday,23505,여름
2020-08-05,non-holiday,20992,여름
2020-08-06,non-holiday,19865,여름
2020-08-07,non-holiday,23183,여름
2020-08-08,holiday,26890,여름
2020-08-09,holiday,25025,여름
2020-08-10,non-holiday,16681,여름
2020-08-11,non-holiday,17282,여름
2020-08-12,non-holiday,19973,여름
2020-08-13,non-holiday,21482,여름
2020-08-14,non-holiday,27081,여름
2020-08-15,holiday,41758,여름
2020-08-16,holiday,40819,여름
2020-08-17,holiday,30798,여름
2020-08-18,non-holiday,21476,여름
2020-08-19,non-holiday,20209,여름
2020-08-20,non-holiday,20815,여름
2020-08-21,non-holiday,22792,여름
2020-08-22,holiday,28195,여름
2020-08-23,holiday,26106,여름
2020-08-24,non-holiday,19726,여름
2020-08-25,non-holiday,19389,여름
2020-08-26,non-holiday,17676,여름
2020-08-27,non-holiday,17302,여름
2020-08-28,non-holiday,20637,여름
2020-08-29,holiday,25584,여름
2020-08-30,holiday,24231,여름
2020-08-31,non-holiday,18148,여름
2020-09-01,non-holiday,15127,가을
2020-09-02,non-holiday,13230,가을
2020-09-03,non-holiday,13607,가을
2020-09-04,non-holiday,18842,가을
2020-09-05,holiday,25501,가을
2020-09-06,holiday,20698,가을
2020-09-07,non-holiday,12110,가을
2020-09-08,non-holiday,16196,가을
2020-09-09,non-holiday,17081,가을
2020-09-10,non-holiday,18545,가을
2020-09-11,non-holiday,20265,가을
2020-09-12,holiday,28797,가을
2020-09-13,holiday,28365,가을
2020-09-14,non-holiday,18428,가을
2020-09-15,non-holiday,19507,가을
2020-09-16,non-holiday,18604,가을
2020-09-17,non-holiday,19497,가을
2020-09-18,non-holiday,22733,가을
2020-09-19,holiday,33155,가을
2020-09-20,holiday,31396,가을
2020-09-21,non-holiday,20680,가을
2020-09-22,non-holiday,20947,가을
2020-09-23,non-holiday,21070,가을
2020-09-24,non-holiday,20704,가을
2020-09-25,non-holiday,22831,가을
2020-09-26,holiday,29677,가을
2020-09-27,holiday,27203,가을
2020-09-28,non-holiday,22123,가을
2020-09-29,non-holiday,29401,가을
2020-09-30,holiday,54848,가을
2020-10-01,holiday,73457,가을
2020-10-02,holiday,59533,가을
2020-10-03,holiday,39493,가을
2020-10-04,holiday,24305,가을
2020-10-05,non-holiday,15615,가을
2020-10-06,non-holiday,16403,가을
2020-10-07,non-holiday,16637,가을
2020-10-08,non-holiday,18966,가을
2020-10-09,holiday,32165,가을
2020-10-10,holiday,34625,가을
2020-10-11,holiday,28573,가을
2020-10-12,non-holiday,16897,가을
2020-10-13,non-holiday,18222,가을
2020-10-14,non-holiday,18378,가을
2020-10-15,non-holiday,19051,가을
2020-10-16,non-holiday,21495,가을
2020-10-17,holiday,32894,가을
2020-10-18,holiday,32899,가을
2020-10-19,non-holiday,18720,가을
2020-10-20,non-holiday,19592,가을
2020-10-21,non-holiday,20602,가을
2020-10-22,non-holiday,21980,가을
2020-10-23,non-holiday,25531,가을
2020-10-24,holiday,39982,가을
2020-10-25,holiday,39450,가을
2020-10-26,non-holiday,22659,가을
2020-10-27,non-holiday,22639,가을
2020-10-28,non-holiday,23345,가을
2020-10-29,non-holiday,24013,가을
2020-10-30,non-holiday,28098,가을
2020-10-31,holiday,43887,가을
2020-11-01,holiday,32988,가을
2020-11-02,non-holiday,18329,가을
2020-11-03,non-holiday,18292,가을
2020-11-04,non-holiday,18221,가을
2020-11-05,non-holiday,19005,가을
2020-11-06,non-holiday,22635,가을
2020-11-07,holiday,35550,가을
2020-11-08,holiday,34418,가을
2020-11-09,non-holiday,18912,가을
2020-11-10,non-holiday,18836,가을
2020-11-11,non-holiday,19111,가을
2020-11-12,non-holiday,19536,가을
2020-11-13,non-holiday,23772,가을
2020-11-14,holiday,35491,가을
2020-11-15,holiday,33008,가을
2020-11-16,non-holiday,18626,가을
2020-11-17,non-holiday,19359,가을
2020-11-18,non-holiday,18795,가을
2020-11-19,non-holiday,17358,가을
