날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,48627,겨울
2020-01-02,non-holiday,18967,겨울
2020-01-03,non-holiday,19262,겨울
2020-01-04,holiday,26931,겨울
2020-01-05,holiday,27179,겨울
2020-01-06,non-holiday,13504,겨울
2020-01-07,non-holiday,12090,겨울
2020-01-08,non-holiday,12619,겨울
2020-01-09,non-holiday,13565,겨울
2020-01-10,non-holiday,17757,겨울
2020-01-11,holiday,27465,겨울
2020-01-12,holiday,27861,겨울
2020-01-13,non-holiday,14276,겨울
2020-01-14,non-holiday,15109,겨울
2020-01-15,non-holiday,14788,겨울
2020-01-16,non-holiday,15954,겨울
2020-01-17,non-holiday,16678,겨울
2020-01-18,holiday,22443,겨울
2020-01-19,holiday,23756,겨울
2020-01-20,non-holiday,13164,겨울
2020-01-21,non-holiday,14627,겨울
2020-01-22,non-holiday,14890,겨울
2020-01-23,non-holiday,20604,겨울
2020-01-24,holiday,47287,겨울
2020-01-25,holiday,66773,겨울
2020-01-26,holiday,55866,겨울
2020-01-27,holiday,25949,겨울
2020-01-28,non-holiday,13591,겨울
2020-01-29,non-holiday,13240,겨울
2020-01-30,non-holiday,12710,겨울
2020-01-31,non-holiday,14684,겨울
2020-02-01,holiday,19681,겨울
2020-02-02,holiday,23631,겨울
2020-02-03,non-holiday,10540,겨울
2020-02-04,non-holiday,11909,겨울
2020-02-05,non-holiday,10664,겨울
2020-02-06,non-holiday,10378,겨울
2020-02-07,non-holiday,12614,겨울
2020-02-08,holiday,18046,겨울
2020-02-09,holiday,19474,겨울
2020-02-10,non-holiday,11272,겨울
2020-02-11,non-holiday,13337,겨울
2020-02-12,non-holiday,10846,겨울
2020-02-13,non-holiday,12876,겨울
2020-02-14,non-holiday,15546,겨울
2020-02-15,holiday,22101,겨울
2020-02-16,holiday,20718,겨울
2020-02-17,non-holiday,11360,겨울
2020-02-18,non-holiday,12526,겨울
2020-02-19,non-holiday,12944,겨울
2020-02-20,non-holiday,13270,겨울
2020-02-21,non-holiday,13650,겨울
2020-02-22,holiday,13888,겨울
2020-02-23,holiday,13403,겨울
2020-02-24,non-holiday,10844,겨울
2020-02-25,non-holiday,8652,겨울
2020-02-26,non-holiday,9115,겨울
2020-02-27,non-holiday,10251,겨울
