날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,19066,겨울
2020-01-02,non-holiday,9568,겨울
2020-01-03,non-holiday,9546,겨울
2020-01-04,holiday,13720,겨울
2020-01-05,holiday,13973,겨울
2020-01-06,non-holiday,7348,겨울
2020-01-07,non-holiday,6498,겨울
2020-01-08,non-holiday,7223,겨울
2020-01-09,non-holiday,7982,겨울
2020-01-10,non-holiday,9169,겨울
2020-01-11,holiday,14151,겨울
2020-01-12,holiday,15043,겨울
2020-01-13,non-holiday,7995,겨울
2020-01-14,non-holiday,8149,겨울
2020-01-15,non-holiday,7860,겨울
2020-01-16,non-holiday,8221,겨울
2020-01-17,non-holiday,8562,겨울
2020-01-18,holiday,12821,겨울
2020-01-19,holiday,12346,겨울
2020-01-20,non-holiday,10256,겨울
2020-01-21,non-holiday,9907,겨울
2020-01-22,non-holiday,9757,겨울
2020-01-23,non-holiday,14738,겨울
2020-01-24,holiday,39613,겨울
2020-01-25,holiday,62230,겨울
2020-01-26,holiday,43401,겨울
2020-01-27,holiday,18448,겨울
2020-01-28,non-holiday,10177,겨울
2020-01-29,non-holiday,9098,겨울
2020-01-30,non-holiday,9575,겨울
2020-01-31,non-holiday,10963,겨울
2020-02-01,holiday,15598,겨울
2020-02-02,holiday,17975,겨울
2020-02-03,non-holiday,6697,겨울
2020-02-04,non-holiday,6730,겨울
2020-02-05,non-holiday,6352,겨울
2020-02-06,non-holiday,6449,겨울
2020-02-07,non-holiday,7121,겨울
2020-02-08,holiday,10453,겨울
2020-02-09,holiday,12180,겨울
2020-02-10,non-holiday,7698,겨울
2020-02-11,non-holiday,8062,겨울
2020-02-12,non-holiday,6981,겨울
2020-02-13,non-holiday,8722,겨울
2020-02-14,non-holiday,9476,겨울
2020-02-15,holiday,14268,겨울
2020-02-16,holiday,13294,겨울
2020-02-17,non-holiday,7374,겨울
2020-02-18,non-holiday,7985,겨울
2020-02-19,non-holiday,8075,겨울
2020-02-20,non-holiday,7511,겨울
2020-02-21,non-holiday,7450,겨울
2020-02-22,holiday,8104,겨울
2020-02-23,holiday,7873,겨울
2020-02-24,non-holiday,6473,겨울
2020-02-25,non-holiday,4304,겨울
2020-02-26,non-holiday,5197,겨울
2020-02-27,non-holiday,5257,겨울
2020-02-28,non-holiday,5371,겨울
2020-02-29,holiday,6660,겨울
2020-03-01,holiday,6044,봄
2020-03-02,non-holiday,4556,봄
2020-03-03,non-holiday,4346,봄
2020-03-04,non-holiday,4807,봄
2020-03-05,non-holiday,5080,봄
2020-03-06,non-holiday,5456,봄
2020-03-07,holiday,6698,봄
2020-03-08,holiday,9090,봄
2020-03-09,non-holiday,5701,봄
2020-03-10,non-holiday,4963,봄
2020-03-11,non-holiday,6016,봄
2020-03-12,non-holiday,6198,봄
2020-03-13,non-holiday,6510,봄
2020-03-14,holiday,9166,봄
2020-03-15,holiday,9863,봄
2020-03-16,non-holiday,6447,봄
2020-03-17,non-holiday,6588,봄
2020-03-18,non-holiday,7025,봄
2020-03-19,non-holiday,6548,봄
2020-03-20,non-holiday,7616,봄
2020-03-21,holiday,11448,봄
2020-03-22,holiday,12194,봄
2020-03-23,non-holiday,7539,봄
2020-03-24,non-holiday,7745,봄
2020-03-25,non-holiday,7596,봄
2020-03-26,non-holiday,7066,봄
2020-03-27,non-holiday,7052,봄
2020-03-28,holiday,10510,봄
2020-03-29,holiday,11732,봄
2020-03-30,non-holiday,7708,봄
2020-03-31,non-holiday,7948,봄
2020-04-01,non-holiday,5868,봄
2020-04-02,non-holiday,6573,봄
2020-04-03,non-holiday,7578,봄
2020-04-04,holiday,12282,봄
2020-04-05,holiday,14469,봄
2020-04-06,non-holiday,6685,봄
2020-04-07,non-holiday,6972,봄
2020-04-08,non-holiday,7591,봄
2020-04-09,non-holiday,7357,봄
2020-04-10,non-holiday,8039,봄
2020-04-11,holiday,12407,봄
2020-04-12,holiday,11446,봄
2020-04-13,non-holiday,7621,봄
2020-04-14,non-holiday,8255,봄
2020-04-15,holiday,11104,봄
2020-04-16,non-holiday,8008,봄
2020-04-17,non-holiday,6985,봄
2020-04-18,holiday,13350,봄
2020-04-19,holiday,11981,봄
2020-04-20,non-holiday,7417,봄
2020-04-21,non-holiday,8405,봄
2020-04-22,non-holiday,8191,봄
