날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,136132,겨울
2020-01-02,non-holiday,68672,겨울
2020-01-03,non-holiday,73759,겨울
2020-01-04,holiday,97127,겨울
2020-01-05,holiday,91815,겨울
2020-01-06,non-holiday,59860,겨울
2020-01-07,non-holiday,59784,겨울
2020-01-08,non-holiday,64896,겨울
2020-01-09,non-holiday,68565,겨울
2020-01-10,non-holiday,73676,겨울
2020-01-11,holiday,101965,겨울
2020-01-12,holiday,89531,겨울
2020-01-13,non-holiday,68106,겨울
2020-01-14,non-holiday,70151,겨울
2020-01-15,non-holiday,70426,겨울
2020-01-16,non-holiday,71775,겨울
2020-01-17,non-holiday,75681,겨울
2020-01-18,holiday,94719,겨울
2020-01-19,holiday,90372,겨울
2020-01-20,non-holiday,74526,겨울
2020-01-21,non-holiday,70432,겨울
2020-01-22,non-holiday,72198,겨울
2020-01-23,non-holiday,86891,겨울
2020-01-24,holiday,123917,겨울
2020-01-25,holiday,167953,겨울
2020-01-26,holiday,132285,겨울
2020-01-27,holiday,81345,겨울
2020-01-28,non-holiday,68215,겨울
2020-01-29,non-holiday,68172,겨울
2020-01-30,non-holiday,69531,겨울
2020-01-31,non-holiday,73658,겨울
2020-02-01,holiday,76760,겨울
2020-02-02,holiday,72478,겨울
2020-02-03,non-holiday,56565,겨울
2020-02-04,non-holiday,59219,겨울
2020-02-05,non-holiday,59214,겨울
2020-02-06,non-holiday,57697,겨울
2020-02-07,non-holiday,65495,겨울
2020-02-08,holiday,83107,겨울
2020-02-09,holiday,73714,겨울
2020-02-10,non-holiday,63550,겨울
2020-02-11,non-holiday,64991,겨울
2020-02-12,non-holiday,60922,겨울
2020-02-13,non-holiday,67718,겨울
2020-02-14,non-holiday,73568,겨울
2020-02-15,holiday,100202,겨울
2020-02-16,holiday,84013,겨울
2020-02-17,non-holiday,66536,겨울
2020-02-18,non-holiday,65140,겨울
2020-02-19,non-holiday,65033,겨울
2020-02-20,non-holiday,59643,겨울
2020-02-21,non-holiday,55364,겨울
2020-02-22,holiday,53861,겨울
2020-02-23,holiday,41556,겨울
2020-02-24,non-holiday,44962,겨울
2020-02-25,non-holiday,38570,겨울
2020-02-26,non-holiday,43952,겨울
2020-02-27,non-holiday,45008,겨울
2020-02-28,non-holiday,46926,겨울
2020-02-29,holiday,51185,겨울
2020-03-01,holiday,39340,봄
2020-03-02,non-holiday,37889,봄
2020-03-03,non-holiday,38123,봄
2020-03-04,non-holiday,39973,봄
2020-03-05,non-holiday,40485,봄
2020-03-06,non-holiday,44335,봄
2020-03-07,holiday,51113,봄
2020-03-08,holiday,54143,봄
2020-03-09,non-holiday,46175,봄
2020-03-10,non-holiday,41580,봄
2020-03-11,non-holiday,48864,봄
2020-03-12,non-holiday,51068,봄
2020-03-13,non-holiday,52761,봄
2020-03-14,holiday,66006,봄
2020-03-15,holiday,66049,봄
2020-03-16,non-holiday,53860,봄
2020-03-17,non-holiday,55493,봄
2020-03-18,non-holiday,55619,봄
2020-03-19,non-holiday,49443,봄
2020-03-20,non-holiday,58535,봄
2020-03-21,holiday,76833,봄
2020-03-22,holiday,69168,봄
2020-03-23,non-holiday,55280,봄
2020-03-24,non-holiday,56076,봄
2020-03-25,non-holiday,59023,봄
2020-03-26,non-holiday,54596,봄
2020-03-27,non-holiday,53950,봄
2020-03-28,holiday,66641,봄
2020-03-29,holiday,66431,봄
2020-03-30,non-holiday,58446,봄
2020-03-31,non-holiday,59681,봄
2020-04-01,non-holiday,44439,봄
2020-04-02,non-holiday,49012,봄
2020-04-03,non-holiday,55148,봄
2020-04-04,holiday,65784,봄
2020-04-05,holiday,65596,봄
2020-04-06,non-holiday,50845,봄
2020-04-07,non-holiday,51995,봄
2020-04-08,non-holiday,52639,봄
2020-04-09,non-holiday,51910,봄
2020-04-10,non-holiday,59062,봄
2020-04-11,holiday,72933,봄
2020-04-12,holiday,56008,봄
2020-04-13,non-holiday,52582,봄
2020-04-14,non-holiday,60027,봄
2020-04-15,holiday,68962,봄
2020-04-16,non-holiday,57466,봄
2020-04-17,non-holiday,56553,봄
2020-04-18,holiday,77385,봄
2020-04-19,holiday,64683,봄
2020-04-20,non-holiday,62186,봄
2020-04-21,non-holiday,60307,봄
2020-04-22,non-holiday,59944,봄
2020-04-23,non-holiday,60779,봄
2020-04-24,non-holiday,67528,봄
2020-04-25,holiday,84298,봄
2020-04-26,holiday,77411,봄
2020-04-27,non-holiday,64176,봄
2020-04-28,non-holiday,66669,봄
2020-04-29,non-holiday,74462,봄
2020-04-30,holiday,105003,봄
2020-05-01,non-holiday,101217,봄
2020-05-02,holiday,109973,봄
2020-05-03,holiday,84948,봄
2020-05-04,non-holiday,71864,봄
2020-05-05,holiday,75732,봄
2020-05-06,non-holiday,55617,봄
2020-05-07,non-holiday,59897,봄
2020-05-08,non-holiday,70740,봄
2020-05-09,holiday,74013,봄
2020-05-10,holiday,77915,봄
2020-05-11,non-holiday,59362,봄
2020-05-12,non-holiday,59952,봄
2020-05-13,non-holiday,61487,봄
2020-05-14,non-holiday,63557,봄
2020-05-15,non-holiday,62738,봄
2020-05-16,holiday,85638,봄
2020-05-17,holiday,84248,봄
2020-05-18,non-holiday,62833,봄
2020-05-19,non-holiday,61100,봄
2020-05-20,non-holiday,64207,봄
2020-05-21,non-holiday,64486,봄
2020-05-22,non-holiday,71626,봄
2020-05-23,holiday,92586,봄
2020-05-24,holiday,85309,봄
2020-05-25,non-holiday,66366,봄
2020-05-26,non-holiday,67831,봄
2020-05-27,non-holiday,67595,봄
2020-05-28,non-holiday,68728,봄
2020-05-29,non-holiday,74307,봄
2020-05-30,holiday,97629,봄
2020-05-31,holiday,90513,봄
2020-06-01,non-holiday,53415,여름
2020-06-02,non-holiday,55525,여름
2020-06-03,non-holiday,57111,여름
2020-06-04,non-holiday,57721,여름
2020-06-05,non-holiday,66421,여름
2020-06-06,holiday,91942,여름
2020-06-07,holiday,82981,여름
2020-06-08,non-holiday,59167,여름
2020-06-09,non-holiday,60565,여름
2020-06-10,non-holiday,61917,여름
2020-06-11,non-holiday,61153,여름
2020-06-12,non-holiday,67987,여름
2020-06-13,holiday,87102,여름
2020-06-14,holiday,70670,여름
2020-06-15,non-holiday,69110,여름
2020-06-16,non-holiday,64701,여름
2020-06-17,non-holiday,65798,여름
2020-06-18,non-holiday,63724,여름
2020-06-19,non-holiday,71917,여름
2020-06-20,holiday,98116,여름
2020-06-21,holiday,90796,여름
2020-06-22,non-holiday,69394,여름
2020-06-23,non-holiday,70077,여름
2020-06-24,non-holiday,66722,여름
2020-06-25,non-holiday,67673,여름
2020-06-26,non-holiday,77253,여름
2020-06-27,holiday,101437,여름
2020-06-28,holiday,89917,여름
2020-06-29,non-holiday,67860,여름
2020-06-30,non-holiday,67909,여름
2020-07-01,non-holiday,57870,여름
2020-07-02,non-holiday,61180,여름
2020-07-03,non-holiday,66719,여름
2020-07-04,holiday,92525,여름
2020-07-05,holiday,90289,여름
2020-07-06,non-holiday,60713,여름
2020-07-07,non-holiday,62250,여름
2020-07-08,non-holiday,65142,여름
2020-07-09,non-holiday,65991,여름
2020-07-10,non-holiday,66774,여름
2020-07-11,holiday,95832,여름
2020-07-12,holiday,79548,여름
