날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,125754,겨울
2020-01-02,non-holiday,62912,겨울
2020-01-03,non-holiday,66983,겨울
2020-01-04,holiday,91950,겨울
2020-01-05,holiday,84325,겨울
2020-01-06,non-holiday,52949,겨울
2020-01-07,non-holiday,51434,겨울
2020-01-08,non-holiday,55225,겨울
2020-01-09,non-holiday,59162,겨울
2020-01-10,non-holiday,67370,겨울
2020-01-11,holiday,98232,겨울
2020-01-12,holiday,89229,겨울
2020-01-13,non-holiday,59245,겨울
2020-01-14,non-holiday,61765,겨울
2020-01-15,non-holiday,61182,겨울
2020-01-16,non-holiday,64465,겨울
2020-01-17,non-holiday,70479,겨울
2020-01-18,holiday,90520,겨울
2020-01-19,holiday,83846,겨울
2020-01-20,non-holiday,63223,겨울
2020-01-21,non-holiday,64988,겨울
2020-01-22,non-holiday,67886,겨울
2020-01-23,non-holiday,86273,겨울
2020-01-24,holiday,135664,겨울
2020-01-25,holiday,186739,겨울
2020-01-26,holiday,148481,겨울
2020-01-27,holiday,84164,겨울
2020-01-28,non-holiday,64214,겨울
2020-01-29,non-holiday,62393,겨울
2020-01-30,non-holiday,63110,겨울
2020-01-31,non-holiday,68388,겨울
2020-02-01,holiday,77737,겨울
2020-02-02,holiday,74130,겨울
2020-02-03,non-holiday,54150,겨울
2020-02-04,non-holiday,55299,겨울
2020-02-05,non-holiday,54453,겨울
2020-02-06,non-holiday,54207,겨울
2020-02-07,non-holiday,63555,겨울
2020-02-08,holiday,83592,겨울
2020-02-09,holiday,79370,겨울
2020-02-10,non-holiday,58439,겨울
2020-02-11,non-holiday,62301,겨울
2020-02-12,non-holiday,55728,겨울
2020-02-13,non-holiday,63540,겨울
2020-02-14,non-holiday,70791,겨울
2020-02-15,holiday,100089,겨울
2020-02-16,holiday,83380,겨울
2020-02-17,non-holiday,59833,겨울
2020-02-18,non-holiday,60061,겨울
2020-02-19,non-holiday,59574,겨울
2020-02-20,non-holiday,54933,겨울
2020-02-21,non-holiday,52256,겨울
2020-02-22,holiday,54720,겨울
2020-02-23,holiday,44342,겨울
2020-02-24,non-holiday,42108,겨울
2020-02-25,non-holiday,35769,겨울
2020-02-26,non-holiday,39192,겨울
2020-02-27,non-holiday,42049,겨울
2020-02-28,non-holiday,44146,겨울
2020-02-29,holiday,52354,겨울
2020-03-01,holiday,40041,봄
2020-03-02,non-holiday,34150,봄
2020-03-03,non-holiday,33883,봄
2020-03-04,non-holiday,35243,봄
2020-03-05,non-holiday,35645,봄
2020-03-06,non-holiday,40976,봄
2020-03-07,holiday,49589,봄
2020-03-08,holiday,58606,봄
