날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,102960,겨울
2020-01-02,non-holiday,102196,겨울
2020-01-03,non-holiday,118728,겨울
2020-01-04,holiday,149754,겨울
2020-01-05,holiday,110785,겨울
2020-01-06,non-holiday,101315,겨울
2020-01-07,non-holiday,104709,겨울
2020-01-08,non-holiday,105710,겨울
2020-01-09,non-holiday,112674,겨울
2020-01-10,non-holiday,127821,겨울
2020-01-11,holiday,167565,겨울
2020-01-12,holiday,116791,겨울
2020-01-13,non-holiday,108464,겨울
2020-01-14,non-holiday,114336,겨울
2020-01-15,non-holiday,114139,겨울
2020-01-16,non-holiday,120055,겨울
2020-01-17,non-holiday,132238,겨울
2020-01-18,holiday,160109,겨울
2020-01-19,holiday,120610,겨울
2020-01-20,non-holiday,115407,겨울
2020-01-21,non-holiday,124839,겨울
2020-01-22,non-holiday,125697,겨울
2020-01-23,non-holiday,152488,겨울
2020-01-24,holiday,165603,겨울
2020-01-25,holiday,177911,겨울
2020-01-26,holiday,164285,겨울
2020-01-27,holiday,133475,겨울
2020-01-28,non-holiday,119954,겨울
2020-01-29,non-holiday,115345,겨울
2020-01-30,non-holiday,118881,겨울
2020-01-31,non-holiday,129211,겨울
2020-02-01,holiday,135625,겨울
2020-02-02,holiday,99563,겨울
2020-02-03,non-holiday,94557,겨울
2020-02-04,non-holiday,94269,겨울
2020-02-05,non-holiday,83609,겨울
2020-02-06,non-holiday,91671,겨울
2020-02-07,non-holiday,94426,겨울
2020-02-08,holiday,109749,겨울
2020-02-09,holiday,84864,겨울
2020-02-10,non-holiday,90694,겨울
2020-02-11,non-holiday,96954,겨울
2020-02-12,non-holiday,97334,겨울
2020-02-13,non-holiday,102642,겨울
2020-02-14,non-holiday,121197,겨울
2020-02-15,holiday,148678,겨울
2020-02-16,holiday,105162,겨울
2020-02-17,non-holiday,86299,겨울
2020-02-18,non-holiday,102376,겨울
2020-02-19,non-holiday,108325,겨울
2020-02-20,non-holiday,112190,겨울
2020-02-21,non-holiday,109939,겨울
2020-02-22,holiday,124060,겨울
2020-02-23,holiday,79672,겨울
2020-02-24,non-holiday,93579,겨울
2020-02-25,non-holiday,83233,겨울
2020-02-26,non-holiday,87924,겨울
2020-02-27,non-holiday,91272,겨울
2020-02-28,non-holiday,95490,겨울
2020-02-29,holiday,102185,겨울
2020-03-01,holiday,68804,봄
2020-03-02,non-holiday,74317,봄
2020-03-03,non-holiday,74292,봄
2020-03-04,non-holiday,76389,봄
2020-03-05,non-holiday,78343,봄
2020-03-06,non-holiday,90033,봄
2020-03-07,holiday,99076,봄
2020-03-08,holiday,77813,봄
2020-03-09,non-holiday,80207,봄
2020-03-10,non-holiday,80385,봄
2020-03-11,non-holiday,85374,봄
2020-03-12,non-holiday,88531,봄
2020-03-13,non-holiday,107299,봄
2020-03-14,holiday,118094,봄
2020-03-15,holiday,86476,봄
2020-03-16,non-holiday,88705,봄
2020-03-17,non-holiday,91926,봄
2020-03-18,non-holiday,94542,봄
2020-03-19,non-holiday,90767,봄
2020-03-20,non-holiday,105722,봄
2020-03-21,holiday,120436,봄
2020-03-22,holiday,88750,봄
2020-03-23,non-holiday,93119,봄
2020-03-24,non-holiday,93590,봄
2020-03-25,non-holiday,108831,봄
2020-03-26,non-holiday,96575,봄
2020-03-27,non-holiday,109080,봄
2020-03-28,holiday,126062,봄
2020-03-29,holiday,95884,봄
2020-03-30,non-holiday,97577,봄
2020-03-31,non-holiday,101300,봄
2020-04-01,non-holiday,79675,봄
2020-04-02,non-holiday,83318,봄
2020-04-03,non-holiday,93559,봄
2020-04-04,holiday,112832,봄
2020-04-05,holiday,86855,봄
2020-04-06,non-holiday,88138,봄
2020-04-07,non-holiday,91020,봄
2020-04-08,non-holiday,91355,봄
2020-04-09,non-holiday,92194,봄
2020-04-10,non-holiday,104518,봄
2020-04-11,holiday,128152,봄
2020-04-12,holiday,94580,봄
2020-04-13,non-holiday,93483,봄
2020-04-14,non-holiday,104360,봄
2020-04-15,holiday,97011,봄
2020-04-16,non-holiday,97562,봄
2020-04-17,non-holiday,108161,봄
2020-04-18,holiday,137332,봄
2020-04-19,holiday,94869,봄
2020-04-20,non-holiday,96576,봄
2020-04-21,non-holiday,100673,봄
2020-04-22,non-holiday,103648,봄
2020-04-23,non-holiday,104688,봄
2020-04-24,non-holiday,130079,봄
2020-04-25,holiday,150617,봄
2020-04-26,holiday,107986,봄
2020-04-27,non-holiday,104195,봄
2020-04-28,non-holiday,108838,봄
2020-04-29,non-holiday,124362,봄
2020-04-30,holiday,132302,봄
2020-05-01,non-holiday,128474,봄
2020-05-02,holiday,152668,봄
2020-05-03,holiday,120686,봄
2020-05-04,non-holiday,119187,봄
2020-05-05,holiday,110487,봄
2020-05-06,non-holiday,101747,봄
2020-05-07,non-holiday,107806,봄
2020-05-08,non-holiday,126619,봄
2020-05-09,holiday,154429,봄
2020-05-10,holiday,116066,봄
2020-05-11,non-holiday,106195,봄
2020-05-12,non-holiday,106933,봄
2020-05-13,non-holiday,108558,봄
2020-05-14,non-holiday,110009,봄
2020-05-15,non-holiday,121628,봄
2020-05-16,holiday,158317,봄
2020-05-17,holiday,121883,봄
2020-05-18,non-holiday,107129,봄
2020-05-19,non-holiday,108770,봄
2020-05-20,non-holiday,125245,봄
2020-05-21,non-holiday,118319,봄
2020-05-22,non-holiday,131216,봄
2020-05-23,holiday,155635,봄
2020-05-24,holiday,110611,봄
2020-05-25,non-holiday,113315,봄
2020-05-26,non-holiday,114540,봄
2020-05-27,non-holiday,118705,봄
2020-05-28,non-holiday,120689,봄
2020-05-29,non-holiday,132634,봄
2020-05-30,holiday,155764,봄
2020-05-31,holiday,121752,봄
2020-06-01,non-holiday,96752,여름
2020-06-02,non-holiday,98001,여름
2020-06-03,non-holiday,100999,여름
2020-06-04,non-holiday,108382,여름
2020-06-05,non-holiday,122550,여름
2020-06-06,holiday,136187,여름
2020-06-07,holiday,108239,여름
2020-06-08,non-holiday,113892,여름
2020-06-09,non-holiday,108135,여름
2020-06-10,non-holiday,108669,여름
2020-06-11,non-holiday,112065,여름
2020-06-12,non-holiday,124271,여름
2020-06-13,holiday,148196,여름
2020-06-14,holiday,107601,여름
2020-06-15,non-holiday,109369,여름
2020-06-16,non-holiday,110386,여름
2020-06-17,non-holiday,113930,여름
2020-06-18,non-holiday,112904,여름
2020-06-19,non-holiday,131623,여름
2020-06-20,holiday,161039,여름
2020-06-21,holiday,115793,여름
2020-06-22,non-holiday,109844,여름
2020-06-23,non-holiday,123341,여름
2020-06-24,non-holiday,112348,여름
2020-06-25,non-holiday,124515,여름
2020-06-26,non-holiday,136335,여름
2020-06-27,holiday,164165,여름
2020-06-28,holiday,113959,여름
2020-06-29,non-holiday,107767,여름
2020-06-30,non-holiday,110233,여름
2020-07-01,non-holiday,90657,여름
2020-07-02,non-holiday,101249,여름
2020-07-03,non-holiday,95063,여름
2020-07-04,holiday,102555,여름
2020-07-05,holiday,78591,여름
2020-07-06,non-holiday,85203,여름
2020-07-07,non-holiday,86458,여름
2020-07-08,non-holiday,87940,여름
2020-07-09,non-holiday,94895,여름
2020-07-10,non-holiday,99527,여름
2020-07-11,holiday,108428,여름
2020-07-12,holiday,75667,여름
2020-07-13,non-holiday,87433,여름
2020-07-14,non-holiday,91299,여름
2020-07-15,non-holiday,103836,여름
2020-07-16,non-holiday,100199,여름
2020-07-17,holiday,109977,여름
2020-07-18,holiday,119919,여름
2020-07-19,holiday,90571,여름
2020-07-20,non-holiday,108250,여름
2020-07-21,non-holiday,103169,여름
2020-07-22,non-holiday,99718,여름
2020-07-23,non-holiday,95023,여름
2020-07-24,non-holiday,109913,여름
2020-07-25,holiday,121605,여름
2020-07-26,holiday,97991,여름
2020-07-27,non-holiday,111363,여름
2020-07-28,non-holiday,106808,여름
2020-07-29,non-holiday,102557,여름
2020-07-30,non-holiday,112110,여름
2020-07-31,non-holiday,128371,여름
2020-08-01,holiday,120178,여름
2020-08-02,holiday,97622,여름
2020-08-03,non-holiday,104608,여름
2020-08-04,non-holiday,108040,여름
2020-08-05,non-holiday,109788,여름
2020-08-06,non-holiday,105121,여름
2020-08-07,non-holiday,106390,여름
2020-08-08,holiday,111565,여름
2020-08-09,holiday,108450,여름
2020-08-10,non-holiday,102673,여름
2020-08-11,non-holiday,109366,여름
2020-08-12,non-holiday,110604,여름
2020-08-13,non-holiday,117188,여름
2020-08-14,non-holiday,133389,여름
2020-08-15,holiday,141188,여름
2020-08-16,holiday,114163,여름
2020-08-17,holiday,104701,여름
2020-08-18,non-holiday,103018,여름
2020-08-19,non-holiday,101408,여름
2020-08-20,non-holiday,103119,여름
2020-08-21,non-holiday,108526,여름
2020-08-22,holiday,111768,여름
2020-08-23,holiday,78889,여름
2020-08-24,non-holiday,92431,여름
2020-08-25,non-holiday,95474,여름
2020-08-26,non-holiday,82123,여름
2020-08-27,non-holiday,93419,여름
2020-08-28,non-holiday,99397,여름
2020-08-29,holiday,93883,여름
2020-08-30,holiday,72139,여름
2020-08-31,non-holiday,85670,여름
2020-09-01,non-holiday,77029,가을
2020-09-02,non-holiday,75403,가을
2020-09-03,non-holiday,79741,가을
2020-09-04,non-holiday,89810,가을
2020-09-05,holiday,95450,가을
2020-09-06,holiday,76155,가을
2020-09-07,non-holiday,80293,가을
2020-09-08,non-holiday,88171,가을
2020-09-09,non-holiday,85819,가을
2020-09-10,non-holiday,95346,가을
2020-09-11,non-holiday,92576,가을
2020-09-12,holiday,103644,가을
2020-09-13,holiday,72086,가을
2020-09-14,non-holiday,91213,가을
2020-09-15,non-holiday,91899,가을
2020-09-16,non-holiday,93309,가을
2020-09-17,non-holiday,93501,가을
2020-09-18,non-holiday,110918,가을
2020-09-19,holiday,122029,가을
2020-09-20,holiday,92184,가을
2020-09-21,non-holiday,105810,가을
2020-09-22,non-holiday,107161,가을
2020-09-23,non-holiday,108052,가을
2020-09-24,non-holiday,117302,가을
2020-09-25,non-holiday,124929,가을
2020-09-26,holiday,135618,가을
2020-09-27,holiday,103047,가을
2020-09-28,non-holiday,122463,가을
2020-09-29,non-holiday,139002,가을
2020-09-30,holiday,127467,가을
2020-10-01,holiday,110869,가을
2020-10-02,holiday,116102,가을
2020-10-03,holiday,115146,가을
2020-10-04,holiday,94842,가을
2020-10-05,non-holiday,97073,가을
2020-10-06,non-holiday,97129,가을
2020-10-07,non-holiday,100142,가을
2020-10-08,non-holiday,112871,가을
2020-10-09,holiday,119319,가을
2020-10-10,holiday,130462,가을
2020-10-11,holiday,103105,가을
2020-10-12,non-holiday,103850,가을
2020-10-13,non-holiday,106418,가을
2020-10-14,non-holiday,107837,가을
2020-10-15,non-holiday,109711,가을
2020-10-16,non-holiday,124451,가을
2020-10-17,holiday,153516,가을
2020-10-18,holiday,119472,가을
2020-10-19,non-holiday,87601,가을
2020-10-20,non-holiday,99623,가을
2020-10-21,non-holiday,89206,가을
2020-10-22,non-holiday,92989,가을
2020-10-23,non-holiday,143430,가을
2020-10-24,holiday,174696,가을
2020-10-25,holiday,142474,가을
2020-10-26,non-holiday,91008,가을
2020-10-27,non-holiday,92267,가을
2020-10-28,non-holiday,94621,가을
2020-10-29,non-holiday,99295,가을
2020-10-30,non-holiday,111343,가을
2020-10-31,holiday,131099,가을
2020-11-01,holiday,86664,가을
2020-11-02,non-holiday,89394,가을
2020-11-03,non-holiday,89349,가을
2020-11-04,non-holiday,92033,가을
2020-11-05,non-holiday,94992,가을
2020-11-06,non-holiday,109941,가을
2020-11-07,holiday,145406,가을
2020-11-08,holiday,111263,가을
2020-11-09,non-holiday,102760,가을
2020-11-10,non-holiday,105552,가을
2020-11-11,non-holiday,107111,가을
2020-11-12,non-holiday,109179,가을
2020-11-13,non-holiday,122263,가을
2020-11-14,holiday,148376,가을
2020-11-15,holiday,112025,가을
2020-11-16,non-holiday,99691,가을
2020-11-17,non-holiday,103021,가을
2020-11-18,non-holiday,100767,가을
2020-11-19,non-holiday,94905,가을
2020-11-20,non-holiday,110212,가을
2020-11-21,holiday,130734,가을
2020-11-22,holiday,95388,가을
2020-11-23,non-holiday,97241,가을
2020-11-24,non-holiday,99806,가을
2020-11-25,non-holiday,101161,가을
2020-11-26,non-holiday,100367,가을
2020-11-27,non-holiday,111553,가을
2020-11-28,holiday,127364,가을
2020-11-29,holiday,97832,가을
2020-11-30,non-holiday,122468,가을
2020-12-01,non-holiday,87163,겨울
2020-12-02,non-holiday,89777,겨울
2020-12-03,non-holiday,91526,겨울
2020-12-04,non-holiday,103499,겨울
2020-12-05,holiday,129149,겨울
2020-12-06,holiday,95482,겨울
2020-12-07,non-holiday,91822,겨울
2020-12-08,non-holiday,92747,겨울
2020-12-09,non-holiday,95121,겨울
2020-12-10,non-holiday,98115,겨울
2020-12-11,non-holiday,114886,겨울
2020-12-12,holiday,134792,겨울
2020-12-13,holiday,92957,겨울
2020-12-14,non-holiday,93726,겨울
2020-12-15,non-holiday,95535,겨울
2020-12-16,non-holiday,99147,겨울
2020-12-17,non-holiday,101250,겨울
2020-12-18,non-holiday,115109,겨울
2020-12-19,holiday,136007,겨울
2020-12-20,holiday,98808,겨울
2020-12-21,non-holiday,104515,겨울
2020-12-22,non-holiday,105089,겨울
2020-12-23,non-holiday,109057,겨울
2020-12-24,non-holiday,123899,겨울
2020-12-25,holiday,110646,겨울
2020-12-26,holiday,119815,겨울
2020-12-27,holiday,84644,겨울
2020-12-28,non-holiday,107346,겨울
2020-12-29,non-holiday,107744,겨울
2020-12-30,non-holiday,95370,겨울
2020-12-31,non-holiday,112495,겨울
