날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,163696,겨울
2020-01-02,non-holiday,122609,겨울
2020-01-03,non-holiday,134386,겨울
2020-01-04,holiday,187841,겨울
2020-01-05,holiday,180208,겨울
2020-01-06,non-holiday,113705,겨울
2020-01-07,non-holiday,116122,겨울
2020-01-08,non-holiday,120451,겨울
2020-01-09,non-holiday,124718,겨울
2020-01-10,non-holiday,141629,겨울
2020-01-11,holiday,202367,겨울
2020-01-12,holiday,183505,겨울
2020-01-13,non-holiday,120589,겨울
2020-01-14,non-holiday,124208,겨울
2020-01-15,non-holiday,129359,겨울
2020-01-16,non-holiday,129480,겨울
2020-01-17,non-holiday,144888,겨울
2020-01-18,holiday,194650,겨울
2020-01-19,holiday,182882,겨울
2020-01-20,non-holiday,125422,겨울
2020-01-21,non-holiday,132579,겨울
2020-01-22,non-holiday,138522,겨울
2020-01-23,non-holiday,167523,겨울
2020-01-24,holiday,223054,겨울
2020-01-25,holiday,314198,겨울
2020-01-26,holiday,266138,겨울
2020-01-27,holiday,200919,겨울
2020-01-28,non-holiday,135616,겨울
2020-01-29,non-holiday,127699,겨울
2020-01-30,non-holiday,129636,겨울
2020-01-31,non-holiday,137564,겨울
2020-02-01,holiday,164333,겨울
2020-02-02,holiday,157543,겨울
2020-02-03,non-holiday,106593,겨울
2020-02-04,non-holiday,109026,겨울
2020-02-05,non-holiday,106481,겨울
2020-02-06,non-holiday,106502,겨울
2020-02-07,non-holiday,118927,겨울
2020-02-08,holiday,164859,겨울
2020-02-09,holiday,158855,겨울
2020-02-10,non-holiday,106388,겨울
2020-02-11,non-holiday,116268,겨울
2020-02-12,non-holiday,112942,겨울
2020-02-13,non-holiday,123355,겨울
2020-02-14,non-holiday,141536,겨울
2020-02-15,holiday,193783,겨울
2020-02-16,holiday,182045,겨울
2020-02-17,non-holiday,116704,겨울
2020-02-18,non-holiday,111192,겨울
2020-02-19,non-holiday,95946,겨울
2020-02-20,non-holiday,84171,겨울
2020-02-21,non-holiday,78138,겨울
2020-02-22,holiday,72345,겨울
2020-02-23,holiday,60943,겨울
2020-02-24,non-holiday,63135,겨울
2020-02-25,non-holiday,54629,겨울
2020-02-26,non-holiday,60911,겨울
2020-02-27,non-holiday,60788,겨울
2020-02-28,non-holiday,60556,겨울
2020-02-29,holiday,70189,겨울
2020-03-01,holiday,56295,봄
2020-03-02,non-holiday,51439,봄
2020-03-03,non-holiday,54782,봄
2020-03-04,non-holiday,54804,봄
2020-03-05,non-holiday,54703,봄
2020-03-06,non-holiday,63403,봄
2020-03-07,holiday,68050,봄
2020-03-08,holiday,73131,봄
2020-03-09,non-holiday,62000,봄
2020-03-10,non-holiday,57653,봄
2020-03-11,non-holiday,67232,봄
2020-03-12,non-holiday,70487,봄
2020-03-13,non-holiday,73161,봄
2020-03-14,holiday,90717,봄
2020-03-15,holiday,83089,봄
2020-03-16,non-holiday,70251,봄
2020-03-17,non-holiday,75703,봄
2020-03-18,non-holiday,77734,봄
2020-03-19,non-holiday,69380,봄
2020-03-20,non-holiday,83637,봄
2020-03-21,holiday,105051,봄
2020-03-22,holiday,96466,봄
2020-03-23,non-holiday,81009,봄
2020-03-24,non-holiday,87843,봄
2020-03-25,non-holiday,93836,봄
2020-03-26,non-holiday,83448,봄
2020-03-27,non-holiday,90559,봄
2020-03-28,holiday,112663,봄
2020-03-29,holiday,111839,봄
2020-03-30,non-holiday,93900,봄
2020-03-31,non-holiday,98200,봄
2020-04-01,non-holiday,79290,봄
2020-04-02,non-holiday,84197,봄
2020-04-03,non-holiday,92563,봄
2020-04-04,holiday,112452,봄
2020-04-05,holiday,110071,봄
2020-04-06,non-holiday,87566,봄
2020-04-07,non-holiday,90866,봄
2020-04-08,non-holiday,90334,봄
2020-04-09,non-holiday,91459,봄
2020-04-10,non-holiday,99998,봄
2020-04-11,holiday,121759,봄
2020-04-12,holiday,107216,봄
2020-04-13,non-holiday,92776,봄
2020-04-14,non-holiday,103871,봄
2020-04-15,holiday,113313,봄
2020-04-16,non-holiday,98821,봄
2020-04-17,non-holiday,103138,봄
2020-04-18,holiday,134507,봄
2020-04-19,holiday,121298,봄
2020-04-20,non-holiday,103402,봄
2020-04-21,non-holiday,106137,봄
2020-04-22,non-holiday,106473,봄
2020-04-23,non-holiday,107246,봄
2020-04-24,non-holiday,122316,봄
2020-04-25,holiday,150685,봄
2020-04-26,holiday,143411,봄
2020-04-27,non-holiday,112624,봄
2020-04-28,non-holiday,117426,봄
2020-04-29,non-holiday,131892,봄
2020-04-30,holiday,165368,봄
2020-05-01,non-holiday,134093,봄
2020-05-02,holiday,152057,봄
2020-05-03,holiday,145582,봄
2020-05-04,non-holiday,116037,봄
2020-05-05,holiday,138258,봄
2020-05-06,non-holiday,99075,봄
2020-05-07,non-holiday,107006,봄
2020-05-08,non-holiday,128586,봄
2020-05-09,holiday,153882,봄
2020-05-10,holiday,154526,봄
2020-05-11,non-holiday,102835,봄
2020-05-12,non-holiday,103885,봄
2020-05-13,non-holiday,107074,봄
2020-05-14,non-holiday,108192,봄
2020-05-15,non-holiday,116639,봄
2020-05-16,holiday,163152,봄
2020-05-17,holiday,161854,봄
2020-05-18,non-holiday,106600,봄
2020-05-19,non-holiday,107448,봄
2020-05-20,non-holiday,115303,봄
2020-05-21,non-holiday,117988,봄
2020-05-22,non-holiday,131255,봄
2020-05-23,holiday,170242,봄
2020-05-24,holiday,156659,봄
2020-05-25,non-holiday,114324,봄
2020-05-26,non-holiday,117142,봄
2020-05-27,non-holiday,118922,봄
2020-05-28,non-holiday,121720,봄
2020-05-29,non-holiday,135924,봄
2020-05-30,holiday,178470,봄
2020-05-31,holiday,168781,봄
2020-06-01,non-holiday,95080,여름
2020-06-02,non-holiday,96840,여름
2020-06-03,non-holiday,102571,여름
2020-06-04,non-holiday,103203,여름
2020-06-05,non-holiday,118904,여름
2020-06-06,holiday,162523,여름
