날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,128715,겨울
2020-01-02,non-holiday,111262,겨울
2020-01-03,non-holiday,125085,겨울
2020-01-04,holiday,158562,겨울
2020-01-05,holiday,131483,겨울
2020-01-06,non-holiday,105015,겨울
2020-01-07,non-holiday,110139,겨울
2020-01-08,non-holiday,117124,겨울
2020-01-09,non-holiday,119809,겨울
2020-01-10,non-holiday,134191,겨울
2020-01-11,holiday,173648,겨울
2020-01-12,holiday,136757,겨울
2020-01-13,non-holiday,116419,겨울
2020-01-14,non-holiday,123082,겨울
2020-01-15,non-holiday,124692,겨울
2020-01-16,non-holiday,126475,겨울
2020-01-17,non-holiday,140156,겨울
2020-01-18,holiday,163560,겨울
2020-01-19,holiday,132840,겨울
2020-01-20,non-holiday,122927,겨울
2020-01-21,non-holiday,130582,겨울
2020-01-22,non-holiday,132637,겨울
2020-01-23,non-holiday,155413,겨울
2020-01-24,holiday,194900,겨울
2020-01-25,holiday,271891,겨울
2020-01-26,holiday,201517,겨울
2020-01-27,holiday,145557,겨울
2020-01-28,non-holiday,127183,겨울
2020-01-29,non-holiday,125366,겨울
2020-01-30,non-holiday,128301,겨울
2020-01-31,non-holiday,135964,겨울
2020-02-01,holiday,143718,겨울
2020-02-02,holiday,115396,겨울
2020-02-03,non-holiday,101869,겨울
2020-02-04,non-holiday,106776,겨울
2020-02-05,non-holiday,106271,겨울
2020-02-06,non-holiday,106399,겨울
2020-02-07,non-holiday,119356,겨울
2020-02-08,holiday,145256,겨울
2020-02-09,holiday,120766,겨울
2020-02-10,non-holiday,111092,겨울
2020-02-11,non-holiday,115405,겨울
2020-02-12,non-holiday,113058,겨울
2020-02-13,non-holiday,123725,겨울
2020-02-14,non-holiday,137637,겨울
2020-02-15,holiday,168304,겨울
2020-02-16,holiday,131766,겨울
2020-02-17,non-holiday,113487,겨울
2020-02-18,non-holiday,111492,겨울
2020-02-19,non-holiday,93335,겨울
2020-02-20,non-holiday,81092,겨울
2020-02-21,non-holiday,76636,겨울
