날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,175276,겨울
2020-01-02,non-holiday,177890,겨울
2020-01-03,non-holiday,198960,겨울
2020-01-04,holiday,239925,겨울
2020-01-05,holiday,182782,겨울
2020-01-06,non-holiday,157370,겨울
2020-01-07,non-holiday,165245,겨울
2020-01-08,non-holiday,182755,겨울
2020-01-09,non-holiday,188437,겨울
2020-01-10,non-holiday,208514,겨울
2020-01-11,holiday,258255,겨울
2020-01-12,holiday,201367,겨울
2020-01-13,non-holiday,178186,겨울
2020-01-14,non-holiday,185592,겨울
2020-01-15,non-holiday,190013,겨울
2020-01-16,non-holiday,188872,겨울
2020-01-17,non-holiday,208740,겨울
2020-01-18,holiday,253481,겨울
2020-01-19,holiday,198138,겨울
2020-01-20,non-holiday,187620,겨울
2020-01-21,non-holiday,192823,겨울
2020-01-22,non-holiday,195652,겨울
2020-01-23,non-holiday,218431,겨울
2020-01-24,holiday,192387,겨울
2020-01-25,holiday,159138,겨울
2020-01-26,holiday,221716,겨울
2020-01-27,holiday,176451,겨울
2020-01-28,non-holiday,184754,겨울
2020-01-29,non-holiday,182904,겨울
2020-01-30,non-holiday,184016,겨울
2020-01-31,non-holiday,197283,겨울
2020-02-01,holiday,213330,겨울
2020-02-02,holiday,159496,겨울
2020-02-03,non-holiday,154058,겨울
2020-02-04,non-holiday,159851,겨울
2020-02-05,non-holiday,155595,겨울
2020-02-06,non-holiday,153193,겨울
2020-02-07,non-holiday,171651,겨울
2020-02-08,holiday,202771,겨울
2020-02-09,holiday,167542,겨울
2020-02-10,non-holiday,161407,겨울
2020-02-11,non-holiday,173518,겨울
2020-02-12,non-holiday,158694,겨울
2020-02-13,non-holiday,184091,겨울
2020-02-14,non-holiday,208989,겨울
2020-02-15,holiday,245246,겨울
2020-02-16,holiday,176184,겨울
2020-02-17,non-holiday,162075,겨울
2020-02-18,non-holiday,156114,겨울
2020-02-19,non-holiday,113374,겨울
2020-02-20,non-holiday,86528,겨울
2020-02-21,non-holiday,70901,겨울
2020-02-22,holiday,53108,겨울
2020-02-23,holiday,34538,겨울
2020-02-24,non-holiday,58066,겨울
2020-02-25,non-holiday,48784,겨울
2020-02-26,non-holiday,54521,겨울
2020-02-27,non-holiday,55139,겨울
2020-02-28,non-holiday,56118,겨울
2020-02-29,holiday,50933,겨울
2020-03-01,holiday,31896,봄
2020-03-02,non-holiday,55895,봄
2020-03-03,non-holiday,55325,봄
2020-03-04,non-holiday,56919,봄
2020-03-05,non-holiday,57947,봄
2020-03-06,non-holiday,63948,봄
2020-03-07,holiday,56918,봄
2020-03-08,holiday,45824,봄
2020-03-09,non-holiday,67088,봄
2020-03-10,non-holiday,62914,봄
2020-03-11,non-holiday,74294,봄
2020-03-12,non-holiday,74530,봄
2020-03-13,non-holiday,80983,봄
2020-03-14,holiday,81956,봄
2020-03-15,holiday,55936,봄
2020-03-16,non-holiday,80878,봄
2020-03-17,non-holiday,84943,봄
2020-03-18,non-holiday,86715,봄
2020-03-19,non-holiday,78705,봄
2020-03-20,non-holiday,93913,봄
2020-03-21,holiday,95880,봄
2020-03-22,holiday,69425,봄
2020-03-23,non-holiday,92042,봄
2020-03-24,non-holiday,92762,봄
2020-03-25,non-holiday,97028,봄
2020-03-26,non-holiday,88118,봄
2020-03-27,non-holiday,99052,봄
2020-03-28,holiday,100312,봄
2020-03-29,holiday,74578,봄
2020-03-30,non-holiday,98946,봄
2020-03-31,non-holiday,102190,봄
2020-04-01,non-holiday,97341,봄
2020-04-02,non-holiday,100646,봄
2020-04-03,non-holiday,112914,봄
2020-04-04,holiday,114861,봄
2020-04-05,holiday,82901,봄
2020-04-06,non-holiday,108482,봄
2020-04-07,non-holiday,111301,봄
2020-04-08,non-holiday,113270,봄
2020-04-09,non-holiday,111925,봄
2020-04-10,non-holiday,125695,봄
2020-04-11,holiday,131921,봄
2020-04-12,holiday,98551,봄
2020-04-13,non-holiday,118342,봄
2020-04-14,non-holiday,134792,봄
2020-04-15,holiday,121352,봄
2020-04-16,non-holiday,126887,봄
2020-04-17,non-holiday,125912,봄
2020-04-18,holiday,156407,봄
2020-04-19,holiday,100508,봄
2020-04-20,non-holiday,133930,봄
2020-04-21,non-holiday,136149,봄
2020-04-22,non-holiday,138395,봄
2020-04-23,non-holiday,140108,봄
2020-04-24,non-holiday,165410,봄
2020-04-25,holiday,182539,봄
2020-04-26,holiday,140554,봄
2020-04-27,non-holiday,149048,봄
2020-04-28,non-holiday,156632,봄
2020-04-29,non-holiday,174467,봄
2020-04-30,holiday,168383,봄
2020-05-01,non-holiday,161351,봄
2020-05-02,holiday,169811,봄
2020-05-03,holiday,119144,봄
2020-05-04,non-holiday,161905,봄
2020-05-05,holiday,141439,봄
2020-05-06,non-holiday,146503,봄
2020-05-07,non-holiday,151680,봄
2020-05-08,non-holiday,161142,봄
2020-05-09,holiday,172220,봄
2020-05-10,holiday,156782,봄
2020-05-11,non-holiday,141747,봄
2020-05-12,non-holiday,144102,봄
2020-05-13,non-holiday,149838,봄
2020-05-14,non-holiday,147828,봄
2020-05-15,non-holiday,150513,봄
2020-05-16,holiday,200461,봄
2020-05-17,holiday,150108,봄
2020-05-18,non-holiday,146647,봄
2020-05-19,non-holiday,147617,봄
2020-05-20,non-holiday,160864,봄
2020-05-21,non-holiday,157235,봄
2020-05-22,non-holiday,175255,봄
2020-05-23,holiday,185321,봄
2020-05-24,holiday,140796,봄
