날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,129832,겨울
2020-01-02,non-holiday,118885,겨울
2020-01-03,non-holiday,134844,겨울
2020-01-04,holiday,172053,겨울
2020-01-05,holiday,137661,겨울
2020-01-06,non-holiday,116428,겨울
2020-01-07,non-holiday,123267,겨울
2020-01-08,non-holiday,126616,겨울
2020-01-09,non-holiday,138823,겨울
2020-01-10,non-holiday,150666,겨울
2020-01-11,holiday,187161,겨울
2020-01-12,holiday,146593,겨울
2020-01-13,non-holiday,132030,겨울
2020-01-14,non-holiday,141344,겨울
2020-01-15,non-holiday,142656,겨울
2020-01-16,non-holiday,145738,겨울
2020-01-17,non-holiday,155548,겨울
2020-01-18,holiday,184869,겨울
2020-01-19,holiday,151498,겨울
2020-01-20,non-holiday,139310,겨울
2020-01-21,non-holiday,148510,겨울
2020-01-22,non-holiday,148742,겨울
2020-01-23,non-holiday,159085,겨울
2020-01-24,holiday,164909,겨울
2020-01-25,holiday,187902,겨울
2020-01-26,holiday,167630,겨울
2020-01-27,holiday,136775,겨울
2020-01-28,non-holiday,131870,겨울
2020-01-29,non-holiday,135655,겨울
2020-01-30,non-holiday,141905,겨울
2020-01-31,non-holiday,149590,겨울
2020-02-01,holiday,155123,겨울
2020-02-02,holiday,120939,겨울
2020-02-03,non-holiday,112728,겨울
2020-02-04,non-holiday,118962,겨울
2020-02-05,non-holiday,116095,겨울
2020-02-06,non-holiday,118111,겨울
2020-02-07,non-holiday,129067,겨울
2020-02-08,holiday,160962,겨울
2020-02-09,holiday,132152,겨울
2020-02-10,non-holiday,122420,겨울
2020-02-11,non-holiday,128655,겨울
2020-02-12,non-holiday,120344,겨울
2020-02-13,non-holiday,132623,겨울
2020-02-14,non-holiday,152044,겨울
2020-02-15,holiday,182182,겨울
2020-02-16,holiday,138187,겨울
2020-02-17,non-holiday,122157,겨울
2020-02-18,non-holiday,132740,겨울
2020-02-19,non-holiday,140929,겨울
2020-02-20,non-holiday,142961,겨울
2020-02-21,non-holiday,142632,겨울
2020-02-22,holiday,146541,겨울
2020-02-23,holiday,105448,겨울
2020-02-24,non-holiday,107924,겨울
2020-02-25,non-holiday,99538,겨울
2020-02-26,non-holiday,110120,겨울
2020-02-27,non-holiday,105298,겨울
2020-02-28,non-holiday,105445,겨울
2020-02-29,holiday,113947,겨울
2020-03-01,holiday,77233,봄
2020-03-02,non-holiday,85735,봄
2020-03-03,non-holiday,90102,봄
2020-03-04,non-holiday,88777,봄
2020-03-05,non-holiday,90472,봄
2020-03-06,non-holiday,102429,봄
2020-03-07,holiday,107677,봄
2020-03-08,holiday,98505,봄
2020-03-09,non-holiday,101763,봄
2020-03-10,non-holiday,95935,봄
2020-03-11,non-holiday,108541,봄
2020-03-12,non-holiday,109802,봄
2020-03-13,non-holiday,116551,봄
2020-03-14,holiday,130455,봄
2020-03-15,holiday,107125,봄
2020-03-16,non-holiday,112325,봄
2020-03-17,non-holiday,112772,봄
2020-03-18,non-holiday,120944,봄
2020-03-19,non-holiday,112157,봄
2020-03-20,non-holiday,130564,봄
2020-03-21,holiday,146562,봄
2020-03-22,holiday,124062,봄
2020-03-23,non-holiday,118277,봄
2020-03-24,non-holiday,122601,봄
2020-03-25,non-holiday,125039,봄
2020-03-26,non-holiday,119001,봄
2020-03-27,non-holiday,127218,봄
2020-03-28,holiday,144471,봄
2020-03-29,holiday,128316,봄
2020-03-30,non-holiday,125635,봄
2020-03-31,non-holiday,130403,봄
2020-04-01,non-holiday,100224,봄
2020-04-02,non-holiday,104741,봄
2020-04-03,non-holiday,116530,봄
2020-04-04,holiday,136066,봄
2020-04-05,holiday,115027,봄
2020-04-06,non-holiday,103829,봄
2020-04-07,non-holiday,106287,봄
2020-04-08,non-holiday,108752,봄
2020-04-09,non-holiday,112218,봄
2020-04-10,non-holiday,123417,봄
2020-04-11,holiday,140656,봄
2020-04-12,holiday,113056,봄
2020-04-13,non-holiday,110624,봄
2020-04-14,non-holiday,123185,봄
2020-04-15,holiday,120444,봄
2020-04-16,non-holiday,117711,봄
2020-04-17,non-holiday,126884,봄
2020-04-18,holiday,153168,봄
2020-04-19,holiday,117815,봄
2020-04-20,non-holiday,114817,봄
2020-04-21,non-holiday,122383,봄
2020-04-22,non-holiday,123155,봄
2020-04-23,non-holiday,128218,봄
2020-04-24,non-holiday,142786,봄
2020-04-25,holiday,163735,봄
2020-04-26,holiday,139435,봄
2020-04-27,non-holiday,127408,봄
2020-04-28,non-holiday,135711,봄
2020-04-29,non-holiday,148940,봄
2020-04-30,holiday,163103,봄
2020-05-01,non-holiday,140833,봄
2020-05-02,holiday,164142,봄
2020-05-03,holiday,136804,봄
2020-05-04,non-holiday,129236,봄
2020-05-05,holiday,128898,봄
2020-05-06,non-holiday,117051,봄
2020-05-07,non-holiday,126296,봄
2020-05-08,non-holiday,146503,봄
2020-05-09,holiday,160094,봄
2020-05-10,holiday,138683,봄
2020-05-11,non-holiday,122908,봄
2020-05-12,non-holiday,126360,봄
2020-05-13,non-holiday,129069,봄
2020-05-14,non-holiday,134637,봄
2020-05-15,non-holiday,138744,봄
2020-05-16,holiday,174309,봄
2020-05-17,holiday,152128,봄
2020-05-18,non-holiday,124527,봄
2020-05-19,non-holiday,126697,봄
2020-05-20,non-holiday,137636,봄
2020-05-21,non-holiday,142124,봄
2020-05-22,non-holiday,151986,봄
2020-05-23,holiday,188364,봄
2020-05-24,holiday,152498,봄
2020-05-25,non-holiday,137651,봄
2020-05-26,non-holiday,143109,봄
2020-05-27,non-holiday,147732,봄
2020-05-28,non-holiday,150123,봄
2020-05-29,non-holiday,161879,봄
2020-05-30,holiday,197751,봄
2020-05-31,holiday,167440,봄
2020-06-01,non-holiday,114894,여름
2020-06-02,non-holiday,119525,여름
2020-06-03,non-holiday,128188,여름
2020-06-04,non-holiday,130266,여름
2020-06-05,non-holiday,144648,여름
2020-06-06,holiday,178355,여름
2020-06-07,holiday,146387,여름
2020-06-08,non-holiday,125746,여름
2020-06-09,non-holiday,133588,여름
