날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,120412,겨울
2020-01-02,non-holiday,96609,겨울
2020-01-03,non-holiday,110526,겨울
2020-01-04,holiday,144309,겨울
2020-01-05,holiday,120029,겨울
2020-01-06,non-holiday,94970,겨울
2020-01-07,non-holiday,96216,겨울
2020-01-08,non-holiday,100580,겨울
2020-01-09,non-holiday,107906,겨울
2020-01-10,non-holiday,120370,겨울
2020-01-11,holiday,154488,겨울
2020-01-12,holiday,125486,겨울
2020-01-13,non-holiday,102678,겨울
2020-01-14,non-holiday,106168,겨울
2020-01-15,non-holiday,109285,겨울
2020-01-16,non-holiday,109310,겨울
2020-01-17,non-holiday,120992,겨울
2020-01-18,holiday,155623,겨울
2020-01-19,holiday,126057,겨울
2020-01-20,non-holiday,110520,겨울
2020-01-21,non-holiday,112769,겨울
2020-01-22,non-holiday,113708,겨울
2020-01-23,non-holiday,135732,겨울
2020-01-24,holiday,162165,겨울
2020-01-25,holiday,195679,겨울
2020-01-26,holiday,165919,겨울
2020-01-27,holiday,126590,겨울
2020-01-28,non-holiday,110485,겨울
2020-01-29,non-holiday,108225,겨울
2020-01-30,non-holiday,107730,겨울
2020-01-31,non-holiday,113304,겨울
2020-02-01,holiday,122749,겨울
2020-02-02,holiday,100338,겨울
2020-02-03,non-holiday,87030,겨울
2020-02-04,non-holiday,91663,겨울
2020-02-05,non-holiday,89591,겨울
2020-02-06,non-holiday,91505,겨울
2020-02-07,non-holiday,100303,겨울
2020-02-08,holiday,127932,겨울
2020-02-09,holiday,105507,겨울
2020-02-10,non-holiday,96159,겨울
2020-02-11,non-holiday,98863,겨울
2020-02-12,non-holiday,94347,겨울
2020-02-13,non-holiday,104653,겨울
2020-02-14,non-holiday,119037,겨울
2020-02-15,holiday,147585,겨울
2020-02-16,holiday,115566,겨울
2020-02-17,non-holiday,95036,겨울
2020-02-18,non-holiday,101481,겨울
2020-02-19,non-holiday,105852,겨울
2020-02-20,non-holiday,105891,겨울
2020-02-21,non-holiday,104083,겨울
2020-02-22,holiday,99500,겨울
2020-02-23,holiday,69118,겨울
2020-02-24,non-holiday,73271,겨울
2020-02-25,non-holiday,68045,겨울
2020-02-26,non-holiday,74149,겨울
2020-02-27,non-holiday,71512,겨울
2020-02-28,non-holiday,73251,겨울
2020-02-29,holiday,78359,겨울
2020-03-01,holiday,58184,봄
2020-03-02,non-holiday,61997,봄
2020-03-03,non-holiday,63978,봄
2020-03-04,non-holiday,63380,봄
2020-03-05,non-holiday,65984,봄
2020-03-06,non-holiday,74913,봄
2020-03-07,holiday,84701,봄
2020-03-08,holiday,73882,봄
2020-03-09,non-holiday,72476,봄
2020-03-10,non-holiday,69613,봄
2020-03-11,non-holiday,76039,봄
2020-03-12,non-holiday,76468,봄
2020-03-13,non-holiday,85366,봄
2020-03-14,holiday,100273,봄
2020-03-15,holiday,83521,봄
2020-03-16,non-holiday,78836,봄
