날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,93963,겨울
2020-01-02,non-holiday,80589,겨울
2020-01-03,non-holiday,89012,겨울
2020-01-04,holiday,94585,겨울
2020-01-05,holiday,94426,겨울
2020-01-06,non-holiday,81037,겨울
2020-01-07,non-holiday,77623,겨울
2020-01-08,non-holiday,87098,겨울
2020-01-09,non-holiday,90958,겨울
2020-01-10,non-holiday,96140,겨울
2020-01-11,holiday,97398,겨울
2020-01-12,holiday,92023,겨울
2020-01-13,non-holiday,86021,겨울
2020-01-14,non-holiday,88352,겨울
2020-01-15,non-holiday,92110,겨울
2020-01-16,non-holiday,91464,겨울
2020-01-17,non-holiday,96899,겨울
2020-01-18,holiday,97504,겨울
2020-01-19,holiday,91448,겨울
2020-01-20,non-holiday,88311,겨울
2020-01-21,non-holiday,92007,겨울
2020-01-22,non-holiday,102772,겨울
2020-01-23,non-holiday,106920,겨울
2020-01-24,holiday,101641,겨울
2020-01-25,holiday,140164,겨울
2020-01-26,holiday,121851,겨울
2020-01-27,holiday,79939,겨울
2020-01-28,non-holiday,85891,겨울
2020-01-29,non-holiday,98663,겨울
2020-01-30,non-holiday,90977,겨울
2020-01-31,non-holiday,91502,겨울
2020-02-01,holiday,82815,겨울
2020-02-02,holiday,79455,겨울
2020-02-03,non-holiday,71644,겨울
2020-02-04,non-holiday,74947,겨울
2020-02-05,non-holiday,75670,겨울
2020-02-06,non-holiday,73818,겨울
2020-02-07,non-holiday,79950,겨울
2020-02-08,holiday,80298,겨울
2020-02-09,holiday,74299,겨울
2020-02-10,non-holiday,72857,겨울
2020-02-11,non-holiday,78557,겨울
2020-02-12,non-holiday,67899,겨울
2020-02-13,non-holiday,80931,겨울
2020-02-14,non-holiday,86106,겨울
2020-02-15,holiday,90074,겨울
2020-02-16,holiday,79225,겨울
2020-02-17,non-holiday,73419,겨울
2020-02-18,non-holiday,77775,겨울
2020-02-19,non-holiday,82877,겨울
2020-02-20,non-holiday,83309,겨울
2020-02-21,non-holiday,90715,겨울
2020-02-22,holiday,74924,겨울
2020-02-23,holiday,60415,겨울
2020-02-24,non-holiday,67904,겨울
2020-02-25,non-holiday,56000,겨울
2020-02-26,non-holiday,67185,겨울
2020-02-27,non-holiday,66018,겨울
2020-02-28,non-holiday,66768,겨울
2020-02-29,holiday,62162,겨울
2020-03-01,holiday,48104,봄
2020-03-02,non-holiday,53425,봄
2020-03-03,non-holiday,55525,봄
2020-03-04,non-holiday,59212,봄
2020-03-05,non-holiday,57642,봄
2020-03-06,non-holiday,63202,봄
2020-03-07,holiday,56464,봄
2020-03-08,holiday,60836,봄
2020-03-09,non-holiday,56819,봄
2020-03-10,non-holiday,53044,봄
2020-03-11,non-holiday,65378,봄
2020-03-12,non-holiday,66750,봄
2020-03-13,non-holiday,71324,봄
2020-03-14,holiday,69969,봄
2020-03-15,holiday,62669,봄
2020-03-16,non-holiday,61961,봄
2020-03-17,non-holiday,66965,봄
2020-03-18,non-holiday,71541,봄
2020-03-19,non-holiday,65604,봄
2020-03-20,non-holiday,76363,봄
2020-03-21,holiday,82017,봄
2020-03-22,holiday,74843,봄
2020-03-23,non-holiday,71011,봄
2020-03-24,non-holiday,73478,봄
2020-03-25,non-holiday,81706,봄
2020-03-26,non-holiday,64662,봄
2020-03-27,non-holiday,67836,봄
2020-03-28,holiday,78913,봄
2020-03-29,holiday,81717,봄
2020-03-30,non-holiday,75376,봄
2020-03-31,non-holiday,81442,봄
2020-04-01,non-holiday,59066,봄
2020-04-02,non-holiday,65188,봄
2020-04-03,non-holiday,78167,봄
2020-04-04,holiday,80885,봄
2020-04-05,holiday,73568,봄
2020-04-06,non-holiday,65190,봄
2020-04-07,non-holiday,69472,봄
2020-04-08,non-holiday,71630,봄
2020-04-09,non-holiday,71350,봄
2020-04-10,non-holiday,72440,봄
2020-04-11,holiday,71931,봄
2020-04-12,holiday,53300,봄
2020-04-13,non-holiday,65235,봄
2020-04-14,non-holiday,79025,봄
2020-04-15,holiday,71273,봄
2020-04-16,non-holiday,73403,봄
2020-04-17,non-holiday,66544,봄
2020-04-18,holiday,80601,봄
2020-04-19,holiday,62541,봄
2020-04-20,non-holiday,73550,봄
2020-04-21,non-holiday,75634,봄
2020-04-22,non-holiday,76112,봄
2020-04-23,non-holiday,76466,봄
2020-04-24,non-holiday,84901,봄
2020-04-25,holiday,82829,봄
2020-04-26,holiday,76901,봄
2020-04-27,non-holiday,76451,봄
2020-04-28,non-holiday,84689,봄
2020-04-29,non-holiday,96946,봄
2020-04-30,holiday,97970,봄
2020-05-01,non-holiday,80822,봄
2020-05-02,holiday,90966,봄
2020-05-03,holiday,68027,봄
2020-05-04,non-holiday,72067,봄
2020-05-05,holiday,76058,봄
2020-05-06,non-holiday,70023,봄
2020-05-07,non-holiday,72237,봄
2020-05-08,non-holiday,95421,봄
2020-05-09,holiday,64358,봄
2020-05-10,holiday,76849,봄
2020-05-11,non-holiday,68874,봄
2020-05-12,non-holiday,72633,봄
2020-05-13,non-holiday,74568,봄
2020-05-14,non-holiday,74559,봄
2020-05-15,non-holiday,70295,봄
2020-05-16,holiday,82002,봄
2020-05-17,holiday,79113,봄
2020-05-18,non-holiday,67005,봄
2020-05-19,non-holiday,72205,봄
2020-05-20,non-holiday,79500,봄
2020-05-21,non-holiday,78158,봄
2020-05-22,non-holiday,86479,봄
2020-05-23,holiday,91850,봄
2020-05-24,holiday,82527,봄
2020-05-25,non-holiday,75320,봄
2020-05-26,non-holiday,78373,봄
2020-05-27,non-holiday,81124,봄
2020-05-28,non-holiday,80200,봄
2020-05-29,non-holiday,88477,봄
2020-05-30,holiday,90622,봄
2020-05-31,holiday,88046,봄
2020-06-01,non-holiday,66180,여름
2020-06-02,non-holiday,72402,여름
2020-06-03,non-holiday,72935,여름
2020-06-04,non-holiday,71090,여름
2020-06-05,non-holiday,83777,여름
2020-06-06,holiday,88585,여름
2020-06-07,holiday,79102,여름
2020-06-08,non-holiday,75056,여름
2020-06-09,non-holiday,78271,여름
2020-06-10,non-holiday,80501,여름
2020-06-11,non-holiday,73701,여름
2020-06-12,non-holiday,85031,여름
2020-06-13,holiday,77204,여름
2020-06-14,holiday,68770,여름
2020-06-15,non-holiday,83089,여름
2020-06-16,non-holiday,83467,여름
2020-06-17,non-holiday,88233,여름
2020-06-18,non-holiday,77793,여름
2020-06-19,non-holiday,94464,여름
2020-06-20,holiday,98945,여름
2020-06-21,holiday,89956,여름
2020-06-22,non-holiday,95695,여름
2020-06-23,non-holiday,89544,여름
2020-06-24,non-holiday,88266,여름
2020-06-25,non-holiday,79918,여름
2020-06-26,non-holiday,101940,여름
2020-06-27,holiday,98531,여름
2020-06-28,holiday,84731,여름
2020-06-29,non-holiday,90742,여름
2020-06-30,non-holiday,78911,여름
2020-07-01,non-holiday,71692,여름
2020-07-02,non-holiday,73711,여름
2020-07-03,non-holiday,75571,여름
2020-07-04,holiday,92633,여름
2020-07-05,holiday,87479,여름
2020-07-06,non-holiday,68734,여름
2020-07-07,non-holiday,71777,여름
2020-07-08,non-holiday,77033,여름
2020-07-09,non-holiday,75976,여름
2020-07-10,non-holiday,66654,여름
2020-07-11,holiday,90889,여름
2020-07-12,holiday,75888,여름
2020-07-13,non-holiday,60669,여름
2020-07-14,non-holiday,72064,여름
2020-07-15,non-holiday,81142,여름
2020-07-16,non-holiday,84917,여름
2020-07-17,holiday,95976,여름
2020-07-18,holiday,94679,여름
2020-07-19,holiday,78281,여름
2020-07-20,non-holiday,71402,여름
2020-07-21,non-holiday,78032,여름
2020-07-22,non-holiday,72773,여름
2020-07-23,non-holiday,74353,여름
2020-07-24,non-holiday,79692,여름
2020-07-25,holiday,90061,여름
2020-07-26,holiday,87181,여름
2020-07-27,non-holiday,75237,여름
2020-07-28,non-holiday,72280,여름
2020-07-29,non-holiday,83451,여름
2020-07-30,non-holiday,84634,여름
2020-07-31,non-holiday,106164,여름
2020-08-01,holiday,109245,여름
2020-08-02,holiday,93871,여름
2020-08-03,non-holiday,88261,여름
2020-08-04,non-holiday,82203,여름
2020-08-05,non-holiday,81751,여름
2020-08-06,non-holiday,75198,여름
2020-08-07,non-holiday,85991,여름
2020-08-08,holiday,75473,여름
2020-08-09,holiday,80744,여름
2020-08-10,non-holiday,55098,여름
2020-08-11,non-holiday,83571,여름
2020-08-12,non-holiday,74201,여름
2020-08-13,non-holiday,87224,여름
2020-08-14,non-holiday,101557,여름
2020-08-15,holiday,115926,여름
2020-08-16,holiday,97977,여름
2020-08-17,holiday,87897,여름
2020-08-18,non-holiday,83340,여름
2020-08-19,non-holiday,85892,여름
2020-08-20,non-holiday,81838,여름
2020-08-21,non-holiday,88494,여름
2020-08-22,holiday,89861,여름
2020-08-23,holiday,77810,여름
2020-08-24,non-holiday,81204,여름
2020-08-25,non-holiday,83457,여름
2020-08-26,non-holiday,59902,여름
2020-08-27,non-holiday,73634,여름
2020-08-28,non-holiday,82830,여름
2020-08-29,holiday,85758,여름
2020-08-30,holiday,76295,여름
2020-08-31,non-holiday,78431,여름
2020-09-01,non-holiday,73633,가을
2020-09-02,non-holiday,50627,가을
2020-09-03,non-holiday,69481,가을
2020-09-04,non-holiday,89695,가을
2020-09-05,holiday,71209,가을
2020-09-06,holiday,54995,가을
2020-09-07,non-holiday,44026,가을
2020-09-08,non-holiday,80330,가을
2020-09-09,non-holiday,82175,가을
2020-09-10,non-holiday,85491,가을
2020-09-11,non-holiday,93092,가을
2020-09-12,holiday,85229,가을
2020-09-13,holiday,77711,가을
2020-09-14,non-holiday,80237,가을
2020-09-15,non-holiday,89001,가을
2020-09-16,non-holiday,82145,가을
2020-09-17,non-holiday,80402,가을
2020-09-18,non-holiday,94646,가을
2020-09-19,holiday,93782,가을
2020-09-20,holiday,88016,가을
2020-09-21,non-holiday,87078,가을
2020-09-22,non-holiday,88208,가을
2020-09-23,non-holiday,90564,가을
2020-09-24,non-holiday,88839,가을
2020-09-25,non-holiday,110540,가을
2020-09-26,holiday,101951,가을
2020-09-27,holiday,83647,가을
2020-09-28,non-holiday,99015,가을
2020-09-29,non-holiday,109588,가을
2020-09-30,holiday,89764,가을
2020-10-01,holiday,107359,가을
2020-10-02,holiday,107350,가을
2020-10-03,holiday,96175,가을
2020-10-04,holiday,83713,가을
2020-10-05,non-holiday,69777,가을
2020-10-06,non-holiday,74094,가을
2020-10-07,non-holiday,76122,가을
2020-10-08,non-holiday,84041,가을
2020-10-09,holiday,90715,가을
2020-10-10,holiday,89200,가을
2020-10-11,holiday,87543,가을
