날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,212832,겨울
2020-01-02,non-holiday,78539,겨울
2020-01-03,non-holiday,79101,겨울
2020-01-04,holiday,128008,겨울
2020-01-05,holiday,137213,겨울
2020-01-06,non-holiday,58360,겨울
2020-01-07,non-holiday,57732,겨울
2020-01-08,non-holiday,65920,겨울
2020-01-09,non-holiday,70881,겨울
2020-01-10,non-holiday,77450,겨울
2020-01-11,holiday,130993,겨울
2020-01-12,holiday,143774,겨울
2020-01-13,non-holiday,67943,겨울
2020-01-14,non-holiday,70025,겨울
2020-01-15,non-holiday,71637,겨울
2020-01-16,non-holiday,72597,겨울
2020-01-17,non-holiday,78885,겨울
2020-01-18,holiday,125070,겨울
2020-01-19,holiday,139713,겨울
2020-01-20,non-holiday,71489,겨울
2020-01-21,non-holiday,74598,겨울
2020-01-22,non-holiday,71114,겨울
2020-01-23,non-holiday,78668,겨울
2020-01-24,holiday,162955,겨울
2020-01-25,holiday,218702,겨울
2020-01-26,holiday,220978,겨울
2020-01-27,holiday,89080,겨울
2020-01-28,non-holiday,75374,겨울
2020-01-29,non-holiday,71842,겨울
2020-01-30,non-holiday,74137,겨울
2020-01-31,non-holiday,78619,겨울
2020-02-01,holiday,118893,겨울
2020-02-02,holiday,123745,겨울
2020-02-03,non-holiday,63794,겨울
2020-02-04,non-holiday,66261,겨울
2020-02-05,non-holiday,63819,겨울
2020-02-06,non-holiday,64853,겨울
2020-02-07,non-holiday,74602,겨울
2020-02-08,holiday,124112,겨울
2020-02-09,holiday,129240,겨울
2020-02-10,non-holiday,74966,겨울
2020-02-11,non-holiday,79421,겨울
2020-02-12,non-holiday,62819,겨울
2020-02-13,non-holiday,98635,겨울
2020-02-14,non-holiday,101972,겨울
2020-02-15,holiday,167432,겨울
2020-02-16,holiday,165861,겨울
2020-02-17,non-holiday,90098,겨울
2020-02-18,non-holiday,89705,겨울
2020-02-19,non-holiday,90655,겨울
2020-02-20,non-holiday,89084,겨울
2020-02-21,non-holiday,89797,겨울
2020-02-22,holiday,94827,겨울
2020-02-23,holiday,84381,겨울
2020-02-24,non-holiday,60683,겨울
2020-02-25,non-holiday,50356,겨울
2020-02-26,non-holiday,62482,겨울
2020-02-27,non-holiday,64652,겨울
2020-02-28,non-holiday,63759,겨울
2020-02-29,holiday,90503,겨울
2020-03-01,holiday,90384,봄
2020-03-02,non-holiday,58995,봄
2020-03-03,non-holiday,61816,봄
2020-03-04,non-holiday,64630,봄
2020-03-05,non-holiday,65338,봄
2020-03-06,non-holiday,72998,봄
2020-03-07,holiday,97698,봄
2020-03-08,holiday,141884,봄
2020-03-09,non-holiday,64401,봄
2020-03-10,non-holiday,60766,봄
2020-03-11,non-holiday,76863,봄
2020-03-12,non-holiday,77772,봄
2020-03-13,non-holiday,81636,봄
2020-03-14,holiday,132359,봄
2020-03-15,holiday,136625,봄
2020-03-16,non-holiday,72731,봄
2020-03-17,non-holiday,77752,봄
2020-03-18,non-holiday,82243,봄
2020-03-19,non-holiday,74124,봄
2020-03-20,non-holiday,85164,봄
2020-03-21,holiday,139229,봄
2020-03-22,holiday,139862,봄
2020-03-23,non-holiday,73984,봄
2020-03-24,non-holiday,75953,봄
2020-03-25,non-holiday,79766,봄
2020-03-26,non-holiday,66212,봄
2020-03-27,non-holiday,68295,봄
2020-03-28,holiday,116075,봄
2020-03-29,holiday,130222,봄
2020-03-30,non-holiday,77130,봄
2020-03-31,non-holiday,80871,봄
2020-04-01,non-holiday,62463,봄
2020-04-02,non-holiday,70997,봄
2020-04-03,non-holiday,78591,봄
2020-04-04,holiday,136435,봄
2020-04-05,holiday,146302,봄
2020-04-06,non-holiday,69575,봄
2020-04-07,non-holiday,72131,봄
2020-04-08,non-holiday,74043,봄
2020-04-09,non-holiday,74288,봄
2020-04-10,non-holiday,75600,봄
2020-04-11,holiday,128642,봄
2020-04-12,holiday,122058,봄
2020-04-13,non-holiday,68962,봄
2020-04-14,non-holiday,85731,봄
2020-04-15,holiday,136031,봄
2020-04-16,non-holiday,78698,봄
2020-04-17,non-holiday,66888,봄
2020-04-18,holiday,159352,봄
2020-04-19,holiday,134284,봄
2020-04-20,non-holiday,77299,봄
2020-04-21,non-holiday,83324,봄
2020-04-22,non-holiday,79264,봄
2020-04-23,non-holiday,82790,봄
2020-04-24,non-holiday,90420,봄
2020-04-25,holiday,161169,봄
2020-04-26,holiday,185990,봄
2020-04-27,non-holiday,82004,봄
2020-04-28,non-holiday,86320,봄
2020-04-29,non-holiday,95585,봄
2020-04-30,holiday,192622,봄
2020-05-01,non-holiday,183694,봄
2020-05-02,holiday,196225,봄
2020-05-03,holiday,162240,봄
2020-05-04,non-holiday,121453,봄
2020-05-05,holiday,169718,봄
2020-05-06,non-holiday,77848,봄
2020-05-07,non-holiday,83966,봄
2020-05-08,non-holiday,101294,봄
2020-05-09,holiday,120371,봄
2020-05-10,holiday,185606,봄
2020-05-11,non-holiday,79891,봄
2020-05-12,non-holiday,82368,봄
2020-05-13,non-holiday,82646,봄
2020-05-14,non-holiday,83030,봄
2020-05-15,non-holiday,74255,봄
2020-05-16,holiday,150721,봄
2020-05-17,holiday,176418,봄
2020-05-18,non-holiday,72712,봄
2020-05-19,non-holiday,80724,봄
2020-05-20,non-holiday,85312,봄
2020-05-21,non-holiday,85470,봄
2020-05-22,non-holiday,95946,봄
2020-05-23,holiday,171242,봄
2020-05-24,holiday,185973,봄
2020-05-25,non-holiday,85052,봄
2020-05-26,non-holiday,85601,봄
2020-05-27,non-holiday,87372,봄
2020-05-28,non-holiday,90066,봄
2020-05-29,non-holiday,99949,봄
2020-05-30,holiday,168337,봄
2020-05-31,holiday,175326,봄
2020-06-01,non-holiday,74896,여름
2020-06-02,non-holiday,77301,여름
2020-06-03,non-holiday,77207,여름
2020-06-04,non-holiday,77873,여름
2020-06-05,non-holiday,92053,여름
2020-06-06,holiday,170301,여름
2020-06-07,holiday,171989,여름
