날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,84860,겨울
2020-01-02,non-holiday,73511,겨울
2020-01-03,non-holiday,77965,겨울
2020-01-04,holiday,86292,겨울
2020-01-05,holiday,75234,겨울
2020-01-06,non-holiday,65599,겨울
2020-01-07,non-holiday,66596,겨울
2020-01-08,non-holiday,70593,겨울
2020-01-09,non-holiday,75466,겨울
2020-01-10,non-holiday,84459,겨울
2020-01-11,holiday,97504,겨울
2020-01-12,holiday,78880,겨울
2020-01-13,non-holiday,72301,겨울
2020-01-14,non-holiday,74455,겨울
2020-01-15,non-holiday,77688,겨울
2020-01-16,non-holiday,77971,겨울
2020-01-17,non-holiday,83353,겨울
2020-01-18,holiday,90456,겨울
2020-01-19,holiday,81784,겨울
2020-01-20,non-holiday,76504,겨울
2020-01-21,non-holiday,81983,겨울
2020-01-22,non-holiday,84251,겨울
2020-01-23,non-holiday,92485,겨울
2020-01-24,holiday,119400,겨울
2020-01-25,holiday,171739,겨울
2020-01-26,holiday,120216,겨울
2020-01-27,holiday,78616,겨울
2020-01-28,non-holiday,79794,겨울
2020-01-29,non-holiday,79056,겨울
2020-01-30,non-holiday,82015,겨울
2020-01-31,non-holiday,83502,겨울
2020-02-01,holiday,80475,겨울
2020-02-02,holiday,70407,겨울
2020-02-03,non-holiday,65976,겨울
2020-02-04,non-holiday,70757,겨울
2020-02-05,non-holiday,70305,겨울
2020-02-06,non-holiday,71795,겨울
2020-02-07,non-holiday,76262,겨울
2020-02-08,holiday,87302,겨울
2020-02-09,holiday,72821,겨울
2020-02-10,non-holiday,74204,겨울
2020-02-11,non-holiday,76031,겨울
2020-02-12,non-holiday,67909,겨울
2020-02-13,non-holiday,76761,겨울
2020-02-14,non-holiday,82782,겨울
2020-02-15,holiday,92073,겨울
2020-02-16,holiday,76951,겨울
2020-02-17,non-holiday,71821,겨울
2020-02-18,non-holiday,75267,겨울
2020-02-19,non-holiday,75828,겨울
2020-02-20,non-holiday,75887,겨울
2020-02-21,non-holiday,83266,겨울
2020-02-22,holiday,76771,겨울
2020-02-23,holiday,56959,겨울
2020-02-24,non-holiday,59068,겨울
2020-02-25,non-holiday,52510,겨울
2020-02-26,non-holiday,58024,겨울
2020-02-27,non-holiday,58361,겨울
2020-02-28,non-holiday,59784,겨울
2020-02-29,holiday,60652,겨울
2020-03-01,holiday,41321,봄
2020-03-02,non-holiday,47070,봄
2020-03-03,non-holiday,49425,봄
2020-03-04,non-holiday,50680,봄
2020-03-05,non-holiday,49973,봄
2020-03-06,non-holiday,56244,봄
2020-03-07,holiday,57211,봄
2020-03-08,holiday,50808,봄
2020-03-09,non-holiday,54686,봄
2020-03-10,non-holiday,52853,봄
2020-03-11,non-holiday,58434,봄
2020-03-12,non-holiday,60553,봄
2020-03-13,non-holiday,63982,봄
2020-03-14,holiday,68718,봄
2020-03-15,holiday,58244,봄
2020-03-16,non-holiday,60171,봄
2020-03-17,non-holiday,62787,봄
2020-03-18,non-holiday,64234,봄
2020-03-19,non-holiday,62457,봄
2020-03-20,non-holiday,70410,봄
2020-03-21,holiday,76387,봄
2020-03-22,holiday,62606,봄
2020-03-23,non-holiday,66160,봄
2020-03-24,non-holiday,66261,봄
2020-03-25,non-holiday,68778,봄
2020-03-26,non-holiday,62947,봄
2020-03-27,non-holiday,66731,봄
2020-03-28,holiday,74896,봄
2020-03-29,holiday,66779,봄
2020-03-30,non-holiday,69136,봄
2020-03-31,non-holiday,69947,봄
2020-04-01,non-holiday,51769,봄
2020-04-02,non-holiday,55378,봄
2020-04-03,non-holiday,65305,봄
2020-04-04,holiday,70496,봄
2020-04-05,holiday,60253,봄
2020-04-06,non-holiday,60555,봄
2020-04-07,non-holiday,62561,봄
2020-04-08,non-holiday,62703,봄
2020-04-09,non-holiday,64809,봄
2020-04-10,non-holiday,68945,봄
2020-04-11,holiday,73609,봄
2020-04-12,holiday,55407,봄
2020-04-13,non-holiday,63950,봄
2020-04-14,non-holiday,71314,봄
2020-04-15,holiday,66222,봄
2020-04-16,non-holiday,68553,봄
2020-04-17,non-holiday,67718,봄
2020-04-18,holiday,81160,봄
2020-04-19,holiday,62567,봄
2020-04-20,non-holiday,70491,봄
2020-04-21,non-holiday,71214,봄
2020-04-22,non-holiday,71066,봄
2020-04-23,non-holiday,71940,봄
2020-04-24,non-holiday,77309,봄
2020-04-25,holiday,80892,봄
2020-04-26,holiday,70677,봄
2020-04-27,non-holiday,74485,봄
2020-04-28,non-holiday,77373,봄
2020-04-29,non-holiday,83056,봄
2020-04-30,holiday,86909,봄
2020-05-01,non-holiday,77660,봄
2020-05-02,holiday,85322,봄
2020-05-03,holiday,71370,봄
2020-05-04,non-holiday,73194,봄
2020-05-05,holiday,68835,봄
2020-05-06,non-holiday,62237,봄
2020-05-07,non-holiday,66153,봄
2020-05-08,non-holiday,78217,봄
2020-05-09,holiday,75239,봄
2020-05-10,holiday,74781,봄
2020-05-11,non-holiday,67370,봄
2020-05-12,non-holiday,67774,봄
2020-05-13,non-holiday,69829,봄
2020-05-14,non-holiday,69970,봄
2020-05-15,non-holiday,70189,봄
2020-05-16,holiday,84562,봄
2020-05-17,holiday,75863,봄
2020-05-18,non-holiday,66381,봄
2020-05-19,non-holiday,71618,봄
2020-05-20,non-holiday,73447,봄
2020-05-21,non-holiday,74948,봄
2020-05-22,non-holiday,81257,봄
2020-05-23,holiday,92269,봄
2020-05-24,holiday,77677,봄
2020-05-25,non-holiday,77095,봄
2020-05-26,non-holiday,78943,봄
2020-05-27,non-holiday,80559,봄
2020-05-28,non-holiday,81296,봄
2020-05-29,non-holiday,87462,봄
2020-05-30,holiday,95704,봄
2020-05-31,holiday,82469,봄
2020-06-01,non-holiday,61395,여름
2020-06-02,non-holiday,62005,여름
2020-06-03,non-holiday,66199,여름
2020-06-04,non-holiday,65778,여름
2020-06-05,non-holiday,72292,여름
2020-06-06,holiday,81195,여름
2020-06-07,holiday,72811,여름
2020-06-08,non-holiday,68097,여름
2020-06-09,non-holiday,70177,여름
2020-06-10,non-holiday,71849,여름
2020-06-11,non-holiday,70446,여름
2020-06-12,non-holiday,77693,여름
2020-06-13,holiday,84029,여름
2020-06-14,holiday,67949,여름
2020-06-15,non-holiday,74114,여름
2020-06-16,non-holiday,75706,여름
2020-06-17,non-holiday,76805,여름
2020-06-18,non-holiday,71927,여름
2020-06-19,non-holiday,84134,여름
2020-06-20,holiday,93495,여름
2020-06-21,holiday,80078,여름
2020-06-22,non-holiday,79590,여름
2020-06-23,non-holiday,82705,여름
2020-06-24,non-holiday,81166,여름
2020-06-25,non-holiday,80860,여름
2020-06-26,non-holiday,91875,여름
2020-06-27,holiday,97215,여름
2020-06-28,holiday,80024,여름
2020-06-29,non-holiday,76540,여름
2020-06-30,non-holiday,77504,여름
2020-07-01,non-holiday,65374,여름
2020-07-02,non-holiday,67846,여름
2020-07-03,non-holiday,70819,여름
2020-07-04,holiday,88394,여름
2020-07-05,holiday,80878,여름
2020-07-06,non-holiday,64429,여름
2020-07-07,non-holiday,70379,여름
2020-07-08,non-holiday,72971,여름
2020-07-09,non-holiday,72113,여름
2020-07-10,non-holiday,68869,여름
2020-07-11,holiday,91646,여름
2020-07-12,holiday,72528,여름
2020-07-13,non-holiday,62787,여름
2020-07-14,non-holiday,71693,여름
2020-07-15,non-holiday,73192,여름
2020-07-16,non-holiday,77544,여름
2020-07-17,holiday,84550,여름
2020-07-18,holiday,94406,여름
2020-07-19,holiday,74560,여름
2020-07-20,non-holiday,72614,여름
2020-07-21,non-holiday,75489,여름
2020-07-22,non-holiday,72278,여름
2020-07-23,non-holiday,72138,여름
2020-07-24,non-holiday,82713,여름
2020-07-25,holiday,92795,여름
2020-07-26,holiday,80802,여름
2020-07-27,non-holiday,71039,여름
2020-07-28,non-holiday,74262,여름
2020-07-29,non-holiday,78660,여름
2020-07-30,non-holiday,82808,여름
2020-07-31,non-holiday,95848,여름
2020-08-01,holiday,89676,여름
2020-08-02,holiday,77265,여름
2020-08-03,non-holiday,76966,여름
2020-08-04,non-holiday,76623,여름
2020-08-05,non-holiday,74615,여름
2020-08-06,non-holiday,71037,여름
2020-08-07,non-holiday,75882,여름
2020-08-08,holiday,75673,여름
2020-08-09,holiday,72415,여름
2020-08-10,non-holiday,57811,여름
