날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,76213,겨울
2020-01-02,non-holiday,76131,겨울
2020-01-03,non-holiday,82580,겨울
2020-01-04,holiday,88135,겨울
2020-01-05,holiday,80008,겨울
2020-01-06,non-holiday,69156,겨울
2020-01-07,non-holiday,69012,겨울
2020-01-08,non-holiday,75365,겨울
2020-01-09,non-holiday,80406,겨울
2020-01-10,non-holiday,91294,겨울
2020-01-11,holiday,99914,겨울
2020-01-12,holiday,85154,겨울
2020-01-13,non-holiday,77228,겨울
2020-01-14,non-holiday,79958,겨울
2020-01-15,non-holiday,82718,겨울
2020-01-16,non-holiday,85579,겨울
2020-01-17,non-holiday,93347,겨울
2020-01-18,holiday,102953,겨울
2020-01-19,holiday,82680,겨울
2020-01-20,non-holiday,78830,겨울
2020-01-21,non-holiday,80050,겨울
2020-01-22,non-holiday,78785,겨울
2020-01-23,non-holiday,88222,겨울
2020-01-24,holiday,93955,겨울
2020-01-25,holiday,118451,겨울
2020-01-26,holiday,97960,겨울
2020-01-27,holiday,79144,겨울
2020-01-28,non-holiday,85609,겨울
2020-01-29,non-holiday,81688,겨울
2020-01-30,non-holiday,82666,겨울
2020-01-31,non-holiday,87256,겨울
2020-02-01,holiday,80791,겨울
2020-02-02,holiday,69879,겨울
2020-02-03,non-holiday,69218,겨울
2020-02-04,non-holiday,69656,겨울
2020-02-05,non-holiday,67131,겨울
2020-02-06,non-holiday,68628,겨울
2020-02-07,non-holiday,77658,겨울
2020-02-08,holiday,76100,겨울
2020-02-09,holiday,67332,겨울
2020-02-10,non-holiday,72213,겨울
2020-02-11,non-holiday,75335,겨울
2020-02-12,non-holiday,68287,겨울
2020-02-13,non-holiday,77553,겨울
2020-02-14,non-holiday,84174,겨울
2020-02-15,holiday,88028,겨울
2020-02-16,holiday,75096,겨울
2020-02-17,non-holiday,72243,겨울
2020-02-18,non-holiday,73758,겨울
2020-02-19,non-holiday,74102,겨울
2020-02-20,non-holiday,75813,겨울
2020-02-21,non-holiday,77411,겨울
2020-02-22,holiday,61694,겨울
2020-02-23,holiday,46366,겨울
2020-02-24,non-holiday,49208,겨울
2020-02-25,non-holiday,40656,겨울
2020-02-26,non-holiday,45042,겨울
2020-02-27,non-holiday,44803,겨울
2020-02-28,non-holiday,46652,겨울
2020-02-29,holiday,40667,겨울
2020-03-01,holiday,29212,봄
2020-03-02,non-holiday,40494,봄
2020-03-03,non-holiday,40582,봄
2020-03-04,non-holiday,40571,봄
2020-03-05,non-holiday,41618,봄
2020-03-06,non-holiday,47031,봄
2020-03-07,holiday,39499,봄
2020-03-08,holiday,34106,봄
2020-03-09,non-holiday,44635,봄
2020-03-10,non-holiday,43184,봄
2020-03-11,non-holiday,47142,봄
2020-03-12,non-holiday,49552,봄
2020-03-13,non-holiday,55448,봄
2020-03-14,holiday,50135,봄
2020-03-15,holiday,39624,봄
2020-03-16,non-holiday,51284,봄
2020-03-17,non-holiday,51759,봄
2020-03-18,non-holiday,53192,봄
2020-03-19,non-holiday,52604,봄
2020-03-20,non-holiday,59490,봄
2020-03-21,holiday,54409,봄
2020-03-22,holiday,43523,봄
2020-03-23,non-holiday,55124,봄
2020-03-24,non-holiday,52892,봄
2020-03-25,non-holiday,55479,봄
2020-03-26,non-holiday,53009,봄
2020-03-27,non-holiday,57837,봄
2020-03-28,holiday,54470,봄
2020-03-29,holiday,45973,봄
2020-03-30,non-holiday,56384,봄
2020-03-31,non-holiday,56271,봄
2020-04-01,non-holiday,46697,봄
2020-04-02,non-holiday,49735,봄
2020-04-03,non-holiday,55576,봄
2020-04-04,holiday,50646,봄
2020-04-05,holiday,41845,봄
2020-04-06,non-holiday,51946,봄
2020-04-07,non-holiday,53845,봄
2020-04-08,non-holiday,53083,봄
2020-04-09,non-holiday,55115,봄
2020-04-10,non-holiday,60802,봄
2020-04-11,holiday,56795,봄
2020-04-12,holiday,43826,봄
2020-04-13,non-holiday,54821,봄
2020-04-14,non-holiday,60347,봄
2020-04-15,holiday,48357,봄
2020-04-16,non-holiday,59228,봄
2020-04-17,non-holiday,59936,봄
2020-04-18,holiday,63349,봄
2020-04-19,holiday,48170,봄
2020-04-20,non-holiday,61309,봄
2020-04-21,non-holiday,61183,봄
2020-04-22,non-holiday,61502,봄
2020-04-23,non-holiday,64751,봄
2020-04-24,non-holiday,70880,봄
2020-04-25,holiday,67548,봄
2020-04-26,holiday,54883,봄
2020-04-27,non-holiday,65041,봄
2020-04-28,non-holiday,67981,봄
2020-04-29,non-holiday,76583,봄
2020-04-30,holiday,74206,봄
2020-05-01,non-holiday,67141,봄
2020-05-02,holiday,74362,봄
2020-05-03,holiday,64328,봄
2020-05-04,non-holiday,66737,봄
2020-05-05,holiday,59305,봄
2020-05-06,non-holiday,61268,봄
2020-05-07,non-holiday,66941,봄
2020-05-08,non-holiday,80427,봄
2020-05-09,holiday,65911,봄
2020-05-10,holiday,61065,봄
2020-05-11,non-holiday,65799,봄
2020-05-12,non-holiday,67450,봄
2020-05-13,non-holiday,66680,봄
2020-05-14,non-holiday,68233,봄
2020-05-15,non-holiday,69011,봄
2020-05-16,holiday,72089,봄
2020-05-17,holiday,61881,봄
2020-05-18,non-holiday,63307,봄
2020-05-19,non-holiday,68179,봄
2020-05-20,non-holiday,71909,봄
2020-05-21,non-holiday,73591,봄
2020-05-22,non-holiday,80242,봄
2020-05-23,holiday,79662,봄
2020-05-24,holiday,65419,봄
2020-05-25,non-holiday,72183,봄
2020-05-26,non-holiday,73048,봄
2020-05-27,non-holiday,73757,봄
2020-05-28,non-holiday,76846,봄
2020-05-29,non-holiday,83302,봄
2020-05-30,holiday,83944,봄
2020-05-31,holiday,66629,봄
2020-06-01,non-holiday,60251,여름
2020-06-02,non-holiday,61681,여름
2020-06-03,non-holiday,64733,여름
2020-06-04,non-holiday,67422,여름
2020-06-05,non-holiday,75618,여름
2020-06-06,holiday,72487,여름
2020-06-07,holiday,61849,여름
2020-06-08,non-holiday,67381,여름
2020-06-09,non-holiday,68551,여름
2020-06-10,non-holiday,67944,여름
2020-06-11,non-holiday,69392,여름
2020-06-12,non-holiday,78518,여름
2020-06-13,holiday,73817,여름
2020-06-14,holiday,60706,여름
2020-06-15,non-holiday,69502,여름
2020-06-16,non-holiday,69769,여름
2020-06-17,non-holiday,72422,여름
2020-06-18,non-holiday,66498,여름
2020-06-19,non-holiday,83426,여름
2020-06-20,holiday,83308,여름
2020-06-21,holiday,70653,여름
2020-06-22,non-holiday,73974,여름
2020-06-23,non-holiday,72963,여름
2020-06-24,non-holiday,71418,여름
2020-06-25,non-holiday,70289,여름
2020-06-26,non-holiday,86497,여름
2020-06-27,holiday,85698,여름
2020-06-28,holiday,72902,여름
2020-06-29,non-holiday,71711,여름
2020-06-30,non-holiday,71249,여름
2020-07-01,non-holiday,64398,여름
2020-07-02,non-holiday,66490,여름
2020-07-03,non-holiday,72520,여름
2020-07-04,holiday,80307,여름
2020-07-05,holiday,72721,여름
2020-07-06,non-holiday,62699,여름
2020-07-07,non-holiday,65385,여름
2020-07-08,non-holiday,67968,여름
2020-07-09,non-holiday,69033,여름
2020-07-10,non-holiday,68258,여름
2020-07-11,holiday,81808,여름
2020-07-12,holiday,66036,여름
2020-07-13,non-holiday,57823,여름
2020-07-14,non-holiday,68227,여름
2020-07-15,non-holiday,70753,여름
2020-07-16,non-holiday,75557,여름
2020-07-17,holiday,84805,여름
2020-07-18,holiday,89979,여름
2020-07-19,holiday,70843,여름
2020-07-20,non-holiday,71388,여름
2020-07-21,non-holiday,75315,여름
2020-07-22,non-holiday,69639,여름
2020-07-23,non-holiday,71373,여름
2020-07-24,non-holiday,83970,여름
2020-07-25,holiday,83684,여름
2020-07-26,holiday,72722,여름
2020-07-27,non-holiday,69773,여름
2020-07-28,non-holiday,71708,여름
2020-07-29,non-holiday,77069,여름
2020-07-30,non-holiday,80877,여름
2020-07-31,non-holiday,93018,여름
2020-08-01,holiday,86102,여름
2020-08-02,holiday,76199,여름
2020-08-03,non-holiday,82149,여름
2020-08-04,non-holiday,81094,여름
2020-08-05,non-holiday,78690,여름
2020-08-06,non-holiday,74147,여름
2020-08-07,non-holiday,81755,여름
2020-08-08,holiday,71689,여름
2020-08-09,holiday,71805,여름
2020-08-10,non-holiday,62665,여름
2020-08-11,non-holiday,72207,여름
2020-08-12,non-holiday,71908,여름
2020-08-13,non-holiday,79638,여름
2020-08-14,non-holiday,88895,여름
2020-08-15,holiday,91179,여름
2020-08-16,holiday,81241,여름
2020-08-17,holiday,81193,여름
2020-08-18,non-holiday,72871,여름
2020-08-19,non-holiday,69125,여름
2020-08-20,non-holiday,66978,여름
2020-08-21,non-holiday,71060,여름
2020-08-22,holiday,63498,여름
2020-08-23,holiday,51086,여름
2020-08-24,non-holiday,62331,여름
2020-08-25,non-holiday,62718,여름
2020-08-26,non-holiday,56728,여름
2020-08-27,non-holiday,57030,여름
2020-08-28,non-holiday,64317,여름
2020-08-29,holiday,56711,여름
2020-08-30,holiday,46124,여름
2020-08-31,non-holiday,59066,여름
2020-09-01,non-holiday,54653,가을
2020-09-02,non-holiday,46252,가을
2020-09-03,non-holiday,57758,가을
2020-09-04,non-holiday,64188,가을
2020-09-05,holiday,52889,가을
2020-09-06,holiday,42827,가을
2020-09-07,non-holiday,41926,가을
2020-09-08,non-holiday,62256,가을
2020-09-09,non-holiday,61021,가을
2020-09-10,non-holiday,63948,가을
2020-09-11,non-holiday,68652,가을
2020-09-12,holiday,64071,가을
2020-09-13,holiday,50686,가을
2020-09-14,non-holiday,64707,가을
2020-09-15,non-holiday,66526,가을
2020-09-16,non-holiday,64604,가을
2020-09-17,non-holiday,65503,가을
2020-09-18,non-holiday,74655,가을
2020-09-19,holiday,71309,가을
2020-09-20,holiday,56858,가을
2020-09-21,non-holiday,68435,가을
2020-09-22,non-holiday,69875,가을
2020-09-23,non-holiday,70377,가을
2020-09-24,non-holiday,72391,가을
2020-09-25,non-holiday,77572,가을
2020-09-26,holiday,70479,가을
2020-09-27,holiday,55574,가을
2020-09-28,non-holiday,72131,가을
2020-09-29,non-holiday,76995,가을
2020-09-30,holiday,65209,가을
2020-10-01,holiday,73304,가을
2020-10-02,holiday,59015,가을
2020-10-03,holiday,57959,가을
2020-10-04,holiday,50151,가을
2020-10-05,non-holiday,61561,가을
2020-10-06,non-holiday,60737,가을
2020-10-07,non-holiday,61769,가을
2020-10-08,non-holiday,67790,가을
2020-10-09,holiday,63674,가을
2020-10-10,holiday,67671,가을
2020-10-11,holiday,59193,가을
2020-10-12,non-holiday,64637,가을
2020-10-13,non-holiday,66845,가을
2020-10-14,non-holiday,66543,가을
2020-10-15,non-holiday,68792,가을
2020-10-16,non-holiday,75523,가을
2020-10-17,holiday,79511,가을
2020-10-18,holiday,63657,가을
2020-10-19,non-holiday,67003,가을
2020-10-20,non-holiday,69412,가을
2020-10-21,non-holiday,68079,가을
2020-10-22,non-holiday,69783,가을
2020-10-23,non-holiday,81129,가을
2020-10-24,holiday,82766,가을
2020-10-25,holiday,70776,가을
2020-10-26,non-holiday,72401,가을
2020-10-27,non-holiday,73669,가을
2020-10-28,non-holiday,71177,가을
2020-10-29,non-holiday,74789,가을
