날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,196382,겨울
2020-01-02,non-holiday,184439,겨울
2020-01-03,non-holiday,205631,겨울
2020-01-04,holiday,252359,겨울
2020-01-05,holiday,194944,겨울
2020-01-06,non-holiday,166844,겨울
2020-01-07,non-holiday,165394,겨울
2020-01-08,non-holiday,184366,겨울
2020-01-09,non-holiday,197044,겨울
2020-01-10,non-holiday,215296,겨울
2020-01-11,holiday,269468,겨울
2020-01-12,holiday,204431,겨울
2020-01-13,non-holiday,186564,겨울
2020-01-14,non-holiday,191123,겨울
2020-01-15,non-holiday,195663,겨울
2020-01-16,non-holiday,200522,겨울
2020-01-17,non-holiday,219275,겨울
2020-01-18,holiday,264561,겨울
2020-01-19,holiday,210152,겨울
2020-01-20,non-holiday,197731,겨울
2020-01-21,non-holiday,207250,겨울
2020-01-22,non-holiday,202456,겨울
2020-01-23,non-holiday,229622,겨울
2020-01-24,holiday,239770,겨울
2020-01-25,holiday,282584,겨울
2020-01-26,holiday,256188,겨울
2020-01-27,holiday,176178,겨울
2020-01-28,non-holiday,196426,겨울
2020-01-29,non-holiday,190681,겨울
2020-01-30,non-holiday,195218,겨울
2020-01-31,non-holiday,206491,겨울
2020-02-01,holiday,221006,겨울
2020-02-02,holiday,169671,겨울
2020-02-03,non-holiday,160840,겨울
2020-02-04,non-holiday,165939,겨울
2020-02-05,non-holiday,162453,겨울
2020-02-06,non-holiday,164702,겨울
2020-02-07,non-holiday,185919,겨울
2020-02-08,holiday,227338,겨울
2020-02-09,holiday,177201,겨울
2020-02-10,non-holiday,173390,겨울
2020-02-11,non-holiday,187893,겨울
2020-02-12,non-holiday,160816,겨울
2020-02-13,non-holiday,190047,겨울
2020-02-14,non-holiday,211364,겨울
2020-02-15,holiday,263007,겨울
2020-02-16,holiday,194776,겨울
2020-02-17,non-holiday,172549,겨울
2020-02-18,non-holiday,181462,겨울
2020-02-19,non-holiday,186406,겨울
2020-02-20,non-holiday,182259,겨울
2020-02-21,non-holiday,187503,겨울
2020-02-22,holiday,175334,겨울
2020-02-23,holiday,111349,겨울
2020-02-24,non-holiday,108282,겨울
2020-02-25,non-holiday,87603,겨울
2020-02-26,non-holiday,99742,겨울
2020-02-27,non-holiday,98029,겨울
2020-02-28,non-holiday,104476,겨울
2020-02-29,holiday,111325,겨울
2020-03-01,holiday,75437,봄
2020-03-02,non-holiday,90615,봄
2020-03-03,non-holiday,94219,봄
2020-03-04,non-holiday,97567,봄
2020-03-05,non-holiday,99494,봄
2020-03-06,non-holiday,113997,봄
2020-03-07,holiday,118814,봄
2020-03-08,holiday,103426,봄
2020-03-09,non-holiday,109623,봄
2020-03-10,non-holiday,107042,봄
2020-03-11,non-holiday,124984,봄
2020-03-12,non-holiday,125093,봄
2020-03-13,non-holiday,138090,봄
2020-03-14,holiday,159694,봄
2020-03-15,holiday,116023,봄
2020-03-16,non-holiday,123204,봄
2020-03-17,non-holiday,128349,봄
2020-03-18,non-holiday,132240,봄
2020-03-19,non-holiday,128461,봄
2020-03-20,non-holiday,151077,봄
2020-03-21,holiday,173098,봄
2020-03-22,holiday,128741,봄
2020-03-23,non-holiday,133604,봄
2020-03-24,non-holiday,132949,봄
2020-03-25,non-holiday,139881,봄
2020-03-26,non-holiday,125247,봄
2020-03-27,non-holiday,142100,봄
2020-03-28,holiday,168381,봄
2020-03-29,holiday,133124,봄
2020-03-30,non-holiday,138976,봄
2020-03-31,non-holiday,142745,봄
2020-04-01,non-holiday,117507,봄
2020-04-02,non-holiday,125456,봄
2020-04-03,non-holiday,146523,봄
2020-04-04,holiday,171628,봄
2020-04-05,holiday,133102,봄
2020-04-06,non-holiday,133428,봄
2020-04-07,non-holiday,138208,봄
2020-04-08,non-holiday,139148,봄
2020-04-09,non-holiday,141591,봄
2020-04-10,non-holiday,158317,봄
2020-04-11,holiday,183743,봄
2020-04-12,holiday,127321,봄
2020-04-13,non-holiday,140079,봄
2020-04-14,non-holiday,161688,봄
2020-04-15,holiday,157147,봄
2020-04-16,non-holiday,151252,봄
2020-04-17,non-holiday,147800,봄
2020-04-18,holiday,206685,봄
2020-04-19,holiday,142243,봄
2020-04-20,non-holiday,154031,봄
2020-04-21,non-holiday,157958,봄
2020-04-22,non-holiday,157519,봄
2020-04-23,non-holiday,160900,봄
2020-04-24,non-holiday,187502,봄
2020-04-25,holiday,215175,봄
2020-04-26,holiday,159876,봄
2020-04-27,non-holiday,160454,봄
2020-04-28,non-holiday,168702,봄
2020-04-29,non-holiday,186592,봄
2020-04-30,holiday,202430,봄
2020-05-01,non-holiday,188942,봄
2020-05-02,holiday,208956,봄
2020-05-03,holiday,152645,봄
2020-05-04,non-holiday,174853,봄
2020-05-05,holiday,168596,봄
2020-05-06,non-holiday,151096,봄
2020-05-07,non-holiday,157802,봄
2020-05-08,non-holiday,175643,봄
2020-05-09,holiday,183863,봄
2020-05-10,holiday,172117,봄
2020-05-11,non-holiday,156975,봄
2020-05-12,non-holiday,159168,봄
2020-05-13,non-holiday,161942,봄
2020-05-14,non-holiday,163256,봄
2020-05-15,non-holiday,160771,봄
2020-05-16,holiday,220877,봄
2020-05-17,holiday,176424,봄
2020-05-18,non-holiday,150084,봄
2020-05-19,non-holiday,163604,봄
2020-05-20,non-holiday,173888,봄
2020-05-21,non-holiday,173166,봄
2020-05-22,non-holiday,193082,봄
2020-05-23,holiday,235903,봄
2020-05-24,holiday,174835,봄
2020-05-25,non-holiday,169792,봄
2020-05-26,non-holiday,176188,봄
2020-05-27,non-holiday,179849,봄
2020-05-28,non-holiday,183113,봄
2020-05-29,non-holiday,202032,봄
2020-05-30,holiday,241254,봄
2020-05-31,holiday,182257,봄
2020-06-01,non-holiday,140332,여름
2020-06-02,non-holiday,144951,여름
2020-06-03,non-holiday,150230,여름
2020-06-04,non-holiday,153029,여름
2020-06-05,non-holiday,173826,여름
2020-06-06,holiday,208730,여름
2020-06-07,holiday,165310,여름
2020-06-08,non-holiday,154861,여름
2020-06-09,non-holiday,158253,여름
2020-06-10,non-holiday,164919,여름
2020-06-11,non-holiday,161678,여름
2020-06-12,non-holiday,183395,여름
2020-06-13,holiday,216852,여름
2020-06-14,holiday,157760,여름
2020-06-15,non-holiday,164005,여름
2020-06-16,non-holiday,168451,여름
2020-06-17,non-holiday,171327,여름
2020-06-18,non-holiday,152775,여름
2020-06-19,non-holiday,192958,여름
2020-06-20,holiday,244418,여름
2020-06-21,holiday,189548,여름
2020-06-22,non-holiday,173207,여름
2020-06-23,non-holiday,176325,여름
2020-06-24,non-holiday,172720,여름
2020-06-25,non-holiday,165841,여름
2020-06-26,non-holiday,209586,여름
2020-06-27,holiday,253813,여름
2020-06-28,holiday,193519,여름
2020-06-29,non-holiday,167349,여름
2020-06-30,non-holiday,174447,여름
2020-07-01,non-holiday,154949,여름
2020-07-02,non-holiday,157416,여름
