날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,74016,겨울
2020-01-02,non-holiday,54806,겨울
2020-01-03,non-holiday,60428,겨울
2020-01-04,holiday,70999,겨울
2020-01-05,holiday,63613,겨울
2020-01-06,non-holiday,49873,겨울
2020-01-07,non-holiday,50395,겨울
2020-01-08,non-holiday,56515,겨울
2020-01-09,non-holiday,58226,겨울
2020-01-10,non-holiday,62850,겨울
2020-01-11,holiday,75510,겨울
2020-01-12,holiday,66213,겨울
2020-01-13,non-holiday,57381,겨울
2020-01-14,non-holiday,59212,겨울
2020-01-15,non-holiday,61117,겨울
2020-01-16,non-holiday,59482,겨울
2020-01-17,non-holiday,64739,겨울
2020-01-18,holiday,73885,겨울
2020-01-19,holiday,65329,겨울
2020-01-20,non-holiday,59411,겨울
2020-01-21,non-holiday,63454,겨울
2020-01-22,non-holiday,65421,겨울
2020-01-23,non-holiday,76498,겨울
2020-01-24,holiday,113666,겨울
2020-01-25,holiday,176816,겨울
2020-01-26,holiday,117845,겨울
2020-01-27,holiday,66587,겨울
2020-01-28,non-holiday,63634,겨울
2020-01-29,non-holiday,63734,겨울
2020-01-30,non-holiday,61912,겨울
2020-01-31,non-holiday,65376,겨울
2020-02-01,holiday,64780,겨울
2020-02-02,holiday,55676,겨울
2020-02-03,non-holiday,49968,겨울
2020-02-04,non-holiday,51435,겨울
2020-02-05,non-holiday,53191,겨울
2020-02-06,non-holiday,50647,겨울
2020-02-07,non-holiday,59222,겨울
2020-02-08,holiday,68363,겨울
2020-02-09,holiday,60818,겨울
2020-02-10,non-holiday,55850,겨울
2020-02-11,non-holiday,58823,겨울
2020-02-12,non-holiday,53168,겨울
2020-02-13,non-holiday,59176,겨울
2020-02-14,non-holiday,64300,겨울
2020-02-15,holiday,74580,겨울
2020-02-16,holiday,63007,겨울
2020-02-17,non-holiday,55640,겨울
2020-02-18,non-holiday,58429,겨울
2020-02-19,non-holiday,60217,겨울
2020-02-20,non-holiday,60573,겨울
2020-02-21,non-holiday,63447,겨울
2020-02-22,holiday,61365,겨울
2020-02-23,holiday,49741,겨울
2020-02-24,non-holiday,47270,겨울
2020-02-25,non-holiday,40439,겨울
2020-02-26,non-holiday,46162,겨울
2020-02-27,non-holiday,45529,겨울
2020-02-28,non-holiday,46975,겨울
2020-02-29,holiday,50586,겨울
2020-03-01,holiday,37026,봄
2020-03-02,non-holiday,37465,봄
2020-03-03,non-holiday,38164,봄
2020-03-04,non-holiday,40006,봄
2020-03-05,non-holiday,40549,봄
2020-03-06,non-holiday,45929,봄
2020-03-07,holiday,46588,봄
2020-03-08,holiday,49986,봄
2020-03-09,non-holiday,42450,봄
2020-03-10,non-holiday,41703,봄
2020-03-11,non-holiday,47677,봄
2020-03-12,non-holiday,48489,봄
2020-03-13,non-holiday,52812,봄
2020-03-14,holiday,59396,봄
2020-03-15,holiday,50678,봄
2020-03-16,non-holiday,47549,봄
2020-03-17,non-holiday,49096,봄
2020-03-18,non-holiday,50896,봄
2020-03-19,non-holiday,49380,봄
2020-03-20,non-holiday,55549,봄
2020-03-21,holiday,65557,봄
2020-03-22,holiday,57852,봄
2020-03-23,non-holiday,52233,봄
2020-03-24,non-holiday,52511,봄
2020-03-25,non-holiday,55000,봄
2020-03-26,non-holiday,50045,봄
2020-03-27,non-holiday,54248,봄
2020-03-28,holiday,64437,봄
2020-03-29,holiday,59391,봄
2020-03-30,non-holiday,55717,봄
2020-03-31,non-holiday,56183,봄
2020-04-01,non-holiday,41426,봄
2020-04-02,non-holiday,44623,봄
2020-04-03,non-holiday,53618,봄
2020-04-04,holiday,63494,봄
2020-04-05,holiday,55315,봄
2020-04-06,non-holiday,49235,봄
2020-04-07,non-holiday,50708,봄
2020-04-08,non-holiday,51859,봄
2020-04-09,non-holiday,52477,봄
2020-04-10,non-holiday,56352,봄
2020-04-11,holiday,63554,봄
