날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,63062,겨울
2020-01-02,non-holiday,49215,겨울
2020-01-03,non-holiday,49892,겨울
2020-01-04,holiday,55093,겨울
2020-01-05,holiday,53209,겨울
2020-01-06,non-holiday,46523,겨울
2020-01-07,non-holiday,47202,겨울
2020-01-08,non-holiday,51713,겨울
2020-01-09,non-holiday,52492,겨울
2020-01-10,non-holiday,53910,겨울
2020-01-11,holiday,57408,겨울
2020-01-12,holiday,54515,겨울
2020-01-13,non-holiday,51860,겨울
2020-01-14,non-holiday,52513,겨울
2020-01-15,non-holiday,53331,겨울
2020-01-16,non-holiday,53710,겨울
2020-01-17,non-holiday,54286,겨울
2020-01-18,holiday,54996,겨울
2020-01-19,holiday,53765,겨울
2020-01-20,non-holiday,54884,겨울
2020-01-21,non-holiday,56936,겨울
2020-01-22,non-holiday,53727,겨울
2020-01-23,non-holiday,55804,겨울
2020-01-24,holiday,70348,겨울
2020-01-25,holiday,103001,겨울
2020-01-26,holiday,76418,겨울
2020-01-27,holiday,41203,겨울
2020-01-28,non-holiday,56239,겨울
2020-01-29,non-holiday,55187,겨울
2020-01-30,non-holiday,54200,겨울
2020-01-31,non-holiday,51451,겨울
2020-02-01,holiday,47009,겨울
2020-02-02,holiday,45318,겨울
2020-02-03,non-holiday,46192,겨울
2020-02-04,non-holiday,48367,겨울
2020-02-05,non-holiday,45325,겨울
2020-02-06,non-holiday,45920,겨울
2020-02-07,non-holiday,48662,겨울
2020-02-08,holiday,50462,겨울
2020-02-09,holiday,48527,겨울
2020-02-10,non-holiday,50656,겨울
2020-02-11,non-holiday,53087,겨울
2020-02-12,non-holiday,44760,겨울
2020-02-13,non-holiday,50754,겨울
2020-02-14,non-holiday,52016,겨울
2020-02-15,holiday,56877,겨울
2020-02-16,holiday,49662,겨울
2020-02-17,non-holiday,47991,겨울
2020-02-18,non-holiday,50585,겨울
2020-02-19,non-holiday,51393,겨울
2020-02-20,non-holiday,51606,겨울
2020-02-21,non-holiday,50445,겨울
2020-02-22,holiday,43297,겨울
2020-02-23,holiday,36661,겨울
2020-02-24,non-holiday,40163,겨울
2020-02-25,non-holiday,33489,겨울
2020-02-26,non-holiday,37543,겨울
2020-02-27,non-holiday,37416,겨울
2020-02-28,non-holiday,35548,겨울
2020-02-29,holiday,36080,겨울
2020-03-01,holiday,29737,봄
2020-03-02,non-holiday,33736,봄
2020-03-03,non-holiday,35194,봄
2020-03-04,non-holiday,35762,봄
2020-03-05,non-holiday,36419,봄
2020-03-06,non-holiday,37372,봄
2020-03-07,holiday,32338,봄
2020-03-08,holiday,40649,봄
2020-03-09,non-holiday,40143,봄
2020-03-10,non-holiday,38051,봄
2020-03-11,non-holiday,43780,봄
