날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,126415,겨울
2020-01-02,non-holiday,78344,겨울
2020-01-03,non-holiday,86637,겨울
2020-01-04,holiday,105631,겨울
2020-01-05,holiday,89081,겨울
2020-01-06,non-holiday,69720,겨울
2020-01-07,non-holiday,69954,겨울
2020-01-08,non-holiday,78580,겨울
2020-01-09,non-holiday,80073,겨울
2020-01-10,non-holiday,90555,겨울
2020-01-11,holiday,115645,겨울
2020-01-12,holiday,90116,겨울
2020-01-13,non-holiday,79815,겨울
2020-01-14,non-holiday,81960,겨울
2020-01-15,non-holiday,86559,겨울
2020-01-16,non-holiday,86405,겨울
2020-01-17,non-holiday,91151,겨울
2020-01-18,holiday,112244,겨울
2020-01-19,holiday,93209,겨울
2020-01-20,non-holiday,85857,겨울
2020-01-21,non-holiday,88367,겨울
2020-01-22,non-holiday,87176,겨울
2020-01-23,non-holiday,96639,겨울
2020-01-24,holiday,122495,겨울
2020-01-25,holiday,159111,겨울
2020-01-26,holiday,129685,겨울
2020-01-27,holiday,81795,겨울
2020-01-28,non-holiday,86145,겨울
2020-01-29,non-holiday,85385,겨울
2020-01-30,non-holiday,86426,겨울
2020-01-31,non-holiday,91932,겨울
2020-02-01,holiday,98085,겨울
2020-02-02,holiday,80491,겨울
2020-02-03,non-holiday,69995,겨울
2020-02-04,non-holiday,72081,겨울
2020-02-05,non-holiday,71192,겨울
2020-02-06,non-holiday,70467,겨울
2020-02-07,non-holiday,79987,겨울
2020-02-08,holiday,99909,겨울
2020-02-09,holiday,83953,겨울
2020-02-10,non-holiday,78851,겨울
2020-02-11,non-holiday,80430,겨울
2020-02-12,non-holiday,73590,겨울
2020-02-13,non-holiday,85999,겨울
2020-02-14,non-holiday,95278,겨울
2020-02-15,holiday,120245,겨울
2020-02-16,holiday,94581,겨울
2020-02-17,non-holiday,79040,겨울
2020-02-18,non-holiday,82649,겨울
2020-02-19,non-holiday,86138,겨울
2020-02-20,non-holiday,85749,겨울
2020-02-21,non-holiday,90337,겨울
2020-02-22,holiday,83783,겨울
2020-02-23,holiday,55650,겨울
2020-02-24,non-holiday,58255,겨울
2020-02-25,non-holiday,48436,겨울
2020-02-26,non-holiday,54687,겨울
2020-02-27,non-holiday,56286,겨울
2020-02-28,non-holiday,58377,겨울
2020-02-29,holiday,62795,겨울
2020-03-01,holiday,46531,봄
2020-03-02,non-holiday,49344,봄
2020-03-03,non-holiday,49982,봄
2020-03-04,non-holiday,52629,봄
2020-03-05,non-holiday,53619,봄
2020-03-06,non-holiday,60830,봄
2020-03-07,holiday,63816,봄
2020-03-08,holiday,61787,봄
2020-03-09,non-holiday,56737,봄
2020-03-10,non-holiday,55501,봄
2020-03-11,non-holiday,66273,봄
2020-03-12,non-holiday,66617,봄
2020-03-13,non-holiday,73181,봄
2020-03-14,holiday,86183,봄
2020-03-15,holiday,70675,봄
2020-03-16,non-holiday,65716,봄
2020-03-17,non-holiday,67886,봄
2020-03-18,non-holiday,71156,봄
2020-03-19,non-holiday,66919,봄
2020-03-20,non-holiday,77775,봄
2020-03-21,holiday,97776,봄
2020-03-22,holiday,78152,봄
2020-03-23,non-holiday,73480,봄
2020-03-24,non-holiday,74698,봄
2020-03-25,non-holiday,82056,봄
2020-03-26,non-holiday,67075,봄
2020-03-27,non-holiday,74605,봄
2020-03-28,holiday,97767,봄
2020-03-29,holiday,92700,봄
2020-03-30,non-holiday,78996,봄
2020-03-31,non-holiday,81778,봄
2020-04-01,non-holiday,63720,봄
2020-04-02,non-holiday,67961,봄
2020-04-03,non-holiday,80928,봄
2020-04-04,holiday,98025,봄
2020-04-05,holiday,82536,봄
2020-04-06,non-holiday,67743,봄
2020-04-07,non-holiday,70580,봄
2020-04-08,non-holiday,72128,봄
2020-04-09,non-holiday,73002,봄
2020-04-10,non-holiday,78299,봄
2020-04-11,holiday,92718,봄
2020-04-12,holiday,64597,봄
2020-04-13,non-holiday,71474,봄
2020-04-14,non-holiday,84524,봄
2020-04-15,holiday,87234,봄
2020-04-16,non-holiday,76459,봄
2020-04-17,non-holiday,73486,봄
2020-04-18,holiday,109682,봄
2020-04-19,holiday,77187,봄
2020-04-20,non-holiday,77142,봄
2020-04-21,non-holiday,77179,봄
2020-04-22,non-holiday,79333,봄
2020-04-23,non-holiday,80208,봄
2020-04-24,non-holiday,89914,봄
2020-04-25,holiday,108922,봄
2020-04-26,holiday,89734,봄
2020-04-27,non-holiday,81033,봄
2020-04-28,non-holiday,84571,봄
2020-04-29,non-holiday,96414,봄
2020-04-30,holiday,122965,봄
2020-05-01,non-holiday,118918,봄
2020-05-02,holiday,126687,봄
2020-05-03,holiday,91806,봄
2020-05-04,non-holiday,96404,봄
2020-05-05,holiday,91692,봄
2020-05-06,non-holiday,75390,봄
2020-05-07,non-holiday,80258,봄
2020-05-08,non-holiday,92612,봄
2020-05-09,holiday,94516,봄
2020-05-10,holiday,96161,봄
2020-05-11,non-holiday,81449,봄
2020-05-12,non-holiday,80562,봄
2020-05-13,non-holiday,86440,봄
2020-05-14,non-holiday,86972,봄
2020-05-15,non-holiday,82000,봄
2020-05-16,holiday,118976,봄
2020-05-17,holiday,107833,봄
2020-05-18,non-holiday,76867,봄
2020-05-19,non-holiday,81832,봄
2020-05-20,non-holiday,85960,봄
2020-05-21,non-holiday,86121,봄
2020-05-22,non-holiday,97930,봄
2020-05-23,holiday,129940,봄
2020-05-24,holiday,102589,봄
2020-05-25,non-holiday,85854,봄
2020-05-26,non-holiday,88102,봄
2020-05-27,non-holiday,89521,봄
2020-05-28,non-holiday,90364,봄
2020-05-29,non-holiday,105028,봄
2020-05-30,holiday,133317,봄
2020-05-31,holiday,109493,봄
2020-06-01,non-holiday,73806,여름
2020-06-02,non-holiday,75309,여름
2020-06-03,non-holiday,76721,여름
2020-06-04,non-holiday,77941,여름
2020-06-05,non-holiday,90695,여름
2020-06-06,holiday,120648,여름
2020-06-07,holiday,103052,여름
2020-06-08,non-holiday,79957,여름
2020-06-09,non-holiday,81024,여름
2020-06-10,non-holiday,83144,여름
2020-06-11,non-holiday,80994,여름
2020-06-12,non-holiday,91991,여름
2020-06-13,holiday,111352,여름
2020-06-14,holiday,87532,여름
2020-06-15,non-holiday,85870,여름
2020-06-16,non-holiday,86387,여름
2020-06-17,non-holiday,86249,여름
2020-06-18,non-holiday,75028,여름
2020-06-19,non-holiday,100070,여름
2020-06-20,holiday,137415,여름
2020-06-21,holiday,112858,여름
2020-06-22,non-holiday,86142,여름
2020-06-23,non-holiday,88633,여름
2020-06-24,non-holiday,81293,여름
2020-06-25,non-holiday,78320,여름
2020-06-26,non-holiday,103620,여름
2020-06-27,holiday,139113,여름
2020-06-28,holiday,109569,여름
2020-06-29,non-holiday,82292,여름
2020-06-30,non-holiday,88093,여름
2020-07-01,non-holiday,80259,여름
2020-07-02,non-holiday,85490,여름
2020-07-03,non-holiday,90204,여름
2020-07-04,holiday,129787,여름
2020-07-05,holiday,114040,여름
2020-07-06,non-holiday,77556,여름
2020-07-07,non-holiday,83180,여름
2020-07-08,non-holiday,86927,여름
2020-07-09,non-holiday,84736,여름
2020-07-10,non-holiday,83369,여름
2020-07-11,holiday,132271,여름
2020-07-12,holiday,90924,여름
2020-07-13,non-holiday,71752,여름
2020-07-14,non-holiday,86200,여름
2020-07-15,non-holiday,90735,여름
2020-07-16,non-holiday,98190,여름
2020-07-17,holiday,113971,여름
2020-07-18,holiday,145441,여름
2020-07-19,holiday,107125,여름
2020-07-20,non-holiday,87489,여름
2020-07-21,non-holiday,91210,여름
2020-07-22,non-holiday,83975,여름
2020-07-23,non-holiday,81391,여름
2020-07-24,non-holiday,96378,여름
2020-07-25,holiday,132642,여름
2020-07-26,holiday,112230,여름
2020-07-27,non-holiday,80523,여름
2020-07-28,non-holiday,85649,여름
2020-07-29,non-holiday,91488,여름
2020-07-30,non-holiday,97518,여름
2020-07-31,non-holiday,120298,여름
2020-08-01,holiday,142835,여름
2020-08-02,holiday,125173,여름
2020-08-03,non-holiday,107728,여름
2020-08-04,non-holiday,106776,여름
2020-08-05,non-holiday,102216,여름
2020-08-06,non-holiday,93442,여름
2020-08-07,non-holiday,93453,여름
2020-08-08,holiday,107308,여름
2020-08-09,holiday,94999,여름
2020-08-10,non-holiday,73032,여름
2020-08-11,non-holiday,88503,여름
2020-08-12,non-holiday,90153,여름
2020-08-13,non-holiday,102940,여름
2020-08-14,non-holiday,119640,여름
2020-08-15,holiday,154373,여름
2020-08-16,holiday,138451,여름
2020-08-17,holiday,110104,여름
2020-08-18,non-holiday,93673,여름
2020-08-19,non-holiday,89426,여름
2020-08-20,non-holiday,87700,여름
2020-08-21,non-holiday,93106,여름
2020-08-22,holiday,107478,여름
2020-08-23,holiday,81862,여름
2020-08-24,non-holiday,85355,여름
2020-08-25,non-holiday,84570,여름
2020-08-26,non-holiday,73244,여름
2020-08-27,non-holiday,75231,여름
2020-08-28,non-holiday,85003,여름
2020-08-29,holiday,94609,여름
2020-08-30,holiday,80624,여름
2020-08-31,non-holiday,76499,여름
2020-09-01,non-holiday,68589,가을
2020-09-02,non-holiday,52601,가을
2020-09-03,non-holiday,63563,가을
2020-09-04,non-holiday,82452,가을
2020-09-05,holiday,86436,가을
2020-09-06,holiday,67220,가을
2020-09-07,non-holiday,54186,가을
2020-09-08,non-holiday,76302,가을
2020-09-09,non-holiday,77720,가을
2020-09-10,non-holiday,82059,가을
2020-09-11,non-holiday,85437,가을
2020-09-12,holiday,106726,가을
2020-09-13,holiday,79231,가을
2020-09-14,non-holiday,81510,가을
2020-09-15,non-holiday,82917,가을
2020-09-16,non-holiday,80036,가을
2020-09-17,non-holiday,78497,가을
2020-09-18,non-holiday,92717,가을
2020-09-19,holiday,116835,가을
2020-09-20,holiday,98131,가을
2020-09-21,non-holiday,83897,가을
2020-09-22,non-holiday,84378,가을
2020-09-23,non-holiday,85375,가을
