날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,53886,겨울
2020-01-02,non-holiday,36925,겨울
2020-01-03,non-holiday,38701,겨울
2020-01-04,holiday,49472,겨울
2020-01-05,holiday,44073,겨울
2020-01-06,non-holiday,30620,겨울
2020-01-07,non-holiday,30877,겨울
2020-01-08,non-holiday,34268,겨울
2020-01-09,non-holiday,36976,겨울
2020-01-10,non-holiday,39010,겨울
2020-01-11,holiday,53039,겨울
2020-01-12,holiday,43632,겨울
2020-01-13,non-holiday,35722,겨울
2020-01-14,non-holiday,36918,겨울
2020-01-15,non-holiday,37593,겨울
2020-01-16,non-holiday,39636,겨울
2020-01-17,non-holiday,42711,겨울
2020-01-18,holiday,52084,겨울
2020-01-19,holiday,48017,겨울
2020-01-20,non-holiday,38346,겨울
2020-01-21,non-holiday,41196,겨울
2020-01-22,non-holiday,39949,겨울
2020-01-23,non-holiday,46300,겨울
2020-01-24,holiday,72391,겨울
2020-01-25,holiday,107510,겨울
2020-01-26,holiday,76353,겨울
2020-01-27,holiday,43447,겨울
2020-01-28,non-holiday,41029,겨울
2020-01-29,non-holiday,41679,겨울
2020-01-30,non-holiday,40705,겨울
2020-01-31,non-holiday,41770,겨울
2020-02-01,holiday,42953,겨울
2020-02-02,holiday,37702,겨울
2020-02-03,non-holiday,32347,겨울
2020-02-04,non-holiday,33075,겨울
2020-02-05,non-holiday,32604,겨울
2020-02-06,non-holiday,33176,겨울
2020-02-07,non-holiday,36333,겨울
2020-02-08,holiday,46036,겨울
2020-02-09,holiday,37559,겨울
2020-02-10,non-holiday,35426,겨울
2020-02-11,non-holiday,37989,겨울
2020-02-12,non-holiday,31298,겨울
2020-02-13,non-holiday,36648,겨울
2020-02-14,non-holiday,39924,겨울
2020-02-15,holiday,50689,겨울
2020-02-16,holiday,42866,겨울
2020-02-17,non-holiday,33749,겨울
2020-02-18,non-holiday,35414,겨울
2020-02-19,non-holiday,36771,겨울
2020-02-20,non-holiday,37981,겨울
2020-02-21,non-holiday,38428,겨울
2020-02-22,holiday,36959,겨울
2020-02-23,holiday,28382,겨울
2020-02-24,non-holiday,29611,겨울
2020-02-25,non-holiday,24145,겨울
2020-02-26,non-holiday,27836,겨울
2020-02-27,non-holiday,28285,겨울
2020-02-28,non-holiday,28776,겨울
2020-02-29,holiday,31717,겨울
2020-03-01,holiday,24625,봄
2020-03-02,non-holiday,23305,봄
2020-03-03,non-holiday,23884,봄
2020-03-04,non-holiday,25494,봄
2020-03-05,non-holiday,25398,봄
2020-03-06,non-holiday,27529,봄
2020-03-07,holiday,29251,봄
2020-03-08,holiday,31380,봄
2020-03-09,non-holiday,27781,봄
2020-03-10,non-holiday,25679,봄
2020-03-11,non-holiday,30768,봄
2020-03-12,non-holiday,30347,봄
2020-03-13,non-holiday,32130,봄
2020-03-14,holiday,37566,봄
2020-03-15,holiday,32943,봄
2020-03-16,non-holiday,28692,봄
2020-03-17,non-holiday,29250,봄
2020-03-18,non-holiday,31002,봄
2020-03-19,non-holiday,28921,봄
2020-03-20,non-holiday,33164,봄
2020-03-21,holiday,41235,봄
2020-03-22,holiday,34615,봄
2020-03-23,non-holiday,31274,봄
2020-03-24,non-holiday,31184,봄
2020-03-25,non-holiday,32453,봄
2020-03-26,non-holiday,28802,봄
2020-03-27,non-holiday,30305,봄
2020-03-28,holiday,37691,봄
2020-03-29,holiday,34958,봄
2020-03-30,non-holiday,31459,봄
2020-03-31,non-holiday,32266,봄
2020-04-01,non-holiday,24769,봄
2020-04-02,non-holiday,26731,봄
2020-04-03,non-holiday,34863,봄
2020-04-04,holiday,43262,봄
2020-04-05,holiday,37780,봄
2020-04-06,non-holiday,34047,봄
2020-04-07,non-holiday,34987,봄
2020-04-08,non-holiday,35942,봄
2020-04-09,non-holiday,35780,봄
2020-04-10,non-holiday,37644,봄
2020-04-11,holiday,43683,봄
2020-04-12,holiday,31734,봄
2020-04-13,non-holiday,34390,봄
2020-04-14,non-holiday,38705,봄
2020-04-15,holiday,41304,봄
2020-04-16,non-holiday,36547,봄
2020-04-17,non-holiday,34122,봄
2020-04-18,holiday,49935,봄
2020-04-19,holiday,36653,봄
2020-04-20,non-holiday,37738,봄
2020-04-21,non-holiday,38123,봄
2020-04-22,non-holiday,37457,봄
2020-04-23,non-holiday,38228,봄
2020-04-24,non-holiday,40964,봄
2020-04-25,holiday,50909,봄
2020-04-26,holiday,44476,봄
2020-04-27,non-holiday,39965,봄
2020-04-28,non-holiday,40877,봄
2020-04-29,non-holiday,43819,봄
2020-04-30,holiday,58909,봄
2020-05-01,non-holiday,55578,봄
2020-05-02,holiday,58810,봄
2020-05-03,holiday,42555,봄
2020-05-04,non-holiday,44812,봄
2020-05-05,holiday,45837,봄
2020-05-06,non-holiday,32910,봄
2020-05-07,non-holiday,35441,봄
2020-05-08,non-holiday,42922,봄
2020-05-09,holiday,40392,봄
2020-05-10,holiday,43935,봄
2020-05-11,non-holiday,35469,봄
2020-05-12,non-holiday,35074,봄
2020-05-13,non-holiday,35935,봄
2020-05-14,non-holiday,36099,봄
2020-05-15,non-holiday,34595,봄
2020-05-16,holiday,49451,봄
2020-05-17,holiday,47865,봄
2020-05-18,non-holiday,32798,봄
2020-05-19,non-holiday,35788,봄
2020-05-20,non-holiday,38624,봄
2020-05-21,non-holiday,38081,봄
2020-05-22,non-holiday,42077,봄
2020-05-23,holiday,54988,봄
2020-05-24,holiday,45769,봄
2020-05-25,non-holiday,38491,봄
2020-05-26,non-holiday,39127,봄
2020-05-27,non-holiday,40050,봄
2020-05-28,non-holiday,40371,봄
2020-05-29,non-holiday,43931,봄
2020-05-30,holiday,57284,봄
2020-05-31,holiday,49273,봄
2020-06-01,non-holiday,32914,여름
2020-06-02,non-holiday,34322,여름
2020-06-03,non-holiday,33909,여름
2020-06-04,non-holiday,35231,여름
2020-06-05,non-holiday,39879,여름
2020-06-06,holiday,54557,여름
2020-06-07,holiday,47720,여름
2020-06-08,non-holiday,37375,여름
2020-06-09,non-holiday,37486,여름
2020-06-10,non-holiday,37783,여름
2020-06-11,non-holiday,36538,여름
2020-06-12,non-holiday,40679,여름
2020-06-13,holiday,45682,여름
2020-06-14,holiday,39030,여름
2020-06-15,non-holiday,39180,여름
2020-06-16,non-holiday,39710,여름
2020-06-17,non-holiday,39419,여름
2020-06-18,non-holiday,33638,여름
2020-06-19,non-holiday,44433,여름
2020-06-20,holiday,60321,여름
2020-06-21,holiday,55901,여름
2020-06-22,non-holiday,42298,여름
2020-06-23,non-holiday,44933,여름
2020-06-24,non-holiday,41839,여름
2020-06-25,non-holiday,38729,여름
2020-06-26,non-holiday,49748,여름
2020-06-27,holiday,67533,여름
2020-06-28,holiday,60636,여름
2020-06-29,non-holiday,39905,여름
2020-06-30,non-holiday,40481,여름
2020-07-01,non-holiday,37704,여름
2020-07-02,non-holiday,38688,여름
2020-07-03,non-holiday,38105,여름
2020-07-04,holiday,59932,여름
2020-07-05,holiday,55868,여름
2020-07-06,non-holiday,34099,여름
2020-07-07,non-holiday,37478,여름
2020-07-08,non-holiday,37890,여름
2020-07-09,non-holiday,36758,여름
2020-07-10,non-holiday,31945,여름
2020-07-11,holiday,56251,여름
2020-07-12,holiday,41646,여름
2020-07-13,non-holiday,29383,여름
2020-07-14,non-holiday,35712,여름
2020-07-15,non-holiday,38396,여름
2020-07-16,non-holiday,43297,여름
2020-07-17,holiday,47467,여름
2020-07-18,holiday,62266,여름
2020-07-19,holiday,47573,여름
2020-07-20,non-holiday,36739,여름
2020-07-21,non-holiday,40559,여름
2020-07-22,non-holiday,35484,여름
2020-07-23,non-holiday,34695,여름
2020-07-24,non-holiday,39539,여름
2020-07-25,holiday,53118,여름
2020-07-26,holiday,49715,여름
2020-07-27,non-holiday,36084,여름
2020-07-28,non-holiday,37283,여름
2020-07-29,non-holiday,40344,여름
2020-07-30,non-holiday,43967,여름
2020-07-31,non-holiday,51068,여름
2020-08-01,holiday,62173,여름
2020-08-02,holiday,56241,여름
2020-08-03,non-holiday,50593,여름
2020-08-04,non-holiday,49229,여름
2020-08-05,non-holiday,46047,여름
2020-08-06,non-holiday,41100,여름
2020-08-07,non-holiday,43631,여름
2020-08-08,holiday,43613,여름
2020-08-09,holiday,47146,여름
2020-08-10,non-holiday,31937,여름
2020-08-11,non-holiday,39208,여름
2020-08-12,non-holiday,38230,여름
2020-08-13,non-holiday,45971,여름
