날짜,휴일여부,유동인구수,계절
2020-01-01,holiday,237128,겨울
2020-01-02,non-holiday,162232,겨울
2020-01-03,non-holiday,174118,겨울
2020-01-04,holiday,238197,겨울
2020-01-05,holiday,210544,겨울
2020-01-06,non-holiday,133891,겨울
2020-01-07,non-holiday,136155,겨울
2020-01-08,non-holiday,147531,겨울
2020-01-09,non-holiday,152963,겨울
2020-01-10,non-holiday,177629,겨울
2020-01-11,holiday,249226,겨울
2020-01-12,holiday,208979,겨울
2020-01-13,non-holiday,155583,겨울
2020-01-14,non-holiday,159350,겨울
2020-01-15,non-holiday,160127,겨울
2020-01-16,non-holiday,166725,겨울
2020-01-17,non-holiday,179405,겨울
2020-01-18,holiday,236585,겨울
2020-01-19,holiday,212710,겨울
2020-01-20,non-holiday,157287,겨울
2020-01-21,non-holiday,161712,겨울
2020-01-22,non-holiday,156391,겨울
2020-01-23,non-holiday,178443,겨울
2020-01-24,holiday,234503,겨울
2020-01-25,holiday,299217,겨울
2020-01-26,holiday,282451,겨울
2020-01-27,holiday,187038,겨울
2020-01-28,non-holiday,161443,겨울
2020-01-29,non-holiday,155834,겨울
2020-01-30,non-holiday,160174,겨울
2020-01-31,non-holiday,169008,겨울
2020-02-01,holiday,200221,겨울
2020-02-02,holiday,176064,겨울
2020-02-03,non-holiday,129027,겨울
2020-02-04,non-holiday,131836,겨울
2020-02-05,non-holiday,129371,겨울
2020-02-06,non-holiday,130368,겨울
2020-02-07,non-holiday,147190,겨울
2020-02-08,holiday,200954,겨울
2020-02-09,holiday,171466,겨울
2020-02-10,non-holiday,133327,겨울
2020-02-11,non-holiday,147217,겨울
2020-02-12,non-holiday,131576,겨울
2020-02-13,non-holiday,151409,겨울
2020-02-14,non-holiday,167176,겨울
2020-02-15,holiday,229329,겨울
2020-02-16,holiday,198810,겨울
2020-02-17,non-holiday,139582,겨울
2020-02-18,non-holiday,144210,겨울
2020-02-19,non-holiday,146202,겨울
2020-02-20,non-holiday,144212,겨울
2020-02-21,non-holiday,153272,겨울
2020-02-22,holiday,147415,겨울
2020-02-23,holiday,102108,겨울
2020-02-24,non-holiday,97919,겨울
2020-02-25,non-holiday,83359,겨울
2020-02-26,non-holiday,89709,겨울
2020-02-27,non-holiday,94788,겨울
2020-02-28,non-holiday,98837,겨울
2020-02-29,holiday,107303,겨울
2020-03-01,holiday,82325,봄
2020-03-02,non-holiday,81397,봄
2020-03-03,non-holiday,84609,봄
2020-03-04,non-holiday,86093,봄
2020-03-05,non-holiday,89552,봄
2020-03-06,non-holiday,99445,봄
2020-03-07,holiday,112443,봄
2020-03-08,holiday,110835,봄
2020-03-09,non-holiday,92961,봄
2020-03-10,non-holiday,94055,봄
2020-03-11,non-holiday,104501,봄
2020-03-12,non-holiday,106069,봄
2020-03-13,non-holiday,114966,봄
